date,betten_belegt,betten_frei
2020-04-24,29,31
2020-04-25,35,23
2020-04-26,33,25
2020-04-27,31,29
2020-04-28,35,25
2020-04-29,32,28
2020-04-30,34,26
2020-05-01,28,30
2020-05-02,31,27
2020-05-03,28,30
2020-05-04,29,31
2020-05-05,36,24
2020-05-06,32,28
2020-05-07,26,34
2020-05-08,32,28
2020-05-09,28,20
2020-05-10,38,20
2020-05-11,33,27
2020-05-12,41,19
2020-05-13,38,22
2020-05-14,31,29
2020-05-15,36,24
2020-05-16,24,25
2020-05-17,34,25
2020-05-18,32,28
2020-05-19,32,28
2020-05-20,29,31
2020-05-21,22,28
2020-05-22,30,30
2020-05-23,27,31
2020-05-24,28,30
2020-05-25,34,26
2020-05-26,36,24
2020-05-27,37,23
2020-05-28,30,30
2020-05-29,35,25
2020-05-30,32,28
2020-05-31,30,30
2020-06-01,32,29
2020-06-02,30,31
2020-06-03,30,30
2020-06-04,30,30
2020-06-05,35,25
2020-06-06,31,27
2020-06-07,30,30
2020-06-08,32,28
2020-06-09,33,27
2020-06-10,39,21
2020-06-11,37,23
2020-06-12,33,27
2020-06-13,29,29
2020-06-14,28,30
2020-06-15,33,27
2020-06-16,35,25
2020-06-17,31,29
2020-06-18,36,24
2020-06-19,35,25
2020-06-20,33,25
2020-06-21,28,30
2020-06-22,35,25
2020-06-23,29,31
2020-06-24,30,30
2020-06-25,33,27
2020-06-26,39,31
2020-06-27,30,28
2020-06-28,27,31
2020-06-29,23,37
2020-06-30,28,32
2020-07-01,30,30
2020-07-02,27,33
2020-07-03,24,36
2020-07-04,30,28
2020-07-05,26,32
2020-07-06,33,27
2020-07-07,34,26
2020-07-08,30,30
2020-07-09,39,21
2020-07-10,35,25
2020-07-11,36,22
2020-07-12,32,26
2020-07-13,30,30
2020-07-14,37,23
2020-07-15,35,25
2020-07-16,32,28
2020-07-17,31,29
2020-07-18,32,26
2020-07-19,32,26
2020-07-20,37,23
2020-07-21,36,24
2020-07-22,24,36
2020-07-23,37,23
2020-07-24,30,30
2020-07-25,29,29
2020-07-26,24,34
2020-07-27,34,26
2020-07-28,34,26
2020-07-29,34,26
2020-07-30,33,27
2020-07-31,26,34
2020-08-01,25,33
2020-08-02,20,38
2020-08-03,28,32
2020-08-04,26,34
2020-08-05,26,34
2020-08-06,25,35
2020-08-07,26,34
2020-08-08,27,33
2020-08-09,32,26
2020-08-10,30,30
2020-08-11,30,30
2020-08-12,39,21
2020-08-13,33,27
2020-08-14,35,25
2020-08-15,32,26
2020-08-16,31,27
2020-08-17,28,32
2020-08-18,27,33
2020-08-19,24,36
2020-08-20,26,34
2020-08-21,23,37
2020-08-22,17,43
2020-08-23,20,38
2020-08-24,17,43
2020-08-25,29,31
2020-08-26,26,34
2020-08-27,27,33
2020-08-28,24,36
2020-08-29,28,30
2020-08-30,25,33
2020-08-31,28,32
2020-09-01,26,34
2020-09-02,26,34
2020-09-03,22,38
2020-09-04,26,32
2020-09-05,23,35
2020-09-06,23,35
2020-09-07,31,29
2020-09-08,31,29
2020-09-09,27,33
2020-09-10,28,32
2020-09-11,31,29
2020-09-12,34,26
2020-09-13,34,26
2020-09-14,31,29
2020-09-15,33,27
2020-09-16,38,22
2020-09-17,30,30
2020-09-18,33,27
2020-09-19,33,27
2020-09-20,31,29
2020-09-21,35,25
2020-09-22,33,27
2020-09-23,29,31
2020-09-24,32,28
2020-09-25,30,30
2020-09-26,30,30
2020-09-27,30,30
2020-09-28,34,26
2020-09-29,33,27
2020-09-30,33,27
2020-10-01,36,24
2020-10-02,38,22
2020-10-03,36,22
2020-10-04,35,23
2020-10-05,24,28
2020-10-06,24,28
2020-10-07,32,20
2020-10-08,32,20
2020-10-09,32,20
2020-10-10,32,20
2020-10-11,35,17
2020-10-12,35,17
2020-10-13,35,17
2020-10-14,33,19
2020-10-15,29,23
2020-10-16,28,24
2020-10-17,30,22
2020-10-18,31,21
2020-10-19,32,20
2020-10-20,32,20
2020-10-21,29,23
2020-10-22,25,27
2020-10-23,28,24
2020-10-24,27,25
2020-10-25,27,25
2020-10-26,23,29
2020-10-27,22,30
2020-10-28,24,28
2020-10-29,25,27
2020-10-30,26,26
2020-10-31,29,23
2020-11-01,29,23
2020-11-02,25,27
2020-11-03,28,24
2020-11-04,28,24
2020-11-05,23,18
2020-11-06,24,17
2020-11-07,21,20
2020-11-08,20,21
2020-11-09,23,18
2020-11-10,20,21
2020-11-11,25,16
2020-11-12,26,15
2020-11-13,24,17
2020-11-14,22,19
2020-11-15,17,24
2020-11-16,21,20
2020-11-17,25,4
2020-11-18,24,5
2020-11-19,24,6
2020-11-20,23,6
2020-11-21,25,4
2020-11-22,27,2
2020-11-23,29,0
2020-11-24,29,0
2020-11-25,28,1
2020-11-26,25,4
2020-11-27,27,2
