date,betten_belegt,betten_frei
2020-04-24,8,12
2020-04-25,8,12
2020-04-26,9,13
2020-04-27,10,10
2020-04-28,8,12
2020-04-29,10,11
2020-04-30,8,15
2020-05-01,7,15
2020-05-02,8,14
2020-05-03,7,14
2020-05-04,6,12
2020-05-05,7,11
2020-05-06,11,7
2020-05-07,8,13
2020-05-08,8,10
2020-05-09,9,9
2020-05-10,9,9
2020-05-11,9,9
2020-05-12,6,12
2020-05-13,6,12
2020-05-14,10,8
2020-05-15,9,9
2020-05-16,11,10
2020-05-17,8,12
2020-05-18,9,12
2020-05-19,8,8
2020-05-20,9,10
2020-05-21,6,12
2020-05-22,6,14
2020-05-23,5,16
2020-05-24,7,16
2020-05-25,4,14
2020-05-26,9,9
2020-05-27,7,14
2020-05-28,10,11
2020-05-29,8,12
2020-05-30,8,12
2020-05-31,5,15
2020-06-01,4,17
2020-06-02,4,16
2020-06-03,8,12
2020-06-04,9,11
2020-06-05,8,12
2020-06-06,9,11
2020-06-07,10,13
2020-06-08,11,6
2020-06-09,12,9
2020-06-10,8,11
2020-06-11,7,14
2020-06-12,4,17
2020-06-13,8,9
2020-06-14,6,14
2020-06-15,6,14
2020-06-16,8,13
2020-06-17,11,8
2020-06-18,5,16
2020-06-19,7,13
2020-06-20,5,15
2020-06-21,6,14
2020-06-22,6,14
2020-06-23,8,9
2020-06-24,9,10
2020-06-25,7,12
2020-06-26,11,9
2020-06-27,13,6
2020-06-28,8,12
2020-06-29,10,7
2020-06-30,14,8
2020-07-01,7,16
2020-07-02,7,16
2020-07-03,9,17
2020-07-04,11,12
2020-07-05,8,11
2020-07-06,10,13
2020-07-07,8,15
2020-07-08,9,13
2020-07-09,11,11
2020-07-10,9,13
2020-07-11,6,17
2020-07-12,11,11
2020-07-13,8,12
2020-07-14,10,13
2020-07-15,8,14
2020-07-16,6,13
2020-07-17,7,18
2020-07-18,11,10
2020-07-19,6,15
2020-07-20,7,11
2020-07-21,11,7
2020-07-22,8,15
2020-07-23,7,16
2020-07-24,13,10
2020-07-25,9,12
2020-07-26,6,14
2020-07-27,5,13
2020-07-28,6,12
2020-07-29,7,18
2020-07-30,9,9
2020-07-31,9,9
2020-08-01,8,13
2020-08-02,8,11
2020-08-03,9,10
2020-08-04,8,8
2020-08-05,8,8
2020-08-06,4,12
2020-08-07,7,9
2020-08-08,9,6
2020-08-09,7,9
2020-08-10,6,10
2020-08-11,7,9
2020-08-12,7,8
2020-08-13,7,8
2020-08-14,6,8
2020-08-15,4,10
2020-08-16,7,6
2020-08-17,10,6
2020-08-18,12,3
2020-08-19,9,6
2020-08-20,12,3
2020-08-21,8,7
2020-08-22,6,9
2020-08-23,7,8
2020-08-24,7,9
2020-08-25,9,6
2020-08-26,11,4
2020-08-27,8,8
2020-08-28,9,7
2020-08-29,9,7
2020-08-30,9,7
2020-08-31,9,7
2020-09-01,7,9
2020-09-02,11,5
