date,betten_belegt,betten_frei
2020-04-24,26,8
2020-04-25,27,7
2020-04-26,28,6
2020-04-27,25,9
2020-04-28,28,6
2020-04-29,26,14
2020-04-30,31,9
2020-05-01,29,9
2020-05-02,29,9
2020-05-03,28,10
2020-05-04,32,5
2020-05-05,30,7
2020-05-06,27,9
2020-05-07,29,7
2020-05-08,33,4
2020-05-09,30,5
2020-05-10,27,10
2020-05-11,33,4
2020-05-12,30,7
2020-05-13,32,5
2020-05-14,33,4
2020-05-15,33,4
2020-05-16,35,2
2020-05-17,33,4
2020-05-18,26,11
2020-05-19,32,5
2020-05-20,32,5
2020-05-21,32,5
2020-05-22,33,4
2020-05-23,31,6
2020-05-24,34,3
2020-05-25,31,6
2020-05-26,28,9
2020-05-27,29,8
2020-05-28,26,11
2020-05-29,32,7
2020-05-30,23,16
2020-05-31,20,17
2020-06-01,28,9
2020-06-02,24,13
2020-06-03,32,9
2020-06-04,34,7
2020-06-05,34,7
2020-06-06,34,7
2020-06-07,35,6
2020-06-08,34,7
2020-06-09,31,10
2020-06-10,34,7
2020-06-11,29,12
2020-06-12,28,13
2020-06-13,30,11
2020-06-14,24,17
2020-06-15,21,20
2020-06-16,23,18
2020-06-17,22,19
2020-06-18,18,23
2020-06-19,27,14
2020-06-20,28,13
2020-06-21,27,14
2020-06-22,27,14
2020-06-23,25,16
2020-06-24,27,14
2020-06-25,29,12
2020-06-26,32,9
2020-06-27,34,7
2020-06-28,34,7
2020-06-29,23,18
2020-06-30,23,18
2020-07-01,25,16
2020-07-02,29,12
2020-07-03,32,8
2020-07-04,30,11
2020-07-05,27,14
2020-07-06,26,15
2020-07-07,26,15
2020-07-08,31,9
2020-07-09,27,13
2020-07-10,26,14
2020-07-11,27,13
2020-07-12,23,17
2020-07-13,26,15
2020-07-14,30,11
2020-07-15,29,12
2020-07-16,32,9
2020-07-17,31,10
2020-07-18,29,12
2020-07-19,31,10
2020-07-20,34,7
2020-07-21,36,5
2020-07-22,37,4
2020-07-23,35,6
2020-07-24,33,8
2020-07-25,36,11
2020-07-26,31,10
2020-07-27,29,12
2020-07-28,37,4
2020-07-29,39,2
2020-07-30,36,5
2020-07-31,35,6
2020-08-01,31,10
2020-08-02,33,8
2020-08-03,30,9
2020-08-04,31,8
2020-08-05,29,10
2020-08-06,29,10
2020-08-07,32,7
2020-08-08,35,4
2020-08-09,31,8
2020-08-10,32,7
2020-08-11,35,4
2020-08-12,28,11
2020-08-13,28,11
2020-08-14,28,11
2020-08-15,31,8
2020-08-16,30,9
2020-08-17,26,11
2020-08-18,29,8
2020-08-19,26,11
2020-08-20,28,9
2020-08-21,28,9
2020-08-22,25,14
2020-08-23,26,13
2020-08-24,28,11
2020-08-25,25,14
2020-08-26,27,12
2020-08-27,21,18
2020-08-28,28,11
2020-08-29,31,8
2020-08-30,26,13
2020-08-31,31,8
2020-09-01,34,5
2020-09-02,35,4
2020-09-03,35,4
2020-09-04,35,4
2020-09-05,37,2
2020-09-06,34,5
2020-09-07,35,4
