date,betten_belegt,betten_frei
2020-04-24,19,14
2020-04-25,18,15
2020-04-26,18,15
2020-04-27,16,17
2020-04-28,16,17
2020-04-29,15,18
2020-04-30,16,17
2020-05-01,16,17
2020-05-02,15,18
2020-05-03,15,18
2020-05-04,18,15
2020-05-05,18,15
2020-05-06,18,15
2020-05-07,19,14
2020-05-08,15,10
2020-05-09,12,13
2020-05-10,10,15
2020-05-11,14,11
2020-05-12,15,10
2020-05-13,9,16
2020-05-14,11,14
2020-05-15,10,15
2020-05-16,15,10
2020-05-17,12,13
2020-05-18,12,13
2020-05-19,11,14
2020-05-20,13,12
2020-05-21,13,12
2020-05-22,12,13
2020-05-23,12,13
2020-05-24,10,15
2020-05-25,10,15
2020-05-26,12,13
2020-05-27,9,16
2020-05-28,8,17
2020-05-29,10,15
2020-05-30,12,13
2020-05-31,12,13
2020-06-01,11,14
2020-06-02,11,26
2020-06-03,17,20
2020-06-04,17,20
2020-06-05,13,24
2020-06-06,19,18
2020-06-07,20,17
2020-06-08,15,22
2020-06-09,15,24
2020-06-10,16,23
2020-06-11,16,23
2020-06-12,14,25
2020-06-13,14,25
2020-06-14,17,22
2020-06-15,12,27
2020-06-16,15,24
2020-06-17,15,24
2020-06-18,19,20
2020-06-19,12,27
2020-06-20,12,27
2020-06-21,15,24
2020-06-22,14,25
2020-06-23,14,25
2020-06-24,17,22
2020-06-25,18,21
2020-06-26,18,21
2020-06-27,15,24
2020-06-28,13,26
2020-06-29,15,24
2020-06-30,18,21
2020-07-01,21,18
2020-07-02,26,13
2020-07-03,25,14
2020-07-04,20,19
2020-07-05,17,22
2020-07-06,22,17
2020-07-07,22,17
2020-07-08,23,16
2020-07-09,26,13
2020-07-10,26,13
2020-07-11,19,20
2020-07-12,21,18
2020-07-13,23,16
2020-07-14,22,17
2020-07-15,22,17
2020-07-16,25,14
2020-07-17,23,16
2020-07-18,25,14
2020-07-19,21,18
2020-07-20,17,22
2020-07-21,17,22
2020-07-22,22,17
2020-07-23,24,15
2020-07-24,21,18
