date,betten_belegt,betten_frei
2020-04-24,19,45
2020-04-25,30,32
2020-04-26,32,30
2020-04-27,31,31
2020-04-28,33,33
2020-04-29,32,27
2020-04-30,35,33
2020-05-01,38,26
2020-05-02,33,31
2020-05-03,29,35
2020-05-04,30,34
2020-05-05,29,36
2020-05-06,40,29
2020-05-07,33,36
2020-05-08,38,36
2020-05-09,33,37
2020-05-10,34,36
2020-05-11,14,24
2020-05-12,34,35
2020-05-13,40,29
2020-05-14,36,32
2020-05-15,29,38
2020-05-16,37,32
2020-05-17,35,34
2020-05-18,40,32
2020-05-19,41,30
2020-05-20,36,35
2020-05-21,39,34
2020-05-22,36,37
2020-05-23,34,31
2020-05-24,37,29
2020-05-25,36,30
2020-05-26,40,26
2020-05-27,34,32
2020-05-28,41,25
2020-05-29,39,27
2020-05-30,36,30
2020-05-31,39,29
2020-06-01,37,31
2020-06-02,33,35
2020-06-03,43,27
2020-06-04,41,27
2020-06-05,42,26
2020-06-06,39,27
2020-06-07,37,33
2020-06-08,32,34
2020-06-09,35,31
2020-06-10,36,30
2020-06-11,36,30
2020-06-12,37,29
2020-06-13,37,29
2020-06-14,44,23
2020-06-15,43,25
2020-06-16,41,27
2020-06-17,38,28
2020-06-18,34,32
2020-06-19,35,31
2020-06-20,31,35
2020-06-21,34,32
2020-06-22,31,35
2020-06-23,34,33
2020-06-24,28,38
2020-06-25,32,34
2020-06-26,46,22
2020-06-27,36,30
2020-06-28,38,28
2020-06-29,37,29
2020-06-30,40,26
2020-07-01,42,24
2020-07-02,34,32
2020-07-03,41,25
2020-07-04,38,28
2020-07-05,36,31
2020-07-06,35,31
2020-07-07,39,27
2020-07-08,36,30
2020-07-09,33,33
2020-07-10,42,24
2020-07-11,42,24
2020-07-12,45,21
2020-07-13,43,23
2020-07-14,36,30
2020-07-15,36,30
2020-07-16,34,32
2020-07-17,35,31
2020-07-18,36,30
2020-07-19,36,30
2020-07-20,38,30
2020-07-21,37,31
2020-07-22,34,34
2020-07-23,38,30
2020-07-24,38,30
2020-07-25,42,26
2020-07-26,38,27
2020-07-27,30,38
2020-07-28,31,37
2020-07-29,38,31
2020-07-30,33,36
2020-07-31,31,34
2020-08-01,30,38
2020-08-02,26,40
2020-08-03,26,40
2020-08-04,30,32
2020-08-05,31,25
2020-08-06,37,25
2020-08-07,35,22
2020-08-08,36,21
2020-08-09,36,21
2020-08-10,35,22
2020-08-11,31,26
2020-08-12,31,26
2020-08-13,36,21
2020-08-14,35,22
2020-08-15,38,19
2020-08-16,33,24
2020-08-17,38,19
2020-08-18,38,19
2020-08-19,34,23
2020-08-20,29,28
2020-08-21,31,26
2020-08-22,31,26
2020-08-23,35,22
2020-08-24,35,22
2020-08-25,35,22
2020-08-26,39,18
2020-08-27,34,23
2020-08-28,37,20
2020-08-29,35,22
2020-08-30,37,20
2020-08-31,37,20
2020-09-01,35,22
2020-09-02,36,21
2020-09-03,31,26
2020-09-04,33,24
2020-09-05,30,27
2020-09-06,30,25
2020-09-07,34,21
2020-09-08,39,18
2020-09-09,41,16
2020-09-10,36,21
2020-09-11,34,23
2020-09-12,35,22
2020-09-13,30,27
2020-09-14,31,26
2020-09-15,30,27
2020-09-16,32,25
2020-09-17,34,23
2020-09-18,29,28
2020-09-19,32,25
2020-09-20,30,27
2020-09-21,29,28
2020-09-22,22,35
2020-09-23,38,19
2020-09-24,35,22
2020-09-25,34,23
2020-09-26,32,25
2020-09-27,30,27
2020-09-28,27,30
2020-09-29,27,30
2020-09-30,31,26
2020-10-01,28,29
2020-10-02,35,22
2020-10-03,36,21
2020-10-04,34,23
2020-10-05,30,27
2020-10-06,37,20
2020-10-07,29,28
2020-10-08,36,21
2020-10-09,37,20
2020-10-10,35,22
2020-10-11,28,29
2020-10-12,33,24
2020-10-13,32,25
2020-10-14,32,25
2020-10-15,34,23
2020-10-16,37,20
2020-10-17,35,22
2020-10-18,27,30
2020-10-19,27,30
2020-10-20,33,24
2020-10-21,33,24
2020-10-22,28,29
2020-10-23,33,24
2020-10-24,30,27
2020-10-25,36,21
2020-10-26,36,21
2020-10-27,31,26
2020-10-28,31,26
2020-10-29,31,26
2020-10-30,33,24
2020-10-31,32,26
2020-11-01,33,25
2020-11-02,31,27
2020-11-03,37,20
2020-11-04,33,24
2020-11-05,34,23
2020-11-06,41,16
2020-11-07,38,19
2020-11-08,36,21
2020-11-09,37,20
2020-11-10,40,17
2020-11-11,41,16
2020-11-12,43,14
2020-11-13,35,22
2020-11-14,36,21
2020-11-15,34,23
2020-11-16,31,26
2020-11-17,34,23
2020-11-18,35,22
2020-11-19,32,25
2020-11-20,27,30
2020-11-21,33,24
2020-11-22,31,26
2020-11-23,31,26
2020-11-24,30,27
2020-11-25,31,26
2020-11-26,27,30
2020-11-27,36,21
2020-11-28,36,21
2020-11-29,36,21
2020-11-30,34,23
2020-12-01,30,27
2020-12-02,35,22
2020-12-03,32,25
2020-12-04,31,26
2020-12-05,31,26
2020-12-06,28,29
2020-12-07,29,28
2020-12-08,32,25
2020-12-09,28,29
2020-12-10,25,32
