date,betten_belegt,betten_frei
2020-04-24,15,17
2020-04-24,17,13
2020-04-25,14,20
2020-04-25,14,17
2020-04-26,15,19
2020-04-26,18,13
2020-04-27,15,18
2020-04-27,14,17
2020-04-28,14,20
2020-04-28,14,17
2020-04-29,15,19
2020-04-29,14,17
2020-04-30,14,19
2020-04-30,18,13
2020-05-01,12,22
2020-05-01,11,20
2020-05-02,12,22
2020-05-02,13,18
2020-05-03,11,24
2020-05-03,14,17
2020-05-04,12,23
2020-05-04,15,16
2020-05-05,15,17
2020-05-05,17,14
2020-05-06,15,19
2020-05-06,19,12
2020-05-07,16,18
2020-05-07,19,12
2020-05-08,15,19
2020-05-08,18,13
2020-05-09,11,20
2020-05-09,15,16
2020-05-10,12,19
2020-05-10,14,17
2020-05-11,14,19
2020-05-11,19,12
2020-05-12,13,19
2020-05-12,19,13
2020-05-13,14,17
2020-05-13,16,15
2020-05-14,13,18
2020-05-14,18,13
2020-05-15,13,18
2020-05-15,19,13
2020-05-16,13,18
2020-05-16,17,14
2020-05-17,15,16
2020-05-17,10,21
2020-05-18,16,15
2020-05-18,12,19
2020-05-19,14,17
2020-05-19,15,16
2020-05-20,10,21
2020-05-20,13,18
2020-05-21,14,17
2020-05-21,15,16
2020-05-22,11,20
2020-05-22,13,19
2020-05-23,16,15
2020-05-23,17,14
2020-05-24,14,17
2020-05-24,14,17
2020-05-25,15,85
2020-05-25,16,15
2020-05-26,14,17
2020-05-26,15,16
2020-05-27,15,16
2020-05-27,18,14
2020-05-28,17,14
2020-05-28,19,13
2020-05-29,18,12
2020-05-29,13,18
2020-05-30,16,14
2020-05-30,18,13
2020-05-31,16,8
2020-05-31,18,5
2020-06-01,20,4
2020-06-01,18,5
2020-06-02,16,1
2020-06-02,18,5
2020-06-03,12,5
2020-06-03,18,6
2020-06-04,12,5
2020-06-04,19,4
2020-06-05,12,5
2020-06-05,18,5
2020-06-06,11,6
2020-06-06,18,5
2020-06-07,9,8
2020-06-07,14,9
2020-06-08,12,5
2020-06-08,14,9
2020-06-09,20,6
2020-06-09,18,5
2020-06-10,17,7
2020-06-10,17,6
2020-06-11,16,8
2020-06-11,19,4
2020-06-12,13,11
2020-06-12,16,7
2020-06-13,12,10
2020-06-13,17,6
2020-06-14,14,10
2020-06-14,17,6
2020-06-15,15,9
2020-06-15,15,8
2020-06-16,15,9
2020-06-16,18,5
2020-06-17,18,6
2020-06-17,18,5
2020-06-18,19,5
2020-06-18,15,8
2020-06-19,18,6
2020-06-19,12,11
2020-06-20,19,5
2020-06-20,13,10
2020-06-21,20,4
2020-06-21,13,10
2020-06-22,17,7
2020-06-22,12,11
2020-06-23,19,5
2020-06-23,15,8
2020-06-24,17,7
2020-06-24,15,8
2020-06-25,15,9
2020-06-25,19,4
2020-06-26,12,12
2020-06-26,13,10
2020-06-27,12,12
2020-06-27,17,6
2020-06-28,14,10
2020-06-28,18,5
2020-06-29,17,7
2020-06-29,16,7
2020-06-30,13,11
2020-06-30,17,6
2020-07-01,12,12
2020-07-01,17,6
2020-07-02,14,10
2020-07-02,18,5
2020-07-03,12,5
2020-07-03,15,8
2020-07-04,12,5
2020-07-04,18,4
2020-07-05,9,8
2020-07-05,16,7
2020-07-06,9,8
2020-07-06,16,7
2020-07-07,13,4
2020-07-07,16,7
2020-07-08,11,6
2020-07-08,19,4
2020-07-09,8,9
2020-07-09,19,4
2020-07-10,12,5
2020-07-10,19,4
2020-07-11,8,9
2020-07-11,17,6
2020-07-12,8,9
2020-07-12,18,5
2020-07-13,9,8
2020-07-13,18,5
2020-07-14,10,7
2020-07-14,19,4
2020-07-15,15,9
2020-07-15,17,6
2020-07-16,18,6
2020-07-16,13,10
2020-07-17,21,3
2020-07-17,15,8
2020-07-18,18,6
2020-07-18,18,5
2020-07-19,16,8
2020-07-19,18,5
2020-07-20,17,9
2020-07-20,17,6
2020-07-21,16,9
2020-07-21,14,9
2020-07-22,17,7
2020-07-22,14,9
2020-07-23,14,9
2020-07-23,13,10
2020-07-24,17,5
2020-07-24,17,6
2020-07-25,17,5
2020-07-25,19,4
2020-07-26,19,3
2020-07-26,17,6
2020-07-27,17,5
2020-07-27,20,6
2020-07-28,13,9
2020-07-28,19,4
2020-07-29,15,7
2020-07-29,19,4
2020-07-30,12,10
2020-07-30,18,5
2020-07-31,14,8
2020-07-31,14,9
2020-08-01,11,11
2020-08-01,19,4
2020-08-02,11,11
2020-08-02,15,8
2020-08-03,10,12
2020-08-03,12,11
2020-08-04,10,12
2020-08-04,12,11
2020-08-05,11,11
2020-08-05,15,12
2020-08-06,13,9
2020-08-06,15,12
2020-08-07,10,12
2020-08-07,14,13
2020-08-08,10,12
2020-08-08,16,11
2020-08-09,13,9
2020-08-09,19,8
2020-08-10,10,12
2020-08-10,15,12
2020-08-11,11,11
2020-08-11,16,11
2020-08-12,14,10
2020-08-12,15,12
2020-08-13,13,11
2020-08-13,16,11
2020-08-14,13,11
2020-08-14,16,11
2020-08-15,13,11
2020-08-15,15,12
2020-08-16,16,8
2020-08-16,17,10
2020-08-17,13,11
2020-08-17,15,12
2020-08-18,17,7
2020-08-18,15,12
2020-08-19,18,6
2020-08-19,18,9
2020-08-20,16,8
2020-08-20,15,12
2020-08-21,12,12
2020-08-21,13,14
2020-08-22,10,14
2020-08-22,17,10
2020-08-23,14,10
2020-08-23,17,10
2020-08-24,13,11
2020-08-24,15,12
2020-08-25,11,13
2020-08-25,16,11
2020-08-26,13,11
2020-08-26,13,14
2020-08-27,12,12
2020-08-27,16,11
2020-08-28,18,6
2020-08-28,18,9
2020-08-29,16,8
2020-08-29,18,9
2020-08-30,14,10
2020-08-30,17,10
2020-08-31,17,7
2020-08-31,17,10
2020-09-01,16,11
2020-09-01,14,13
2020-09-02,14,12
2020-09-02,14,13
2020-09-03,14,12
2020-09-03,17,10
2020-09-04,14,9
2020-09-04,15,12
2020-09-05,15,8
2020-09-05,16,11
2020-09-06,13,10
2020-09-06,19,8
2020-09-07,14,9
2020-09-07,19,8
2020-09-08,16,8
2020-09-08,15,12
2020-09-09,15,9
2020-09-09,19,8
2020-09-10,18,6
2020-09-10,19,8
2020-09-11,18,6
2020-09-11,19,8
2020-09-12,20,4
2020-09-12,16,11
2020-09-13,13,11
2020-09-13,19,8
2020-09-14,13,11
2020-09-14,20,7
2020-09-15,13,11
2020-09-15,17,10
2020-09-16,13,11
2020-09-16,18,9
2020-09-17,11,13
2020-09-17,16,11
2020-09-18,11,13
2020-09-18,15,12
2020-09-19,11,13
2020-09-19,15,12
2020-09-20,14,10
2020-09-20,17,10
2020-09-21,14,10
2020-09-21,17,10
2020-09-22,16,8
2020-09-22,19,8
2020-09-23,16,8
2020-09-23,17,10
2020-09-24,15,9
2020-09-24,16,11
2020-09-25,15,9
2020-09-25,20,7
2020-09-26,13,11
2020-09-26,17,10
2020-09-27,16,8
2020-09-27,14,13
2020-09-28,9,15
2020-09-28,15,12
2020-09-29,13,11
2020-09-29,14,13
2020-09-30,12,12
2020-09-30,18,9
2020-10-01,13,11
