date,betten_belegt,betten_frei
2020-04-24,24,18
2020-04-25,18,24
2020-04-26,23,19
2020-04-27,26,16
2020-04-28,23,19
2020-04-29,25,17
2020-04-30,27,15
2020-05-01,20,22
2020-05-02,25,17
2020-05-03,25,17
2020-05-04,22,20
2020-05-05,19,23
2020-05-06,23,19
2020-05-07,23,17
2020-05-08,25,16
2020-05-09,24,18
2020-05-10,25,17
2020-05-11,28,14
2020-05-12,26,16
2020-05-13,24,18
2020-05-14,23,19
2020-05-15,25,17
2020-05-16,26,16
2020-05-17,25,17
2020-05-18,26,16
2020-05-19,24,18
2020-05-20,27,15
2020-05-21,23,19
2020-05-22,24,18
2020-05-23,24,18
2020-05-24,21,21
2020-05-25,25,17
2020-05-26,26,16
2020-05-27,25,17
2020-05-28,27,15
2020-05-29,23,19
2020-05-30,17,25
2020-05-31,22,20
2020-06-01,27,15
2020-06-02,25,17
2020-06-03,24,18
2020-06-04,26,16
2020-06-05,22,20
2020-06-06,21,21
2020-06-07,21,21
2020-06-08,24,18
2020-06-09,25,17
2020-06-10,22,20
2020-06-11,25,17
2020-06-12,21,21
2020-06-13,19,23
2020-06-14,18,24
2020-06-15,18,24
2020-06-16,25,17
2020-06-17,24,18
2020-06-18,25,19
2020-06-19,26,16
2020-06-20,21,21
2020-06-21,26,16
2020-06-22,28,14
2020-06-23,19,23
2020-06-24,22,20
2020-06-25,19,23
2020-06-26,28,14
2020-06-27,26,16
2020-06-28,24,18
2020-06-29,29,13
2020-06-30,24,18
2020-07-01,23,19
2020-07-02,34,8
2020-07-03,25,17
2020-07-04,20,22
2020-07-05,22,20
2020-07-06,21,21
2020-07-07,24,18
2020-07-08,23,19
2020-07-09,22,20
2020-07-10,24,18
2020-07-11,18,24
2020-07-12,21,21
2020-07-13,23,19
2020-07-14,28,14
2020-07-15,29,13
2020-07-16,26,16
2020-07-17,26,16
2020-07-18,24,18
2020-07-19,27,15
2020-07-20,35,17
2020-07-21,35,17
2020-07-22,35,17
2020-07-23,35,17
2020-07-24,32,21
2020-07-25,33,20
2020-07-26,30,23
2020-07-27,28,25
2020-07-28,33,20
2020-07-29,32,21
2020-07-30,33,20
2020-07-31,25,17
2020-08-01,21,21
2020-08-02,24,18
2020-08-03,23,19
2020-08-04,26,7
2020-08-05,25,7
2020-08-06,24,8
2020-08-07,19,13
2020-08-08,25,7
2020-08-09,25,7
2020-08-10,22,10
2020-08-11,23,9
2020-08-12,26,6
2020-08-13,20,12
2020-08-14,22,10
2020-08-15,24,8
2020-08-16,23,9
2020-08-17,22,10
2020-08-18,23,9
2020-08-19,26,6
2020-08-20,24,8
2020-08-21,26,6
2020-08-22,25,7
2020-08-23,26,6
2020-08-24,21,11
2020-08-25,24,8
2020-08-26,26,6
2020-08-27,34,10
2020-08-28,36,7
2020-08-29,34,10
2020-08-30,36,8
2020-08-31,36,8
2020-09-01,34,10
2020-09-02,34,10
2020-09-03,31,13
2020-09-04,20,24
2020-09-05,32,12
2020-09-06,33,11
2020-09-07,30,14
2020-09-08,33,12
2020-09-09,32,12
2020-09-10,33,11
2020-09-11,35,9
2020-09-12,35,9
2020-09-13,34,10
2020-09-14,34,10
2020-09-15,36,8
2020-09-16,38,8
2020-09-17,33,11
2020-09-18,31,13
2020-09-19,33,11
2020-09-20,34,10
2020-09-21,33,11
2020-09-22,31,13
2020-09-23,32,12
2020-09-24,29,14
2020-09-25,30,9
2020-09-26,24,15
2020-09-27,27,12
2020-09-28,24,15
2020-09-29,23,16
2020-09-30,29,11
2020-10-01,25,14
2020-10-02,26,13
2020-10-03,27,12
2020-10-04,27,12
2020-10-05,28,12
2020-10-06,28,11
2020-10-07,27,12
2020-10-08,26,13
2020-10-09,21,18
2020-10-10,25,14
2020-10-11,25,14
2020-10-12,28,11
2020-10-13,28,11
2020-10-14,30,10
2020-10-15,31,8
2020-10-16,29,10
2020-10-17,30,9
2020-10-18,28,11
2020-10-19,27,12
2020-10-20,29,10
2020-10-21,26,13
2020-10-22,26,13
2020-10-23,30,9
2020-10-24,30,9
2020-10-25,29,10
2020-10-26,26,13
2020-10-27,31,8
2020-10-28,28,11
2020-10-29,26,13
2020-10-30,29,10
2020-10-31,26,13
2020-11-01,28,11
2020-11-02,28,11
2020-11-03,30,9
2020-11-04,30,9
2020-11-05,29,10
2020-11-06,30,9
2020-11-07,28,8
2020-11-08,30,6
2020-11-09,32,7
2020-11-10,29,10
2020-11-11,24,15
2020-11-12,27,12
2020-11-13,26,13
2020-11-14,26,13
2020-11-15,26,13
2020-11-16,25,14
2020-11-17,24,15
2020-11-18,18,21
2020-11-19,23,16
2020-11-20,24,15
2020-11-21,29,10
2020-11-22,27,12
2020-11-23,25,14
2020-11-24,28,12
2020-11-25,25,14
2020-11-26,33,6
2020-11-27,31,8
2020-11-28,29,10
2020-11-29,23,13
2020-11-30,26,13
2020-12-01,27,12
2020-12-02,26,13
2020-12-03,23,16
2020-12-04,24,15
2020-12-05,25,14
2020-12-06,26,13
2020-12-07,29,10
