Datum,Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve
2020-03-20 11:15:00+00:00,39,330,0
2020-03-21 11:15:00+00:00,367,382,0
2020-03-22 11:15:00+00:00,435,401,0
2020-03-23 11:15:00+00:00,523,420,0
2020-03-24 11:15:00+00:00,637,501,0
2020-03-25 11:15:00+00:00,723,581,0
2020-03-26 11:15:00+00:00,782,565,0
2020-03-27 11:15:00+00:00,808,581,0
2020-03-28 11:15:00+00:00,850,592,0
2020-03-29 10:15:00+00:00,864,581,0
2020-03-30 10:15:00+00:00,932,601,0
2020-03-31 10:15:00+00:00,1063,629,0
2020-04-01 10:15:00+00:00,1270,778,0
2020-04-02 10:15:00+00:00,1539,1044,0
2020-04-03 10:15:00+00:00,1615,995,0
2020-04-04 10:15:00+00:00,1665,1042,0
2020-04-05 10:15:00+00:00,1629,1035,0
2020-04-06 10:15:00+00:00,1607,1036,0
2020-04-07 10:15:00+00:00,1616,1078,0
2020-04-08 10:15:00+00:00,1645,1146,0
2020-04-09 10:15:00+00:00,1784,1051,0
2020-04-10 10:15:00+00:00,1656,1045,0
2020-04-11 10:15:00+00:00,1598,1076,0
2020-04-12 10:15:00+00:00,1578,1076,0
2020-04-13 10:15:00+00:00,1611,1127,0
2020-04-14 10:15:00+00:00,1624,1150,0
2020-04-15 10:15:00+00:00,1632,1179,0
2020-04-16 10:15:00+00:00,1928,1503,0
2020-04-17 10:15:00+00:00,2006,1451,0
2020-04-18 10:15:00+00:00,2060,1493,0
2020-04-19 10:15:00+00:00,2063,1467,0
2020-04-20 10:15:00+00:00,2078,1485,0
2020-04-21 10:15:00+00:00,2099,1492,0
2020-04-22 10:15:00+00:00,2120,1513,0
2020-04-23 10:15:00+00:00,2172,1513,0
2020-04-24 10:15:00+00:00,2152,1516,0
2020-04-25 10:15:00+00:00,2123,1516,0
2020-04-26 10:15:00+00:00,2055,1602,0
2020-04-27 10:15:00+00:00,2060,1586,0
2020-04-28 10:15:00+00:00,2132,1536,0
2020-04-29 10:15:00+00:00,2143,1553,0
2020-04-30 10:15:00+00:00,2131,1540,0
2020-05-01 10:15:00+00:00,2100,1568,0
2020-05-02 10:15:00+00:00,2034,1623,0
2020-05-03 10:15:00+00:00,2102,1542,0
2020-05-04 10:15:00+00:00,2105,1482,0
2020-05-05 10:15:00+00:00,2092,1396,0
2020-05-06 10:15:00+00:00,2114,1393,0
2020-05-07 10:15:00+00:00,2123,1432,0
2020-05-08 10:15:00+00:00,2120,1431,0
2020-05-09 10:15:00+00:00,2095,1465,0
2020-05-10 10:15:00+00:00,2035,1533,0
2020-05-11 10:15:00+00:00,2024,1530,0
2020-05-12 10:15:00+00:00,2102,1455,0
2020-05-13 10:15:00+00:00,2142,1392,0
2020-05-14 10:15:00+00:00,2143,1396,0
2020-05-15 10:15:00+00:00,2195,1346,0
2020-05-16 10:15:00+00:00,2126,1395,0
2020-05-17 10:15:00+00:00,2137,1453,0
2020-05-18 10:15:00+00:00,2055,1444,0
2020-05-19 10:15:00+00:00,2120,1343,0
2020-05-20 10:15:00+00:00,2157,1321,0
2020-05-21 10:15:00+00:00,2102,1361,0
2020-05-22 10:15:00+00:00,2095,1382,0
2020-05-23 10:15:00+00:00,2059,1401,0
2020-05-24 10:15:00+00:00,2002,1472,0
2020-05-25 10:15:00+00:00,2008,1467,0
2020-05-26 10:15:00+00:00,2087,1374,0
2020-05-27 10:15:00+00:00,2098,1349,0
2020-05-28 10:15:00+00:00,2116,1306,0
2020-05-29 10:15:00+00:00,2110,1313,0
2020-05-30 10:15:00+00:00,2119,1363,0
2020-05-31 10:15:00+00:00,2038,1461,0
2020-06-01 10:15:00+00:00,2030,1464,0
2020-06-02 10:15:00+00:00,2059,1420,0
2020-06-03 10:15:00+00:00,2107,1363,0
2020-06-04 10:15:00+00:00,2108,1354,0
2020-06-05 10:15:00+00:00,2131,1345,0
2020-06-06 10:15:00+00:00,2109,1371,0
2020-06-07 10:15:00+00:00,2039,1402,0
2020-06-08 10:15:00+00:00,2046,1406,0
2020-06-09 10:15:00+00:00,2112,1331,0
2020-06-10 10:15:00+00:00,2047,1374,0
2020-06-11 10:15:00+00:00,2092,1329,0
2020-06-12 10:15:00+00:00,2018,1400,0
2020-06-13 10:15:00+00:00,2028,1386,0
2020-06-14 10:15:00+00:00,2021,1407,0
2020-06-15 10:15:00+00:00,2051,1380,0
2020-06-16 10:15:00+00:00,2102,1349,0
2020-06-17 10:15:00+00:00,2135,1324,0
2020-06-18 10:15:00+00:00,2148,1312,0
2020-06-19 10:15:00+00:00,2129,1320,0
2020-06-20 10:15:00+00:00,2146,1327,0
2020-06-21 10:15:00+00:00,2071,1368,0
2020-06-22 10:15:00+00:00,2069,1396,0
2020-06-23 10:15:00+00:00,2101,1367,0
2020-06-24 10:15:00+00:00,2156,1320,0
2020-06-25 10:15:00+00:00,2131,1325,0
2020-06-26 10:15:00+00:00,2197,1282,0
2020-06-27 10:15:00+00:00,2166,1311,0
2020-06-28 10:15:00+00:00,2141,1350,0
2020-06-29 10:15:00+00:00,2092,1406,0
2020-06-30 10:15:00+00:00,2165,1307,0
2020-07-01 10:15:00+00:00,2230,1244,0
2020-07-02 10:15:00+00:00,2202,1251,0
2020-07-03 10:15:00+00:00,2188,1263,0
2020-07-04 10:15:00+00:00,2164,1292,0
2020-07-05 10:15:00+00:00,2120,1321,0
2020-07-06 10:15:00+00:00,2103,1375,0
2020-07-07 10:15:00+00:00,2151,1324,0
2020-07-08 10:15:00+00:00,2200,1290,0
2020-07-09 10:15:00+00:00,2167,1309,0
2020-07-10 10:15:00+00:00,2169,1323,0
2020-07-11 10:15:00+00:00,2131,1343,0
2020-07-12 10:15:00+00:00,2083,1395,0
2020-07-13 10:15:00+00:00,2055,1425,0
2020-07-14 10:15:00+00:00,2115,1362,0
2020-07-15 10:15:00+00:00,2192,1272,0
2020-07-16 10:15:00+00:00,2195,1273,0
2020-07-17 10:15:00+00:00,2245,1276,0
2020-07-18 10:15:00+00:00,2210,1297,0
2020-07-19 10:15:00+00:00,2127,1380,0
2020-07-20 10:15:00+00:00,2157,1378,0
2020-07-21 10:15:00+00:00,2187,1329,0
2020-07-22 10:15:00+00:00,2186,1289,0
2020-07-23 10:15:00+00:00,2184,1268,0
2020-07-24 10:15:00+00:00,2184,1271,0
2020-07-25 10:15:00+00:00,2155,1276,0
2020-07-26 10:15:00+00:00,2098,1326,0
2020-07-27 10:15:00+00:00,2088,1359,0
2020-07-28 10:15:00+00:00,2151,1304,0
2020-07-29 10:15:00+00:00,2203,1252,0
2020-07-30 10:15:00+00:00,2169,1272,0
2020-07-31 10:15:00+00:00,2208,1211,0
2020-08-01 10:15:00+00:00,2146,1272,0
2020-08-02 10:15:00+00:00,2082,1351,0
2020-08-03 10:15:00+00:00,2036,1396,0
2020-08-04 10:15:00+00:00,2057,854,1476
2020-08-05 10:15:00+00:00,2127,808,1480
2020-08-06 10:15:00+00:00,2083,857,1449
2020-08-07 10:15:00+00:00,2117,821,1351
2020-08-08 10:15:00+00:00,2077,850,1357
2020-08-09 10:15:00+00:00,2038,884,1355
2020-08-10 10:15:00+00:00,2026,913,1359
2020-08-11 10:15:00+00:00,2098,847,1378
2020-08-12 10:15:00+00:00,2113,833,1377
2020-08-13 10:15:00+00:00,2137,791,1378
2020-08-14 10:15:00+00:00,2130,795,1355
2020-08-15 10:15:00+00:00,2114,799,1344
2020-08-16 10:15:00+00:00,2064,852,1344
2020-08-17 10:15:00+00:00,2050,856,1345
2020-08-18 10:15:00+00:00,2036,883,1336
2020-08-19 10:15:00+00:00,2096,829,1341
2020-08-20 10:15:00+00:00,2106,838,1340
2020-08-21 10:15:00+00:00,2090,852,1354
2020-08-22 10:15:00+00:00,2005,884,1371
2020-08-23 10:15:00+00:00,1965,922,1361
2020-08-24 10:15:00+00:00,1979,923,1373
2020-08-25 10:15:00+00:00,2057,848,1383
2020-08-26 10:15:00+00:00,2056,852,1386
2020-08-27 10:15:00+00:00,2076,810,1367
2020-08-28 10:15:00+00:00,2079,804,1368
