date,betten_belegt,betten_frei
2020-04-24,42,18
2020-04-25,45,18
2020-04-26,46,17
2020-04-27,46,16
2020-04-28,44,18
2020-04-29,45,17
2020-04-30,46,16
2020-05-01,48,14
2020-05-02,51,11
2020-05-03,49,13
2020-05-04,47,15
2020-05-05,46,16
2020-05-06,46,16
2020-05-07,49,13
2020-05-08,49,13
2020-05-09,46,18
2020-05-10,47,18
2020-05-11,45,17
2020-05-12,47,15
2020-05-13,46,16
2020-05-14,49,9
2020-05-15,48,8
2020-05-16,47,10
2020-05-17,45,11
2020-05-18,47,10
2020-05-19,45,11
2020-05-20,46,10
2020-05-21,45,12
2020-05-22,41,15
2020-05-23,46,10
2020-05-24,46,10
2020-05-25,47,9
2020-05-26,40,16
2020-05-27,43,13
2020-05-28,41,15
2020-05-29,40,16
2020-05-30,44,12
2020-05-31,44,12
2020-06-01,44,12
2020-06-02,43,13
2020-06-03,42,14
2020-06-04,40,16
2020-06-05,43,7
2020-06-06,42,11
2020-06-07,42,11
2020-06-08,39,14
2020-06-09,47,6
2020-06-10,46,7
2020-06-11,43,10
2020-06-12,40,13
2020-06-13,43,10
2020-06-14,41,12
2020-06-15,44,10
2020-06-16,45,8
2020-06-17,45,11
2020-06-18,47,10
2020-06-19,47,10
2020-06-20,46,14
2020-06-21,45,14
2020-06-22,45,11
2020-06-23,43,14
2020-06-24,42,14
2020-06-25,44,12
2020-06-26,45,12
2020-06-27,43,13
2020-06-28,46,11
2020-06-29,47,10
2020-06-30,43,14
2020-07-01,47,10
2020-07-02,46,11
2020-07-03,47,10
2020-07-04,46,11
2020-07-05,48,9
2020-07-06,46,10
2020-07-07,46,10
2020-07-08,45,11
2020-07-09,44,13
2020-07-10,40,16
2020-07-11,40,16
2020-07-12,41,15
2020-07-13,39,17
2020-07-14,38,18
2020-07-15,36,20
2020-07-16,41,17
2020-07-17,43,13
2020-07-18,38,18
2020-07-19,38,26
2020-07-20,40,18
2020-07-21,41,17
2020-07-22,42,17
2020-07-23,36,15
2020-07-24,35,20
2020-07-25,35,20
2020-07-26,40,18
2020-07-27,39,13
2020-07-28,37,14
2020-07-29,37,15
2020-07-30,41,13
2020-07-31,42,11
2020-08-01,41,11
2020-08-02,41,12
2020-08-03,41,12
2020-08-04,39,9
2020-08-05,43,5
2020-08-06,40,8
2020-08-07,40,8
2020-08-08,39,9
2020-08-09,39,9
2020-08-10,40,8
2020-08-11,39,12
2020-08-12,42,9
2020-08-13,42,9
2020-08-14,45,6
2020-08-15,46,5
2020-08-16,46,5
2020-08-17,46,5
2020-08-18,42,5
2020-08-19,42,5
2020-08-20,46,5
2020-08-21,41,10
2020-08-22,41,10
2020-08-23,40,11
2020-08-24,40,11
2020-08-25,41,10
2020-08-26,45,6
2020-08-27,43,8
2020-08-28,43,8
2020-08-29,42,9
2020-08-30,41,10
2020-08-31,43,8
2020-09-01,45,6
2020-09-02,42,9
2020-09-03,42,9
2020-09-04,50,1
2020-09-05,48,3
2020-09-06,46,5
2020-09-07,47,4
2020-09-08,50,1
2020-09-09,49,2
2020-09-10,44,5
2020-09-11,43,6
2020-09-12,40,9
2020-09-13,37,12
2020-09-14,37,12
2020-09-15,45,6
2020-09-16,47,4
2020-09-17,45,6
2020-09-18,43,8
2020-09-19,40,11
2020-09-20,40,11
2020-09-21,42,9
2020-09-22,44,7
2020-09-23,43,8
2020-09-24,47,4
2020-09-25,40,11
2020-09-26,37,14
2020-09-27,37,14
2020-09-28,40,11
2020-09-29,45,6
2020-09-30,39,12
2020-10-01,41,10
2020-10-02,43,8
2020-10-03,43,8
2020-10-04,41,10
2020-10-05,39,12
2020-10-06,40,11
2020-10-07,40,11
2020-10-08,39,8
2020-10-09,36,11
2020-10-10,34,13
2020-10-11,35,12
2020-10-12,33,14
2020-10-13,36,15
2020-10-14,39,12
2020-10-15,38,13
2020-10-16,37,14
2020-10-17,38,9
2020-10-18,39,9
2020-10-19,38,9
2020-10-20,34,13
2020-10-21,33,14
2020-10-22,35,12
2020-10-23,37,10
2020-10-24,38,9
2020-10-25,36,11
2020-10-26,36,12
2020-10-27,36,12
2020-10-28,38,10
2020-10-29,38,10
2020-10-30,38,10
2020-10-31,35,13
2020-11-01,34,14
2020-11-02,35,13
2020-11-03,41,7
2020-11-04,40,8
2020-11-05,39,9
2020-11-06,43,5
2020-11-07,41,7
2020-11-08,37,11
2020-11-09,35,13
2020-11-10,38,10
2020-11-11,42,6
2020-11-12,38,10
2020-11-13,39,9
2020-11-14,43,5
2020-11-15,43,5
2020-11-16,41,7
2020-11-17,43,6
2020-11-18,42,6
2020-11-19,44,4
2020-11-20,44,5
2020-11-21,44,5
2020-11-22,44,5
2020-11-23,47,3
2020-11-24,46,4
2020-11-25,46,4
2020-11-26,47,3
2020-11-27,41,9
2020-11-28,36,14
2020-11-29,38,12
2020-11-30,40,10
2020-12-01,44,6
2020-12-02,43,7
2020-12-03,42,5
2020-12-04,43,4
2020-12-05,43,4
2020-12-06,45,2
2020-12-07,41,6
2020-12-08,41,6
2020-12-09,41,6
2020-12-10,41,6
2020-12-11,45,2
2020-12-12,42,5
2020-12-13,40,7
2020-12-14,41,6
2020-12-15,40,6
2020-12-16,35,10
2020-12-17,39,4
2020-12-18,33,7
2020-12-19,32,8
2020-12-20,32,8
2020-12-21,32,8
2020-12-22,32,8
2020-12-23,33,7
2020-12-24,36,4
2020-12-25,37,3
2020-12-26,35,5
2020-12-27,37,3
2020-12-28,40,0
2020-12-29,38,2
2020-12-30,34,6
2020-12-31,37,3
2021-01-01,39,1
2021-01-02,38,2
2021-01-03,39,1
2021-01-04,38,2
2021-01-05,38,2
2021-01-06,39,1
2021-01-07,39,1
2021-01-08,40,0
2021-01-09,32,8
2021-01-10,36,4
2021-01-11,39,1
2021-01-12,36,4
2021-01-13,36,4
2021-01-14,38,2
2021-01-15,39,1
2021-01-16,40,0
2021-01-17,40,0
2021-01-18,39,1
2021-01-19,37,3
2021-01-20,39,1
2021-01-21,39,1
2021-01-22,38,2
2021-01-23,37,3
2021-01-24,37,3
2021-01-25,39,1
2021-01-26,39,1
2021-01-27,37,3
2021-01-28,39,1
2021-01-29,37,3
2021-01-30,37,3
2021-01-31,36,4
2021-02-01,38,2
2021-02-02,35,5
2021-02-03,38,2
2021-02-04,36,4
2021-02-05,33,7
