date,betten_belegt,betten_frei
2020-04-24,15,9
2020-04-25,15,9
2020-04-26,17,6
2020-04-27,14,9
2020-04-28,18,6
2020-04-29,16,8
2020-04-30,14,9
2020-05-01,13,10
2020-05-02,9,14
2020-05-03,11,12
2020-05-04,13,10
2020-05-05,15,9
2020-05-06,13,11
2020-05-07,12,12
2020-05-08,11,13
2020-05-09,13,11
2020-05-10,11,12
2020-05-11,10,13
2020-05-12,14,9
2020-05-13,12,8
2020-05-14,9,14
2020-05-15,13,7
2020-05-16,11,10
2020-05-17,12,10
2020-05-18,10,12
2020-05-19,9,14
2020-05-20,11,13
2020-05-21,12,12
2020-05-22,12,12
2020-05-23,11,13
2020-05-24,10,14
2020-05-25,12,12
2020-05-26,11,13
2020-05-27,10,14
2020-05-28,10,14
2020-05-29,10,14
2020-05-30,11,13
2020-05-31,11,13
2020-06-01,10,14
2020-06-02,11,13
2020-06-03,11,13
2020-06-04,12,12
2020-06-05,11,13
2020-06-06,11,13
2020-06-07,11,13
2020-06-08,11,13
2020-06-09,17,16
2020-06-10,17,16
2020-06-11,17,16
2020-06-12,17,16
2020-06-13,18,15
2020-06-14,18,15
2020-06-15,19,14
2020-06-16,19,14
2020-06-17,16,17
2020-06-18,17,16
2020-06-19,16,18
2020-06-20,14,19
2020-06-21,17,16
2020-06-22,16,17
2020-06-23,15,18
2020-06-24,17,16
2020-06-25,14,19
2020-06-26,15,18
2020-06-27,17,16
2020-06-28,16,17
2020-06-29,17,16
2020-06-30,16,17
2020-07-01,17,16
2020-07-02,14,19
2020-07-03,16,17
2020-07-04,16,17
2020-07-05,15,18
2020-07-06,15,18
2020-07-07,17,16
2020-07-08,16,17
2020-07-09,15,18
2020-07-10,16,17
2020-07-11,17,16
2020-07-12,16,17
2020-07-13,12,21
2020-07-14,16,17
2020-07-15,16,17
2020-07-16,17,16
2020-07-17,16,13
2020-07-18,17,16
2020-07-19,16,17
2020-07-20,17,16
2020-07-21,15,18
2020-07-22,16,17
2020-07-23,17,16
2020-07-24,22,12
2020-07-25,19,15
2020-07-26,18,16
2020-07-27,21,13
2020-07-28,19,15
2020-07-29,18,16
2020-07-30,20,14
2020-07-31,18,16
2020-08-01,18,16
2020-08-02,20,14
2020-08-03,20,14
2020-08-04,20,6
2020-08-05,22,4
2020-08-06,21,5
2020-08-07,19,7
2020-08-08,17,9
2020-08-09,16,10
2020-08-10,17,9
2020-08-11,15,11
2020-08-12,17,9
2020-08-13,13,13
2020-08-14,16,10
2020-08-15,19,7
2020-08-16,19,7
2020-08-17,20,6
2020-08-18,19,7
2020-08-19,18,8
2020-08-20,20,6
2020-08-21,19,7
2020-08-22,19,7
2020-08-23,20,6
2020-08-24,18,8
2020-08-25,20,6
2020-08-26,20,6
2020-08-27,19,7
2020-08-28,20,6
2020-08-29,20,6
2020-08-30,17,9
2020-08-31,18,9
2020-09-01,17,10
2020-09-02,20,7
2020-09-03,20,7
2020-09-04,16,11
2020-09-05,18,8
2020-09-06,15,11
2020-09-07,15,11
2020-09-08,19,7
2020-09-09,18,8
2020-09-10,18,8
2020-09-11,17,9
2020-09-12,16,10
2020-09-13,16,10
2020-09-14,16,10
2020-09-15,19,7
2020-09-16,16,10
2020-09-17,21,5
2020-09-18,22,4
2020-09-19,20,6
2020-09-20,20,6
2020-09-21,21,5
2020-09-22,21,5
2020-09-23,19,7
2020-09-24,19,7
2020-09-25,20,6
2020-09-26,19,7
2020-09-27,19,7
2020-09-28,19,7
2020-09-29,19,7
2020-09-30,19,7
2020-10-01,18,8
2020-10-02,19,7
2020-10-03,19,7
2020-10-04,19,7
2020-10-05,15,11
2020-10-06,16,10
2020-10-07,19,7
2020-10-08,16,10
2020-10-09,12,14
2020-10-10,14,12
2020-10-11,17,9
2020-10-12,18,8
2020-10-13,18,8
2020-10-14,17,9
2020-10-15,18,8
2020-10-16,19,7
2020-10-17,20,6
2020-10-18,19,7
2020-10-19,20,6
2020-10-20,17,9
2020-10-21,18,4
2020-10-22,17,5
2020-10-23,17,5
2020-10-24,14,5
2020-10-25,18,4
2020-10-26,17,5
2020-10-27,21,1
2020-10-28,21,1
2020-10-29,22,0
2020-10-30,22,0
2020-10-31,21,1
2020-11-01,19,3
2020-11-02,17,5
2020-11-03,20,2
2020-11-04,19,3
2020-11-05,20,2
2020-11-06,20,2
2020-11-07,22,0
2020-11-08,20,2
2020-11-09,20,2
2020-11-10,22,0
2020-11-11,21,1
2020-11-12,20,2
2020-11-13,19,3
2020-11-14,17,5
2020-11-15,17,3
2020-11-16,17,3
2020-11-17,16,6
2020-11-18,15,7
2020-11-19,20,2
2020-11-20,21,1
2020-11-21,21,1
2020-11-22,21,1
2020-11-23,18,4
2020-11-24,17,5
2020-11-25,18,4
2020-11-26,18,4
2020-11-27,18,4
2020-11-28,18,4
2020-11-29,18,4
2020-11-30,19,3
2020-12-01,19,3
2020-12-02,19,3
2020-12-03,19,3
2020-12-04,19,3
2020-12-05,18,4
2020-12-06,17,5
2020-12-07,14,8
2020-12-08,10,7
2020-12-09,11,6
2020-12-10,13,4
2020-12-11,11,6
2020-12-12,11,6
2020-12-13,10,7
2020-12-14,10,12
2020-12-15,9,13
2020-12-16,9,13
2020-12-17,9,13
2020-12-18,9,13
2020-12-19,10,12
2020-12-20,10,12
2020-12-21,13,9
2020-12-22,15,7
2020-12-23,16,6
2020-12-24,16,6
2020-12-25,16,6
2020-12-26,17,5
2020-12-27,17,5
2020-12-28,18,4
2020-12-29,17,5
2020-12-30,20,2
2020-12-31,17,5
2021-01-01,16,6
2021-01-02,17,5
2021-01-03,15,7
2021-01-04,17,5
2021-01-05,16,6
2021-01-06,15,7
2021-01-07,16,6
2021-01-08,15,7
2021-01-09,18,4
2021-01-10,12,10
2021-01-11,14,8
2021-01-12,15,7
2021-01-13,16,6
2021-01-14,17,5
2021-01-15,18,4
2021-01-16,15,5
2021-01-17,15,5
2021-01-18,15,7
2021-01-19,15,7
2021-01-20,15,7
2021-01-21,12,9
2021-01-22,15,7
2021-01-23,13,9
2021-01-24,14,8
2021-01-25,12,10
2021-01-26,14,8
2021-01-27,14,8
2021-01-28,15,7
2021-01-29,15,7
2021-01-30,16,6
2021-01-31,17,5
2021-02-01,17,5
2021-02-02,18,4
2021-02-03,17,5
2021-02-04,13,7
2021-02-05,16,4
2021-02-06,13,7
2021-02-07,13,7
2021-02-08,15,6
2021-02-09,18,4
2021-02-10,18,4
2021-02-11,17,5
2021-02-12,18,4
2021-02-13,18,4
2021-02-14,16,6
2021-02-15,14,8
2021-02-16,15,7
2021-02-17,14,8
