date,betten_belegt,betten_frei
2020-04-24,9,9
2020-04-24,32,27
2020-04-25,29,30
2020-04-25,9,9
2020-04-26,9,9
2020-04-26,24,34
2020-04-27,8,10
2020-04-27,26,32
2020-04-28,7,11
2020-04-28,26,32
2020-04-29,8,10
2020-04-29,24,36
2020-04-30,7,10
2020-04-30,24,36
2020-05-01,21,37
2020-05-01,4,13
2020-05-02,22,36
2020-05-02,4,13
2020-05-03,26,31
2020-05-03,8,9
2020-05-04,6,10
2020-05-04,25,32
2020-05-05,23,36
2020-05-05,5,11
2020-05-06,30,28
2020-05-06,6,11
2020-05-07,32,26
2020-05-07,9,8
2020-05-08,35,24
2020-05-08,8,9
2020-05-09,8,9
2020-05-09,38,22
2020-05-10,7,10
2020-05-10,37,23
2020-05-11,39,21
2020-05-11,9,8
2020-05-12,42,20
2020-05-12,9,8
2020-05-13,39,21
2020-05-13,10,7
2020-05-14,36,24
2020-05-14,8,9
2020-05-15,5,12
2020-05-15,35,25
2020-05-16,34,26
2020-05-16,5,12
2020-05-17,38,22
2020-05-17,5,12
2020-05-18,8,9
2020-05-18,33,25
2020-05-19,35,23
2020-05-19,10,8
2020-05-20,5,13
2020-05-20,36,22
2020-05-21,6,12
2020-05-21,36,21
2020-05-22,5,13
2020-05-22,31,27
2020-05-23,7,11
2020-05-23,30,28
2020-05-24,5,13
2020-05-24,29,29
2020-05-25,25,33
2020-05-25,4,14
2020-05-26,9,9
2020-05-26,29,29
2020-05-27,12,6
2020-05-27,30,28
2020-05-28,35,23
2020-05-28,5,13
2020-05-29,35,23
2020-05-29,8,11
2020-05-30,35,21
2020-05-30,9,10
2020-05-31,34,22
2020-05-31,7,12
2020-06-01,33,23
2020-06-01,7,12
2020-06-02,32,26
2020-06-02,7,12
2020-06-03,35,23
2020-06-03,9,10
2020-06-04,29,29
2020-06-04,10,9
2020-06-05,9,10
2020-06-05,38,20
2020-06-06,8,11
2020-06-06,34,21
2020-06-07,31,25
2020-06-07,7,10
2020-06-08,31,27
2020-06-08,6,13
2020-06-09,28,30
2020-06-09,5,14
2020-06-10,5,15
2020-06-10,29,29
2020-06-11,5,15
2020-06-11,32,24
2020-06-12,27,33
2020-06-12,4,16
2020-06-13,26,31
2020-06-13,3,15
2020-06-14,27,29
2020-06-14,4,15
2020-06-15,24,32
2020-06-15,6,13
2020-06-16,5,15
2020-06-16,25,33
2020-06-17,6,14
2020-06-17,31,24
2020-06-18,31,26
2020-06-18,9,9
2020-06-19,30,27
2020-06-19,8,9
2020-06-20,26,33
2020-06-20,8,8
2020-06-21,30,30
2020-06-21,8,8
2020-06-22,27,31
2020-06-22,7,10
2020-06-23,30,27
2020-06-23,10,7
2020-06-24,20,38
2020-06-24,11,5
2020-06-25,27,33
2020-06-25,12,4
2020-06-26,30,30
2020-06-26,11,5
2020-06-27,10,5
2020-06-27,29,31
2020-06-28,26,34
2020-06-28,9,6
2020-06-29,9,8
2020-06-29,27,33
2020-06-30,26,34
2020-06-30,5,13
2020-07-01,26,34
2020-07-01,8,9
2020-07-02,9,9
2020-07-02,29,27
2020-07-03,34,23
2020-07-03,10,8
2020-07-04,27,31
2020-07-04,10,7
2020-07-05,30,26
2020-07-05,10,7
2020-07-06,10,9
2020-07-06,28,28
2020-07-07,9,10
2020-07-07,33,22
2020-07-08,9,10
2020-07-08,40,16
2020-07-09,41,15
2020-07-09,5,4
2020-07-10,42,15
2020-07-10,4,5
2020-07-11,3,4
2020-07-11,39,19
2020-07-12,4,3
2020-07-12,35,22
2020-07-13,38,20
2020-07-13,10,5
2020-07-14,44,16
2020-07-14,9,8
2020-07-15,40,20
2020-07-15,9,6
2020-07-16,37,23
2020-07-16,11,5
2020-07-17,12,4
2020-07-17,39,20
2020-07-18,30,29
2020-07-18,10,6
2020-07-19,32,27
2020-07-19,11,5
2020-07-20,28,31
2020-07-20,9,7
2020-07-21,35,21
2020-07-21,9,7
2020-07-22,11,5
2020-07-22,37,19
2020-07-23,12,6
2020-07-23,38,18
2020-07-24,38,19
2020-07-24,12,6
2020-07-25,39,18
2020-07-25,12,4
2020-07-26,12,4
2020-07-26,35,21
2020-07-27,12,4
2020-07-27,32,24
2020-07-28,28,28
2020-07-28,12,4
2020-07-29,36,21
2020-07-29,3,4
2020-07-30,4,3
2020-07-30,40,20
2020-07-31,7,2
2020-07-31,42,19
2020-08-01,11,6
2020-08-01,42,19
2020-08-02,37,21
2020-08-02,10,7
2020-08-03,10,7
2020-08-03,33,25
2020-08-04,38,24
2020-08-04,10,6
2020-08-05,36,24
2020-08-05,11,5
2020-08-06,35,25
2020-08-06,10,6
2020-08-07,10,6
2020-08-07,33,25
2020-08-08,12,4
2020-08-08,31,27
2020-08-09,29,31
2020-08-09,8,8
2020-08-10,27,32
2020-08-10,10,6
2020-08-11,28,31
2020-08-11,10,6
2020-08-12,11,5
2020-08-12,32,26
2020-08-13,13,3
2020-08-13,33,24
2020-08-14,27,31
2020-08-14,12,4
2020-08-15,32,26
2020-08-15,12,4
2020-08-16,30,28
2020-08-16,12,4
2020-08-17,13,3
2020-08-17,32,26
2020-08-18,11,5
2020-08-18,29,29
2020-08-19,26,32
2020-08-19,13,3
2020-08-20,35,26
2020-08-20,13,3
2020-08-21,33,27
2020-08-21,11,5
2020-08-22,11,5
2020-08-22,31,28
2020-08-23,11,5
2020-08-23,32,26
2020-08-24,30,28
2020-08-24,11,5
2020-08-25,31,28
2020-08-25,11,5
2020-08-26,10,6
2020-08-26,30,29
2020-08-27,30,29
2020-08-27,11,5
2020-08-28,11,5
2020-08-28,31,28
2020-08-29,11,5
2020-08-29,32,27
2020-08-30,34,24
2020-08-30,11,5
2020-08-31,28,30
2020-08-31,4,3
2020-09-01,28,30
2020-09-01,4,3
2020-09-02,8,9
2020-09-02,31,27
2020-09-03,7,9
2020-09-03,36,22
2020-09-04,37,21
2020-09-04,7,9
2020-09-05,36,22
2020-09-05,6,10
2020-09-06,37,22
2020-09-06,4,12
2020-09-07,2,14
2020-09-07,39,20
2020-09-08,2,14
2020-09-08,34,25
2020-09-09,36,23
2020-09-09,6,10
2020-09-10,38,21
2020-09-10,6,10
2020-09-11,44,16
2020-09-11,7,9
2020-09-12,6,10
2020-09-12,40,20
2020-09-13,6,10
2020-09-13,42,20
2020-09-14,42,20
2020-09-14,5,2
2020-09-15,37,25
2020-09-15,3,4
2020-09-16,37,20
2020-09-16,8,8
2020-09-17,40,18
2020-09-17,9,7
2020-09-18,8,8
2020-09-18,37,20
2020-09-19,35,22
2020-09-19,8,8
2020-09-20,37,21
2020-09-20,10,6
2020-09-21,8,8
2020-09-21,40,17
2020-09-22,36,21
2020-09-22,8,8
2020-09-23,38,20
2020-09-23,4,3
2020-09-24,3,4
2020-09-24,44,16
2020-09-25,5,2
2020-09-25,50,11
2020-09-26,46,14
2020-09-26,7,0
2020-09-27,6,1
2020-09-27,37,22
2020-09-28,38,22
2020-09-28,5,2
2020-09-29,35,24
2020-09-29,5,2
2020-09-30,7,0
2020-09-30,33,26
2020-10-01,38,21
2020-10-01,5,2
2020-10-02,5,2
2020-10-02,34,25
2020-10-03,37,22
2020-10-03,6,1
2020-10-04,35,23
2020-10-04,5,2
2020-10-05,6,1
2020-10-05,38,21
2020-10-06,36,23
2020-10-06,5,2
2020-10-07,38,22
2020-10-07,5,2
2020-10-08,40,19
2020-10-08,4,3
2020-10-09,5,2
2020-10-09,42,16
2020-10-10,43,15
2020-10-10,5,2
2020-10-11,40,20
2020-10-11,5,2
2020-10-12,41,22
2020-10-12,5,2
2020-10-13,35,27
2020-10-13,5,2
2020-10-14,4,3
2020-10-14,39,23
2020-10-15,8,8
2020-10-15,41,22
2020-10-16,43,21
2020-10-16,8,8
2020-10-17,43,21
2020-10-17,8,8
2020-10-18,36,26
2020-10-18,8,8
2020-10-19,6,10
2020-10-19,36,25
2020-10-20,41,21
2020-10-20,7,9
2020-10-21,43,18
2020-10-21,7,9
2020-10-22,45,15
2020-10-22,3,13
2020-10-23,43,18
2020-10-23,3,13
2020-10-24,4,12
2020-10-24,40,19
2020-10-25,5,11
2020-10-25,39,19
2020-10-26,36,22
2020-10-26,5,11
2020-10-27,41,17
2020-10-27,10,6
2020-10-28,10,6
2020-10-28,41,17
2020-10-29,44,17
2020-10-29,9,7
2020-10-30,9,7
2020-10-30,42,18
2020-10-31,36,22
2020-10-31,9,7
2020-11-01,44,18
2020-11-01,8,8
2020-11-02,8,8
2020-11-02,38,20
2020-11-03,7,9
2020-11-03,34,24
2020-11-04,33,25
2020-11-04,8,8
2020-11-05,36,22
2020-11-05,8,8
2020-11-06,9,7
2020-11-06,39,18
2020-11-07,39,18
2020-11-07,7,9
