date,betten_belegt,betten_frei
2020-04-24,30,34
2020-04-25,33,31
2020-04-26,33,31
2020-04-27,32,32
2020-04-28,38,26
2020-04-29,38,26
2020-04-30,36,28
2020-05-01,36,28
2020-05-02,35,29
2020-05-03,32,29
2020-05-04,37,27
2020-05-05,40,26
2020-05-06,38,31
2020-05-07,38,31
2020-05-08,39,25
2020-05-09,35,29
2020-05-10,34,26
2020-05-11,40,24
2020-05-12,41,21
2020-05-13,43,21
2020-05-14,43,19
2020-05-15,48,15
2020-05-16,48,16
2020-05-17,50,14
2020-05-18,46,18
2020-05-19,43,21
2020-05-20,44,20
2020-05-21,44,29
2020-05-22,44,33
2020-05-23,39,26
2020-05-24,43,21
2020-05-25,42,22
2020-05-26,44,20
2020-05-27,45,18
2020-05-28,47,17
2020-05-29,44,20
2020-05-30,45,19
2020-05-31,44,20
2020-06-01,40,24
2020-06-02,40,24
2020-06-03,44,20
2020-06-04,48,17
2020-06-05,45,19
2020-06-06,45,17
2020-06-07,43,21
2020-06-08,42,22
2020-06-09,41,23
2020-06-10,45,19
2020-06-11,47,17
2020-06-12,47,17
2020-06-13,43,21
2020-06-14,43,20
2020-06-15,45,19
2020-06-16,49,15
2020-06-17,49,15
2020-06-18,42,22
2020-06-19,38,26
2020-06-20,36,28
2020-06-21,36,28
2020-06-22,40,24
2020-06-23,40,24
2020-06-24,39,25
2020-06-25,37,27
2020-06-26,39,25
2020-06-27,42,22
2020-06-28,40,24
2020-06-29,40,24
2020-06-30,40,24
2020-07-01,34,30
2020-07-02,40,24
2020-07-03,39,25
2020-07-04,39,25
2020-07-05,38,26
2020-07-06,38,26
2020-07-07,38,25
2020-07-08,34,30
2020-07-09,34,31
2020-07-10,30,35
2020-07-11,31,33
2020-07-12,36,28
2020-07-13,36,28
2020-07-14,42,22
2020-07-15,43,21
2020-07-16,40,24
2020-07-17,41,23
2020-07-18,41,23
2020-07-19,40,24
2020-07-20,40,24
2020-07-21,38,26
2020-07-22,38,26
2020-07-23,42,22
2020-07-24,44,20
2020-07-25,40,24
2020-07-26,43,21
2020-07-27,41,23
2020-07-28,44,20
2020-07-29,40,24
2020-07-30,37,27
2020-07-31,38,26
2020-08-01,50,14
2020-08-02,49,15
2020-08-03,45,19
2020-08-04,41,22
2020-08-05,48,24
2020-08-06,46,26
2020-08-07,50,22
2020-08-08,53,19
2020-08-09,52,20
2020-08-10,52,20
2020-08-11,47,25
2020-08-12,46,26
2020-08-13,41,31
2020-08-14,43,29
2020-08-15,41,28
2020-08-16,42,27
2020-08-17,47,24
2020-08-18,44,27
2020-08-19,41,30
2020-08-20,36,38
2020-08-21,44,30
2020-08-22,42,32
2020-08-23,42,32
2020-08-24,45,29
2020-08-25,43,28
2020-08-26,46,25
2020-08-27,50,21
2020-08-28,51,20
2020-08-29,48,23
2020-08-30,49,22
2020-08-31,41,28
2020-09-01,45,27
2020-09-02,42,26
2020-09-03,40,28
2020-09-04,41,27
2020-09-05,40,26
2020-09-06,42,26
2020-09-07,39,29
2020-09-08,41,27
2020-09-09,47,21
2020-09-10,47,21
