date,betten_belegt,betten_frei
2020-04-24,51,12
2020-04-24,5,5
2020-04-25,53,10
2020-04-25,4,6
2020-04-26,54,9
2020-04-26,4,6
2020-04-27,54,9
2020-04-27,4,6
2020-04-28,4,6
2020-04-28,52,10
2020-04-29,50,13
2020-04-29,4,6
2020-04-30,5,5
2020-04-30,50,13
2020-05-01,51,10
2020-05-01,5,5
2020-05-02,51,10
2020-05-02,5,5
2020-05-03,49,13
2020-05-03,4,6
2020-05-04,5,5
2020-05-04,49,13
2020-05-05,55,8
2020-05-05,4,6
2020-05-06,55,8
2020-05-06,4,6
2020-05-07,56,7
2020-05-07,2,7
2020-05-08,52,11
2020-05-08,3,6
2020-05-09,4,5
2020-05-09,53,10
2020-05-10,53,10
2020-05-10,5,4
2020-05-11,55,8
2020-05-11,5,4
2020-05-12,54,10
2020-05-12,5,4
2020-05-13,52,11
2020-05-13,3,6
2020-05-14,50,13
2020-05-14,2,7
2020-05-15,2,7
2020-05-15,53,10
2020-05-16,51,12
2020-05-16,3,6
2020-05-17,49,14
2020-05-17,3,6
2020-05-18,3,6
2020-05-18,50,13
2020-05-19,4,5
2020-05-19,47,16
2020-05-20,3,6
2020-05-20,46,17
2020-05-21,2,7
2020-05-21,43,20
2020-05-22,2,7
2020-05-22,43,20
2020-05-23,1,8
2020-05-23,44,19
2020-05-24,44,19
2020-05-24,2,7
2020-05-25,45,18
2020-05-25,2,7
2020-05-26,42,21
2020-05-26,2,7
2020-05-27,2,7
2020-05-27,47,16
2020-05-28,50,13
2020-05-28,3,6
2020-05-29,48,12
2020-05-29,5,4
2020-05-30,39,16
2020-05-30,4,5
2020-05-31,42,13
2020-05-31,4,5
2020-06-01,46,9
2020-06-01,5,4
2020-06-02,46,9
2020-06-02,3,6
2020-06-03,43,13
2020-06-03,3,6
2020-06-04,49,8
2020-06-04,4,5
2020-06-05,47,8
2020-06-05,2,7
2020-06-06,3,6
2020-06-06,47,8
2020-06-07,44,11
2020-06-07,1,8
2020-06-08,39,16
2020-06-08,0,9
2020-06-09,46,9
2020-06-09,2,7
2020-06-10,50,5
2020-06-10,1,8
2020-06-11,48,7
2020-06-11,3,6
2020-06-12,42,13
2020-06-12,6,3
2020-06-13,44,11
2020-06-13,2,7
2020-06-14,43,12
2020-06-14,2,7
2020-06-15,44,11
2020-06-15,1,8
2020-06-16,50,5
2020-06-16,3,6
2020-06-17,2,7
2020-06-17,50,5
2020-06-18,48,7
2020-06-18,4,5
2020-06-19,48,7
2020-06-19,3,6
2020-06-20,48,7
2020-06-20,2,7
2020-06-21,47,11
2020-06-21,3,6
2020-06-22,49,9
2020-06-22,2,7
2020-06-23,51,7
2020-06-23,5,2
2020-06-24,52,6
2020-06-24,2,7
2020-06-25,49,6
2020-06-25,4,5
2020-06-26,50,5
2020-06-26,5,4
2020-06-27,52,6
2020-06-27,5,4
2020-06-28,4,5
2020-06-28,51,6
2020-06-29,49,7
2020-06-29,4,5
2020-06-30,52,6
2020-06-30,2,7
2020-07-01,2,7
2020-07-01,52,5
2020-07-02,3,6
2020-07-02,50,7
2020-07-03,50,8
2020-07-03,5,4
2020-07-04,51,8
2020-07-04,3,6
2020-07-05,46,12
2020-07-05,3,6
2020-07-06,46,12
2020-07-06,3,6
2020-07-07,48,10
2020-07-07,4,5
2020-07-08,45,13
2020-07-08,4,5
2020-07-09,45,13
2020-07-09,4,5
2020-07-10,54,4
2020-07-10,4,5
2020-07-11,54,4
2020-07-11,4,5
2020-07-12,52,6
2020-07-12,5,4
2020-07-13,53,5
2020-07-13,4,5
2020-07-14,50,8
2020-07-14,4,5
2020-07-15,55,3
2020-07-15,6,3
2020-07-16,55,3
2020-07-16,3,6
2020-07-17,60,1
2020-07-17,4,5
2020-07-18,58,0
2020-07-18,3,6
2020-07-19,57,2
2020-07-19,3,6
2020-07-20,4,5
2020-07-20,57,2
2020-07-21,53,6
2020-07-21,4,5
2020-07-22,54,5
2020-07-22,5,4
2020-07-23,5,2
2020-07-23,55,3
2020-07-24,55,4
2020-07-24,4,5
2020-07-25,53,5
2020-07-25,5,4
2020-07-26,51,6
2020-07-26,5,4
2020-07-27,53,6
2020-07-27,5,4
2020-07-28,52,7
2020-07-28,6,3
2020-07-29,57,3
2020-07-29,3,6
2020-07-30,53,2
2020-07-30,2,7
2020-07-31,3,6
2020-07-31,57,2
2020-08-01,53,4
2020-08-01,3,6
2020-08-02,55,2
2020-08-02,5,4
2020-08-03,3,6
2020-08-03,56,2
2020-08-04,55,3
2020-08-04,2,5
2020-08-05,51,4
2020-08-05,5,2
2020-08-06,49,7
2020-08-06,4,3
2020-08-07,47,9
2020-08-07,3,4
2020-08-08,4,3
2020-08-08,49,11
2020-08-09,50,11
2020-08-09,2,5
2020-08-10,53,6
2020-08-10,4,3
2020-08-11,54,5
2020-08-11,4,3
2020-08-12,50,9
2020-08-12,2,5
2020-08-13,2,5
2020-08-13,49,10
2020-08-14,52,8
2020-08-14,2,5
2020-08-15,54,6
2020-08-15,2,5
2020-08-16,51,8
2020-08-16,1,6
2020-08-17,50,9
2020-08-17,3,4
2020-08-18,49,12
2020-08-18,3,4
2020-08-19,54,7
2020-08-19,5,2
2020-08-20,54,7
2020-08-20,6,1
2020-08-21,56,13
2020-08-21,5,0
2020-08-22,52,16
2020-08-22,6,0
2020-08-23,49,19
2020-08-23,5,0
2020-08-24,53,15
2020-08-24,4,1
2020-08-25,53,15
2020-08-25,5,0
2020-08-26,58,11
2020-08-26,5,0
2020-08-27,58,11
2020-08-27,3,2
2020-08-28,57,11
2020-08-28,4,1
2020-08-29,6,1
2020-08-29,53,15
2020-08-30,52,16
2020-08-30,3,4
2020-08-31,52,16
2020-08-31,3,4
2020-09-01,53,15
2020-09-01,3,4
2020-09-02,48,20
2020-09-02,2,5
2020-09-03,1,6
2020-09-03,57,11
2020-09-04,55,13
2020-09-04,2,5
2020-09-05,58,10
2020-09-05,2,5
2020-09-06,57,12
2020-09-06,3,4
2020-09-07,59,9
2020-09-07,2,5
2020-09-08,59,11
2020-09-08,3,4
2020-09-09,58,12
2020-09-09,2,5
2020-09-10,52,17
2020-09-10,4,3
2020-09-11,47,23
2020-09-11,5,0
2020-09-12,52,18
2020-09-12,4,1
2020-09-13,47,23
2020-09-13,4,1
2020-09-14,54,14
2020-09-14,4,1
2020-09-15,55,15
2020-09-15,4,1
2020-09-16,54,16
2020-09-16,2,3
2020-09-17,54,16
2020-09-17,4,1
2020-09-18,59,11
2020-09-18,4,1
2020-09-19,57,13
2020-09-19,1,6
2020-09-20,58,13
2020-09-20,2,5
2020-09-21,57,14
2020-09-21,1,6
2020-09-22,2,5
2020-09-22,55,15
2020-09-23,58,12
2020-09-23,2,5
2020-09-24,56,12
2020-09-24,2,5
2020-09-25,57,9
2020-09-25,2,5
2020-09-26,56,10
2020-09-26,2,5
2020-09-27,3,4
2020-09-27,53,15
2020-09-28,52,14
2020-09-28,2,5
2020-09-29,54,12
2020-09-29,1,6
2020-09-30,2,5
2020-09-30,55,12
2020-10-01,3,4
2020-10-01,57,9
2020-10-02,48,20
2020-10-02,2,5
2020-10-03,55,12
2020-10-03,2,5
2020-10-04,54,13
2020-10-04,3,4
2020-10-05,52,16
2020-10-05,3,2
2020-10-06,57,11
2020-10-06,4,3
2020-10-07,52,17
2020-10-07,4,3
2020-10-08,56,12
2020-10-08,2,5
2020-10-09,58,10
2020-10-09,1,6
2020-10-10,56,11
2020-10-10,1,6
2020-10-11,52,15
2020-10-11,2,5
2020-10-12,4,1
2020-10-12,50,17
2020-10-13,51,16
2020-10-13,5,2
2020-10-14,54,15
2020-10-14,5,2
2020-10-15,3,4
2020-10-15,57,9
2020-10-16,3,4
2020-10-16,61,4
2020-10-17,56,9
2020-10-17,5,2
2020-10-18,52,13
2020-10-18,4,3
2020-10-19,52,12
2020-10-19,4,3
2020-10-20,57,7
2020-10-20,4,3
2020-10-21,56,8
2020-10-21,3,4
2020-10-22,55,8
2020-10-22,3,4
2020-10-23,57,7
2020-10-23,2,5
2020-10-24,57,7
2020-10-24,1,6
2020-10-25,58,6
2020-10-25,1,6
2020-10-26,56,9
2020-10-26,2,5
2020-10-27,60,5
2020-10-27,3,4
2020-10-28,59,6
2020-10-28,2,5
2020-10-29,60,5
2020-10-29,4,3
2020-10-30,54,11
2020-10-30,5,2
2020-10-31,2,5
2020-10-31,53,10
2020-11-01,4,3
2020-11-01,57,8
2020-11-02,59,8
2020-11-02,4,3
2020-11-03,57,9
2020-11-03,4,3
2020-11-04,46,16
2020-11-04,2,5
2020-11-05,55,10
2020-11-05,1,6
2020-11-06,2,5
2020-11-06,49,16
2020-11-07,52,13
2020-11-07,3,4
2020-11-08,53,12
2020-11-08,4,3
2020-11-09,54,14
2020-11-09,4,3
2020-11-10,58,9
2020-11-10,5,2
2020-11-11,53,16
2020-11-11,5,2
2020-11-12,52,15
2020-11-12,6,1
2020-11-13,54,13
2020-11-13,4,3
2020-11-14,53,11
2020-11-14,6,1
2020-11-15,50,14
2020-11-15,5,2
2020-11-16,53,11
2020-11-16,5,2
2020-11-17,55,11
2020-11-17,4,3
2020-11-18,55,12
2020-11-18,3,4
2020-11-19,55,11
2020-11-19,2,5
2020-11-20,50,13
2020-11-20,4,3
2020-11-21,3,4
2020-11-21,49,15
2020-11-22,53,9
2020-11-22,2,5
2020-11-23,51,11
2020-11-23,4,3
2020-11-24,4,3
2020-11-24,47,15
2020-11-25,53,11
2020-11-25,5,2
2020-11-26,52,11
2020-11-26,6,1
2020-11-27,6,1
2020-11-27,55,7
2020-11-28,55,9
2020-11-28,4,3
2020-11-29,3,4
2020-11-29,51,12
2020-11-30,52,10
2020-11-30,3,4
2020-12-01,55,7
2020-12-01,4,3
2020-12-02,3,4
2020-12-02,53,9
2020-12-03,3,4
2020-12-03,57,6
2020-12-04,53,9
2020-12-04,3,4
2020-12-05,51,8
2020-12-05,3,4
2020-12-06,53,8
2020-12-06,2,5
2020-12-07,56,8
2020-12-07,2,5
2020-12-08,59,5
2020-12-08,1,6
2020-12-09,58,4
2020-12-09,2,5
2020-12-10,56,8
2020-12-10,3,4
2020-12-11,58,7
2020-12-11,6,1
2020-12-12,53,13
2020-12-12,3,4
2020-12-13,50,16
2020-12-13,3,4
2020-12-14,5,2
2020-12-14,50,14
2020-12-15,53,12
2020-12-15,4,3
2020-12-16,56,9
2020-12-16,3,4
2020-12-17,3,4
2020-12-17,58,6
2020-12-18,2,5
2020-12-18,59,6
2020-12-19,57,9
2020-12-19,2,5
2020-12-20,54,12
2020-12-20,3,4
2020-12-21,54,13
2020-12-21,3,4
2020-12-22,54,13
2020-12-22,4,3
2020-12-23,53,12
2020-12-23,4,3
2020-12-24,52,13
2020-12-24,4,3
2020-12-25,55,11
2020-12-25,3,4
2020-12-26,54,12
2020-12-26,5,2
2020-12-27,57,9
2020-12-27,4,3
2020-12-28,56,11
2020-12-28,2,5
2020-12-29,51,14
2020-12-29,3,4
2020-12-30,56,9
2020-12-30,3,4
2020-12-31,62,5
2020-12-31,2,3
2021-01-01,61,6
2021-01-01,2,3
2021-01-02,61,6
2021-01-02,4,1
2021-01-03,58,9
2021-01-03,4,1
2021-01-04,53,13
2021-01-04,4,1
2021-01-05,55,10
2021-01-05,3,4
2021-01-06,59,7
2021-01-06,4,3
2021-01-07,57,9
2021-01-07,3,4
2021-01-08,3,4
2021-01-08,57,7
2021-01-09,57,6
2021-01-09,3,4
2021-01-10,55,7
2021-01-10,3,4
2021-01-11,54,7
2021-01-11,3,4
2021-01-12,60,3
2021-01-12,2,5
2021-01-13,59,7
2021-01-13,2,4
2021-01-14,59,6
2021-01-14,2,4
2021-01-15,60,5
2021-01-15,5,1
2021-01-16,58,10
2021-01-16,6,0
2021-01-17,57,10
2021-01-17,6,0
2021-01-18,59,8
2021-01-18,6,0
2021-01-19,60,6
2021-01-19,6,0
2021-01-20,58,7
2021-01-20,5,1
2021-01-21,56,10
2021-01-21,6,0
2021-01-22,5,1
2021-01-22,56,10
2021-01-23,56,9
2021-01-23,6,0
2021-01-24,58,9
2021-01-24,4,2
2021-01-25,5,1
2021-01-25,58,8
2021-01-26,59,7
2021-01-26,5,1
2021-01-27,58,8
2021-01-27,6,0
2021-01-28,5,1
2021-01-28,56,10
2021-01-29,5,1
2021-01-29,59,7
2021-01-30,54,9
2021-01-30,5,1
2021-01-31,54,10
2021-01-31,6,0
2021-02-01,55,9
2021-02-01,6,0
2021-02-02,53,11
2021-02-02,6,0
2021-02-03,54,11
2021-02-03,5,1
2021-02-04,52,13
2021-02-04,6,0
2021-02-05,58,7
2021-02-05,5,1
2021-02-06,53,12
2021-02-06,6,1
2021-02-07,54,11
2021-02-07,6,1
2021-02-08,50,16
2021-02-08,7,0
2021-02-09,57,6
2021-02-09,6,1
2021-02-10,56,8
2021-02-10,5,2
2021-02-11,58,7
2021-02-11,4,3
2021-02-12,55,9
2021-02-12,5,2
2021-02-13,58,6
2021-02-13,3,4
2021-02-14,55,8
2021-02-14,5,2
2021-02-15,56,10
2021-02-15,5,0
2021-02-16,57,9
2021-02-16,6,1
2021-02-17,60,5
2021-02-17,6,1
2021-02-18,65,3
2021-02-18,5,2
2021-02-19,4,3
2021-02-19,60,6
2021-02-20,59,9
2021-02-20,5,2
2021-02-21,58,9
2021-02-21,5,2
2021-02-22,58,9
2021-02-22,4,3
2021-02-23,56,9
2021-02-23,4,3
2021-02-24,57,6
2021-02-24,4,3
2021-02-25,59,7
2021-02-25,6,1
2021-02-26,59,7
2021-02-26,6,1
2021-02-27,58,7
2021-02-27,5,2
2021-02-28,58,8
2021-02-28,4,3
