date,betten_belegt,betten_frei
2020-04-24,16,7
2020-04-25,18,5
2020-04-26,16,7
2020-04-27,16,6
2020-04-28,17,5
2020-04-29,18,4
2020-04-30,17,6
2020-05-01,19,4
2020-05-02,20,5
2020-05-03,17,4
2020-05-04,21,3
2020-05-05,22,2
2020-05-06,7,1
2020-05-07,21,3
2020-05-08,21,3
2020-05-09,20,4
2020-05-10,21,3
2020-05-11,23,1
2020-05-12,22,2
2020-05-13,22,2
2020-05-14,22,2
2020-05-15,21,2
2020-05-16,17,5
2020-05-17,15,8
2020-05-18,14,9
2020-05-19,18,4
2020-05-20,20,3
2020-05-21,20,3
2020-05-22,20,3
2020-05-23,22,4
2020-05-24,18,2
2020-05-25,21,3
2020-05-26,19,6
2020-05-27,20,6
2020-05-28,21,4
2020-05-29,20,3
2020-05-30,20,2
2020-05-31,21,1
2020-06-01,18,4
2020-06-02,18,3
2020-06-03,21,1
2020-06-04,21,1
2020-06-05,21,1
2020-06-06,20,2
2020-06-07,20,1
2020-06-08,17,5
2020-06-09,17,7
2020-06-10,20,4
2020-06-11,21,3
2020-06-12,19,4
2020-06-13,17,7
2020-06-14,18,6
2020-06-15,19,5
2020-06-16,20,4
2020-06-17,19,4
2020-06-18,20,5
2020-06-19,21,3
2020-06-20,17,6
2020-06-21,17,6
2020-06-22,17,8
2020-06-23,19,5
2020-06-24,19,4
2020-06-25,18,5
2020-06-26,18,4
2020-06-27,18,5
2020-06-28,18,5
2020-06-29,19,4
2020-06-30,19,5
2020-07-01,20,4
2020-07-02,20,4
2020-07-03,19,5
2020-07-04,15,9
2020-07-05,16,8
2020-07-06,16,8
2020-07-07,18,6
2020-07-08,19,5
2020-07-09,19,5
2020-07-10,19,5
2020-07-11,19,5
2020-07-12,19,5
2020-07-13,20,4
2020-07-14,20,4
2020-07-15,18,1
2020-07-16,18,1
2020-07-17,18,1
2020-07-18,18,1
2020-07-19,18,1
2020-07-20,19,4
2020-07-21,20,3
2020-07-22,19,2
2020-07-23,19,1
2020-07-24,14,7
2020-07-25,12,9
2020-07-26,13,8
2020-07-27,15,6
2020-07-28,18,3
2020-07-29,19,2
2020-07-30,19,3
2020-07-31,19,2
2020-08-01,17,3
2020-08-02,17,3
2020-08-03,18,2
2020-08-04,17,3
2020-08-05,18,2
2020-08-06,19,1
2020-08-07,19,1
2020-08-08,19,1
2020-08-09,19,1
2020-08-10,19,1
2020-08-11,18,2
2020-08-12,18,1
2020-08-13,19,1
2020-08-14,18,2
2020-08-15,18,2
2020-08-16,19,1
2020-08-17,17,3
2020-08-18,17,3
2020-08-19,17,3
2020-08-20,18,2
2020-08-21,19,1
2020-08-22,17,3
2020-08-23,19,1
2020-08-24,19,1
2020-08-25,17,3
2020-08-26,19,1
2020-08-27,15,5
2020-08-28,12,8
2020-08-29,16,4
2020-08-30,15,5
2020-08-31,17,3
2020-09-01,17,3
2020-09-02,13,7
2020-09-03,15,5
2020-09-04,16,4
2020-09-05,15,5
2020-09-06,16,4
2020-09-07,16,4
2020-09-08,16,4
2020-09-09,18,2
2020-09-10,18,2
2020-09-11,18,2
2020-09-12,20,0
2020-09-13,20,0
2020-09-14,20,0
2020-09-15,20,0
2020-09-16,19,1
