date,betten_belegt,betten_frei
2020-04-24,31,20
2020-04-25,28,23
2020-04-26,31,18
2020-04-27,33,16
2020-04-28,31,15
2020-04-29,26,25
2020-04-30,29,23
2020-05-01,29,25
2020-05-02,28,25
2020-05-03,27,26
2020-05-04,26,27
2020-05-05,26,27
2020-05-06,29,27
2020-05-07,25,31
2020-05-08,31,24
2020-05-09,29,26
2020-05-10,31,27
2020-05-11,30,27
2020-05-12,33,22
2020-05-13,33,22
2020-05-14,31,22
2020-05-15,34,12
2020-05-16,28,18
2020-05-17,30,17
2020-05-18,32,15
2020-05-19,35,12
2020-05-20,33,14
2020-05-21,28,20
2020-05-22,26,19
2020-05-23,29,17
2020-05-24,24,23
2020-05-25,30,17
2020-05-26,32,13
2020-05-27,29,16
2020-05-28,29,16
2020-05-29,30,18
2020-05-30,26,20
2020-05-31,27,22
2020-06-01,24,21
2020-06-02,27,20
2020-06-03,35,9
2020-06-04,32,14
2020-06-05,32,17
2020-06-06,34,15
2020-06-07,26,22
2020-06-08,26,23
2020-06-09,28,19
2020-06-10,28,21
2020-06-11,25,23
2020-06-12,29,19
2020-06-13,26,22
2020-06-14,25,24
2020-06-15,24,24
2020-06-16,28,20
2020-06-17,29,20
2020-06-18,24,25
2020-06-19,23,26
2020-06-20,24,26
2020-06-21,25,25
2020-06-22,29,21
2020-06-23,34,16
2020-06-24,39,9
2020-06-25,38,10
2020-06-26,34,13
2020-06-27,34,15
2020-06-28,24,28
2020-06-29,32,19
2020-06-30,32,20
2020-07-01,25,27
2020-07-02,29,22
2020-07-03,30,21
2020-07-04,26,25
2020-07-05,26,25
2020-07-06,27,25
2020-07-07,24,27
2020-07-08,28,23
2020-07-09,21,31
2020-07-10,23,28
2020-07-11,25,23
2020-07-12,22,28
2020-07-13,24,23
2020-07-14,26,22
2020-07-15,30,22
2020-07-16,26,26
2020-07-17,21,29
2020-07-18,21,29
2020-07-19,21,31
2020-07-20,24,28
2020-07-21,25,28
2020-07-22,26,26
2020-07-23,24,28
2020-07-24,24,27
2020-07-25,26,26
2020-07-26,27,21
2020-07-27,31,19
2020-07-28,33,17
2020-07-29,29,20
2020-07-30,23,28
2020-07-31,18,33
2020-08-01,20,31
2020-08-02,24,25
2020-08-03,25,26
2020-08-04,15,34
2020-08-05,20,29
2020-08-06,17,32
2020-08-07,16,33
2020-08-08,20,29
2020-08-09,15,34
2020-08-10,22,27
2020-08-11,30,19
2020-08-12,26,23
2020-08-13,27,22
2020-08-14,22,27
2020-08-15,26,23
2020-08-16,26,23
2020-08-17,25,24
2020-08-18,25,24
2020-08-19,30,19
2020-08-20,28,21
2020-08-21,28,21
2020-08-22,27,22
2020-08-23,24,25
2020-08-24,30,19
2020-08-25,31,18
2020-08-26,25,24
2020-08-27,32,17
2020-08-28,29,20
2020-08-29,25,24
2020-08-30,30,19
2020-08-31,27,21
2020-09-01,30,19
2020-09-02,32,17
2020-09-03,30,19
2020-09-04,27,20
2020-09-05,25,23
2020-09-06,24,24
2020-09-07,26,22
2020-09-08,27,21
2020-09-09,27,21
2020-09-10,31,16
2020-09-11,28,20
2020-09-12,29,19
2020-09-13,30,18
2020-09-14,29,19
2020-09-15,30,17
2020-09-16,33,14
2020-09-17,31,16
2020-09-18,27,21
2020-09-19,25,23
2020-09-20,22,26
2020-09-21,28,20
2020-09-22,27,21
2020-09-23,27,21
2020-09-24,31,17
2020-09-25,27,21
2020-09-26,28,20
2020-09-27,25,23
2020-09-28,31,17
2020-09-29,32,17
2020-09-30,32,17
2020-10-01,29,20
2020-10-02,29,20
2020-10-03,29,20
2020-10-04,26,23
2020-10-05,26,23
2020-10-06,34,15
2020-10-07,32,16
2020-10-08,29,18
2020-10-09,24,25
2020-10-10,33,16
2020-10-11,31,18
2020-10-12,33,15
2020-10-13,33,16
2020-10-14,32,16
2020-10-15,37,10
2020-10-16,35,13
2020-10-17,35,13
2020-10-18,29,20
2020-10-19,32,17
2020-10-20,36,12
2020-10-21,29,18
2020-10-22,26,18
2020-10-23,33,12
2020-10-24,26,19
2020-10-25,24,21
2020-10-26,30,16
2020-10-27,32,14
2020-10-28,34,11
2020-10-29,33,12
2020-10-30,27,19
2020-10-31,26,20
2020-11-01,27,18
2020-11-02,23,22
2020-11-03,24,20
2020-11-04,25,17
2020-11-05,24,17
2020-11-06,30,11
2020-11-07,29,14
2020-11-08,25,18
2020-11-09,27,15
2020-11-10,29,13
2020-11-11,21,23
2020-11-12,28,16
2020-11-13,28,16
2020-11-14,29,15
2020-11-15,26,15
2020-11-16,27,13
2020-11-17,23,17
2020-11-18,25,16
2020-11-19,28,13
2020-11-20,31,9
2020-11-21,29,11
2020-11-22,26,14
2020-11-23,30,12
2020-11-24,34,8
2020-11-25,29,12
2020-11-26,34,7
2020-11-27,33,7
2020-11-28,32,7
2020-11-29,31,8
2020-11-30,30,11
2020-12-01,30,11
2020-12-02,35,6
2020-12-03,33,9
2020-12-04,32,8
2020-12-05,35,3
2020-12-06,31,7
2020-12-07,34,2
2020-12-08,39,0
2020-12-09,37,1
2020-12-10,36,1
2020-12-11,35,4
2020-12-12,36,2
2020-12-13,36,2
2020-12-14,35,3
2020-12-15,36,3
2020-12-16,35,3
2020-12-17,33,5
2020-12-18,33,6
2020-12-19,31,8
2020-12-20,31,8
2020-12-21,27,10
2020-12-22,30,7
2020-12-23,29,7
2020-12-24,28,7
2020-12-25,26,9
2020-12-26,24,10
2020-12-27,20,14
2020-12-28,30,4
2020-12-29,31,5
2020-12-30,26,10
2020-12-31,32,4
2021-01-01,34,3
2021-01-02,32,5
2021-01-03,32,5
2021-01-04,37,2
2021-01-05,36,7
2021-01-06,37,4
2021-01-07,37,5
2021-01-08,39,2
2021-01-09,39,2
2021-01-10,38,3
2021-01-11,36,5
2021-01-12,33,8
2021-01-13,34,6
2021-01-14,41,1
2021-01-15,39,4
2021-01-16,38,5
2021-01-17,34,8
2021-01-18,36,6
2021-01-19,36,5
2021-01-20,36,4
2021-01-21,37,2
2021-01-22,39,1
2021-01-23,37,3
2021-01-24,36,5
2021-01-25,35,6
2021-01-26,34,7
2021-01-27,37,4
2021-01-28,35,6
2021-01-29,35,5
2021-01-30,33,8
2021-01-31,31,8
2021-02-01,33,6
2021-02-02,35,6
2021-02-03,38,2
2021-02-04,32,8
2021-02-05,34,6
2021-02-06,34,8
2021-02-07,32,8
2021-02-08,34,7
2021-02-09,38,6
2021-02-10,39,3
2021-02-11,35,9
2021-02-12,36,7
2021-02-13,32,11
2021-02-14,31,12
2021-02-15,33,7
2021-02-16,34,10
2021-02-17,37,3
2021-02-18,33,8
2021-02-19,33,8
2021-02-20,29,12
2021-02-21,29,13
2021-02-22,32,9
2021-02-23,30,10
2021-02-24,37,4
2021-02-25,37,4
2021-02-26,38,4
2021-02-27,34,8
2021-02-28,33,11
2021-03-01,34,9
2021-03-02,32,13
2021-03-03,28,17
2021-03-04,27,15
2021-03-05,32,10
2021-03-06,35,7
2021-03-07,25,17
2021-03-08,32,11
2021-03-09,36,7
2021-03-10,37,6
2021-03-11,34,7
2021-03-12,32,10
2021-03-13,29,12
2021-03-14,35,6
2021-03-15,31,11
2021-03-16,35,7
2021-03-17,33,10
2021-03-18,35,8
2021-03-19,32,10
2021-03-20,36,6
2021-03-21,33,9
2021-03-22,34,7
2021-03-23,35,7
2021-03-24,37,6
2021-03-25,41,0
2021-03-26,38,3
2021-03-27,39,4
2021-03-28,33,9
2021-03-29,30,10
2021-03-30,30,9
2021-03-31,35,5
2021-04-01,36,4
2021-04-02,34,6
2021-04-03,33,9
2021-04-04,30,12
2021-04-05,34,9
2021-04-06,35,6
2021-04-07,38,3
2021-04-08,35,6
2021-04-09,38,4
2021-04-10,34,8
2021-04-11,33,8
2021-04-12,32,9
2021-04-13,37,5
2021-04-14,41,0
2021-04-15,40,2
2021-04-16,34,8
2021-04-17,36,6
2021-04-18,32,10
2021-04-19,32,10
2021-04-20,34,8
2021-04-21,35,7
2021-04-22,34,8
2021-04-23,35,8
2021-04-24,34,10
2021-04-25,32,12
2021-04-26,32,11
2021-04-27,33,9
2021-04-28,36,7
2021-04-29,31,12
2021-04-30,35,9
2021-05-01,36,7
2021-05-02,33,9
2021-05-03,37,5
2021-05-04,35,6
2021-05-05,33,9
2021-05-06,36,7
2021-05-07,35,7
2021-05-08,31,11
2021-05-09,30,11
2021-05-10,36,7
2021-05-11,38,4
2021-05-12,38,3
2021-05-13,36,6
2021-05-14,37,5
2021-05-15,32,10
2021-05-16,33,8
2021-05-17,36,6
2021-05-18,37,6
2021-05-19,35,7
2021-05-20,33,9
2021-05-21,33,9
2021-05-22,33,9
2021-05-23,30,12
2021-05-24,31,11
2021-05-25,29,12
2021-05-26,35,6
2021-05-27,26,16
2021-05-28,28,14
2021-05-29,31,10
2021-05-30,26,16
2021-05-31,33,9
2021-06-01,32,10
2021-06-02,36,6
2021-06-03,28,14
2021-06-04,27,15
2021-06-05,30,13
2021-06-06,31,13
2021-06-07,29,13
2021-06-08,24,18
2021-06-09,29,13
2021-06-10,32,9
2021-06-11,33,9
2021-06-12,35,8
2021-06-13,36,6
2021-06-14,34,7
2021-06-15,35,7
2021-06-16,36,7
2021-06-17,30,12
2021-06-18,33,8
2021-06-19,32,9
2021-06-20,31,10
2021-06-21,35,6
2021-06-22,30,11
2021-06-23,32,11
2021-06-24,28,15
2021-06-25,32,10
2021-06-26,29,13
2021-06-27,24,18
2021-06-28,28,15
2021-06-29,35,7
2021-06-30,35,8
2021-07-01,32,11
2021-07-02,30,13
2021-07-03,28,16
2021-07-04,25,19
2021-07-05,22,21
2021-07-06,31,11
2021-07-07,34,7
2021-07-08,28,14
2021-07-09,31,12
2021-07-10,34,8
2021-07-11,30,12
2021-07-12,34,7
2021-07-13,35,6
2021-07-14,33,8
2021-07-15,32,9
2021-07-16,30,7
2021-07-17,28,7
2021-07-18,25,9
2021-07-19,28,6
2021-07-20,31,8
2021-07-21,31,8
2021-07-22,28,13
2021-07-23,32,10
2021-07-24,29,13
2021-07-25,27,15
2021-07-26,29,13
2021-07-27,36,7
2021-07-28,36,6
2021-07-29,33,9
2021-07-30,34,7
2021-07-31,34,6
2021-08-01,35,5
2021-08-02,30,11
2021-08-03,31,11
2021-08-04,29,12
2021-08-05,30,11
2021-08-06,32,9
2021-08-07,27,13
2021-08-08,31,10
2021-08-09,32,10
2021-08-10,34,8
2021-08-11,35,6
2021-08-12,33,9
2021-08-13,35,6
2021-08-14,33,8
2021-08-15,36,6
2021-08-16,38,4
2021-08-17,30,10
2021-08-18,28,12
2021-08-19,29,11
2021-08-20,31,11
2021-08-21,29,13
2021-08-22,27,15
2021-08-23,28,14
2021-08-24,34,8
2021-08-25,33,9
2021-08-26,31,12
2021-08-27,34,10
2021-08-28,35,8
2021-08-29,29,14
2021-08-30,31,11
2021-08-31,27,17
2021-09-01,31,13
2021-09-02,32,10
2021-09-03,34,6
