date,betten_belegt,betten_frei
2020-04-24,1050,399
2020-04-25,1019,425
2020-04-26,990,457
2020-04-27,1006,441
2020-04-28,1041,439
2020-04-29,1053,422
2020-04-30,1057,422
2020-05-01,1061,423
2020-05-02,1057,423
2020-05-03,1038,440
2020-05-04,1017,422
2020-05-05,1068,395
2020-05-06,1092,381
2020-05-07,1088,387
2020-05-08,1096,368
2020-05-09,1048,415
2020-05-10,1060,432
2020-05-11,1070,433
2020-05-12,1085,485
2020-05-13,1115,387
2020-05-14,1081,417
2020-05-15,1088,408
2020-05-16,1066,419
2020-05-17,1034,442
2020-05-18,1029,437
2020-05-19,1059,411
2020-05-20,1093,360
2020-05-21,1082,402
2020-05-22,1049,435
2020-05-23,1061,416
2020-05-24,1059,414
2020-05-25,1046,424
2020-05-26,1053,405
2020-05-27,1081,373
2020-05-28,1069,384
2020-05-29,1092,338
2020-05-30,1072,370
2020-05-31,1062,377
2020-06-01,1061,383
2020-06-02,1056,390
2020-06-03,1111,326
2020-06-04,1121,317
2020-06-05,1095,326
2020-06-06,1098,324
2020-06-07,1064,357
2020-06-08,1050,377
2020-06-09,1106,322
2020-06-10,1100,328
2020-06-11,1113,329
2020-06-12,1099,345
2020-06-13,1054,362
2020-06-14,1036,376
2020-06-15,1046,374
2020-06-16,1078,340
2020-06-17,1112,316
2020-06-18,1086,331
2020-06-19,1081,331
2020-06-20,1105,301
2020-06-21,1081,330
2020-06-22,1070,344
2020-06-23,1076,345
2020-06-24,1067,350
2020-06-25,1092,328
2020-06-26,1080,340
2020-06-27,1066,352
2020-06-28,1048,376
2020-06-29,1061,364
2020-06-30,1073,348
2020-07-01,1082,336
2020-07-02,1085,338
2020-07-03,1073,351
2020-07-04,1075,333
2020-07-05,1049,352
2020-07-06,1056,359
2020-07-07,1082,356
2020-07-08,1085,345
2020-07-09,1111,324
2020-07-10,1100,333
2020-07-11,1090,337
2020-07-12,1045,354
2020-07-13,1038,372
2020-07-14,1084,337
2020-07-15,1089,331
2020-07-16,1089,335
2020-07-17,1083,339
2020-07-18,1055,334
2020-07-19,1034,357
2020-07-20,1048,358
2020-07-21,1060,354
2020-07-22,1085,321
2020-07-23,1042,341
2020-07-24,1049,329
2020-07-25,1030,341
2020-07-26,1024,342
2020-07-27,1037,343
2020-07-28,1042,337
2020-07-29,1055,315
2020-07-30,1049,318
