date,betten_belegt,betten_frei
2020-04-24,99,67
2020-04-25,110,56
2020-04-26,112,54
2020-04-27,115,51
2020-04-28,116,50
2020-04-29,113,52
2020-04-30,112,53
2020-05-01,109,50
2020-05-02,109,60
2020-05-03,118,47
2020-05-04,114,51
2020-05-05,117,48
2020-05-06,116,51
2020-05-07,112,52
2020-05-08,107,57
2020-05-09,103,61
2020-05-10,98,66
2020-05-11,105,59
2020-05-12,113,51
2020-05-13,116,48
2020-05-14,116,47
2020-05-15,123,38
2020-05-16,107,52
2020-05-17,116,43
2020-05-18,113,47
2020-05-19,123,38
2020-05-20,122,39
2020-05-21,119,42
2020-05-22,119,42
2020-05-23,120,41
2020-05-24,115,46
2020-05-25,126,35
2020-05-26,119,42
2020-05-27,123,38
2020-05-28,125,36
2020-05-29,115,46
2020-05-30,122,120
2020-05-31,121,38
2020-06-01,123,38
2020-06-02,118,28
2020-06-03,125,22
2020-06-04,108,28
2020-06-05,114,29
2020-06-06,113,31
2020-06-07,107,36
2020-06-08,115,28
2020-06-09,117,26
2020-06-10,116,27
2020-06-11,118,25
2020-06-12,110,33
2020-06-13,112,32
2020-06-14,112,34
2020-06-15,117,29
2020-06-16,118,28
2020-06-17,116,30
2020-06-18,128,33
2020-06-19,131,29
2020-06-20,122,38
2020-06-21,113,47
2020-06-22,111,49
2020-06-23,109,51
2020-06-24,114,46
2020-06-25,108,52
2020-06-26,99,61
2020-06-27,119,41
2020-06-28,111,49
2020-06-29,109,51
2020-06-30,119,41
2020-07-01,118,42
2020-07-02,113,47
2020-07-03,102,58
2020-07-04,99,46
2020-07-05,95,50
2020-07-06,94,51
2020-07-07,99,46
2020-07-08,98,45
2020-07-09,117,43
2020-07-10,114,46
2020-07-11,117,43
2020-07-12,112,48
2020-07-13,113,47
2020-07-14,113,47
2020-07-15,116,44
2020-07-16,126,34
2020-07-17,124,36
2020-07-18,118,43
2020-07-19,112,52
2020-07-20,113,51
2020-07-21,106,45
2020-07-22,114,35
2020-07-23,108,41
