date,betten_belegt,betten_frei
2020-04-24,167,72
2020-04-25,169,70
2020-04-26,165,74
2020-04-27,162,78
2020-04-28,155,80
2020-04-29,161,74
2020-04-30,157,80
2020-05-01,158,70
2020-05-02,156,77
2020-05-03,154,77
2020-05-04,147,86
2020-05-05,155,80
2020-05-06,168,66
2020-05-07,159,76
2020-05-08,155,84
2020-05-09,144,91
2020-05-10,146,89
2020-05-11,152,81
2020-05-12,156,87
2020-05-13,149,94
2020-05-14,159,84
2020-05-15,152,91
2020-05-16,151,92
2020-05-17,153,90
2020-05-18,154,89
2020-05-19,143,100
2020-05-20,155,88
2020-05-21,159,84
2020-05-22,144,99
2020-05-23,154,89
2020-05-24,153,91
2020-05-25,144,99
2020-05-26,145,98
2020-05-27,145,98
2020-05-28,141,102
2020-05-29,154,92
2020-05-30,159,87
2020-05-31,156,90
2020-06-01,148,84
2020-06-02,156,87
2020-06-03,155,88
2020-06-04,164,85
2020-06-05,150,99
2020-06-06,160,82
2020-06-07,159,80
2020-06-08,154,89
2020-06-09,148,95
2020-06-10,159,84
2020-06-11,154,89
2020-06-12,156,87
2020-06-13,146,97
2020-06-14,151,92
2020-06-15,156,87
2020-06-16,156,85
2020-06-17,158,65
2020-06-18,152,69
2020-06-19,144,73
2020-06-20,147,70
2020-06-21,148,70
2020-06-22,153,66
2020-06-23,156,60
2020-06-24,150,71
2020-06-25,144,75
2020-06-26,152,66
2020-06-27,155,66
2020-06-28,154,68
2020-06-29,155,64
2020-06-30,166,52
2020-07-01,157,62
2020-07-02,158,72
2020-07-03,161,74
2020-07-04,164,71
2020-07-05,168,74
2020-07-06,169,71
2020-07-07,169,71
2020-07-08,177,58
2020-07-09,173,62
2020-07-10,167,67
2020-07-11,167,65
2020-07-12,158,74
2020-07-13,162,74
2020-07-14,166,66
2020-07-15,163,72
2020-07-16,165,70
2020-07-17,160,75
2020-07-18,165,70
2020-07-19,164,71
2020-07-20,165,70
2020-07-21,170,65
2020-07-22,164,73
2020-07-23,164,73
2020-07-24,167,70
2020-07-25,169,68
2020-07-26,168,67
2020-07-27,163,71
2020-07-28,155,79
2020-07-29,157,79
2020-07-30,157,77
2020-07-31,159,76
2020-08-01,158,77
2020-08-02,164,72
2020-08-03,161,70
2020-08-04,153,71
2020-08-05,151,73
2020-08-06,164,60
2020-08-07,157,68
2020-08-08,157,68
2020-08-09,159,66
2020-08-10,161,63
2020-08-11,169,55
2020-08-12,170,54
2020-08-13,166,58
2020-08-14,165,59
2020-08-15,166,58
2020-08-16,172,52
2020-08-17,161,63
2020-08-18,160,64
2020-08-19,158,66
2020-08-20,169,55
