date,betten_belegt,betten_frei
2020-04-24,39,33
2020-04-25,39,33
2020-04-26,36,36
2020-04-27,35,37
2020-04-28,28,42
2020-04-29,30,39
2020-04-30,32,38
2020-05-01,31,41
2020-05-02,33,39
2020-05-03,34,37
2020-05-04,34,37
2020-05-05,33,40
2020-05-06,34,41
2020-05-07,35,41
2020-05-08,34,43
2020-05-09,36,41
2020-05-10,39,38
2020-05-11,41,38
2020-05-12,46,34
2020-05-13,38,42
2020-05-14,38,38
2020-05-15,34,42
2020-05-16,33,43
2020-05-17,35,41
2020-05-18,36,40
2020-05-19,42,32
2020-05-20,38,36
2020-05-21,35,39
2020-05-22,33,41
2020-05-23,34,40
2020-05-24,31,43
2020-05-25,35,39
2020-05-26,35,39
2020-05-27,32,42
2020-05-28,36,38
2020-05-29,37,37
2020-05-30,35,39
2020-05-31,35,39
2020-06-01,36,38
2020-06-02,34,40
2020-06-03,33,41
2020-06-04,34,40
2020-06-05,36,38
2020-06-06,34,40
2020-06-07,37,37
2020-06-08,35,39
2020-06-09,40,34
2020-06-10,33,41
2020-06-11,32,42
2020-06-12,27,47
2020-06-13,28,46
2020-06-14,28,46
2020-06-15,26,48
2020-06-16,32,42
2020-06-17,34,40
2020-06-18,34,40
2020-06-19,34,40
2020-06-20,36,38
2020-06-21,36,38
2020-06-22,37,37
2020-06-23,33,41
2020-06-24,31,43
2020-06-25,30,44
2020-06-26,31,43
2020-06-27,34,40
2020-06-28,33,41
2020-06-29,26,48
2020-06-30,32,42
2020-07-01,31,43
2020-07-02,38,36
2020-07-03,36,38
2020-07-04,38,36
2020-07-05,37,37
2020-07-06,31,43
2020-07-07,34,40
2020-07-08,39,35
2020-07-09,38,36
2020-07-10,41,33
2020-07-11,38,36
2020-07-12,38,36
2020-07-13,33,41
2020-07-14,33,41
2020-07-15,29,45
2020-07-16,33,41
2020-07-17,33,41
2020-07-18,33,41
2020-07-19,35,39
2020-07-20,38,35
2020-07-21,38,35
