date,betten_belegt,betten_frei
2020-04-24,195,80
2020-04-25,199,79
2020-04-26,198,79
2020-04-27,197,83
2020-04-28,206,70
2020-04-29,204,70
2020-04-30,210,65
2020-05-01,213,63
2020-05-02,202,73
2020-05-03,198,76
2020-05-04,207,68
2020-05-05,210,70
2020-05-06,203,106
2020-05-07,198,69
2020-05-08,215,58
2020-05-09,202,72
2020-05-10,197,69
2020-05-11,202,69
2020-05-12,203,67
2020-05-13,203,63
2020-05-14,195,68
2020-05-15,205,65
2020-05-16,213,57
2020-05-17,205,65
2020-05-18,208,63
2020-05-19,211,58
2020-05-20,204,63
2020-05-21,216,57
2020-05-22,217,54
2020-05-23,207,60
2020-05-24,199,71
2020-05-25,207,63
2020-05-26,209,61
2020-05-27,210,56
2020-05-28,217,50
2020-05-29,211,58
2020-05-30,216,54
2020-05-31,215,56
2020-06-01,215,56
2020-06-02,213,57
2020-06-03,208,62
2020-06-04,210,58
2020-06-05,216,52
2020-06-06,213,55
2020-06-07,209,60
2020-06-08,218,53
2020-06-09,214,55
2020-06-10,226,43
2020-06-11,218,50
2020-06-12,209,49
2020-06-13,215,49
2020-06-14,210,57
2020-06-15,201,71
2020-06-16,215,54
2020-06-17,211,53
2020-06-18,209,57
2020-06-19,217,59
2020-06-20,224,51
2020-06-21,225,47
2020-06-22,222,41
2020-06-23,221,43
2020-06-24,220,46
2020-06-25,217,50
2020-06-26,205,52
2020-06-27,195,64
2020-06-28,202,57
2020-06-29,201,53
2020-06-30,215,48
2020-07-01,203,65
2020-07-02,218,60
2020-07-03,218,60
2020-07-04,204,70
2020-07-05,201,77
2020-07-06,205,70
2020-07-07,206,70
2020-07-08,217,61
2020-07-09,200,67
2020-07-10,201,67
2020-07-11,196,72
2020-07-12,192,79
2020-07-13,187,82
2020-07-14,200,58
2020-07-15,192,69
2020-07-16,204,57
2020-07-17,206,64
2020-07-18,198,80
2020-07-19,183,75
2020-07-20,186,74
2020-07-21,201,68
2020-07-22,209,61
2020-07-23,218,52
2020-07-24,239,47
2020-07-25,235,51
2020-07-26,226,60
2020-07-27,235,51
2020-07-28,237,50
2020-07-29,245,52
2020-07-30,247,50
2020-07-31,243,53
2020-08-01,248,48
2020-08-02,249,47
2020-08-03,245,49
2020-08-04,249,43
2020-08-05,242,50
2020-08-06,243,49
2020-08-07,246,48
2020-08-08,250,44
2020-08-09,246,48
2020-08-10,246,48
2020-08-11,246,48
2020-08-12,252,41
2020-08-13,248,45
2020-08-14,243,50
2020-08-15,244,49
2020-08-16,236,57
2020-08-17,235,59
2020-08-18,247,47
2020-08-19,247,47
2020-08-20,239,54
2020-08-21,242,51
2020-08-22,236,57
2020-08-23,241,52
2020-08-24,242,51
2020-08-25,241,52
2020-08-26,245,49
