date,betten_belegt,betten_frei
2020-04-24,46,45
2020-04-25,44,40
2020-04-26,40,44
2020-04-27,44,40
2020-04-28,45,39
2020-04-29,47,35
2020-04-30,50,32
2020-05-01,49,33
2020-05-02,48,34
2020-05-03,50,32
2020-05-04,45,39
2020-05-05,42,39
2020-05-06,47,35
2020-05-07,46,35
2020-05-08,47,34
2020-05-09,46,35
2020-05-10,58,29
2020-05-11,49,34
2020-05-12,45,37
2020-05-13,48,34
2020-05-14,56,22
2020-05-15,55,27
2020-05-16,49,28
2020-05-17,42,35
2020-05-18,41,38
2020-05-19,49,33
2020-05-20,43,41
2020-05-21,41,43
2020-05-22,46,38
2020-05-23,44,38
2020-05-24,44,38
2020-05-25,42,40
2020-05-26,46,36
2020-05-27,38,44
2020-05-28,50,32
2020-05-29,57,27
2020-05-30,55,26
2020-05-31,41,39
2020-06-01,49,33
2020-06-02,47,35
2020-06-03,51,28
2020-06-04,49,29
2020-06-05,55,27
2020-06-06,40,42
2020-06-07,44,37
2020-06-08,36,43
2020-06-09,46,36
2020-06-10,46,36
2020-06-11,44,38
2020-06-12,45,37
2020-06-13,45,40
2020-06-14,38,44
2020-06-15,39,41
2020-06-16,41,40
2020-06-17,45,37
2020-06-18,45,37
2020-06-19,47,35
2020-06-20,53,29
2020-06-21,55,27
2020-06-22,41,40
2020-06-23,44,37
2020-06-24,39,43
2020-06-25,41,41
2020-06-26,32,52
2020-06-27,38,46
2020-06-28,39,45
2020-06-29,40,44
2020-06-30,38,46
2020-07-01,40,43
2020-07-02,40,44
2020-07-03,41,41
2020-07-04,43,38
2020-07-05,32,50
2020-07-06,38,46
2020-07-07,42,40
2020-07-08,46,39
2020-07-09,53,29
2020-07-10,47,33
2020-07-11,48,35
2020-07-12,46,36
2020-07-13,48,34
2020-07-14,50,33
2020-07-15,53,31
2020-07-16,51,31
2020-07-17,54,31
2020-07-18,55,30
2020-07-19,54,31
2020-07-20,52,29
2020-07-21,53,28
2020-07-22,43,38
2020-07-23,42,40
2020-07-24,43,39
2020-07-25,40,42
2020-07-26,41,41
2020-07-27,45,37
2020-07-28,50,32
2020-07-29,44,38
2020-07-30,38,45
2020-07-31,42,41
2020-08-01,41,41
2020-08-02,43,41
2020-08-03,43,38
2020-08-04,36,32
2020-08-05,35,33
2020-08-06,40,36
2020-08-07,44,32
2020-08-08,40,36
2020-08-09,34,42
2020-08-10,47,29
2020-08-11,47,29
2020-08-12,39,37
2020-08-13,43,33
2020-08-14,49,29
2020-08-15,48,30
2020-08-16,42,36
2020-08-17,38,40
2020-08-18,42,36
2020-08-19,34,44
2020-08-20,36,42
2020-08-21,41,37
2020-08-22,43,35
2020-08-23,49,29
2020-08-24,49,29
2020-08-25,47,31
2020-08-26,45,33
2020-08-27,49,29
2020-08-28,56,22
2020-08-29,49,29
2020-08-30,47,31
2020-08-31,47,31
2020-09-01,57,21
2020-09-02,57,21
2020-09-03,55,23
2020-09-04,57,21
2020-09-05,57,21
2020-09-06,53,25
2020-09-07,52,26
2020-09-08,50,28
2020-09-09,57,21
2020-09-10,57,21
2020-09-11,59,19
2020-09-12,49,15
2020-09-13,38,24
2020-09-14,39,23
2020-09-15,39,23
2020-09-16,35,27
2020-09-17,51,27
2020-09-18,49,29
2020-09-19,46,32
2020-09-20,44,34
2020-09-21,49,29
2020-09-22,49,29
2020-09-23,46,32
2020-09-24,53,25
2020-09-25,50,28
2020-09-26,43,35
2020-09-27,43,35
2020-09-28,44,34
2020-09-29,39,39
2020-09-30,42,40
2020-10-01,47,35
2020-10-02,44,38
2020-10-03,49,33
2020-10-04,43,39
2020-10-05,43,39
2020-10-06,48,34
2020-10-07,48,34
2020-10-08,52,30
2020-10-09,53,29
2020-10-10,52,30
2020-10-11,51,31
2020-10-12,50,32
2020-10-13,51,31
2020-10-14,48,34
2020-10-15,44,38
2020-10-16,50,32
2020-10-17,48,34
2020-10-18,45,37
2020-10-19,42,40
2020-10-20,48,34
2020-10-21,52,30
2020-10-22,53,25
2020-10-23,53,25
2020-10-24,54,24
2020-10-25,50,28
2020-10-26,53,25
2020-10-27,51,27
2020-10-28,51,27
2020-10-29,53,25
2020-10-30,42,35
2020-10-31,41,32
2020-11-01,39,34
2020-11-02,37,36
2020-11-03,40,33
2020-11-04,41,32
2020-11-05,35,38
2020-11-06,36,37
2020-11-07,33,40
2020-11-08,36,37
2020-11-09,40,33
2020-11-10,46,27
2020-11-11,43,30
2020-11-12,51,22
2020-11-13,55,18
2020-11-14,47,26
2020-11-15,46,27
2020-11-16,47,26
2020-11-17,47,26
2020-11-18,52,21
2020-11-19,53,20
2020-11-20,55,18
2020-11-21,54,19
2020-11-22,48,25
2020-11-23,41,32
2020-11-24,51,22
2020-11-25,48,25
2020-11-26,50,23
2020-11-27,49,24
2020-11-28,51,22
2020-11-29,50,23
2020-11-30,52,21
2020-12-01,55,18
2020-12-02,56,17
2020-12-03,54,19
2020-12-04,51,20
2020-12-05,54,19
2020-12-06,45,28
2020-12-07,48,25
2020-12-08,53,20
2020-12-09,45,28
2020-12-10,47,26
2020-12-11,52,21
2020-12-12,50,23
2020-12-13,48,25
2020-12-14,51,22
2020-12-15,40,33
2020-12-16,47,26
2020-12-17,54,19
2020-12-18,50,23
2020-12-19,50,23
2020-12-20,54,19
2020-12-21,58,15
2020-12-22,57,16
2020-12-23,52,21
2020-12-24,52,21
2020-12-25,51,22
2020-12-26,55,18
2020-12-27,51,22
2020-12-28,51,22
2020-12-29,54,19
2020-12-30,45,28
2020-12-31,45,28
2021-01-01,43,30
2021-01-02,50,23
2021-01-03,48,25
2021-01-04,47,25
2021-01-05,52,21
2021-01-06,51,22
2021-01-07,48,25
2021-01-08,45,28
2021-01-09,47,26
2021-01-10,48,25
2021-01-11,47,26
2021-01-12,50,23
2021-01-13,51,22
2021-01-14,53,20
2021-01-15,47,26
2021-01-16,51,22
2021-01-17,48,25
2021-01-18,48,25
2021-01-19,59,14
2021-01-20,56,17
2021-01-21,60,13
2021-01-22,49,24
2021-01-23,58,15
2021-01-24,53,20
2021-01-25,61,12
2021-01-26,59,14
2021-01-27,59,14
