date,betten_belegt,betten_frei
2020-04-24,31,33
2020-04-25,30,34
2020-04-26,31,33
2020-04-27,24,44
2020-04-28,29,40
2020-04-29,31,36
2020-04-30,28,39
2020-05-01,24,44
2020-05-02,25,42
2020-05-03,28,39
2020-05-04,29,37
2020-05-05,30,34
2020-05-06,25,37
2020-05-07,23,41
2020-05-08,26,35
2020-05-09,22,41
2020-05-10,21,42
2020-05-11,22,40
2020-05-12,15,47
2020-05-13,17,44
2020-05-14,25,37
2020-05-15,23,39
2020-05-16,17,49
2020-05-17,19,47
2020-05-18,22,44
2020-05-19,25,41
2020-05-20,23,43
2020-05-21,21,45
2020-05-22,22,44
2020-05-23,20,46
2020-05-24,20,41
2020-05-25,25,41
2020-05-26,27,38
2020-05-27,23,42
2020-05-28,19,46
2020-05-29,24,42
2020-05-30,22,43
2020-05-31,31,36
2020-06-01,27,36
2020-06-02,25,42
2020-06-03,25,41
2020-06-04,28,39
2020-06-05,31,34
2020-06-06,29,37
2020-06-07,28,38
2020-06-08,26,41
2020-06-09,34,32
2020-06-10,28,38
2020-06-11,31,35
2020-06-12,29,37
2020-06-13,32,32
2020-06-14,33,33
2020-06-15,33,32
2020-06-16,34,31
2020-06-17,35,31
2020-06-18,33,33
2020-06-19,37,33
2020-06-20,34,32
2020-06-21,28,39
2020-06-22,26,41
2020-06-23,27,39
2020-06-24,25,41
2020-06-25,25,43
2020-06-26,23,45
2020-06-27,31,37
2020-06-28,28,40
2020-06-29,26,42
2020-06-30,28,39
2020-07-01,28,39
2020-07-02,42,25
2020-07-03,42,25
2020-07-04,23,31
2020-07-05,18,35
2020-07-06,20,47
2020-07-07,21,46
2020-07-08,22,45
2020-07-09,23,44
2020-07-10,24,43
2020-07-11,28,44
2020-07-12,20,47
2020-07-13,24,41
2020-07-14,21,43
2020-07-15,22,43
2020-07-16,24,42
2020-07-17,21,45
2020-07-18,25,42
2020-07-19,19,48
2020-07-20,20,47
2020-07-21,20,46
2020-07-22,21,45
2020-07-23,17,47
2020-07-24,22,44
2020-07-25,21,45
2020-07-26,16,51
2020-07-27,18,49
2020-07-28,20,46
2020-07-29,19,47
2020-07-30,25,41
2020-07-31,25,41
2020-08-01,19,46
2020-08-02,19,45
2020-08-03,20,45
2020-08-04,21,41
2020-08-05,21,46
2020-08-06,21,46
2020-08-07,24,43
2020-08-08,26,41
2020-08-09,18,49
2020-08-10,19,48
2020-08-11,27,40
2020-08-12,24,43
2020-08-13,28,39
2020-08-14,19,48
2020-08-15,24,43
2020-08-16,29,38
2020-08-17,24,43
2020-08-18,20,47
2020-08-19,21,46
2020-08-20,22,45
2020-08-21,29,38
2020-08-22,32,35
2020-08-23,23,44
2020-08-24,25,42
2020-08-25,26,41
2020-08-26,21,46
2020-08-27,21,46
2020-08-28,26,41
2020-08-29,28,39
2020-08-30,24,43
2020-08-31,22,45
2020-09-01,23,44
2020-09-02,30,37
2020-09-03,27,40
2020-09-04,26,41
2020-09-05,29,38
2020-09-06,32,35
2020-09-07,29,38
2020-09-08,34,33
2020-09-09,32,35
2020-09-10,28,39
2020-09-11,24,43
2020-09-12,24,43
2020-09-13,28,39
2020-09-14,28,39
2020-09-15,32,35
