date,betten_belegt,betten_frei
2020-04-24,91,50
2020-04-25,85,56
2020-04-26,83,60
2020-04-27,83,60
2020-04-28,82,58
2020-04-29,92,50
2020-04-30,91,63
2020-05-01,89,65
2020-05-02,88,65
2020-05-03,90,63
2020-05-04,88,65
2020-05-05,96,57
2020-05-06,102,51
2020-05-07,104,42
2020-05-08,96,50
2020-05-09,79,68
2020-05-10,81,66
2020-05-11,86,61
2020-05-12,88,57
2020-05-13,91,54
2020-05-14,85,62
2020-05-15,88,59
2020-05-16,95,52
2020-05-17,92,54
2020-05-18,89,61
2020-05-19,92,58
2020-05-20,94,56
2020-05-21,83,67
2020-05-22,82,68
2020-05-23,87,63
2020-05-24,85,65
2020-05-25,89,64
2020-05-26,98,55
2020-05-27,96,57
2020-05-28,94,60
2020-05-29,93,64
2020-05-30,90,62
2020-05-31,86,67
2020-06-01,83,70
2020-06-02,83,70
2020-06-03,95,58
2020-06-04,91,62
2020-06-05,90,62
2020-06-06,87,66
2020-06-07,88,65
2020-06-08,84,66
2020-06-09,94,56
2020-06-10,103,47
2020-06-11,100,50
2020-06-12,95,56
2020-06-13,91,60
2020-06-14,82,69
2020-06-15,86,64
2020-06-16,92,58
2020-06-17,85,65
2020-06-18,93,57
2020-06-19,93,57
2020-06-20,93,57
2020-06-21,95,55
2020-06-22,89,61
2020-06-23,98,52
2020-06-24,97,53
2020-06-25,101,49
2020-06-26,102,48
2020-06-27,101,49
2020-06-28,94,56
2020-06-29,93,57
2020-06-30,97,53
2020-07-01,94,56
2020-07-02,97,53
2020-07-03,101,49
2020-07-04,95,55
2020-07-05,87,63
2020-07-06,87,63
2020-07-07,96,54
2020-07-08,91,59
2020-07-09,93,57
2020-07-10,102,48
2020-07-11,95,55
2020-07-12,98,52
2020-07-13,90,60
2020-07-14,100,50
2020-07-15,100,50
2020-07-16,98,52
2020-07-17,99,51
2020-07-18,100,50
2020-07-19,92,58
2020-07-20,92,58
2020-07-21,98,50
2020-07-22,95,55
2020-07-23,94,56
2020-07-24,99,51
2020-07-25,105,45
2020-07-26,106,44
2020-07-27,94,56
2020-07-28,98,52
2020-07-29,102,48
2020-07-30,96,54
2020-07-31,89,61
2020-08-01,95,55
2020-08-02,87,63
2020-08-03,88,62
2020-08-04,109,41
2020-08-05,104,46
2020-08-06,93,57
2020-08-07,99,51
2020-08-08,98,52
2020-08-09,94,56
2020-08-10,96,54
2020-08-11,103,47
2020-08-12,94,56
2020-08-13,91,59
2020-08-14,98,52
2020-08-15,100,50
2020-08-16,93,57
2020-08-17,90,60
2020-08-18,102,48
2020-08-19,108,42
2020-08-20,103,47
2020-08-21,101,49
2020-08-22,102,48
2020-08-23,90,60
2020-08-24,93,57
2020-08-25,100,50
2020-08-26,111,39
2020-08-27,101,49
2020-08-28,92,58
2020-08-29,93,57
2020-08-30,84,66
2020-08-31,81,69
2020-09-01,90,60
2020-09-02,97,53
2020-09-03,101,49
2020-09-04,101,49
2020-09-05,108,42
2020-09-06,97,53
2020-09-07,95,55
2020-09-08,99,51
2020-09-09,96,54
2020-09-10,108,42
2020-09-11,108,42
2020-09-12,109,41
2020-09-13,109,41
2020-09-14,103,47
2020-09-15,105,45
2020-09-16,112,38
2020-09-17,110,40
2020-09-18,110,40
2020-09-19,110,41
2020-09-20,97,53
2020-09-21,94,56
2020-09-22,101,49
2020-09-23,106,44
2020-09-24,105,45
2020-09-25,108,42
2020-09-26,112,38
2020-09-27,87,63
2020-09-28,94,56
2020-09-29,103,47
2020-09-30,101,49
2020-10-01,105,45
2020-10-02,107,43
2020-10-03,103,47
2020-10-04,98,52
2020-10-05,94,56
2020-10-06,103,47
2020-10-07,114,36
2020-10-08,111,39
2020-10-09,113,37
2020-10-10,104,46
2020-10-11,104,46
2020-10-12,102,48
2020-10-13,99,51
2020-10-14,103,47
2020-10-15,107,43
2020-10-16,100,50
2020-10-17,96,54
2020-10-18,89,61
2020-10-19,86,64
2020-10-20,96,54
2020-10-21,97,53
2020-10-22,96,54
2020-10-23,91,59
2020-10-24,89,61
2020-10-25,86,64
2020-10-26,88,62
2020-10-27,101,49
2020-10-28,109,36
2020-10-29,106,39
2020-10-30,108,37
2020-10-31,110,35
2020-11-01,94,51
2020-11-02,91,54
2020-11-03,99,46
2020-11-04,102,43
2020-11-05,100,45
2020-11-06,99,46
2020-11-07,101,44
2020-11-08,88,57
2020-11-09,91,54
2020-11-10,97,48
2020-11-11,98,47
2020-11-12,96,49
2020-11-13,101,44
2020-11-14,102,43
2020-11-15,106,39
2020-11-16,98,47
2020-11-17,110,35
2020-11-18,107,38
2020-11-19,106,39
2020-11-20,115,30
2020-11-21,107,38
2020-11-22,99,46
2020-11-23,100,45
2020-11-24,100,39
2020-11-25,102,37
2020-11-26,100,39
2020-11-27,100,39
2020-11-28,107,32
2020-11-29,100,39
2020-11-30,96,43
2020-12-01,103,36
2020-12-02,103,36
2020-12-03,94,45
2020-12-04,100,26
2020-12-05,104,22
2020-12-06,102,24
2020-12-07,100,26
2020-12-08,96,30
2020-12-09,92,34
2020-12-10,100,26
2020-12-11,103,23
2020-12-12,105,21
2020-12-13,95,31
2020-12-14,101,25
2020-12-15,109,17
2020-12-16,106,20
2020-12-17,108,18
2020-12-18,107,19
2020-12-19,105,27
2020-12-20,103,29
2020-12-21,101,31
2020-12-22,104,28
2020-12-23,106,26
2020-12-24,99,23
2020-12-25,102,20
2020-12-26,97,25
2020-12-27,100,22
2020-12-28,94,25
2020-12-29,94,23
2020-12-30,102,16
2020-12-31,96,23
2021-01-01,94,24
2021-01-02,96,22
2021-01-03,99,19
2021-01-04,95,22
2021-01-05,96,21
2021-01-06,107,11
2021-01-07,99,21
2021-01-08,110,10
2021-01-09,106,14
2021-01-10,92,25
2021-01-11,100,17
2021-01-12,107,10
2021-01-13,110,10
2021-01-14,109,11
2021-01-15,108,12
2021-01-16,109,12
2021-01-17,103,18
2021-01-18,93,27
2021-01-19,98,22
2021-01-20,106,14
2021-01-21,107,13
2021-01-22,111,9
2021-01-23,113,7
2021-01-24,103,17
2021-01-25,103,17
2021-01-26,109,13
2021-01-27,120,10
2021-01-28,116,14
2021-01-29,114,16
2021-01-30,108,22
2021-01-31,107,24
2021-02-01,105,25
2021-02-02,111,19
2021-02-03,109,21
2021-02-04,117,13
2021-02-05,112,18
2021-02-06,106,24
2021-02-07,103,27
2021-02-08,105,25
2021-02-09,105,23
2021-02-10,105,24
2021-02-11,108,21
2021-02-12,108,21
2021-02-13,101,28
2021-02-14,98,31
2021-02-15,102,28
2021-02-16,109,23
2021-02-17,107,23
2021-02-18,108,24
2021-02-19,113,19
2021-02-20,109,23
2021-02-21,104,28
2021-02-22,103,29
2021-02-23,109,23
2021-02-24,116,16
2021-02-25,115,17
2021-02-26,120,12
2021-02-27,109,23
2021-02-28,109,23
2021-03-01,107,25
2021-03-02,113,19
2021-03-03,108,24
2021-03-04,109,23
2021-03-05,119,13
2021-03-06,113,19
2021-03-07,101,31
2021-03-08,107,25
2021-03-09,108,24
2021-03-10,109,23
2021-03-11,98,34
2021-03-12,102,30
2021-03-13,101,31
2021-03-14,99,33
2021-03-15,95,37
2021-03-16,109,23
2021-03-17,108,24
2021-03-18,111,21
2021-03-19,111,21
2021-03-20,106,26
2021-03-21,110,22
2021-03-22,103,29
2021-03-23,109,23
2021-03-24,108,24
2021-03-25,116,16
2021-03-26,108,24
2021-03-27,106,26
2021-03-28,102,30
2021-03-29,101,31
2021-03-30,94,38
2021-03-31,106,26
2021-04-01,105,27
2021-04-02,107,25
2021-04-03,99,33
2021-04-04,100,32
2021-04-05,94,38
2021-04-06,96,36
2021-04-07,111,21
2021-04-08,110,22
2021-04-09,99,33
2021-04-10,100,32
2021-04-11,98,34
2021-04-12,97,35
2021-04-13,104,28
2021-04-14,106,26
2021-04-15,105,27
2021-04-16,103,29
2021-04-17,107,25
2021-04-18,101,31
2021-04-19,101,31
2021-04-20,108,24
2021-04-21,108,24
2021-04-22,114,19
2021-04-23,114,21
2021-04-24,112,23
2021-04-25,108,27
2021-04-26,107,22
2021-04-27,106,24
2021-04-28,107,23
2021-04-29,103,27
2021-04-30,105,25
2021-05-01,102,28
2021-05-02,102,28
2021-05-03,98,32
2021-05-04,105,25
2021-05-05,112,18
2021-05-06,114,17
2021-05-07,122,9
2021-05-08,112,22
2021-05-09,107,26
2021-05-10,102,30
2021-05-11,113,19
2021-05-12,104,28
2021-05-13,101,31
2021-05-14,97,35
2021-05-15,102,30
2021-05-16,100,32
2021-05-17,102,30
2021-05-18,115,17
2021-05-19,116,16
2021-05-20,106,26
2021-05-21,108,24
2021-05-22,101,31
2021-05-23,95,37
2021-05-24,101,31
2021-05-25,100,32
2021-05-26,109,23
2021-05-27,106,26
2021-05-28,103,29
2021-05-29,106,26
2021-05-30,104,28
2021-05-31,107,25
2021-06-01,107,25
2021-06-02,104,28
2021-06-03,113,20
2021-06-04,112,21
2021-06-05,111,21
2021-06-06,108,24
