date,betten_belegt,betten_frei
2020-04-24,65,52
2020-04-25,68,48
2020-04-26,65,52
2020-04-27,71,46
2020-04-28,70,47
2020-04-29,68,49
2020-04-30,67,50
2020-05-01,69,48
2020-05-02,65,52
2020-05-03,69,48
2020-05-04,63,54
2020-05-05,76,41
2020-05-06,73,44
2020-05-07,71,46
2020-05-08,78,39
2020-05-09,80,37
2020-05-10,76,41
2020-05-11,73,44
2020-05-12,69,48
2020-05-13,66,51
2020-05-14,69,48
2020-05-15,74,49
2020-05-16,73,50
2020-05-17,62,61
2020-05-18,66,57
2020-05-19,82,41
2020-05-20,78,45
2020-05-21,80,43
2020-05-22,73,50
2020-05-23,75,48
2020-05-24,70,53
2020-05-25,71,52
2020-05-26,80,43
2020-05-27,83,40
2020-05-28,82,41
2020-05-29,83,40
2020-05-30,82,41
2020-05-31,76,47
2020-06-01,84,39
2020-06-02,75,48
2020-06-03,73,50
2020-06-04,74,49
2020-06-05,76,46
2020-06-06,76,46
2020-06-07,68,42
2020-06-08,71,52
2020-06-09,78,45
2020-06-10,68,55
2020-06-11,69,54
2020-06-12,64,59
2020-06-13,73,50
2020-06-14,71,52
2020-06-15,73,50
2020-06-16,67,56
2020-06-17,62,61
2020-06-18,80,43
2020-06-19,84,39
2020-06-20,81,44
2020-06-21,72,51
2020-06-22,73,50
2020-06-23,81,42
2020-06-24,77,48
2020-06-25,78,45
2020-06-26,82,41
2020-06-27,80,43
2020-06-28,78,45
2020-06-29,71,52
2020-06-30,73,50
2020-07-01,83,40
2020-07-02,80,43
2020-07-03,83,40
2020-07-04,70,53
2020-07-05,72,51
2020-07-06,76,47
2020-07-07,82,41
2020-07-08,89,34
2020-07-09,84,39
2020-07-10,80,43
2020-07-11,72,51
2020-07-12,69,54
2020-07-13,68,55
2020-07-14,69,54
2020-07-15,76,47
2020-07-16,71,52
2020-07-17,79,44
2020-07-18,82,41
2020-07-19,77,46
2020-07-20,78,45
2020-07-21,78,45
2020-07-22,81,42
2020-07-23,87,36
2020-07-24,86,37
2020-07-25,87,36
2020-07-26,79,44
2020-07-27,79,44
2020-07-28,85,38
2020-07-29,86,37
2020-07-30,72,51
2020-07-31,81,42
2020-08-01,81,42
2020-08-02,71,52
2020-08-03,75,48
2020-08-04,54,24
2020-08-05,56,24
2020-08-06,49,31
2020-08-07,56,24
2020-08-08,50,30
2020-08-09,47,33
2020-08-10,51,29
2020-08-11,51,29
2020-08-12,54,26
2020-08-13,50,30
2020-08-14,54,26
2020-08-15,49,31
2020-08-16,43,37
2020-08-17,49,31
2020-08-18,46,34
2020-08-19,44,36
2020-08-20,51,29
2020-08-21,50,30
2020-08-22,47,33
2020-08-23,40,40
2020-08-24,43,37
2020-08-25,51,29
2020-08-26,51,29
2020-08-27,46,34
2020-08-28,53,27
2020-08-29,50,30
2020-08-30,45,35
2020-08-31,47,33
2020-09-01,56,24
2020-09-02,56,24
2020-09-03,49,31
2020-09-04,48,32
2020-09-05,53,27
2020-09-06,43,37
2020-09-07,49,31
2020-09-08,56,24
2020-09-09,54,26
2020-09-10,48,32
2020-09-11,51,29
2020-09-12,51,29
2020-09-13,48,32
2020-09-14,50,30
2020-09-15,52,28
2020-09-16,55,25
2020-09-17,55,25
2020-09-18,55,25
2020-09-19,48,32
2020-09-20,51,29
2020-09-21,50,30
2020-09-22,53,27
2020-09-23,52,28
2020-09-24,51,29
2020-09-25,47,33
2020-09-26,50,30
2020-09-27,48,32
2020-09-28,53,27
2020-09-29,49,31
2020-09-30,50,30
2020-10-01,55,25
2020-10-02,52,28
2020-10-03,55,25
2020-10-04,50,30
2020-10-05,49,31
2020-10-06,57,23
2020-10-07,52,28
2020-10-08,52,28
2020-10-09,54,26
2020-10-10,54,26
2020-10-11,51,29
2020-10-12,52,28
2020-10-13,52,28
2020-10-14,52,28
2020-10-15,58,22
2020-10-16,56,24
2020-10-17,57,23
2020-10-18,49,31
2020-10-19,52,28
2020-10-20,57,23
2020-10-21,54,26
2020-10-22,47,33
2020-10-23,46,34
2020-10-24,44,32
2020-10-25,46,30
2020-10-26,48,28
2020-10-27,50,26
2020-10-28,48,27
2020-10-29,49,26
2020-10-30,47,26
2020-10-31,47,26
2020-11-01,52,21
2020-11-02,48,11
2020-11-03,48,11
2020-11-04,45,16
2020-11-05,48,13
2020-11-06,46,15
2020-11-07,40,19
2020-11-08,42,17
2020-11-09,41,18
2020-11-10,45,14
2020-11-11,49,10
2020-11-12,52,7
2020-11-13,51,8
2020-11-14,52,9
2020-11-15,52,9
2020-11-16,47,14
2020-11-17,49,12
2020-11-18,49,12
2020-11-19,50,11
2020-11-20,51,11
2020-11-21,48,13
2020-11-22,42,19
2020-11-23,49,13
2020-11-24,51,15
2020-11-25,46,20
2020-11-26,53,13
2020-11-27,54,12
2020-11-28,52,14
2020-11-29,49,17
2020-11-30,46,20
2020-12-01,52,14
2020-12-02,50,16
2020-12-03,51,15
2020-12-04,55,11
2020-12-05,49,7
2020-12-06,50,6
2020-12-07,50,6
2020-12-08,48,8
2020-12-09,46,10
2020-12-10,47,9
