date,betten_belegt,betten_frei
2020-04-24,119,77
2020-04-25,109,89
2020-04-26,117,79
2020-04-27,106,89
2020-04-28,113,83
2020-04-29,121,76
2020-04-30,118,79
2020-05-01,108,86
2020-05-02,104,90
2020-05-03,102,89
2020-05-04,103,84
2020-05-05,108,82
2020-05-06,98,89
2020-05-07,98,91
2020-05-08,101,88
2020-05-09,103,86
2020-05-10,96,87
2020-05-11,89,95
2020-05-12,88,93
2020-05-13,101,84
2020-05-14,98,91
2020-05-15,104,85
2020-05-16,99,90
2020-05-17,90,99
2020-05-18,92,95
2020-05-19,103,83
2020-05-20,106,83
2020-05-21,108,77
2020-05-22,98,85
2020-05-23,100,87
2020-05-24,100,85
2020-05-25,105,80
2020-05-26,104,83
2020-05-27,103,85
2020-05-28,102,85
2020-05-29,98,85
2020-05-30,92,85
2020-05-31,100,81
2020-06-01,98,86
2020-06-02,96,88
2020-06-03,94,90
2020-06-04,98,86
2020-06-05,105,83
2020-06-06,96,92
2020-06-07,96,89
2020-06-08,100,89
2020-06-09,104,90
2020-06-10,101,83
2020-06-11,104,83
2020-06-12,107,81
2020-06-13,93,92
2020-06-14,89,97
2020-06-15,96,93
2020-06-16,99,89
2020-06-17,97,92
2020-06-18,103,91
2020-06-19,108,77
2020-06-20,102,76
2020-06-21,100,72
2020-06-22,109,65
2020-06-23,105,66
2020-06-24,108,68
2020-06-25,105,70
2020-06-26,106,69
2020-06-27,98,77
2020-06-28,96,69
2020-06-29,94,89
2020-06-30,103,84
2020-07-01,117,78
2020-07-02,107,78
2020-07-03,108,77
2020-07-04,107,78
2020-07-05,99,86
2020-07-06,102,83
2020-07-07,104,81
2020-07-08,109,76
2020-07-09,101,84
2020-07-10,98,87
2020-07-11,99,86
2020-07-12,93,92
2020-07-13,96,89
2020-07-14,100,85
2020-07-15,105,80
2020-07-16,103,81
2020-07-17,131,87
2020-07-18,130,67
2020-07-19,123,64
2020-07-20,127,70
2020-07-21,126,72
2020-07-22,156,120
2020-07-23,152,122
2020-07-24,157,114
2020-07-25,153,118
2020-07-26,152,120
2020-07-27,125,93
2020-07-28,132,87
