date,betten_belegt,betten_frei
2020-04-24,49,11
2020-04-25,49,11
2020-04-26,39,21
2020-04-27,39,21
2020-04-28,49,11
2020-04-29,49,11
2020-04-30,36,10
2020-05-01,60,12
2020-05-02,48,16
2020-05-03,47,25
2020-05-04,42,24
2020-05-05,48,22
2020-05-06,58,12
2020-05-07,55,14
2020-05-08,55,14
2020-05-09,55,17
2020-05-10,56,17
2020-05-11,60,14
2020-05-12,62,12
2020-05-13,64,11
2020-05-14,60,10
2020-05-15,63,13
2020-05-16,60,14
2020-05-17,61,11
2020-05-18,66,6
2020-05-19,64,6
2020-05-20,54,16
2020-05-21,52,16
2020-05-22,49,18
2020-05-23,49,18
2020-05-24,48,20
2020-05-25,50,19
2020-05-26,54,15
2020-05-27,55,14
2020-05-28,56,13
2020-05-29,56,10
2020-05-30,56,10
2020-05-31,56,10
2020-06-01,57,9
2020-06-02,56,10
2020-06-03,55,11
2020-06-04,54,12
2020-06-05,18,6
2020-06-06,17,7
2020-06-07,14,6
2020-06-08,14,8
2020-06-09,59,9
2020-06-10,59,9
2020-06-11,57,11
2020-06-12,57,11
2020-06-13,54,16
2020-06-14,59,11
2020-06-15,53,17
2020-06-16,51,19
2020-06-17,50,20
2020-06-18,50,20
2020-06-19,47,23
2020-06-20,48,22
2020-06-21,49,21
2020-06-22,48,22
2020-06-23,44,26
2020-06-24,46,24
2020-06-25,46,24
2020-06-26,17,7
2020-06-27,14,10
2020-06-28,13,11
2020-06-29,14,10
2020-06-30,17,7
2020-07-01,18,6
2020-07-02,18,6
2020-07-03,18,6
2020-07-04,14,10
2020-07-05,17,7
2020-07-06,15,9
2020-07-07,13,11
2020-07-08,13,11
2020-07-09,16,8
2020-07-10,17,7
2020-07-11,13,11
2020-07-12,11,13
2020-07-13,10,14
2020-07-14,11,13
2020-07-15,14,10
2020-07-16,15,9
2020-07-17,14,10
2020-07-18,15,9
2020-07-19,17,7
2020-07-20,16,8
2020-07-21,47,23
2020-07-22,49,21
2020-07-23,54,32
2020-07-24,55,31
2020-07-25,50,36
2020-07-26,38,48
2020-07-27,45,41
2020-07-28,43,43
2020-07-29,46,40
2020-07-30,43,43
2020-07-31,45,41
2020-08-01,76,37
2020-08-02,65,49
2020-08-03,56,45
2020-08-04,39,30
2020-08-05,40,29
2020-08-06,45,24
2020-08-07,45,24
2020-08-08,48,21
2020-08-09,45,24
2020-08-10,42,27
2020-08-11,48,21
2020-08-12,46,23
2020-08-13,40,29
2020-08-14,42,27
2020-08-15,44,25
2020-08-16,41,28
2020-08-17,44,25
2020-08-18,43,26
2020-08-19,33,36
2020-08-20,35,34
2020-08-21,37,32
2020-08-22,34,35
2020-08-23,34,35
2020-08-24,36,33
2020-08-25,35,34
2020-08-26,39,30
2020-08-27,35,30
2020-08-28,34,31
2020-08-29,32,33
2020-08-30,33,30
2020-08-31,39,24
2020-09-01,40,25
2020-09-02,41,24
2020-09-03,40,25
2020-09-04,40,25
2020-09-05,40,25
2020-09-06,40,25
2020-09-07,40,25
2020-09-08,42,27
2020-09-09,50,19
2020-09-10,49,20
2020-09-11,48,21
2020-09-12,47,22
2020-09-13,47,19
2020-09-14,44,22
2020-09-15,40,26
2020-09-16,42,25
2020-09-17,40,27
2020-09-18,41,26
2020-09-19,40,27
2020-09-20,43,24
2020-09-21,39,28
2020-09-22,23,15
2020-09-23,18,6
2020-09-24,26,11
2020-09-25,25,12
2020-09-26,29,9
2020-09-27,28,10
2020-09-28,24,12
2020-09-29,48,19
2020-09-30,48,19
2020-10-01,48,19
2020-10-02,46,23
2020-10-03,42,27
2020-10-04,43,26
2020-10-05,50,19
2020-10-06,49,20
2020-10-07,45,24
2020-10-08,45,24
2020-10-09,38,31
2020-10-10,39,30
2020-10-11,43,26
2020-10-12,45,24
2020-10-13,41,28
2020-10-14,26,12
2020-10-15,25,13
2020-10-16,25,13
2020-10-17,21,17
2020-10-18,24,14
2020-10-19,25,13
2020-10-20,32,6
2020-10-21,29,9
2020-10-22,48,21
2020-10-23,46,23
2020-10-24,46,23
2020-10-25,45,24
2020-10-26,47,22
2020-10-27,46,23
2020-10-28,46,23
2020-10-29,43,26
2020-10-30,43,16
2020-10-31,43,16
2020-11-01,44,15
2020-11-02,45,14
2020-11-03,49,10
2020-11-04,49,10
2020-11-05,47,12
2020-11-06,51,8
2020-11-07,49,10
2020-11-08,49,10
2020-11-09,47,12
2020-11-10,24,14
2020-11-11,24,14
2020-11-12,21,17
2020-11-13,22,16
2020-11-14,21,17
2020-11-15,26,12
2020-11-16,44,15
2020-11-17,41,18
2020-11-18,40,19
2020-11-19,42,17
2020-11-20,42,17
2020-11-21,43,16
2020-11-22,42,11
2020-11-23,43,9
2020-11-24,42,10
2020-11-25,37,15
2020-11-26,42,18
2020-11-27,43,17
2020-11-28,44,14
2020-11-29,42,16
2020-11-30,45,12
2020-12-01,44,12
2020-12-02,48,11
2020-12-03,44,14
2020-12-04,46,13
2020-12-05,46,12
2020-12-06,46,11
2020-12-07,42,15
2020-12-08,48,11
2020-12-09,46,12
2020-12-10,46,12
2020-12-11,44,16
2020-12-12,39,19
2020-12-13,42,17
2020-12-14,42,14
2020-12-15,44,12
2020-12-16,41,15
2020-12-17,44,13
2020-12-18,40,17
2020-12-19,41,16
2020-12-20,42,15
2020-12-21,41,15
2020-12-22,43,15
2020-12-23,48,11
2020-12-24,48,10
2020-12-25,41,18
2020-12-26,42,17
2020-12-27,43,16
2020-12-28,42,17
2020-12-29,47,12
2020-12-30,48,11
2020-12-31,47,12
2021-01-01,41,18
2021-01-02,42,16
2021-01-03,43,16
2021-01-04,43,16
2021-01-05,39,19
2021-01-06,37,22
2021-01-07,43,14
2021-01-08,40,18
2021-01-09,44,14
2021-01-10,42,17
2021-01-11,40,17
2021-01-12,45,13
2021-01-13,41,18
2021-01-14,41,17
