date,betten_belegt,betten_frei
2020-04-24,22,37
2020-04-25,27,32
2020-04-26,27,32
2020-04-27,25,34
2020-04-28,25,34
2020-04-29,27,32
2020-04-30,26,33
2020-05-01,27,32
2020-05-02,19,36
2020-05-03,18,37
2020-05-04,18,41
2020-05-05,26,33
2020-05-06,26,33
2020-05-07,24,33
2020-05-08,35,22
2020-05-09,27,30
2020-05-10,26,31
2020-05-11,27,30
2020-05-12,33,24
2020-05-13,34,23
2020-05-14,32,25
2020-05-15,34,23
2020-05-16,30,27
2020-05-17,27,30
2020-05-18,20,37
2020-05-19,28,29
2020-05-20,30,27
2020-05-21,32,25
2020-05-22,28,29
2020-05-23,25,34
2020-05-24,23,34
2020-05-25,26,31
2020-05-26,23,27
2020-05-27,25,32
2020-05-28,28,32
2020-05-29,28,29
2020-05-30,24,33
2020-05-31,21,36
2020-06-01,24,33
2020-06-02,23,34
2020-06-03,30,27
2020-06-04,25,32
2020-06-05,25,32
2020-06-06,25,36
2020-06-07,18,39
2020-06-08,27,30
2020-06-09,32,25
2020-06-10,31,26
2020-06-11,27,30
2020-06-12,35,22
2020-06-13,29,28
2020-06-14,30,27
2020-06-15,20,37
2020-06-16,27,32
2020-06-17,30,29
2020-06-18,25,38
2020-06-19,29,34
2020-06-20,31,26
2020-06-21,19,40
2020-06-22,22,37
2020-06-23,22,37
2020-06-24,22,37
2020-06-25,24,35
2020-06-26,28,31
2020-06-27,27,31
2020-06-28,24,35
2020-06-29,28,31
2020-06-30,34,25
2020-07-01,31,28
2020-07-02,28,31
2020-07-03,30,29
2020-07-04,33,23
2020-07-05,27,30
2020-07-06,28,31
2020-07-07,33,26
2020-07-08,36,23
2020-07-09,36,23
2020-07-10,30,27
2020-07-11,35,24
2020-07-12,29,30
2020-07-13,29,30
2020-07-14,27,32
2020-07-15,26,33
2020-07-16,35,24
2020-07-17,27,32
2020-07-18,26,33
2020-07-19,27,32
2020-07-20,27,32
2020-07-21,24,35
2020-07-22,28,31
2020-07-23,29,30
2020-07-24,25,34
2020-07-25,27,31
2020-07-26,23,36
2020-07-27,26,33
2020-07-28,22,36
2020-07-29,26,33
2020-07-30,15,44
2020-07-31,19,40
2020-08-01,25,34
2020-08-02,23,36
2020-08-03,23,36
2020-08-04,27,37
2020-08-05,29,35
2020-08-06,33,31
2020-08-07,33,31
2020-08-08,28,36
2020-08-09,29,35
2020-08-10,29,35
2020-08-11,29,35
2020-08-12,27,37
2020-08-13,28,36
2020-08-14,32,32
2020-08-15,32,32
2020-08-16,29,35
2020-08-17,31,33
2020-08-18,31,33
2020-08-19,34,30
2020-08-20,30,34
2020-08-21,27,37
2020-08-22,27,37
2020-08-23,27,37
2020-08-24,29,35
2020-08-25,31,33
2020-08-26,36,28
2020-08-27,31,33
2020-08-28,33,31
2020-08-29,27,37
2020-08-30,28,36
2020-08-31,27,37
2020-09-01,32,32
2020-09-02,35,29
2020-09-03,28,36
2020-09-04,30,34
2020-09-05,34,30
2020-09-06,25,39
2020-09-07,26,38
2020-09-08,33,31
2020-09-09,33,31
2020-09-10,34,30
2020-09-11,35,29
2020-09-12,29,35
2020-09-13,27,37
2020-09-14,24,40
2020-09-15,27,37
2020-09-16,29,35
2020-09-17,26,38
2020-09-18,27,37
2020-09-19,24,40
2020-09-20,19,45
2020-09-21,22,42
2020-09-22,22,42
2020-09-23,29,35
2020-09-24,28,36
2020-09-25,26,38
2020-09-26,29,35
2020-09-27,24,40
2020-09-28,25,41
2020-09-29,33,33
2020-09-30,29,37
2020-10-01,29,31
2020-10-02,31,22
2020-10-03,30,23
2020-10-04,31,22
2020-10-05,30,23
2020-10-06,25,28
2020-10-07,26,27
2020-10-08,26,27
2020-10-09,27,26
2020-10-10,29,24
2020-10-11,28,25
2020-10-12,31,22
2020-10-13,31,22
2020-10-14,35,18
2020-10-15,30,23
2020-10-16,38,15
2020-10-17,35,18
2020-10-18,21,32
2020-10-19,24,29
2020-10-20,28,25
2020-10-21,30,18
