date,betten_belegt,betten_frei
2020-04-24,39,24
2020-04-25,41,22
2020-04-26,38,25
2020-04-27,34,29
2020-04-28,40,23
2020-04-29,41,22
2020-04-30,42,21
2020-05-01,39,25
2020-05-02,40,23
2020-05-03,40,23
2020-05-04,42,15
2020-05-05,35,22
2020-05-06,35,28
2020-05-07,40,23
2020-05-08,41,22
2020-05-09,43,20
2020-05-10,43,28
2020-05-11,38,25
2020-05-12,36,21
2020-05-13,37,20
2020-05-14,39,17
2020-05-15,38,19
2020-05-16,36,21
2020-05-17,37,18
2020-05-18,34,23
2020-05-19,39,18
2020-05-20,28,29
2020-05-21,28,29
2020-05-22,31,26
2020-05-23,30,27
2020-05-24,29,34
2020-05-25,25,32
2020-05-26,32,25
2020-05-27,28,29
2020-05-28,28,29
2020-05-29,42,21
2020-05-30,36,20
2020-05-31,35,23
2020-06-01,28,30
2020-06-02,33,25
2020-06-03,28,24
2020-06-04,30,22
2020-06-05,32,20
2020-06-06,38,14
2020-06-07,29,20
2020-06-08,38,14
2020-06-09,39,13
2020-06-10,38,14
2020-06-11,36,16
2020-06-12,39,13
2020-06-13,38,14
2020-06-14,36,16
2020-06-15,37,12
2020-06-16,37,15
2020-06-17,37,13
2020-06-18,37,15
2020-06-19,41,11
2020-06-20,38,14
2020-06-21,39,12
2020-06-22,40,12
2020-06-23,43,11
2020-06-24,40,14
2020-06-25,40,14
2020-06-26,44,10
2020-06-27,43,9
2020-06-28,38,16
2020-06-29,38,16
2020-06-30,37,15
2020-07-01,41,11
2020-07-02,40,12
2020-07-03,39,13
2020-07-04,34,19
2020-07-05,29,20
2020-07-06,41,14
2020-07-07,34,18
2020-07-08,35,17
2020-07-09,30,13
2020-07-10,34,9
2020-07-11,42,9
2020-07-12,43,9
2020-07-13,38,8
2020-07-14,40,7
2020-07-15,31,16
2020-07-16,31,16
2020-07-17,31,15
2020-07-18,35,12
2020-07-19,34,15
2020-07-20,30,17
2020-07-21,34,13
2020-07-22,30,16
2020-07-23,37,10
2020-07-24,35,12
2020-07-25,33,16
2020-07-26,35,11
2020-07-27,34,13
2020-07-28,38,9
2020-07-29,37,10
2020-07-30,48,10
2020-07-31,50,10
2020-08-01,49,11
2020-08-02,49,11
2020-08-03,44,15
2020-08-04,49,14
2020-08-05,45,18
2020-08-06,42,21
2020-08-07,44,20
2020-08-08,39,24
2020-08-09,40,23
2020-08-10,42,21
2020-08-11,43,20
2020-08-12,42,21
2020-08-13,44,20
2020-08-14,52,12
2020-08-15,52,12
2020-08-16,52,12
2020-08-17,41,25
2020-08-18,41,23
2020-08-19,43,21
2020-08-20,42,22
2020-08-21,39,25
2020-08-22,42,22
2020-08-23,40,24
2020-08-24,40,22
2020-08-25,42,20
2020-08-26,46,16
2020-08-27,45,17
2020-08-28,49,13
2020-08-29,46,16
2020-08-30,41,21
2020-08-31,38,24
2020-09-01,45,19
2020-09-02,47,15
2020-09-03,51,11
2020-09-04,49,13
2020-09-05,46,16
2020-09-06,43,19
2020-09-07,44,18
2020-09-08,46,16
2020-09-09,50,11
2020-09-10,49,13
2020-09-11,51,10
2020-09-12,50,12
2020-09-13,49,13
2020-09-14,44,17
2020-09-15,49,14
2020-09-16,50,10
2020-09-17,48,12
2020-09-18,48,12
2020-09-19,45,17
2020-09-20,57,5
2020-09-21,49,13
2020-09-22,48,14
2020-09-23,45,17
2020-09-24,54,8
2020-09-25,50,10
2020-09-26,51,11
2020-09-27,43,19
2020-09-28,42,20
2020-09-29,43,19
2020-09-30,49,13
2020-10-01,48,14
2020-10-02,46,16
2020-10-03,45,17
2020-10-04,51,11
2020-10-05,48,14
2020-10-06,43,19
2020-10-07,51,12
2020-10-08,49,13
2020-10-09,45,17
2020-10-10,46,16
2020-10-11,48,14
2020-10-12,47,15
2020-10-13,51,11
2020-10-14,48,14
2020-10-15,48,14
2020-10-16,51,11
2020-10-17,51,11
2020-10-18,43,16
2020-10-19,40,19
2020-10-20,44,11
2020-10-21,43,12
2020-10-22,44,11
2020-10-23,42,10
2020-10-24,41,3
2020-10-25,38,5
2020-10-26,41,3
2020-10-27,48,3
2020-10-28,46,4
2020-10-29,46,2
2020-10-30,48,1
2020-10-31,44,5
2020-11-01,43,5
2020-11-02,44,5
2020-11-03,39,13
2020-11-04,44,9
2020-11-05,44,9
2020-11-06,41,12
2020-11-07,46,6
2020-11-08,46,6
2020-11-09,44,10
2020-11-10,45,10
2020-11-11,45,10
2020-11-12,45,10
2020-11-13,44,11
2020-11-14,49,6
2020-11-15,46,9
2020-11-16,46,9
2020-11-17,45,9
2020-11-18,48,6
2020-11-19,48,6
2020-11-20,50,5
2020-11-21,51,3
2020-11-22,44,10
2020-11-23,49,5
2020-11-24,48,6
2020-11-25,49,3
2020-11-26,52,2
2020-11-27,50,1
2020-11-28,49,2
2020-11-29,44,7
2020-11-30,45,8
2020-12-01,49,5
2020-12-02,51,3
2020-12-03,52,5
2020-12-04,50,6
2020-12-05,49,6
2020-12-06,46,10
2020-12-07,49,6
2020-12-08,49,6
2020-12-09,46,6
2020-12-10,51,3
2020-12-11,48,5
2020-12-12,52,3
2020-12-13,53,3
2020-12-14,49,5
2020-12-15,48,5
2020-12-16,50,4
2020-12-17,47,7
2020-12-18,49,4
2020-12-19,47,7
2020-12-20,45,9
2020-12-21,46,6
2020-12-22,46,2
2020-12-23,48,2
2020-12-24,37,13
2020-12-25,42,6
2020-12-26,41,7
2020-12-27,45,3
2020-12-28,45,0
2020-12-29,47,1
2020-12-30,46,3
2020-12-31,44,4
2021-01-01,48,4
2021-01-02,47,5
2021-01-03,46,2
2021-01-04,43,6
2021-01-05,42,5
2021-01-06,44,3
2021-01-07,41,8
2021-01-08,44,5
2021-01-09,45,5
2021-01-10,49,2
2021-01-11,52,2
2021-01-12,50,3
2021-01-13,44,5
2021-01-14,47,2
2021-01-15,43,6
2021-01-16,44,4
2021-01-17,46,3
2021-01-18,47,2
2021-01-19,45,3
2021-01-20,49,2
2021-01-21,49,3
2021-01-22,50,1
2021-01-23,50,1
2021-01-24,45,8
2021-01-25,43,5
2021-01-26,48,3
2021-01-27,48,5
2021-01-28,48,5
2021-01-29,47,7
2021-01-30,43,11
2021-01-31,46,8
2021-02-01,43,11
2021-02-02,43,9
2021-02-03,47,7
2021-02-04,49,7
