date,betten_belegt,betten_frei
2020-04-24,17,22
2020-04-25,17,22
2020-04-26,17,22
2020-04-27,23,16
2020-04-28,18,21
2020-04-29,20,19
2020-04-30,15,22
2020-05-01,13,24
2020-05-02,12,25
2020-05-03,9,26
2020-05-04,20,17
2020-05-05,24,15
2020-05-06,21,18
2020-05-07,23,17
2020-05-08,22,22
2020-05-09,21,23
2020-05-10,12,24
2020-05-11,18,20
2020-05-12,21,17
2020-05-13,21,17
2020-05-14,22,17
2020-05-15,28,10
2020-05-16,28,10
2020-05-17,28,10
2020-05-18,27,11
2020-05-19,21,17
2020-05-20,20,18
2020-05-21,23,15
2020-05-22,18,20
2020-05-23,18,20
2020-05-24,20,18
2020-05-25,19,19
2020-05-26,22,16
2020-05-27,23,15
2020-05-28,22,16
2020-05-29,21,17
2020-05-30,21,17
2020-05-31,21,17
2020-06-01,21,17
2020-06-02,19,19
2020-06-03,22,16
2020-06-04,18,20
2020-06-05,18,20
2020-06-06,16,22
2020-06-07,13,25
2020-06-08,13,26
2020-06-09,17,23
2020-06-10,16,23
2020-06-11,17,22
2020-06-12,20,19
2020-06-13,20,19
2020-06-14,21,18
2020-06-15,17,22
2020-06-16,20,19
2020-06-17,18,20
2020-06-18,12,26
2020-06-19,17,19
2020-06-20,20,16
2020-06-21,18,20
2020-06-22,19,19
2020-06-23,14,19
2020-06-24,13,25
2020-06-25,15,23
2020-06-26,15,22
2020-06-27,15,22
2020-06-28,15,23
2020-06-29,12,25
2020-06-30,13,25
2020-07-01,13,25
2020-07-02,13,25
2020-07-03,11,27
2020-07-04,9,29
2020-07-05,7,31
2020-07-06,10,28
2020-07-07,13,25
2020-07-08,10,28
2020-07-09,12,32
2020-07-10,15,29
2020-07-11,15,29
2020-07-12,15,29
2020-07-13,17,27
2020-07-14,17,27
2020-07-15,16,28
2020-07-16,14,30
2020-07-17,15,29
2020-07-18,15,29
2020-07-19,15,29
2020-07-20,14,29
2020-07-21,13,30
2020-07-22,12,31
2020-07-23,14,31
2020-07-24,14,31
2020-07-25,16,29
2020-07-26,16,29
2020-07-27,16,29
2020-07-28,16,29
2020-07-29,13,32
2020-07-30,14,31
2020-07-31,13,32
2020-08-01,13,32
2020-08-02,13,32
2020-08-03,13,32
2020-08-04,13,32
2020-08-05,15,11
2020-08-06,14,15
2020-08-07,13,17
2020-08-08,13,18
2020-08-09,13,18
2020-08-10,12,19
2020-08-11,15,16
2020-08-12,11,20
2020-08-13,15,16
2020-08-14,15,16
2020-08-15,15,16
2020-08-16,12,19
2020-08-17,12,19
2020-08-18,12,20
2020-08-19,12,20
2020-08-20,14,18
2020-08-21,11,21
2020-08-22,11,21
2020-08-23,12,20
2020-08-24,14,16
2020-08-25,16,14
2020-08-26,15,15
2020-08-27,13,18
2020-08-28,13,18
2020-08-29,16,14
2020-08-30,15,16
2020-08-31,10,22
2020-09-01,12,20
2020-09-02,12,21
2020-09-03,15,15
2020-09-04,12,20
2020-09-05,14,18
2020-09-06,16,14
2020-09-07,12,20
2020-09-08,12,19
2020-09-09,12,22
2020-09-10,12,21
2020-09-11,13,19
2020-09-12,14,18
2020-09-13,14,18
2020-09-14,11,22
2020-09-15,13,19
2020-09-16,13,19
2020-09-17,12,20
2020-09-18,12,21
2020-09-19,14,19
2020-09-20,14,19
2020-09-21,15,17
2020-09-22,16,15
2020-09-23,16,15
2020-09-24,13,20
2020-09-25,16,16
2020-09-26,13,18
2020-09-27,12,21
2020-09-28,13,19
2020-09-29,13,19
2020-09-30,16,15
2020-10-01,17,14
2020-10-02,15,18
2020-10-03,15,18
2020-10-04,13,19
2020-10-05,14,18
2020-10-06,12,20
2020-10-07,13,19
2020-10-08,13,19
2020-10-09,13,20
2020-10-10,13,22
2020-10-11,13,22
2020-10-12,16,17
2020-10-13,15,19
2020-10-14,14,20
2020-10-15,11,23
2020-10-16,16,17
2020-10-17,13,22
2020-10-18,12,22
2020-10-19,13,21
2020-10-20,15,19
2020-10-21,13,21
2020-10-22,14,20
2020-10-23,15,19
2020-10-24,14,20
2020-10-25,14,20
2020-10-26,13,23
2020-10-27,14,21
2020-10-28,13,22
2020-10-29,13,22
2020-10-30,13,22
2020-10-31,11,24
2020-11-01,12,23
2020-11-02,13,22
2020-11-03,13,22
2020-11-04,11,24
2020-11-05,11,24
2020-11-06,10,25
2020-11-07,11,24
2020-11-08,11,24
2020-11-09,10,25
2020-11-10,12,23
2020-11-11,12,23
2020-11-12,9,14
2020-11-13,14,9
2020-11-14,11,12
2020-11-15,11,12
2020-11-16,13,10
2020-11-17,11,12
2020-11-18,9,14
2020-11-19,11,12
2020-11-20,10,13
2020-11-21,11,12
2020-11-22,11,12
2020-11-23,9,14
2020-11-24,10,13
2020-11-25,10,13
2020-11-26,14,9
2020-11-27,10,13
2020-11-28,13,10
2020-11-29,13,10
2020-11-30,13,10
2020-12-01,14,9
2020-12-02,11,12
2020-12-03,13,10
2020-12-04,13,10
2020-12-05,11,12
2020-12-06,10,13
2020-12-07,12,11
2020-12-08,16,7
2020-12-09,13,10
2020-12-10,9,14
2020-12-11,14,7
2020-12-12,13,6
2020-12-13,10,9
2020-12-14,10,9
2020-12-15,13,6
2020-12-16,11,8
2020-12-17,12,7
2020-12-18,13,6
2020-12-19,12,7
2020-12-20,11,8
2020-12-21,10,9
2020-12-22,8,11
2020-12-23,9,10
2020-12-24,10,9
2020-12-25,12,7
2020-12-26,13,6
2020-12-27,14,5
2020-12-28,11,8
2020-12-29,9,10
2020-12-30,10,9
2020-12-31,11,8
2021-01-01,10,9
2021-01-02,12,7
2021-01-03,11,8
2021-01-04,11,8
2021-01-05,12,7
2021-01-06,13,6
2021-01-07,13,6
2021-01-08,13,1
2021-01-09,14,1
2021-01-10,13,1
2021-01-11,11,3
2021-01-12,11,3
2021-01-13,14,1
2021-01-14,12,2
2021-01-15,12,2
2021-01-16,12,2
2021-01-17,10,4
2021-01-18,11,3
2021-01-19,12,2
2021-01-20,13,1
2021-01-21,14,0
2021-01-22,14,0
2021-01-23,14,0
2021-01-24,14,0
2021-01-25,14,0
2021-01-26,14,0
2021-01-27,14,0
2021-01-28,14,0
2021-01-29,15,0
2021-01-30,13,2
2021-01-31,14,0
2021-02-01,14,0
2021-02-02,14,0
2021-02-03,15,0
2021-02-04,15,0
2021-02-05,14,0
2021-02-06,13,1
2021-02-07,12,2
2021-02-08,13,1
2021-02-09,13,1
2021-02-10,13,1
2021-02-11,13,1
2021-02-12,14,0
2021-02-13,13,1
2021-02-14,13,1
2021-02-15,12,2
2021-02-16,13,2
2021-02-17,13,1
2021-02-18,12,2
2021-02-19,11,3
2021-02-20,9,5
2021-02-21,11,3
2021-02-22,12,2
2021-02-23,13,1
2021-02-24,14,1
2021-02-25,12,2
2021-02-26,12,2
2021-02-27,11,3
2021-02-28,12,3
