date,betten_belegt,betten_frei
2020-04-24,21,26
2020-04-25,21,26
2020-04-26,19,28
2020-04-27,20,27
2020-04-28,20,27
2020-04-29,26,21
2020-04-30,24,23
2020-05-01,24,23
2020-05-02,16,6
2020-05-03,27,20
2020-05-04,28,19
2020-05-05,28,19
2020-05-06,29,18
2020-05-07,29,18
2020-05-08,23,24
2020-05-09,25,22
2020-05-10,26,21
2020-05-11,25,22
2020-05-12,24,23
2020-05-13,21,26
2020-05-14,19,28
2020-05-15,22,25
2020-05-16,25,22
2020-05-17,26,9
2020-05-18,25,10
2020-05-19,26,15
2020-05-20,29,12
2020-05-21,27,14
2020-05-22,30,11
2020-05-23,30,11
2020-05-24,31,10
2020-05-25,28,13
2020-05-26,28,13
2020-05-27,31,10
2020-05-28,30,11
2020-05-29,31,10
2020-05-30,26,15
2020-05-31,32,9
2020-06-01,32,9
2020-06-02,32,9
2020-06-03,28,13
2020-06-04,32,9
2020-06-05,34,7
2020-06-06,32,9
2020-06-07,33,8
2020-06-08,36,5
2020-06-09,36,5
2020-06-10,34,7
2020-06-11,34,7
2020-06-12,32,9
2020-06-13,30,11
2020-06-14,29,12
2020-06-15,31,10
2020-06-16,35,6
2020-06-17,31,10
2020-06-18,31,10
2020-06-19,35,6
2020-06-20,34,7
2020-06-21,32,9
2020-06-22,31,10
2020-06-23,33,8
2020-06-24,35,6
2020-06-25,33,8
2020-06-26,36,5
2020-06-27,35,6
2020-06-28,34,7
2020-06-29,33,8
2020-06-30,32,9
2020-07-01,32,9
2020-07-02,34,7
2020-07-03,31,10
2020-07-04,32,9
2020-07-05,31,10
2020-07-06,28,13
2020-07-07,32,9
2020-07-08,33,8
2020-07-09,29,12
2020-07-10,31,10
2020-07-11,28,13
2020-07-12,30,11
2020-07-13,29,12
2020-07-14,29,12
2020-07-15,29,12
2020-07-16,30,11
2020-07-17,31,10
2020-07-18,29,12
2020-07-19,31,10
2020-07-20,30,11
2020-07-21,28,13
2020-07-22,30,11
2020-07-23,29,12
2020-07-24,32,9
2020-07-25,34,7
2020-07-26,27,14
2020-07-27,27,14
2020-07-28,28,13
2020-07-29,28,13
2020-07-30,26,15
2020-07-31,25,16
2020-08-01,26,15
2020-08-02,28,13
2020-08-03,26,15
2020-08-04,26,15
2020-08-05,26,15
2020-08-06,33,8
2020-08-07,26,15
2020-08-08,28,13
2020-08-09,28,13
2020-08-10,31,10
2020-08-11,32,9
2020-08-12,32,9
2020-08-13,32,9
2020-08-14,33,8
2020-08-15,33,8
2020-08-16,33,8
