date,betten_belegt,betten_frei
2020-04-24,139,37
2020-04-25,144,32
2020-04-26,128,43
2020-04-27,130,46
2020-04-28,134,44
2020-04-29,137,41
2020-04-30,142,35
2020-05-01,147,31
2020-05-02,136,37
2020-05-03,130,44
2020-05-04,131,47
2020-05-05,136,41
2020-05-06,143,34
2020-05-07,138,40
2020-05-08,144,34
2020-05-09,144,30
2020-05-10,140,34
2020-05-11,136,42
2020-05-12,130,48
2020-05-13,130,48
2020-05-14,144,34
2020-05-15,147,29
2020-05-16,151,27
2020-05-17,139,35
2020-05-18,133,45
2020-05-19,143,33
2020-05-20,141,34
2020-05-21,144,28
2020-05-22,141,31
2020-05-23,142,70
2020-05-24,140,32
2020-05-25,143,29
2020-05-26,146,30
2020-05-27,155,21
2020-05-28,148,26
2020-05-29,155,18
2020-05-30,157,19
2020-05-31,149,23
2020-06-01,138,34
2020-06-02,143,33
2020-06-03,151,25
2020-06-04,151,25
2020-06-05,161,13
2020-06-06,152,24
2020-06-07,147,25
2020-06-08,145,29
2020-06-09,152,23
2020-06-10,153,23
2020-06-11,153,22
2020-06-12,149,26
2020-06-13,149,26
2020-06-14,138,34
2020-06-15,150,26
2020-06-16,159,17
2020-06-17,161,15
2020-06-18,159,17
2020-06-19,162,14
2020-06-20,161,15
2020-06-21,139,33
2020-06-22,144,31
2020-06-23,150,26
2020-06-24,147,29
2020-06-25,149,27
2020-06-26,158,18
2020-06-27,151,25
2020-06-28,150,24
2020-06-29,147,29
2020-06-30,155,21
2020-07-01,151,25
2020-07-02,153,23
2020-07-03,152,24
2020-07-04,149,27
2020-07-05,142,30
2020-07-06,133,43
2020-07-07,151,25
2020-07-08,155,21
2020-07-09,149,27
2020-07-10,151,25
2020-07-11,150,22
2020-07-12,135,34
2020-07-13,137,38
2020-07-14,143,33
2020-07-15,155,21
2020-07-16,146,30
2020-07-17,139,37
2020-07-18,139,33
2020-07-19,142,30
2020-07-20,150,22
2020-07-21,162,14
2020-07-22,159,17
2020-07-23,156,22
2020-07-24,158,19
2020-07-25,157,20
2020-07-26,151,21
2020-07-27,156,21
2020-07-28,153,24
2020-07-29,154,30
2020-07-30,152,32
2020-07-31,171,13
2020-08-01,159,21
2020-08-02,153,27
2020-08-03,149,35
2020-08-04,146,38
2020-08-05,146,63
2020-08-06,156,53
2020-08-07,158,55
2020-08-08,151,58
2020-08-09,148,61
2020-08-10,150,59
2020-08-11,155,54
2020-08-12,156,53
2020-08-13,153,56
2020-08-14,160,49
2020-08-15,158,51
2020-08-16,155,54
2020-08-17,153,56
2020-08-18,156,53
2020-08-19,162,47
2020-08-20,156,53
2020-08-21,158,51
2020-08-22,156,53
2020-08-23,149,60
2020-08-24,154,55
2020-08-25,160,49
2020-08-26,149,60
2020-08-27,147,62
2020-08-28,158,51
2020-08-29,154,55
2020-08-30,153,56
2020-08-31,144,65
2020-09-01,152,57
2020-09-02,144,65
2020-09-03,161,52
2020-09-04,162,51
2020-09-05,157,52
2020-09-06,154,55
2020-09-07,154,55
2020-09-08,161,52
2020-09-09,164,49
2020-09-10,158,55
2020-09-11,167,46
2020-09-12,162,47
2020-09-13,152,57
2020-09-14,151,62
2020-09-15,143,70
2020-09-16,156,57
2020-09-17,155,58
2020-09-18,160,49
2020-09-19,150,55
2020-09-20,145,60
2020-09-21,148,61
2020-09-22,152,57
2020-09-23,157,52
2020-09-24,157,52
2020-09-25,162,47
2020-09-26,152,53
2020-09-27,148,57
2020-09-28,157,52
2020-09-29,162,47
2020-09-30,162,51
2020-10-01,160,53
2020-10-02,151,54
2020-10-03,153,48
2020-10-04,155,46
2020-10-05,151,58
2020-10-06,154,51
2020-10-07,157,48
2020-10-08,152,56
2020-10-09,149,59
2020-10-10,149,56
2020-10-11,140,65
2020-10-12,148,61
2020-10-13,155,54
2020-10-14,161,48
2020-10-15,147,62
2020-10-16,154,55
2020-10-17,154,51
2020-10-18,153,52
2020-10-19,148,61
2020-10-20,159,50
2020-10-21,151,56
2020-10-22,152,55
2020-10-23,155,49
2020-10-24,148,54
2020-10-25,146,55
2020-10-26,149,55
2020-10-27,148,56
2020-10-28,154,53
2020-10-29,152,53
2020-10-30,148,59
2020-10-31,148,53
2020-11-01,148,51
2020-11-02,149,54
2020-11-03,143,61
2020-11-04,139,36
2020-11-05,145,30
2020-11-06,148,27
2020-11-07,149,26
2020-11-08,140,35
2020-11-09,140,38
2020-11-10,149,29
2020-11-11,148,30
2020-11-12,153,25
2020-11-13,155,23
2020-11-14,154,24
2020-11-15,146,32
2020-11-16,150,28
2020-11-17,158,20
2020-11-18,158,20
2020-11-19,150,28
2020-11-20,160,18
2020-11-21,148,30
2020-11-22,150,28
2020-11-23,154,26
2020-11-24,154,26
2020-11-25,154,26
2020-11-26,156,27
2020-11-27,155,28
2020-11-28,156,27
2020-11-29,157,26
2020-11-30,159,22
2020-12-01,157,24
2020-12-02,155,26
2020-12-03,154,23
2020-12-04,155,26
2020-12-05,160,21
2020-12-06,158,23
2020-12-07,159,22
2020-12-08,154,25
2020-12-09,154,25
2020-12-10,148,31
2020-12-11,150,31
2020-12-12,148,33
2020-12-13,149,32
2020-12-14,143,38
2020-12-15,147,34
2020-12-16,149,32
2020-12-17,145,36
2020-12-18,151,30
2020-12-19,140,41
2020-12-20,148,33
2020-12-21,156,25
2020-12-22,149,32
2020-12-23,155,26
2020-12-24,145,28
2020-12-25,135,35
2020-12-26,143,27
2020-12-27,139,31
2020-12-28,141,31
2020-12-29,149,24
2020-12-30,146,27
2020-12-31,143,28
2021-01-01,142,30
2021-01-02,144,28
2021-01-03,144,28
2021-01-04,140,38
2021-01-05,148,28
2021-01-06,147,29
2021-01-07,153,23
2021-01-08,152,24
2021-01-09,147,25
2021-01-10,148,24
2021-01-11,150,24
2021-01-12,147,27
2021-01-13,148,26
2021-01-14,147,27
2021-01-15,155,23
2021-01-16,146,28
2021-01-17,141,33
2021-01-18,144,34
2021-01-19,139,39
2021-01-20,145,33
2021-01-21,141,37
2021-01-22,149,29
2021-01-23,148,30
2021-01-24,147,31
2021-01-25,145,33
2021-01-26,148,30
2021-01-27,147,31
2021-01-28,153,25
2021-01-29,154,24
2021-01-30,160,18
2021-01-31,151,27
2021-02-01,153,25
2021-02-02,160,18
2021-02-03,159,19
2021-02-04,160,18
2021-02-05,160,18
2021-02-06,157,21
2021-02-07,149,29
2021-02-08,143,35
2021-02-09,149,29
2021-02-10,152,26
2021-02-11,153,25
2021-02-12,154,24
2021-02-13,155,23
2021-02-14,154,24
2021-02-15,148,36
2021-02-16,163,21
2021-02-17,168,18
2021-02-18,165,21
2021-02-19,161,25
2021-02-20,155,31
2021-02-21,165,21
2021-02-22,160,26
2021-02-23,167,19
2021-02-24,164,22
2021-02-25,160,26
2021-02-26,161,25
2021-02-27,158,28
2021-02-28,153,33
2021-03-01,157,27
2021-03-02,156,28
2021-03-03,162,22
2021-03-04,159,25
2021-03-05,155,29
2021-03-06,152,32
2021-03-07,147,37
2021-03-08,148,36
2021-03-09,157,27
2021-03-10,164,20
2021-03-11,152,32
2021-03-12,155,29
2021-03-13,157,27
2021-03-14,153,31
2021-03-15,155,29
2021-03-16,157,27
2021-03-17,161,23
2021-03-18,167,17
2021-03-19,162,22
2021-03-20,165,19
2021-03-21,155,29
2021-03-22,160,24
2021-03-23,162,22
2021-03-24,160,24
2021-03-25,158,26
2021-03-26,163,21
2021-03-27,165,19
2021-03-28,160,24
2021-03-29,166,18
2021-03-30,162,22
2021-03-31,161,23
2021-04-01,165,19
2021-04-02,157,27
2021-04-03,157,27
2021-04-04,165,19
2021-04-05,160,24
2021-04-06,160,24
2021-04-07,156,28
2021-04-08,155,29
2021-04-09,170,14
2021-04-10,162,22
2021-04-11,159,25
2021-04-12,162,22
2021-04-13,166,18
2021-04-14,160,24
2021-04-15,163,21
2021-04-16,169,15
2021-04-17,167,17
2021-04-18,165,19
2021-04-19,167,17
2021-04-20,157,27
