date,betten_belegt,betten_frei
2020-04-24,24,24
2020-04-25,24,26
2020-04-26,23,27
2020-04-27,25,24
2020-04-28,30,20
2020-04-29,30,18
2020-04-30,29,19
2020-05-01,34,15
2020-05-02,32,18
2020-05-03,33,15
2020-05-04,29,17
2020-05-05,33,15
2020-05-06,29,19
2020-05-07,30,18
2020-05-08,34,14
2020-05-09,30,19
2020-05-10,29,21
2020-05-11,33,15
2020-05-12,29,17
2020-05-13,34,14
2020-05-14,31,16
2020-05-15,32,16
2020-05-16,36,12
2020-05-17,34,14
2020-05-18,28,17
2020-05-19,31,16
2020-05-20,35,13
2020-05-21,32,16
2020-05-22,34,14
2020-05-23,33,15
2020-05-24,27,20
2020-05-25,26,22
2020-05-26,33,15
2020-05-27,30,18
2020-05-28,31,16
2020-05-29,33,14
2020-05-30,36,11
2020-05-31,36,11
2020-06-01,36,11
2020-06-02,34,13
2020-06-03,32,12
2020-06-04,34,16
2020-06-05,32,14
2020-06-06,35,11
2020-06-07,35,11
2020-06-08,35,11
2020-06-09,35,14
2020-06-10,40,10
2020-06-11,39,9
2020-06-12,34,12
2020-06-13,32,14
2020-06-14,31,15
2020-06-15,30,14
2020-06-16,34,12
2020-06-17,37,8
2020-06-18,35,10
2020-06-19,41,5
2020-06-20,39,6
2020-06-21,30,12
2020-06-22,30,13
2020-06-23,29,14
2020-06-24,31,11
2020-06-25,31,13
2020-06-26,31,13
2020-06-27,30,14
2020-06-28,28,16
2020-06-29,29,15
2020-06-30,26,16
2020-07-01,29,13
2020-07-02,31,12
2020-07-03,26,16
2020-07-04,28,14
2020-07-05,25,16
2020-07-06,26,15
2020-07-07,30,12
2020-07-08,33,10
2020-07-09,28,14
2020-07-10,28,14
2020-07-11,28,15
2020-07-12,23,20
2020-07-13,26,18
2020-07-14,28,16
2020-07-15,30,14
2020-07-16,32,11
2020-07-17,31,12
2020-07-18,28,17
2020-07-19,26,18
2020-07-20,28,16
2020-07-21,31,13
2020-07-22,29,16
2020-07-23,29,16
2020-07-24,29,16
2020-07-25,28,15
2020-07-26,28,15
2020-07-27,29,17
2020-07-28,30,16
2020-07-29,28,18
2020-07-30,31,16
2020-07-31,26,19
2020-08-01,23,19
2020-08-02,20,22
2020-08-03,24,23
2020-08-04,21,15
2020-08-05,14,22
2020-08-06,16,20
2020-08-07,16,20
2020-08-08,14,22
2020-08-09,16,20
2020-08-10,18,18
2020-08-11,21,13
2020-08-12,20,15
2020-08-13,23,12
2020-08-14,22,13
2020-08-15,24,11
2020-08-16,24,11
2020-08-17,25,11
2020-08-18,24,12
2020-08-19,20,16
2020-08-20,23,13
2020-08-21,22,14
2020-08-22,18,18
2020-08-23,18,18
2020-08-24,18,18
2020-08-25,20,16
2020-08-26,20,16
2020-08-27,21,15
2020-08-28,23,13
2020-08-29,22,14
2020-08-30,19,17
2020-08-31,18,18
2020-09-01,18,18
2020-09-02,16,20
2020-09-03,19,17
2020-09-04,20,16
2020-09-05,19,17
2020-09-06,19,17
2020-09-07,21,15
2020-09-08,19,17
2020-09-09,20,16
2020-09-10,21,15
2020-09-11,21,15
2020-09-12,23,13
2020-09-13,23,13
2020-09-14,21,15
2020-09-15,22,12
2020-09-16,20,16
2020-09-17,19,15
2020-09-18,17,17
2020-09-19,15,19
2020-09-20,17,17
2020-09-21,22,12
2020-09-22,21,13
2020-09-23,19,15
2020-09-24,20,14
2020-09-25,20,14
2020-09-26,20,14
2020-09-27,15,19
2020-09-28,14,20
2020-09-29,16,18
2020-09-30,18,16
2020-10-01,17,17
2020-10-02,16,18
2020-10-03,17,17
2020-10-04,21,13
2020-10-05,17,17
2020-10-06,19,15
2020-10-07,18,16
2020-10-08,20,14
2020-10-09,19,15
2020-10-10,16,18
2020-10-11,17,17
2020-10-12,15,19
2020-10-13,16,18
2020-10-14,17,17
2020-10-15,17,17
2020-10-16,14,20
2020-10-17,14,20
2020-10-18,17,17
2020-10-19,18,16
2020-10-20,18,16
2020-10-21,17,17
2020-10-22,23,11
2020-10-23,24,10
2020-10-24,23,11
2020-10-25,23,11
2020-10-26,23,11
2020-10-27,24,7
2020-10-28,22,8
2020-10-29,21,9
2020-10-30,23,7
2020-10-31,25,5
2020-11-01,22,8
2020-11-02,25,5
2020-11-03,24,4
2020-11-04,22,6
2020-11-05,22,6
2020-11-06,21,7
2020-11-07,19,9
2020-11-08,20,8
2020-11-09,22,5
2020-11-10,24,3
2020-11-11,27,2
2020-11-12,27,1
2020-11-13,23,5
2020-11-14,21,7
2020-11-15,22,4
2020-11-16,21,5
2020-11-17,22,4
2020-11-18,24,4
2020-11-19,23,3
2020-11-20,25,3
2020-11-21,23,4
2020-11-22,22,5
2020-11-23,23,7
2020-11-24,21,9
2020-11-25,25,5
2020-11-26,24,6
2020-11-27,25,5
2020-11-28,25,7
2020-11-29,26,6
2020-11-30,24,8
2020-12-01,24,6
2020-12-02,26,4
2020-12-03,23,7
2020-12-04,26,4
2020-12-05,26,4
2020-12-06,27,3
2020-12-07,26,4
2020-12-08,27,3
2020-12-09,26,4
2020-12-10,26,4
2020-12-11,28,2
2020-12-12,28,2
2020-12-13,28,2
2020-12-14,26,4
2020-12-15,27,3
2020-12-16,26,4
2020-12-17,22,8
2020-12-18,22,8
2020-12-19,22,8
2020-12-20,24,6
2020-12-21,24,4
2020-12-22,24,4
2020-12-23,26,4
2020-12-24,23,7
2020-12-25,19,11
2020-12-26,20,10
2020-12-27,21,9
2020-12-28,18,12
2020-12-29,21,6
2020-12-30,21,6
2020-12-31,20,7
2021-01-01,20,7
2021-01-02,21,6
2021-01-03,20,7
2021-01-04,21,6
2021-01-05,20,7
2021-01-06,23,4
2021-01-07,23,4
2021-01-08,22,5
2021-01-09,22,5
2021-01-10,22,5
2021-01-11,21,7
2021-01-12,23,5
2021-01-13,22,5
2021-01-14,21,6
2021-01-15,22,5
2021-01-16,24,3
2021-01-17,24,4
2021-01-18,24,4
2021-01-19,25,3
2021-01-20,27,2
2021-01-21,23,5
2021-01-22,24,4
2021-01-23,23,5
2021-01-24,23,5
2021-01-25,26,2
2021-01-26,28,0
2021-01-27,27,1
2021-01-28,26,2
2021-01-29,26,2
2021-01-30,26,2
2021-01-31,26,2
2021-02-01,27,1
2021-02-02,24,3
2021-02-03,25,2
2021-02-04,26,2
2021-02-05,26,2
2021-02-06,26,2
2021-02-07,26,2
2021-02-08,26,2
2021-02-09,23,5
2021-02-10,25,3
2021-02-11,27,1
2021-02-12,23,5
2021-02-13,24,4
2021-02-14,24,4
2021-02-15,25,3
2021-02-16,24,4
2021-02-17,23,5
2021-02-18,24,4
2021-02-19,25,3
2021-02-20,24,4
2021-02-21,24,4
2021-02-22,24,4
2021-02-23,21,7
2021-02-24,26,2
2021-02-25,23,5
2021-02-26,22,6
2021-02-27,23,5
2021-02-28,23,5
2021-03-01,26,3
