date,betten_belegt,betten_frei
2020-04-24,25,9
2020-04-25,25,9
2020-04-26,25,9
2020-04-29,23,11
2020-04-30,26,8
2020-05-01,26,8
2020-05-02,26,8
2020-05-03,26,8
2020-05-04,22,12
2020-05-05,22,12
2020-05-06,22,12
2020-05-07,22,12
2020-05-08,24,10
2020-05-09,24,10
2020-05-10,24,10
2020-05-11,24,10
2020-05-12,24,10
2020-05-13,24,10
2020-05-14,24,10
2020-05-26,29,5
2020-05-27,29,5
2020-05-28,30,4
2020-05-29,28,6
2020-05-30,25,9
2020-05-31,23,11
2020-06-01,25,9
2020-06-02,27,7
2020-06-03,25,9
2020-06-04,24,10
2020-06-05,33,12
2020-06-06,32,11
2020-06-07,30,13
2020-06-08,31,12
2020-06-09,32,11
2020-06-10,31,12
2020-06-11,26,17
2020-06-12,30,13
2020-06-13,30,13
2020-06-14,36,7
2020-06-15,35,8
2020-06-16,36,7
2020-06-17,32,11
2020-06-18,34,9
2020-06-19,29,14
2020-06-20,28,15
2020-06-21,26,17
2020-06-22,32,11
2020-06-23,30,13
2020-06-24,30,13
2020-06-25,30,13
2020-06-26,32,11
2020-06-27,34,9
2020-06-28,27,16
2020-06-29,27,16
2020-06-30,28,15
2020-07-01,28,15
2020-07-02,30,13
2020-07-03,35,8
2020-07-04,31,12
2020-07-05,33,10
2020-07-06,32,11
2020-07-07,35,8
2020-07-08,35,8
2020-07-09,31,11
2020-07-10,29,14
2020-07-11,31,12
2020-07-12,35,8
2020-07-13,32,11
2020-07-14,31,12
2020-07-15,29,14
2020-07-16,33,10
2020-07-17,29,14
2020-07-18,28,15
2020-07-19,32,11
2020-07-20,32,11
2020-07-21,34,9
2020-07-22,37,6
2020-07-23,36,7
2020-07-24,34,9
2020-07-25,35,8
2020-07-26,34,9
2020-07-27,32,11
2020-07-28,32,11
2020-07-29,33,10
2020-07-30,33,10
2020-07-31,37,6
2020-08-01,39,4
2020-08-02,34,9
2020-08-03,32,13
2020-08-04,35,8
2020-08-05,33,10
2020-08-06,35,8
2020-08-07,37,6
2020-08-08,40,3
2020-08-09,37,6
2020-08-10,36,7
2020-08-11,31,12
2020-08-12,30,13
2020-08-13,35,8
2020-08-14,31,12
2020-08-15,31,12
2020-08-16,29,14
2020-08-17,32,11
2020-08-18,33,10
2020-08-19,35,8
2020-08-20,30,13
2020-08-21,36,7
2020-08-22,33,10
2020-08-23,33,10
2020-08-24,32,11
2020-08-25,34,9
2020-08-26,35,8
2020-08-27,37,6
2020-08-28,32,11
2020-08-29,34,9
2020-08-30,34,9
2020-08-31,34,9
2020-09-01,36,7
2020-09-02,39,4
2020-09-03,35,8
2020-09-04,32,11
2020-09-05,36,7
2020-09-06,32,11
2020-09-07,35,8
2020-09-08,32,11
2020-09-09,35,8
2020-09-10,33,10
2020-09-11,33,10
2020-09-12,31,12
2020-09-13,33,10
2020-09-14,34,9
2020-09-15,35,8
2020-09-16,39,4
2020-09-17,35,8
2020-09-18,35,8
2020-09-19,34,9
2020-09-20,35,8
2020-09-21,34,9
2020-09-22,38,5
2020-09-23,40,3
2020-09-24,40,3
2020-09-25,30,13
2020-09-26,36,7
2020-09-27,32,11
2020-09-28,32,11
2020-09-29,34,9
2020-09-30,35,8
2020-10-01,29,14
2020-10-02,31,12
2020-10-03,32,11
2020-10-04,32,11
2020-10-05,28,15
2020-10-06,34,9
2020-10-07,37,6
2020-10-08,34,9
2020-10-09,31,12
2020-10-10,30,13
2020-10-11,32,11
2020-10-12,29,14
2020-10-13,34,9
2020-10-14,32,11
2020-10-15,32,11
2020-10-16,36,7
2020-10-17,33,10
2020-10-18,31,12
2020-10-19,32,11
2020-10-20,30,13
2020-10-21,30,13
2020-10-22,32,11
2020-10-23,36,7
2020-10-24,36,7
2020-10-25,34,9
2020-10-26,32,11
2020-10-27,33,10
2020-10-28,32,11
2020-10-29,34,9
2020-10-30,38,5
2020-10-31,39,4
2020-11-01,30,13
2020-11-02,32,11
2020-11-03,30,13
2020-11-04,34,9
2020-11-05,29,14
2020-11-06,30,13
2020-11-07,31,12
2020-11-08,29,14
2020-11-09,34,9
2020-11-10,31,12
2020-11-11,34,9
2020-11-12,33,10
2020-11-13,31,12
2020-11-14,35,8
2020-11-15,31,12
2020-11-16,33,10
2020-11-17,32,11
2020-11-18,34,9
2020-11-19,35,8
2020-11-20,34,9
2020-11-21,33,10
2020-11-22,34,9
2020-11-23,34,9
2020-11-24,33,10
2020-11-25,33,10
2020-11-26,36,7
2020-11-27,34,9
2020-11-28,35,8
2020-11-29,31,12
2020-11-30,36,7
2020-12-01,34,9
2020-12-02,32,11
2020-12-03,31,12
2020-12-04,33,10
2020-12-05,36,7
2020-12-06,35,8
2020-12-07,35,8
2020-12-08,34,9
2020-12-09,34,9
2020-12-10,33,10
2020-12-11,32,11
2020-12-12,34,9
2020-12-13,33,10
2020-12-14,35,8
2020-12-15,37,6
2020-12-16,37,6
2020-12-17,38,5
2020-12-18,35,8
2020-12-19,36,7
2020-12-20,34,9
2020-12-21,34,9
2020-12-22,34,9
2020-12-23,34,9
2020-12-24,35,8
2020-12-25,35,8
2020-12-26,34,9
2020-12-27,36,7
2020-12-28,37,6
2020-12-29,31,12
2020-12-30,31,12
2020-12-31,35,8
2021-01-01,33,10
2021-01-02,34,9
2021-01-03,32,11
2021-01-04,34,9
2021-01-05,32,11
2021-01-06,27,11
2021-01-07,29,9
2021-01-08,34,6
2021-01-09,35,6
2021-01-10,33,7
2021-01-11,34,6
2021-01-12,31,7
2021-01-13,35,8
2021-01-14,30,13
2021-01-15,30,13
2021-01-16,30,13
2021-01-17,33,10
2021-01-18,34,9
2021-01-19,34,9
2021-01-20,35,8
2021-01-21,35,8
2021-01-22,33,10
2021-01-23,33,10
2021-01-24,34,9
2021-01-25,32,11
2021-01-26,36,7
2021-01-27,36,7
2021-01-28,33,10
2021-01-29,33,10
2021-01-30,36,7
2021-01-31,34,9
2021-02-01,36,7
2021-02-02,35,8
2021-02-03,33,10
2021-02-04,35,6
2021-02-05,34,7
2021-02-06,31,8
2021-02-07,29,10
2021-02-08,31,8
2021-02-09,31,8
2021-02-10,22,17
2021-02-11,28,11
2021-02-12,28,11
2021-02-13,29,12
2021-02-14,29,12
2021-02-15,29,12
2021-02-16,29,12
2021-02-17,30,11
2021-02-18,26,17
2021-02-19,28,15
2021-02-20,28,15
2021-02-21,28,13
2021-02-22,26,15
2021-02-23,30,11
2021-02-24,32,9
2021-02-25,31,10
2021-02-26,31,10
2021-02-27,27,14
2021-02-28,30,11
2021-03-01,27,14
2021-03-02,26,15
2021-03-03,29,12
2021-03-04,31,10
2021-03-05,29,14
2021-03-06,27,14
2021-03-07,24,17
2021-03-08,30,11
2021-03-09,34,7
2021-03-10,36,5
2021-03-11,38,5
2021-03-12,37,6
2021-03-13,35,8
2021-03-14,28,13
2021-03-15,30,11
2021-03-16,29,12
2021-03-17,27,14
2021-03-18,30,11
2021-03-19,33,8
2021-03-20,28,13
2021-03-21,30,11
2021-03-22,31,10
2021-03-23,35,8
2021-03-24,34,9
2021-03-25,34,7
2021-03-26,34,7
2021-03-27,31,10
2021-03-28,30,11
2021-03-29,31,10
2021-03-30,31,10
2021-03-31,35,6
2021-04-01,33,8
2021-04-02,32,9
2021-04-03,32,9
2021-04-04,34,7
2021-04-05,34,7
2021-04-06,38,5
2021-04-07,36,5
2021-04-08,34,7
2021-04-09,33,8
2021-04-10,34,7
2021-04-11,28,13
2021-04-12,31,10
2021-04-13,34,7
2021-04-14,34,7
2021-04-15,33,8
2021-04-16,31,10
2021-04-17,32,9
2021-04-18,33,8
2021-04-19,35,6
2021-04-20,32,9
2021-04-21,36,5
2021-04-22,34,7
2021-04-23,33,8
2021-04-24,31,10
2021-04-25,31,10
2021-04-26,29,12
2021-04-27,29,12
2021-04-28,30,11
2021-04-29,33,8
2021-04-30,34,7
2021-05-01,30,11
2021-05-02,30,11
2021-05-03,33,8
2021-05-04,34,7
2021-05-05,32,9
2021-05-06,33,8
2021-05-07,34,7
2021-05-08,31,10
2021-05-09,30,8
2021-05-10,27,14
2021-05-11,30,5
2021-05-12,28,7
2021-05-13,29,8
2021-05-14,31,6
2021-05-15,31,6
2021-05-16,27,10
2021-05-17,27,10
2021-05-18,29,8
2021-05-19,28,9
2021-05-20,25,12
2021-05-21,27,10
2021-05-22,30,7
2021-05-23,32,5
2021-05-24,28,9
2021-05-25,30,7
2021-05-26,30,7
2021-05-27,29,8
2021-05-28,27,10
2021-05-29,25,12
2021-05-30,27,10
2021-05-31,29,6
2021-06-01,30,5
2021-06-02,28,8
2021-06-03,29,7
2021-06-04,28,8
2021-06-05,26,10
2021-06-06,26,10
2021-06-07,25,11
2021-06-08,30,6
2021-06-09,31,5
2021-06-10,31,5
2021-06-11,29,7
2021-06-12,26,10
2021-06-13,29,7
2021-06-14,28,8
2021-06-15,30,6
2021-06-16,26,10
2021-06-17,26,10
2021-06-18,30,6
2021-06-19,28,8
2021-06-20,28,8
2021-06-21,31,5
2021-06-22,32,4
2021-06-23,33,6
2021-06-24,33,6
2021-06-25,34,5
2021-06-26,34,5
2021-06-27,28,11
2021-06-28,31,10
2021-06-29,29,12
2021-06-30,30,11
2021-07-01,32,9
2021-07-02,29,12
2021-07-03,28,13
2021-07-04,28,13
2021-07-05,28,13
2021-07-06,26,15
2021-07-07,29,12
2021-07-08,24,17
2021-07-09,27,14
2021-07-10,29,12
2021-07-11,27,14
2021-07-12,27,14
2021-07-13,32,9
2021-07-14,32,9
2021-07-15,29,12
2021-07-16,30,11
2021-07-17,30,11
2021-07-18,31,10
2021-07-19,29,12
2021-07-20,30,11
2021-07-21,31,10
2021-07-22,32,9
2021-07-23,34,7
2021-07-24,32,9
2021-07-25,29,12
2021-07-26,30,11
2021-07-27,30,11
2021-07-28,28,13
2021-07-29,28,13
2021-07-30,28,13
2021-07-31,29,12
2021-08-01,31,9
2021-08-02,28,12
2021-08-03,30,10
2021-08-04,29,11
2021-08-05,31,9
2021-08-06,29,11
2021-08-07,31,9
2021-08-08,31,9
2021-08-09,31,9
2021-08-10,29,11
2021-08-11,31,9
2021-08-12,30,10
2021-08-13,35,5
2021-08-14,31,9
2021-08-15,32,8
2021-08-16,31,9
2021-08-17,27,13
2021-08-18,29,11
2021-08-19,30,10
2021-08-20,30,10
2021-08-21,30,10
2021-08-22,32,8
2021-08-23,35,5
2021-08-24,34,6
2021-08-25,29,11
2021-08-26,31,9
2021-08-27,32,8
2021-08-28,33,7
2021-08-29,33,7
2021-08-30,31,9
2021-08-31,33,7
2021-09-01,34,6
2021-09-02,35,5
2021-09-03,33,7
2021-09-04,33,7
2021-09-05,33,7
2021-09-06,32,8
2021-09-07,33,7
2021-09-08,32,8
2021-09-09,32,8
2021-09-10,32,8
2021-09-11,30,10
2021-09-12,31,9
2021-09-13,31,9
2021-09-14,32,8
2021-09-15,31,9
2021-09-16,33,7
2021-09-17,38,2
2021-09-18,32,8
2021-09-19,28,12
2021-09-20,28,12
2021-09-21,29,11
2021-09-22,32,8
2021-09-23,32,8
2021-09-24,28,12
2021-09-25,30,10
2021-09-26,31,9
2021-09-27,32,8
2021-09-28,32,8
2021-09-29,31,9
2021-09-30,34,6
2021-10-01,33,7
2021-10-02,34,6
2021-10-03,33,7
2021-10-04,33,7
2021-10-05,31,9
2021-10-06,31,9
2021-10-07,30,10
2021-10-08,30,10
2021-10-09,32,8
2021-10-10,33,7
2021-10-11,34,6
2021-10-12,34,6
2021-10-13,30,10
2021-10-14,29,11
2021-10-15,32,8
2021-10-16,32,8
2021-10-17,31,9
2021-10-18,35,5
2021-10-19,35,5
2021-10-20,32,8
2021-10-21,34,6
2021-10-22,34,6
2021-10-23,27,13
2021-10-24,29,11
2021-10-25,31,9
2021-10-26,31,9
2021-10-27,34,6
2021-10-28,34,6
2021-10-29,34,6
2021-10-30,31,9
2021-10-31,33,7
2021-11-01,35,5
2021-11-02,35,5
2021-11-03,36,4
2021-11-04,30,10
2021-11-05,33,7
2021-11-06,33,7
2021-11-07,32,8
2021-11-08,33,7
2021-11-09,36,4
2021-11-10,35,5
2021-11-11,32,8
2021-11-12,32,8
2021-11-13,32,8
2021-11-14,34,6
2021-11-15,34,6
2021-11-16,35,5
2021-11-17,34,6
2021-11-18,34,6
2021-11-19,34,6
2021-11-20,34,6
2021-11-21,31,9
2021-11-22,32,8
2021-11-23,35,6
2021-11-24,34,7
2021-11-25,33,8
2021-11-26,32,9
2021-11-27,33,8
2021-11-28,33,8
2021-11-29,33,8
2021-11-30,35,8
2021-12-01,35,8
2021-12-02,33,10
2021-12-03,33,10
2021-12-04,35,8
2021-12-05,34,9
2021-12-06,32,11
2021-12-07,33,10
2021-12-08,31,12
2021-12-09,35,8
2021-12-10,35,8
2021-12-11,35,8
2021-12-12,34,9
2021-12-13,34,9
2021-12-14,30,13
