date,betten_belegt,betten_frei
2020-04-24,12,33
2020-04-25,14,31
2020-04-26,14,29
2020-04-27,23,22
2020-04-28,15,29
2020-04-29,13,31
2020-04-30,19,24
2020-05-01,14,33
2020-05-02,15,30
2020-05-03,12,32
2020-05-04,14,31
2020-05-05,13,32
2020-05-06,17,21
2020-05-07,16,22
2020-05-08,12,26
2020-05-09,15,23
2020-05-10,14,19
2020-05-11,12,25
2020-05-12,11,26
2020-05-13,12,25
2020-05-14,18,18
2020-05-15,18,18
2020-05-16,17,20
2020-05-17,16,21
2020-05-18,15,23
2020-05-19,10,28
2020-05-20,13,24
2020-05-21,16,28
2020-05-22,16,20
2020-05-23,11,21
2020-05-24,14,27
2020-05-25,16,22
2020-05-26,17,21
2020-05-27,16,22
2020-05-28,15,23
2020-05-29,16,22
2020-05-30,18,20
2020-05-31,18,20
2020-06-01,16,20
2020-06-02,18,18
2020-06-03,21,18
2020-06-04,17,22
2020-06-05,16,23
2020-06-06,16,22
2020-06-07,9,26
2020-06-08,13,21
2020-06-09,10,23
2020-06-10,14,22
2020-06-11,15,21
2020-06-12,19,17
2020-06-13,21,20
2020-06-14,20,18
2020-06-15,19,19
2020-06-16,20,24
2020-06-17,18,26
2020-06-18,17,27
2020-06-19,20,22
2020-06-20,20,24
2020-06-21,19,25
2020-06-22,14,27
2020-06-23,20,28
2020-06-24,20,28
2020-06-25,21,27
2020-06-26,19,28
2020-06-27,25,24
2020-06-28,24,24
2020-06-29,23,25
2020-06-30,18,30
2020-07-01,16,28
2020-07-02,15,28
2020-07-03,18,26
2020-07-04,20,13
2020-07-05,13,20
2020-07-06,12,23
2020-07-07,16,16
2020-07-08,11,21
2020-07-09,14,22
2020-07-10,12,21
2020-07-11,18,18
2020-07-12,18,15
2020-07-13,15,23
2020-07-14,17,21
2020-07-15,18,20
2020-07-16,22,16
2020-07-17,18,20
2020-07-18,20,13
2020-07-19,19,14
2020-07-20,21,15
2020-07-21,22,13
2020-07-22,19,18
2020-07-23,17,21
2020-07-24,18,21
2020-07-25,21,16
2020-07-26,22,14
2020-07-27,20,16
2020-07-28,23,13
2020-07-29,19,17
2020-07-30,18,18
2020-07-31,19,18
2020-08-01,15,20
2020-08-02,13,22
2020-08-03,14,19
2020-08-04,20,16
2020-08-05,21,15
2020-08-06,21,12
2020-08-07,14,22
2020-08-08,17,16
2020-08-09,16,17
2020-08-10,13,20
2020-08-11,19,15
2020-08-12,19,14
2020-08-13,15,18
2020-08-14,16,17
2020-08-15,16,17
2020-08-16,13,20
2020-08-17,12,21
2020-08-18,17,18
2020-08-19,24,23
2020-08-20,35,19
2020-08-21,38,16
2020-08-22,29,25
2020-08-23,29,25
2020-08-24,31,23
2020-08-25,33,21
2020-08-26,35,19
2020-08-27,31,23
2020-08-28,31,23
2020-08-29,28,26
2020-08-30,28,26
2020-08-31,29,22
2020-09-01,33,18
2020-09-02,34,17
2020-09-03,34,17
2020-09-04,34,16
2020-09-05,32,15
2020-09-06,35,12
2020-09-07,36,14
