date,betten_belegt,betten_frei
2020-04-24,63,36
2020-04-25,60,39
2020-04-26,49,50
2020-04-27,48,51
2020-04-28,56,43
2020-04-29,52,47
2020-04-30,51,48
2020-05-01,57,42
2020-05-02,49,50
2020-05-03,52,47
2020-05-04,53,45
2020-05-05,60,38
2020-05-06,58,40
2020-05-07,57,41
2020-05-08,57,42
2020-05-09,53,46
2020-05-10,58,41
2020-05-11,56,42
2020-05-12,59,39
2020-05-13,55,44
2020-05-14,51,48
2020-05-15,56,51
2020-05-16,65,42
2020-05-17,55,52
2020-05-18,59,48
2020-05-19,60,48
2020-05-20,61,47
2020-05-21,57,53
2020-05-22,52,60
2020-05-23,66,48
2020-05-24,55,59
2020-05-25,50,62
2020-05-26,55,57
2020-05-27,63,50
2020-05-28,59,52
2020-05-29,65,48
2020-05-30,65,49
2020-05-31,53,59
2020-06-01,59,54
2020-06-02,56,57
2020-06-03,62,56
2020-06-04,56,61
2020-06-05,58,59
2020-06-06,56,61
2020-06-07,50,51
2020-06-08,51,50
2020-06-09,61,40
2020-06-10,58,43
2020-06-11,58,43
2020-06-12,64,37
2020-06-13,61,40
2020-06-14,59,42
2020-06-15,57,44
2020-06-16,64,37
2020-06-17,63,38
2020-06-18,64,38
2020-06-19,66,39
2020-06-20,57,48
2020-06-21,54,51
2020-06-22,58,47
2020-06-23,61,44
2020-06-24,67,38
2020-06-25,70,35
2020-06-26,68,37
2020-06-27,58,47
2020-06-28,58,47
2020-06-29,63,42
2020-06-30,64,37
2020-07-01,71,29
2020-07-02,70,35
2020-07-03,71,34
2020-07-04,66,39
2020-07-05,67,38
2020-07-06,70,35
2020-07-07,75,30
2020-07-08,74,31
2020-07-09,65,40
2020-07-10,67,38
2020-07-11,65,40
2020-07-12,62,43
2020-07-13,63,42
2020-07-14,63,42
2020-07-15,64,41
2020-07-16,64,41
2020-07-17,72,33
2020-07-18,66,39
2020-07-19,66,39
2020-07-20,66,39
2020-07-21,67,38
2020-07-22,67,38
2020-07-23,71,34
2020-07-24,66,39
2020-07-25,71,34
2020-07-26,66,39
2020-07-27,66,39
2020-07-28,73,32
2020-07-29,70,35
2020-07-30,69,36
2020-07-31,69,36
2020-08-01,66,39
2020-08-02,65,40
2020-08-03,60,45
2020-08-04,73,20
2020-08-05,66,27
2020-08-06,69,24
2020-08-07,72,21
2020-08-08,70,23
2020-08-09,63,30
2020-08-10,66,27
2020-08-11,77,28
2020-08-12,81,24
2020-08-13,77,28
2020-08-14,72,33
2020-08-15,72,33
2020-08-16,74,31
2020-08-17,68,37
2020-08-18,80,25
2020-08-19,80,25
2020-08-20,84,21
2020-08-21,85,20
2020-08-22,83,22
2020-08-23,80,25
2020-08-24,79,26
2020-08-25,78,27
2020-08-26,77,28
2020-08-27,80,25
2020-08-28,78,27
2020-08-29,74,31
2020-08-30,72,33
2020-08-31,67,38
2020-09-01,72,33
2020-09-02,77,28
2020-09-03,72,33
2020-09-04,71,34
2020-09-05,79,26
2020-09-06,66,39
2020-09-07,69,36
2020-09-08,76,29
2020-09-09,74,31
2020-09-10,76,29
2020-09-11,79,26
2020-09-12,70,35
2020-09-13,78,27
2020-09-14,78,27
2020-09-15,81,24
2020-09-16,78,27
2020-09-17,82,23
2020-09-18,82,23
2020-09-19,78,27
2020-09-20,71,34
2020-09-21,68,37
2020-09-22,71,34
2020-09-23,73,32
2020-09-24,80,25
2020-09-25,75,30
2020-09-26,73,32
2020-09-27,70,35
2020-09-28,64,41
2020-09-29,73,32
2020-09-30,70,35
2020-10-01,78,27
2020-10-02,79,26
2020-10-03,79,26
2020-10-04,76,29
2020-10-05,70,35
2020-10-06,68,37
2020-10-07,72,33
2020-10-08,74,31
2020-10-09,75,30
2020-10-10,74,31
2020-10-11,71,34
2020-10-12,70,35
2020-10-13,79,26
2020-10-14,78,27
2020-10-15,73,32
2020-10-16,75,30
2020-10-17,73,32
2020-10-18,69,36
2020-10-19,68,37
2020-10-20,68,37
2020-10-21,72,33
2020-10-22,73,32
2020-10-23,71,34
2020-10-24,68,37
2020-10-25,64,31
2020-10-26,66,29
2020-10-27,69,26
2020-10-28,72,23
2020-10-29,71,24
2020-10-30,74,21
2020-10-31,72,23
2020-11-01,66,29
2020-11-02,65,30
2020-11-03,75,20
2020-11-04,74,21
2020-11-05,76,19
2020-11-06,75,20
2020-11-07,63,32
2020-11-08,66,29
2020-11-09,68,27
2020-11-10,69,26
2020-11-11,61,34
2020-11-12,70,25
2020-11-13,74,21
2020-11-14,64,31
2020-11-15,58,37
2020-11-16,61,34
2020-11-17,67,28
2020-11-18,71,24
2020-11-19,79,16
2020-11-20,74,21
2020-11-21,72,23
2020-11-22,69,26
2020-11-23,66,29
2020-11-24,68,27
2020-11-25,72,23
2020-11-26,80,15
2020-11-27,76,19
2020-11-28,76,19
2020-11-29,75,20
2020-11-30,74,21
2020-12-01,76,19
2020-12-02,88,10
2020-12-03,86,9
2020-12-04,88,8
2020-12-05,87,9
2020-12-06,85,10
2020-12-07,72,23
2020-12-08,70,25
2020-12-09,70,25
2020-12-10,75,20
2020-12-11,70,25
2020-12-12,74,21
2020-12-13,69,26
2020-12-14,69,26
2020-12-15,75,20
2020-12-16,87,11
2020-12-17,91,7
2020-12-18,90,8
2020-12-19,95,3
2020-12-20,92,6
2020-12-21,85,10
2020-12-22,81,19
2020-12-23,92,12
2020-12-24,87,13
2020-12-25,85,15
2020-12-26,81,19
2020-12-27,87,13
2020-12-28,87,8
2020-12-29,91,11
2020-12-30,93,8
2020-12-31,97,5
2021-01-01,91,10
2021-01-02,102,6
2021-01-03,103,5
2021-01-04,107,5
2021-01-05,107,5
2021-01-06,105,5
2021-01-07,99,5
2021-01-08,103,5
2021-01-09,92,8
2021-01-10,90,9
2021-01-11,91,9
2021-01-12,97,7
2021-01-13,94,7
2021-01-14,97,9
2021-01-15,99,12
2021-01-16,89,13
2021-01-17,86,15
2021-01-18,83,15
2021-01-19,86,15
2021-01-20,84,17
2021-01-21,82,19
2021-01-22,82,18
2021-01-23,83,17
2021-01-24,83,17
2021-01-25,83,17
2021-01-26,83,20
2021-01-27,84,17
2021-01-28,78,22
2021-01-29,78,22
2021-01-30,76,24
2021-01-31,74,26
2021-02-01,76,24
2021-02-02,80,20
2021-02-03,85,20
2021-02-04,87,15
2021-02-05,87,13
2021-02-06,75,20
2021-02-07,73,22
2021-02-08,78,17
2021-02-09,80,15
2021-02-10,83,14
2021-02-11,82,15
2021-02-12,89,13
2021-02-13,78,19
2021-02-14,71,26
2021-02-15,82,15
2021-02-16,86,15
2021-02-17,82,18
2021-02-18,85,15
2021-02-19,85,15
2021-02-20,79,21
2021-02-21,75,25
2021-02-22,85,16
2021-02-23,91,12
2021-02-24,89,8
2021-02-25,89,8
2021-02-26,88,9
2021-02-27,78,19
2021-02-28,77,20
2021-03-01,80,17
2021-03-02,84,13
2021-03-03,82,15
2021-03-04,76,21
2021-03-05,80,17
2021-03-06,78,19
2021-03-07,72,25
2021-03-08,81,16
2021-03-09,82,15
2021-03-10,81,16
2021-03-11,85,12
2021-03-12,76,21
2021-03-13,73,24
2021-03-14,67,24
2021-03-15,73,22
2021-03-16,74,23
2021-03-17,78,19
2021-03-18,79,18
2021-03-19,80,17
2021-03-20,78,13
2021-03-21,69,22
2021-03-22,78,19
2021-03-23,80,17
2021-03-24,78,19
2021-03-25,79,15
2021-03-26,76,18
2021-03-27,76,15
2021-03-28,71,16
2021-03-29,73,18
2021-03-30,76,15
2021-03-31,77,14
2021-04-01,77,14
2021-04-02,69,16
2021-04-03,66,19
2021-04-04,69,16
2021-04-05,68,17
2021-04-06,75,16
2021-04-07,79,15
2021-04-08,84,13
2021-04-09,81,16
2021-04-10,79,18
2021-04-11,74,23
2021-04-12,82,15
2021-04-13,77,24
2021-04-14,82,19
2021-04-15,82,19
2021-04-16,80,21
2021-04-17,75,26
2021-04-18,70,31
2021-04-19,75,26
2021-04-20,83,20
2021-04-21,77,24
2021-04-22,80,21
2021-04-23,83,18
2021-04-24,78,23
2021-04-25,82,19
2021-04-26,84,17
2021-04-27,85,16
2021-04-28,83,18
2021-04-29,86,16
2021-04-30,89,14
2021-05-01,89,12
2021-05-02,84,17
2021-05-03,84,17
2021-05-04,84,17
2021-05-05,85,17
2021-05-06,83,15
2021-05-07,88,15
2021-05-08,80,22
2021-05-09,74,27
2021-05-10,81,20
2021-05-11,83,19
2021-05-12,88,16
2021-05-13,80,22
2021-05-14,78,24
2021-05-15,78,24
2021-05-16,74,28
2021-05-17,77,24
2021-05-18,83,18
2021-05-19,76,25
2021-05-20,74,27
2021-05-21,76,25
2021-05-22,79,22
2021-05-23,69,32
2021-05-24,71,30
2021-05-25,85,6
2021-05-26,86,5
2021-05-27,85,6
2021-05-28,80,11
2021-05-29,76,15
2021-05-30,74,17
2021-05-31,81,10
2021-06-01,82,9
2021-06-02,86,5
2021-06-03,87,4
2021-06-04,82,9
2021-06-05,77,14
2021-06-06,80,11
2021-06-07,87,4
2021-06-08,93,2
2021-06-09,86,5
2021-06-10,79,12
2021-06-11,77,14
2021-06-12,71,20
2021-06-13,71,20
2021-06-14,74,17
2021-06-15,78,13
2021-06-16,75,16
2021-06-17,83,8
2021-06-18,77,14
2021-06-19,69,22
2021-06-20,68,23
2021-06-21,81,10
2021-06-22,81,10
2021-06-23,81,10
2021-06-24,77,14
2021-06-25,75,16
2021-06-26,73,18
2021-06-27,69,22
2021-06-28,81,10
2021-06-29,82,9
2021-06-30,77,14
2021-07-01,80,11
2021-07-02,82,9
2021-07-03,71,14
2021-07-04,63,22
2021-07-05,70,21
2021-07-06,79,12
2021-07-07,79,12
2021-07-08,82,9
2021-07-09,76,15
2021-07-10,73,18
2021-07-11,69,22
2021-07-12,73,18
2021-07-13,81,10
2021-07-14,77,14
2021-07-15,77,14
2021-07-16,86,5
2021-07-17,76,9
2021-07-18,73,11
2021-07-19,77,13
2021-07-20,83,7
2021-07-21,80,11
2021-07-22,86,5
2021-07-23,79,9
2021-07-24,77,11
2021-07-25,76,12
2021-07-26,83,8
2021-07-27,86,5
2021-07-28,84,7
2021-07-29,84,7
2021-07-30,86,5
2021-07-31,82,5
2021-08-01,78,8
2021-08-02,83,8
2021-08-03,83,8
2021-08-04,84,7
2021-08-05,80,11
2021-08-06,80,11
2021-08-07,77,14
2021-08-08,74,17
2021-08-09,84,7
2021-08-10,80,11
2021-08-11,83,8
2021-08-12,82,9
2021-08-13,80,11
2021-08-14,76,15
2021-08-15,66,19
2021-08-16,68,22
2021-08-17,78,12
2021-08-18,84,7
2021-08-19,80,10
2021-08-20,81,10
