date,betten_belegt,betten_frei
2020-04-24,9,9
2020-04-25,9,9
2020-04-26,8,10
2020-04-27,7,11
2020-04-28,10,8
2020-04-29,9,9
2020-04-30,9,9
2020-05-01,7,11
2020-05-02,8,10
2020-05-03,10,8
2020-05-04,12,6
2020-05-05,13,5
2020-05-06,12,6
2020-05-07,14,4
2020-05-08,8,10
2020-05-09,10,8
2020-05-10,10,8
2020-05-11,10,8
2020-05-12,13,5
2020-05-13,9,9
2020-05-14,6,12
2020-05-15,7,11
2020-05-16,6,11
2020-05-17,13,5
2020-05-18,11,7
2020-05-19,11,7
2020-05-20,10,8
2020-05-21,11,7
2020-05-22,11,7
2020-05-23,10,8
2020-05-24,10,8
2020-05-25,11,7
2020-05-26,10,8
2020-05-27,11,7
2020-05-28,10,8
2020-05-29,10,8
2020-05-30,9,9
2020-05-31,9,9
2020-06-01,9,9
2020-06-02,11,7
2020-06-03,10,8
2020-06-04,10,8
2020-06-05,7,11
2020-06-06,9,9
2020-06-07,9,9
2020-06-08,9,9
2020-06-09,7,11
2020-06-10,8,10
2020-06-11,8,10
2020-06-12,8,10
2020-06-13,11,7
2020-06-14,11,7
2020-06-15,11,7
2020-06-16,11,7
2020-06-17,11,7
2020-06-18,11,7
2020-06-19,13,5
2020-06-20,12,6
2020-06-21,12,6
2020-06-22,12,6
2020-06-23,12,6
2020-06-24,13,5
2020-06-25,11,7
2020-06-26,9,9
2020-06-27,7,11
2020-06-28,7,11
2020-06-29,5,13
2020-06-30,12,6
2020-07-01,9,9
2020-07-02,9,9
2020-07-03,7,11
2020-07-04,9,9
2020-07-05,10,8
2020-07-06,8,10
2020-07-07,9,9
2020-07-08,10,8
2020-07-09,10,8
2020-07-10,10,8
2020-07-11,10,8
2020-07-12,7,11
2020-07-13,7,11
2020-07-14,9,9
2020-07-15,10,8
2020-07-16,9,9
2020-07-17,10,8
2020-07-18,9,9
2020-07-19,9,9
2020-07-20,7,11
2020-07-21,6,12
2020-07-22,3,9
2020-07-23,7,9
2020-07-24,6,10
2020-07-25,5,11
2020-07-26,5,11
2020-07-27,5,11
2020-07-28,8,8
2020-07-29,5,11
2020-07-30,4,12
2020-07-31,6,10
2020-08-01,7,9
2020-08-02,7,9
2020-08-03,8,8
2020-08-04,7,11
2020-08-05,9,7
2020-08-06,10,6
2020-08-07,11,15
2020-08-08,8,18
2020-08-09,8,18
2020-08-10,8,18
2020-08-11,10,16
2020-08-12,11,15
2020-08-13,9,17
2020-08-14,10,16
2020-08-15,10,16
2020-08-16,11,15
2020-08-17,8,18
2020-08-18,9,17
2020-08-19,10,16
2020-08-20,10,16
2020-08-21,6,20
2020-08-22,6,20
2020-08-23,6,20
2020-08-24,9,17
2020-08-25,7,19
2020-08-26,8,18
2020-08-27,8,18
2020-08-28,5,21
2020-08-29,4,22
2020-08-30,5,21
2020-08-31,5,21
2020-09-01,5,21
2020-09-02,7,19
2020-09-03,8,18
2020-09-04,5,21
2020-09-05,7,19
2020-09-06,4,22
2020-09-07,7,19
2020-09-08,4,22
2020-09-09,6,20
2020-09-10,4,22
2020-09-11,10,16
2020-09-12,9,17
2020-09-13,9,17
2020-09-14,8,18
2020-09-15,8,18
2020-09-16,7,19
2020-09-17,7,19
2020-09-18,8,18
2020-09-19,8,18
