date,betten_belegt,betten_frei
2020-04-24,27,41
2020-04-25,22,46
2020-04-26,23,45
2020-04-27,28,40
2020-04-28,26,42
2020-04-29,27,41
2020-04-30,27,41
2020-05-01,28,40
2020-05-02,27,41
2020-05-03,27,41
2020-05-04,26,42
2020-05-05,30,38
2020-05-06,30,38
2020-05-07,30,38
2020-05-08,30,38
2020-05-09,30,38
2020-05-10,30,38
2020-05-11,30,38
2020-05-12,30,38
2020-05-13,28,40
2020-05-14,32,36
2020-05-15,23,45
2020-05-16,23,45
2020-05-17,26,42
2020-05-18,24,44
2020-05-19,25,43
2020-05-20,27,41
2020-05-21,26,42
2020-05-22,26,42
2020-05-23,26,42
2020-05-24,32,37
2020-05-25,30,38
2020-05-26,29,39
2020-05-27,28,40
2020-05-28,27,41
2020-05-29,32,36
2020-05-30,28,40
2020-05-31,24,44
2020-06-01,25,43
2020-06-02,23,45
2020-06-03,27,41
2020-06-04,26,42
2020-06-05,23,45
2020-06-06,26,42
2020-06-07,27,41
2020-06-08,25,43
2020-06-09,28,40
2020-06-10,25,43
2020-06-11,23,45
2020-06-12,29,39
2020-06-13,29,39
2020-06-14,29,39
2020-06-15,30,38
2020-06-16,32,36
2020-06-17,29,39
2020-06-18,32,0
2020-06-19,29,3
2020-06-20,29,3
2020-06-21,29,3
2020-06-22,29,29
2020-06-23,30,28
2020-06-24,30,28
2020-06-25,30,28
2020-06-26,22,12
2020-06-27,22,4
2020-06-28,26,6
2020-06-29,26,6
2020-06-30,27,5
2020-07-01,26,6
2020-07-02,29,3
2020-07-03,27,4
2020-07-04,23,9
2020-07-05,25,7
2020-07-06,24,8
2020-07-07,24,8
2020-07-08,28,2
2020-07-09,29,3
2020-07-10,29,3
2020-07-11,29,3
2020-07-12,30,2
2020-07-13,30,2
2020-07-14,30,2
2020-07-15,31,1
2020-07-16,28,4
2020-07-17,30,2
2020-07-18,32,0
2020-07-19,29,3
2020-07-20,32,0
2020-07-21,31,1
2020-07-22,31,1
2020-07-23,32,0
2020-07-24,29,1
2020-07-25,29,1
2020-07-26,30,0
2020-07-27,25,5
2020-07-28,30,0
2020-07-29,28,2
2020-07-30,29,1
2020-07-31,30,0
2020-08-01,23,0
2020-08-02,23,0
2020-08-03,27,3
2020-08-04,27,3
2020-08-05,24,6
2020-08-06,26,4
2020-08-07,30,0
2020-08-08,30,0
2020-08-09,26,4
2020-08-10,30,0
2020-08-11,24,6
2020-08-12,29,1
2020-08-13,30,0
2020-08-14,30,0
2020-08-15,30,0
2020-08-16,30,0
2020-08-17,29,1
2020-08-18,28,2
2020-08-19,30,0
2020-08-20,27,3
2020-08-21,27,3
2020-08-22,24,6
2020-08-23,22,14
2020-08-24,22,8
2020-08-25,25,5
2020-08-26,28,2
2020-08-27,28,2
2020-08-28,25,5
2020-08-29,27,3
2020-08-30,27,3
2020-08-31,26,4
2020-09-01,28,2
2020-09-02,27,3
2020-09-03,29,1
2020-09-04,30,0
2020-09-05,25,5
2020-09-06,27,3
2020-09-07,27,3
2020-09-08,28,2
2020-09-09,28,2
2020-09-10,29,1
2020-09-11,30,0
2020-09-12,29,1
2020-09-13,30,0
2020-09-14,30,0
2020-09-15,28,2
2020-09-16,30,0
2020-09-17,30,0
2020-09-18,30,0
2020-09-19,28,0
2020-09-20,28,0
2020-09-21,30,0
2020-09-22,28,2
2020-09-23,30,0
2020-09-24,29,1
2020-09-25,30,0
2020-09-26,30,0
2020-09-27,29,0
2020-09-28,29,0
2020-09-29,28,2
2020-09-30,29,1
2020-10-01,30,0
2020-10-02,25,3
2020-10-03,25,3
2020-10-04,24,4
2020-10-05,30,0
2020-10-06,30,0
2020-10-07,26,4
2020-10-08,28,2
2020-10-09,29,1
2020-10-10,27,1
2020-10-11,24,4
2020-10-12,24,4
2020-10-13,28,2
2020-10-14,30,0
2020-10-15,28,2
2020-10-16,28,0
2020-10-17,27,1
2020-10-18,26,2
2020-10-19,27,3
2020-10-20,28,2
2020-10-21,30,0
2020-10-22,24,6
2020-10-23,30,0
2020-10-24,27,3
2020-10-25,30,0
2020-10-26,28,0
2020-10-27,26,4
2020-10-28,30,0
2020-10-29,29,1
2020-10-30,29,1
2020-10-31,26,2
2020-11-01,26,2
2020-11-02,24,4
2020-11-03,28,0
2020-11-04,24,4
2020-11-05,27,1
2020-11-06,27,1
2020-11-07,22,6
2020-11-08,26,2
2020-11-09,25,5
2020-11-10,28,2
2020-11-11,29,1
2020-11-12,30,0
2020-11-13,28,0
2020-11-14,28,0
2020-11-15,28,0
2020-11-16,28,0
2020-11-17,25,3
2020-11-18,25,3
2020-11-19,27,1
2020-11-20,28,0
2020-11-21,28,0
2020-11-22,26,2
