date,betten_belegt,betten_frei
2020-04-24,50,22
2020-04-25,51,23
2020-04-26,47,25
2020-04-27,48,23
2020-04-28,50,21
2020-04-29,54,17
2020-04-30,54,17
2020-05-01,57,14
2020-05-02,53,19
2020-05-03,53,19
2020-05-04,49,15
2020-05-05,56,15
2020-05-06,53,17
2020-05-07,55,17
2020-05-08,50,21
2020-05-09,49,22
2020-05-10,53,19
2020-05-11,54,17
2020-05-12,59,13
2020-05-13,57,14
2020-05-14,55,19
2020-05-15,58,14
2020-05-16,56,14
2020-05-17,55,16
2020-05-18,53,16
2020-05-19,56,15
2020-05-20,59,13
2020-05-21,54,18
2020-05-22,50,21
2020-05-23,48,23
2020-05-24,56,16
2020-05-25,58,13
2020-05-26,59,13
2020-05-27,61,11
2020-05-28,56,16
2020-05-29,53,18
2020-05-30,51,20
2020-05-31,45,26
2020-06-01,48,23
2020-06-02,48,23
2020-06-03,51,19
2020-06-04,48,23
2020-06-05,48,23
2020-06-06,52,20
2020-06-07,54,18
2020-06-08,57,14
2020-06-09,55,17
2020-06-10,50,21
2020-06-11,51,20
2020-06-12,52,18
2020-06-13,54,17
2020-06-14,52,19
2020-06-15,53,18
2020-06-16,53,18
2020-06-17,54,18
2020-06-18,57,12
2020-06-19,55,16
2020-06-20,47,21
2020-06-21,54,15
2020-06-22,46,25
2020-06-23,46,25
2020-06-24,57,14
2020-06-25,59,13
2020-06-26,46,26
2020-06-27,52,20
2020-06-28,51,22
2020-06-29,54,18
2020-06-30,56,16
2020-07-01,61,11
2020-07-02,55,18
2020-07-03,54,18
2020-07-04,56,16
2020-07-05,54,19
2020-07-06,51,21
2020-07-07,50,22
2020-07-08,46,26
2020-07-09,49,23
2020-07-10,48,24
2020-07-11,52,19
2020-07-12,48,24
2020-07-13,52,20
2020-07-14,56,17
2020-07-15,51,21
2020-07-16,51,21
2020-07-17,55,17
2020-07-18,54,18
2020-07-19,51,21
2020-07-20,55,17
2020-07-21,49,23
2020-07-22,52,19
2020-07-23,53,18
2020-07-24,52,19
2020-07-25,53,18
2020-07-26,54,17
2020-07-27,52,19
2020-07-28,53,19
2020-07-29,49,22
2020-07-30,53,17
2020-07-31,46,25
2020-08-01,46,25
2020-08-02,48,23
2020-08-03,49,22
2020-08-04,50,21
2020-08-05,41,20
2020-08-06,42,19
2020-08-07,41,20
2020-08-08,38,23
2020-08-09,43,18
2020-08-10,49,12
2020-08-11,40,21
2020-08-12,43,18
2020-08-13,41,19
2020-08-14,42,19
2020-08-15,40,21
2020-08-16,40,21
2020-08-17,39,22
2020-08-18,45,16
2020-08-19,45,16
2020-08-20,42,19
2020-08-21,40,21
2020-08-22,46,15
2020-08-23,41,20
2020-08-24,44,17
2020-08-25,36,25
2020-08-26,40,21
2020-08-27,35,26
2020-08-28,40,21
2020-08-29,36,25
2020-08-30,40,21
2020-08-31,36,25
2020-09-01,40,21
2020-09-02,42,19
2020-09-03,36,25
2020-09-04,42,19
2020-09-05,45,16
2020-09-06,39,22
2020-09-07,39,22
2020-09-08,38,23
2020-09-09,41,20
2020-09-10,48,13
2020-09-11,44,17
2020-09-12,41,20
2020-09-13,45,16
2020-09-14,43,18
2020-09-15,48,13
2020-09-16,44,17
2020-09-17,44,17
2020-09-18,45,16
2020-09-19,43,18
2020-09-20,38,23
2020-09-21,37,24
2020-09-22,42,19
2020-09-23,49,12
2020-09-24,47,14
2020-09-25,45,16
2020-09-26,44,17
2020-09-27,43,18
2020-09-28,42,19
2020-09-29,47,14
2020-09-30,44,17
2020-10-01,44,17
2020-10-02,48,13
2020-10-03,49,12
2020-10-04,47,14
2020-10-05,43,18
2020-10-06,47,14
2020-10-07,45,16
2020-10-08,45,16
2020-10-09,44,17
2020-10-10,44,17
2020-10-11,41,20
2020-10-12,47,14
2020-10-13,46,15
2020-10-14,49,12
2020-10-15,43,18
2020-10-16,47,14
2020-10-17,43,18
2020-10-18,43,18
2020-10-19,43,18
2020-10-20,40,15
2020-10-21,40,15
2020-10-22,40,15
2020-10-23,43,12
2020-10-24,37,18
2020-10-25,38,17
2020-10-26,42,13
2020-10-27,43,12
2020-10-28,43,12
2020-10-29,44,9
2020-10-30,40,13
2020-10-31,42,10
2020-11-01,40,12
2020-11-02,42,9
2020-11-03,43,10
2020-11-04,44,11
2020-11-05,47,6
2020-11-06,42,11
2020-11-07,42,11
2020-11-08,34,19
2020-11-09,36,17
2020-11-10,35,18
2020-11-11,36,17
2020-11-12,36,17
2020-11-13,41,9
2020-11-14,39,12
2020-11-15,40,11
2020-11-16,42,9
2020-11-17,40,11
2020-11-18,43,8
2020-11-19,41,10
2020-11-20,44,7
2020-11-21,41,10
2020-11-22,42,9
2020-11-23,42,9
2020-11-24,45,6
2020-11-25,44,7
2020-11-26,42,9
2020-11-27,45,6
2020-11-28,43,9
2020-11-29,42,9
2020-11-30,48,3
2020-12-01,45,8
2020-12-02,46,5
2020-12-03,48,5
2020-12-04,43,10
2020-12-05,38,14
2020-12-06,40,11
2020-12-07,41,13
2020-12-08,42,12
2020-12-09,46,8
2020-12-10,52,3
2020-12-11,44,11
2020-12-12,42,13
2020-12-13,45,10
2020-12-14,42,13
2020-12-15,48,7
2020-12-16,45,10
2020-12-17,46,10
2020-12-18,43,13
2020-12-19,42,14
2020-12-20,47,9
2020-12-21,46,10
2020-12-22,44,12
2020-12-23,39,16
2020-12-24,42,13
2020-12-25,37,18
2020-12-26,41,14
2020-12-27,43,12
2020-12-28,43,13
2020-12-29,44,12
2020-12-30,39,17
2020-12-31,42,14
2021-01-01,40,16
2021-01-02,41,15
2021-01-03,40,16
2021-01-04,40,16
2021-01-05,44,12
2021-01-06,39,17
