date,betten_belegt,betten_frei
2020-04-24,52,26
2020-04-25,47,32
2020-04-26,53,25
2020-04-27,49,29
2020-04-28,54,24
2020-04-29,54,24
2020-04-30,53,23
2020-05-01,57,19
2020-05-02,50,28
2020-05-03,51,27
2020-05-04,52,26
2020-05-05,46,26
2020-05-06,41,29
2020-05-07,40,37
2020-05-08,56,21
2020-05-09,57,20
2020-05-10,57,20
2020-05-11,59,18
2020-05-12,54,24
2020-05-13,52,25
2020-05-14,56,22
2020-05-15,58,19
2020-05-16,48,28
2020-05-17,50,27
2020-05-18,46,32
2020-05-19,38,40
2020-05-20,41,37
2020-05-21,45,32
2020-05-22,47,31
2020-05-23,46,29
2020-05-24,47,28
2020-05-25,76,43
2020-05-26,77,44
2020-05-27,77,39
2020-05-28,82,36
2020-05-29,72,43
2020-05-30,81,33
2020-05-31,70,41
2020-06-01,65,50
2020-06-02,70,45
2020-06-03,74,41
2020-06-04,66,51
2020-06-05,71,46
2020-06-06,74,40
2020-06-07,78,37
2020-06-08,79,37
2020-06-09,77,41
2020-06-10,77,40
2020-06-11,84,27
2020-06-12,82,29
2020-06-13,81,27
2020-06-14,78,30
2020-06-15,66,39
2020-06-16,74,38
2020-06-17,67,39
2020-06-18,73,39
2020-06-19,76,41
2020-06-20,85,34
2020-06-21,81,36
2020-06-22,77,36
2020-06-23,79,43
2020-06-24,80,38
2020-06-25,92,20
2020-06-26,90,19
2020-06-27,89,23
2020-06-28,93,16
2020-06-29,94,15
2020-06-30,93,17
2020-07-01,86,22
2020-07-02,86,22
2020-07-03,93,15
2020-07-04,84,25
2020-07-05,88,21
2020-07-06,83,26
2020-07-07,87,25
2020-07-08,80,31
2020-07-09,87,24
2020-07-10,87,22
2020-07-11,91,19
2020-07-12,90,20
2020-07-13,83,25
2020-07-14,75,32
2020-07-15,78,30
2020-07-16,80,28
2020-07-17,74,33
2020-07-18,77,29
2020-07-19,77,29
2020-07-20,75,35
2020-07-21,67,44
2020-07-22,72,39
2020-07-23,73,36
2020-07-24,76,30
2020-07-25,86,23
2020-07-26,85,27
2020-07-27,86,26
2020-07-28,81,28
2020-07-29,78,31
2020-07-30,78,31
2020-07-31,73,34
2020-08-01,69,36
2020-08-02,68,37
2020-08-03,72,31
2020-08-04,81,28
2020-08-05,76,33
2020-08-06,77,31
2020-08-07,72,37
2020-08-08,72,35
2020-08-09,68,39
2020-08-10,63,44
2020-08-11,70,37
2020-08-12,66,40
2020-08-13,67,38
2020-08-14,73,33
2020-08-15,82,23
2020-08-16,80,25
2020-08-17,75,30
2020-08-18,79,26
2020-08-19,80,22
2020-08-20,77,26
2020-08-21,75,28
2020-08-22,72,32
2020-08-23,75,29
2020-08-24,70,39
2020-08-25,76,31
2020-08-26,76,29
2020-08-27,77,29
2020-08-28,74,31
2020-08-29,74,30
2020-08-30,74,30
2020-08-31,72,35
2020-09-01,72,38
2020-09-02,83,29
2020-09-03,79,31
2020-09-04,76,33
2020-09-05,85,23
2020-09-06,85,23
2020-09-07,83,24
2020-09-08,82,29
2020-09-09,89,22
2020-09-10,95,17
2020-09-11,87,23
2020-09-12,85,25
2020-09-13,83,29
2020-09-14,84,30
2020-09-15,89,25
2020-09-16,87,27
2020-09-17,86,28
2020-09-18,74,35
2020-09-19,79,32
2020-09-20,75,36
2020-09-21,84,23
2020-09-22,85,25
2020-09-23,84,26
2020-09-24,77,33
2020-09-25,77,33
2020-09-26,83,27
2020-09-27,79,29
2020-09-28,76,35
2020-09-29,80,28
2020-09-30,88,22
2020-10-01,89,20
2020-10-02,92,16
2020-10-03,86,18
2020-10-04,91,16
2020-10-05,86,19
2020-10-06,87,18
2020-10-07,85,20
2020-10-08,84,21
2020-10-09,85,20
2020-10-10,77,28
2020-10-11,81,24
2020-10-12,83,23
2020-10-13,83,23
2020-10-14,82,25
2020-10-15,86,21
2020-10-16,86,22
2020-10-17,79,26
2020-10-18,81,24
2020-10-19,80,27
2020-10-20,76,30
2020-10-21,80,26
2020-10-22,85,21
2020-10-23,87,21
2020-10-24,84,25
2020-10-25,84,25
2020-10-26,81,23
2020-10-27,79,28
2020-10-28,82,25
2020-10-29,75,29
2020-10-30,78,26
2020-10-31,80,24
2020-11-01,83,19
2020-11-02,79,25
2020-11-03,79,27
2020-11-04,79,26
2020-11-05,78,25
2020-11-06,76,22
2020-11-07,80,20
2020-11-08,79,21
2020-11-09,80,19
2020-11-10,74,22
2020-11-11,72,26
2020-11-12,76,20
2020-11-13,74,24
2020-11-14,72,28
2020-11-15,74,26
2020-11-16,75,25
2020-11-17,74,26
2020-11-18,73,23
2020-11-19,74,22
2020-11-20,72,28
2020-11-21,72,28
2020-11-22,80,19
2020-11-23,83,16
2020-11-24,82,17
2020-11-25,81,18
2020-11-26,82,18
2020-11-27,83,17
2020-11-28,80,20
2020-11-29,83,17
2020-11-30,83,17
2020-12-01,85,15
2020-12-02,85,11
2020-12-03,87,10
2020-12-04,85,12
2020-12-05,84,15
2020-12-06,84,14
2020-12-07,89,10
2020-12-08,88,10
