date,betten_belegt,betten_frei
2020-04-24,29,6
2020-04-25,27,9
2020-04-26,27,8
2020-04-27,27,8
2020-04-28,28,7
2020-04-29,25,10
2020-04-30,25,10
2020-05-01,23,12
2020-05-02,22,13
2020-05-03,25,10
2020-05-04,23,12
2020-05-05,25,10
2020-05-06,21,14
2020-05-07,21,14
2020-05-08,21,14
2020-05-09,23,12
2020-05-10,22,13
2020-05-11,22,13
2020-05-12,30,5
2020-05-13,26,9
2020-05-14,24,11
2020-05-15,25,10
2020-05-16,23,12
2020-05-17,23,12
2020-05-18,24,11
2020-05-19,27,8
2020-05-20,27,8
2020-05-21,27,8
2020-05-22,25,10
2020-05-23,26,9
2020-05-24,32,3
2020-05-25,32,3
2020-05-26,32,3
2020-05-27,30,5
2020-05-28,31,4
2020-05-29,28,7
2020-05-30,31,4
2020-05-31,33,2
2020-06-01,32,3
2020-06-02,31,4
2020-06-03,33,2
2020-06-04,32,6
2020-06-05,26,8
2020-06-06,29,6
2020-06-07,31,4
2020-06-08,30,5
2020-06-09,30,5
2020-06-10,30,7
2020-06-11,30,7
2020-06-12,28,7
2020-06-13,28,7
2020-06-14,27,8
2020-06-15,29,6
2020-06-16,27,8
2020-06-17,25,10
2020-06-18,25,10
2020-06-19,23,12
2020-06-20,24,11
2020-06-21,27,8
2020-06-22,29,6
2020-06-23,27,8
2020-06-24,24,11
2020-06-25,29,6
2020-06-26,26,9
2020-06-27,26,9
2020-06-28,29,6
2020-06-29,28,7
2020-06-30,26,9
2020-07-01,25,10
2020-07-02,19,16
2020-07-03,23,12
2020-07-04,23,12
2020-07-05,28,7
2020-07-06,28,7
2020-07-07,27,8
2020-07-08,26,9
2020-07-09,26,9
2020-07-10,27,8
2020-07-11,27,8
2020-07-12,29,6
2020-07-13,30,5
2020-07-14,30,5
2020-07-15,31,4
2020-07-16,31,4
2020-07-17,29,6
2020-07-18,29,6
2020-07-19,29,6
2020-07-20,30,5
2020-07-21,32,3
2020-07-22,33,2
2020-07-23,32,3
2020-07-24,32,3
2020-07-25,29,6
2020-07-26,29,6
2020-07-27,32,3
2020-07-28,31,4
2020-07-29,33,3
2020-07-30,31,4
2020-07-31,25,10
2020-08-01,24,11
2020-08-02,28,8
2020-08-03,33,2
2020-08-04,33,2
2020-08-05,33,2
2020-08-06,32,3
2020-08-07,32,3
2020-08-08,29,6
2020-08-09,32,3
2020-08-10,30,5
2020-08-11,32,3
2020-08-12,29,6
2020-08-13,32,3
2020-08-14,31,4
2020-08-15,27,8
2020-08-16,27,8
2020-08-17,28,7
2020-08-18,29,2
2020-08-19,25,6
2020-08-20,25,6
2020-08-21,30,5
2020-08-22,30,5
2020-08-23,30,5
2020-08-24,27,8
2020-08-25,25,10
2020-08-26,25,10
2020-08-27,25,10
2020-08-28,23,12
2020-08-29,23,12
2020-08-30,27,8
2020-08-31,28,3
2020-09-01,31,0
2020-09-02,30,1
2020-09-03,30,1
2020-09-04,30,1
2020-09-05,30,1
2020-09-06,30,1
2020-09-07,30,1
2020-09-08,30,1
2020-09-09,32,1
2020-09-10,32,1
2020-09-11,32,1
2020-09-12,32,1
2020-09-13,32,1
2020-09-14,28,3
2020-09-15,28,3
2020-09-16,28,3
2020-09-17,28,3
2020-09-18,29,5
2020-09-19,29,5
2020-09-20,29,5
2020-09-21,29,5
2020-09-22,28,3
