date,betten_belegt,betten_frei
2020-04-24,12,17
2020-04-25,10,17
2020-04-26,10,18
2020-04-27,9,18
2020-04-28,13,14
2020-04-29,11,14
2020-04-30,15,14
2020-05-01,17,12
2020-05-02,14,15
2020-05-03,11,18
2020-05-04,15,14
2020-05-05,17,12
2020-05-06,18,11
2020-05-07,16,13
2020-05-08,15,14
2020-05-09,13,14
2020-05-10,13,15
2020-05-11,13,15
2020-05-12,12,17
2020-05-13,14,15
2020-05-14,12,17
2020-05-15,12,17
2020-05-16,17,12
2020-05-17,16,13
2020-05-18,15,14
2020-05-19,13,16
2020-05-20,17,10
2020-05-21,14,15
2020-05-22,16,11
2020-05-23,17,7
2020-05-24,17,8
2020-05-25,16,11
2020-05-26,16,11
2020-05-27,16,13
2020-05-28,17,12
2020-05-29,12,12
2020-05-30,16,12
2020-05-31,18,10
2020-06-01,22,7
2020-06-02,19,10
2020-06-03,18,11
2020-06-04,18,11
2020-06-05,12,13
2020-06-06,14,13
2020-06-07,14,13
2020-06-08,17,12
2020-06-09,17,10
2020-06-10,19,10
2020-06-11,18,11
2020-06-12,14,15
2020-06-13,16,15
2020-06-14,16,13
2020-06-15,17,12
2020-06-16,19,10
2020-06-17,19,10
2020-06-18,16,13
2020-06-19,16,13
2020-06-20,16,13
2020-06-21,16,13
2020-06-22,13,16
2020-06-23,14,15
2020-06-24,17,12
2020-06-25,17,13
2020-06-26,17,12
2020-06-27,17,11
2020-06-28,17,11
2020-06-29,17,11
2020-06-30,17,12
2020-07-01,16,13
2020-07-02,19,11
2020-07-03,17,12
2020-07-04,14,11
2020-07-05,14,8
2020-07-06,14,13
2020-07-07,14,15
2020-07-08,13,16
2020-07-09,13,16
2020-07-10,16,13
2020-07-11,16,13
2020-07-12,18,11
2020-07-13,17,12
2020-07-14,18,11
2020-07-15,18,11
2020-07-16,16,13
2020-07-17,18,11
2020-07-18,18,11
2020-07-19,22,7
2020-07-20,21,8
2020-07-21,22,8
2020-07-22,18,11
2020-07-23,18,11
2020-07-24,17,12
2020-07-25,16,13
2020-07-26,16,13
2020-07-27,15,14
2020-07-28,17,12
2020-07-29,17,12
2020-07-30,17,12
2020-07-31,16,13
2020-08-01,15,15
2020-08-02,14,16
2020-08-03,14,15
2020-08-04,14,8
2020-08-05,14,8
