date,betten_belegt,betten_frei
2020-04-24,8,11
2020-04-25,8,10
2020-04-26,10,10
2020-04-27,7,13
2020-04-28,5,17
2020-04-29,4,14
2020-04-30,4,14
2020-05-01,4,16
2020-05-02,7,13
2020-05-03,5,15
2020-05-04,5,16
2020-05-05,4,17
2020-05-06,5,15
2020-05-07,5,15
2020-05-08,5,8
2020-05-09,6,6
2020-05-10,7,5
2020-05-11,5,11
2020-05-12,7,11
2020-05-13,8,9
2020-05-14,7,11
2020-05-15,6,12
2020-05-16,12,15
2020-05-17,10,12
2020-05-18,6,11
2020-05-19,5,11
2020-05-20,6,10
2020-05-21,6,10
2020-05-22,2,9
2020-05-23,3,9
2020-05-24,5,5
2020-05-25,5,5
2020-05-26,8,4
2020-05-27,7,7
2020-05-28,6,9
2020-05-29,6,8
2020-05-30,7,9
2020-05-31,15,7
2020-06-01,12,6
2020-06-02,7,7
2020-06-03,6,8
2020-06-04,6,8
2020-06-05,5,8
2020-06-06,5,8
2020-06-07,5,10
2020-06-08,4,10
2020-06-09,5,9
2020-06-10,7,8
2020-06-11,7,8
2020-06-12,7,7
2020-06-13,1,12
2020-06-14,4,11
2020-06-15,8,11
2020-06-16,3,11
2020-06-17,6,9
2020-06-18,8,8
2020-06-19,9,7
2020-06-20,7,7
2020-06-21,6,8
2020-06-22,5,7
2020-06-23,6,8
2020-06-24,4,7
2020-06-25,4,11
2020-06-26,3,11
2020-06-27,4,10
2020-06-28,5,9
2020-06-29,3,14
2020-06-30,6,8
2020-07-01,6,8
2020-07-02,9,7
2020-07-03,8,7
2020-07-04,10,12
2020-07-05,11,11
2020-07-06,7,12
2020-07-07,7,11
2020-07-08,7,8
2020-07-09,9,6
2020-07-10,3,11
2020-07-11,4,12
2020-07-12,6,8
2020-07-13,8,6
2020-07-14,8,6
2020-07-15,7,8
2020-07-16,9,7
2020-07-17,9,5
2020-07-18,8,6
2020-07-19,5,9
2020-07-20,5,10
2020-07-21,6,9
2020-07-22,8,7
2020-07-23,12,4
2020-07-24,11,6
2020-07-25,11,6
2020-07-26,10,6
2020-07-27,7,9
2020-07-28,7,9
2020-07-29,8,8
2020-07-30,8,8
2020-07-31,12,5
2020-08-01,9,6
2020-08-02,8,7
2020-08-03,8,7
2020-08-04,8,9
2020-08-05,12,5
2020-08-06,6,11
2020-08-07,5,12
2020-08-08,8,9
2020-08-09,9,8
2020-08-10,8,9
2020-08-11,7,10
2020-08-12,8,9
2020-08-13,5,12
2020-08-14,7,10
2020-08-15,7,10
2020-08-16,8,9
2020-08-17,10,7
2020-08-18,9,8
2020-08-19,11,6
2020-08-20,8,9
2020-08-21,7,10
2020-08-22,9,8
2020-08-23,9,8
2020-08-24,8,9
2020-08-25,10,7
2020-08-26,10,7
2020-08-27,11,6
2020-08-28,12,5
2020-08-29,10,7
2020-08-30,5,12
2020-08-31,5,12
2020-09-01,8,9
2020-09-02,6,11
2020-09-03,9,8
2020-09-04,6,11
2020-09-05,6,11
2020-09-06,6,11
2020-09-07,6,11
2020-09-08,9,8
2020-09-09,8,9
2020-09-10,8,9
2020-09-11,7,10
2020-09-12,8,9
2020-09-13,8,9
2020-09-14,8,9
2020-09-15,7,10
2020-09-16,11,6
2020-09-17,7,10
2020-09-18,10,7
2020-09-19,11,6
2020-09-20,10,7
2020-09-21,9,8
2020-09-22,9,8
2020-09-23,7,10
2020-09-24,7,10
2020-09-25,5,12
2020-09-26,12,4
2020-09-27,10,7
2020-09-28,10,9
2020-09-29,10,9
2020-09-30,11,8
2020-10-01,12,7
2020-10-02,10,9
2020-10-03,9,10
2020-10-04,10,9
2020-10-05,6,11
2020-10-06,7,10
2020-10-07,7,10
2020-10-08,7,10
2020-10-09,9,8
2020-10-10,8,9
2020-10-11,11,6
2020-10-12,10,7
2020-10-13,8,9
2020-10-14,8,9
2020-10-15,8,9
2020-10-16,6,11
2020-10-17,6,11
2020-10-18,10,7
2020-10-19,8,9
2020-10-20,6,11
2020-10-21,8,9
2020-10-22,8,9
2020-10-23,9,8
2020-10-24,9,8
2020-10-25,10,7
2020-10-26,8,9
2020-10-27,11,6
2020-10-28,10,7
2020-10-29,9,8
2020-10-30,9,8
2020-10-31,10,7
2020-11-01,12,5
2020-11-02,15,2
2020-11-03,13,6
2020-11-04,17,3
2020-11-05,15,4
2020-11-06,14,5
2020-11-07,12,7
2020-11-08,12,7
2020-11-09,14,5
2020-11-10,15,5
2020-11-11,15,5
2020-11-12,17,3
2020-11-13,14,6
2020-11-14,14,6
2020-11-15,14,5
2020-11-16,10,9
2020-11-17,11,8
2020-11-18,13,6
2020-11-19,14,5
2020-11-20,12,7
2020-11-21,10,9
2020-11-22,12,7
2020-11-23,12,7
2020-11-24,11,8
2020-11-25,10,9
2020-11-26,9,10
2020-11-27,11,8
2020-11-28,12,7
2020-11-29,11,8
2020-11-30,12,7
2020-12-01,11,8
2020-12-02,12,7
2020-12-03,12,7
2020-12-04,16,3
2020-12-05,17,2
2020-12-06,13,6
2020-12-07,11,8
2020-12-08,10,9
2020-12-09,11,8
2020-12-10,7,10
2020-12-11,8,9
2020-12-12,10,7
2020-12-13,10,6
2020-12-14,12,4
2020-12-15,14,3
2020-12-16,12,5
2020-12-17,14,3
2020-12-18,14,3
2020-12-19,13,4
2020-12-20,12,5
2020-12-21,12,5
2020-12-22,8,9
2020-12-23,8,9
2020-12-24,7,10
2020-12-25,7,10
2020-12-26,7,10
2020-12-27,10,7
2020-12-28,9,8
2020-12-29,7,10
2020-12-30,10,7
2020-12-31,8,9
2021-01-01,11,6
2021-01-02,13,4
2021-01-03,11,6
2021-01-04,12,5
2021-01-05,12,5
2021-01-06,10,7
2021-01-07,13,4
2021-01-08,10,7
2021-01-09,10,7
2021-01-10,12,5
2021-01-11,11,6
2021-01-12,11,8
2021-01-13,10,9
2021-01-14,10,9
2021-01-15,9,10
2021-01-16,11,8
2021-01-17,9,10
2021-01-18,14,5
2021-01-19,12,7
2021-01-20,10,9
2021-01-21,8,11
2021-01-22,6,13
2021-01-23,6,13
2021-01-24,10,9
2021-01-25,12,7
2021-01-26,16,3
2021-01-27,14,5
2021-01-28,12,7
2021-01-29,12,7
2021-01-30,15,4
2021-01-31,17,2
2021-02-01,16,3
2021-02-02,14,5
2021-02-03,13,6
2021-02-04,13,6
2021-02-05,15,4
2021-02-06,12,7
2021-02-07,14,3
2021-02-08,14,5
2021-02-09,17,2
2021-02-10,15,4
2021-02-11,10,9
2021-02-12,5,14
2021-02-13,7,12
2021-02-14,11,8
2021-02-15,14,5
2021-02-16,11,6
2021-02-17,15,2
2021-02-18,16,1
2021-02-19,16,1
2021-02-20,16,1
2021-02-21,15,2
2021-02-22,15,2
2021-02-23,14,3
2021-02-24,15,2
2021-02-25,14,3
2021-02-26,17,1
2021-02-27,18,1
2021-02-28,18,1
