date,betten_belegt,betten_frei
2020-04-24,10,7
2020-04-25,10,7
2020-04-26,13,4
2020-04-27,13,4
2020-04-28,9,8
2020-04-29,7,10
2020-04-30,7,10
2020-05-01,8,9
2020-05-02,5,12
2020-05-03,8,9
2020-05-04,9,8
2020-05-05,9,8
2020-05-06,9,8
2020-05-07,11,9
2020-05-08,11,8
2020-05-09,12,8
2020-05-10,8,9
2020-05-11,10,7
2020-05-12,10,7
2020-05-13,11,6
2020-05-14,11,9
2020-05-15,9,8
2020-05-16,10,7
2020-05-17,9,6
2020-05-18,11,6
2020-05-19,12,6
2020-05-20,14,5
2020-05-21,14,5
2020-05-22,14,5
2020-05-23,14,5
2020-05-24,12,5
2020-05-25,14,3
2020-05-26,13,4
2020-05-27,8,9
2020-05-28,8,9
2020-05-29,13,12
2020-05-30,13,12
2020-05-31,13,12
2020-06-01,14,11
2020-06-02,12,13
2020-06-03,12,13
2020-06-04,18,7
2020-06-05,18,7
2020-06-06,18,7
2020-06-07,19,7
2020-06-08,20,7
2020-06-09,18,8
2020-06-10,18,8
2020-06-11,18,8
2020-06-12,19,7
2020-06-13,19,7
2020-06-14,18,8
2020-06-15,18,8
2020-06-16,18,8
2020-06-17,18,8
2020-06-18,18,8
2020-06-19,12,13
2020-06-20,15,10
2020-06-21,14,11
2020-06-22,17,9
2020-06-23,21,5
2020-06-24,18,7
2020-06-25,17,8
2020-06-26,15,10
2020-06-27,15,10
2020-06-28,15,10
2020-06-29,11,14
2020-06-30,14,11
2020-07-01,14,11
2020-07-02,16,10
2020-07-03,15,11
2020-07-04,15,11
2020-07-05,17,9
2020-07-06,17,9
2020-07-07,17,9
2020-07-08,17,10
2020-07-09,17,10
2020-07-10,16,10
2020-07-11,14,11
2020-07-12,14,11
2020-07-13,16,11
2020-07-14,16,11
2020-07-15,14,11
2020-07-16,14,11
2020-07-17,14,12
2020-07-18,14,12
2020-07-19,14,12
2020-07-20,14,12
2020-07-21,15,11
2020-07-22,15,12
2020-07-23,11,17
2020-07-24,11,17
2020-07-25,18,9
2020-07-26,18,9
2020-07-27,14,9
2020-07-28,13,12
2020-07-29,11,14
2020-07-30,13,12
2020-07-31,14,11
2020-08-01,14,11
2020-08-02,15,10
2020-08-03,13,12
2020-08-04,13,12
2020-08-05,10,15
2020-08-06,17,8
2020-08-07,17,8
2020-08-08,16,9
2020-08-09,16,9
2020-08-10,15,10
2020-08-11,12,13
2020-08-12,15,10
2020-08-13,13,12
2020-08-14,14,11
2020-08-15,14,11
2020-08-16,16,9
2020-08-17,17,8
2020-08-18,19,6
2020-08-19,17,8
2020-08-20,13,12
2020-08-21,10,15
2020-08-22,10,15
2020-08-23,10,15
2020-08-24,17,8
2020-08-25,15,10
2020-08-26,17,8
2020-08-27,12,13
2020-08-28,15,10
2020-08-29,15,10
2020-08-30,13,12
2020-08-31,12,13
2020-09-01,11,14
2020-09-02,11,14
2020-09-03,10,15
2020-09-04,12,13
2020-09-05,11,12
2020-09-06,11,12
2020-09-07,11,12
2020-09-08,6,10
2020-09-09,6,10
2020-09-10,6,10
2020-09-11,6,10
2020-09-12,6,10
2020-09-13,6,10
2020-09-14,6,10
2020-09-15,3,13
2020-09-16,4,12
2020-09-17,4,12
2020-09-18,5,11
2020-09-19,5,11
2020-09-20,5,11
2020-09-21,3,13
2020-09-22,6,10
2020-09-23,7,9
2020-09-24,7,9
2020-09-25,7,9
2020-09-26,6,10
2020-09-27,6,10
2020-09-28,6,10
2020-09-29,6,10
2020-09-30,5,11
2020-10-01,5,11
2020-10-02,5,11
2020-10-03,6,10
2020-10-04,6,10
2020-10-05,6,10
2020-10-06,6,10
2020-10-07,9,7
2020-10-08,9,7
2020-10-09,5,11
2020-10-10,7,9
2020-10-11,5,11
2020-10-12,7,9
2020-10-13,8,8
2020-10-14,9,7
2020-10-15,7,9
2020-10-16,7,9
2020-10-17,6,10
2020-10-18,6,10
2020-10-19,6,10
2020-10-20,7,9
2020-10-21,6,10
2020-10-22,6,10
2020-10-23,6,10
2020-10-24,6,10
2020-10-25,6,10
2020-10-26,7,9
2020-10-27,6,10
2020-10-28,6,10
2020-10-29,6,10
2020-10-30,5,11
2020-10-31,8,8
2020-11-01,4,12
2020-11-02,9,7
2020-11-03,11,5
2020-11-04,5,11
2020-11-05,5,11
2020-11-06,5,11
2020-11-07,7,1
2020-11-08,7,1
2020-11-09,6,2
2020-11-10,7,1
2020-11-11,6,2
2020-11-12,6,2
2020-11-13,7,1
2020-11-14,7,1
2020-11-15,7,1
2020-11-16,4,4
2020-11-17,5,3
2020-11-18,6,2
2020-11-19,5,3
2020-11-20,6,2
2020-11-21,6,2
2020-11-22,6,2
2020-11-23,6,2
2020-11-24,5,3
2020-11-25,5,3
2020-11-26,7,1
2020-11-27,13,4
2020-11-28,13,4
2020-11-29,13,4
2020-11-30,15,3
2020-12-01,14,4
2020-12-02,16,2
2020-12-03,16,2
2020-12-04,16,2
2020-12-05,16,2
2020-12-06,14,4
2020-12-07,17,1
2020-12-08,14,4
2020-12-09,15,3
2020-12-10,14,4
2020-12-11,15,3
2020-12-12,18,0
2020-12-13,15,3
2020-12-14,14,4
2020-12-15,15,3
2020-12-16,16,2
2020-12-17,17,1
2020-12-18,15,3
2020-12-19,14,4
2020-12-20,14,4
2020-12-21,12,6
2020-12-22,16,2
2020-12-23,15,3
2020-12-24,12,6
2020-12-25,15,3
2020-12-26,15,3
2020-12-27,13,5
2020-12-28,12,6
2020-12-29,16,2
2020-12-30,14,4
2020-12-31,15,3
2021-01-01,15,3
2021-01-02,15,3
2021-01-03,16,2
2021-01-04,15,3
2021-01-05,16,2
2021-01-06,17,1
2021-01-07,17,1
2021-01-08,15,3
2021-01-09,15,3
2021-01-10,17,1
2021-01-11,15,3
2021-01-12,16,2
2021-01-13,15,3
2021-01-14,14,4
2021-01-15,16,2
2021-01-16,16,2
2021-01-17,16,2
2021-01-18,16,2
2021-01-19,16,2
2021-01-20,17,1
2021-01-21,17,1
2021-01-22,17,1
2021-01-23,16,2
2021-01-24,17,1
2021-01-25,13,5
2021-01-26,17,1
2021-01-27,16,2
2021-01-28,16,2
2021-01-29,18,0
2021-01-30,14,4
2021-01-31,15,3
2021-02-01,14,4
2021-02-02,14,4
2021-02-03,17,1
2021-02-04,18,0
2021-02-05,15,3
2021-02-06,16,2
2021-02-07,16,2
2021-02-08,16,2
2021-02-09,16,2
2021-02-10,14,4
2021-02-11,14,4
2021-02-12,15,3
2021-02-13,13,5
2021-02-14,16,2
2021-02-15,17,1
2021-02-16,16,2
2021-02-17,16,2
2021-02-18,16,2
2021-02-19,17,1
2021-02-20,14,4
2021-02-21,16,2
2021-02-22,16,2
2021-02-23,16,2
2021-02-24,16,2
2021-02-25,17,1
2021-02-26,15,3
2021-02-27,15,3
2021-02-28,15,3
2021-03-01,15,3
2021-03-02,16,2
2021-03-03,14,4
2021-03-04,15,3
2021-03-05,16,2
2021-03-06,16,2
2021-03-07,16,2
2021-03-08,17,1
2021-03-09,18,2
2021-03-10,18,2
2021-03-11,18,2
2021-03-12,18,2
2021-03-13,18,2
2021-03-14,18,2
2021-03-15,18,2
2021-03-16,16,2
2021-03-17,18,2
2021-03-18,18,2
2021-03-19,21,3
2021-03-20,21,3
2021-03-21,21,3
2021-03-22,21,3
2021-03-23,21,3
2021-03-24,21,3
2021-03-25,21,3
2021-03-26,21,3
2021-03-27,19,3
2021-03-28,19,3
2021-03-29,19,3
2021-03-30,19,3
2021-03-31,19,3
2021-04-01,19,3
