date,betten_belegt,betten_frei
2020-04-24,25,47
2020-04-25,29,47
2020-04-26,24,47
2020-04-27,21,47
2020-04-28,26,47
2020-04-29,29,52
2020-04-30,26,52
2020-05-01,28,52
2020-05-02,23,52
2020-05-03,30,52
2020-05-04,23,52
2020-05-05,23,52
2020-05-06,28,52
2020-05-07,20,52
2020-05-08,21,52
2020-05-09,32,52
2020-05-10,34,52
2020-05-11,26,52
2020-05-12,24,54
2020-05-13,32,54
2020-05-14,27,54
2020-05-15,31,54
2020-05-16,29,54
2020-05-17,29,54
2020-05-18,30,54
2020-05-19,32,54
2020-05-20,30,54
2020-05-21,31,54
2020-05-22,32,54
2020-05-23,22,54
2020-05-24,30,24
2020-05-25,27,27
2020-05-26,35,19
2020-05-27,33,21
2020-05-28,32,22
2020-05-29,34,20
2020-05-30,28,26
2020-05-31,32,22
2020-06-01,30,24
2020-06-02,35,19
2020-06-03,37,17
2020-06-04,40,14
2020-06-05,34,20
2020-06-06,32,22
2020-06-07,34,20
2020-06-08,30,24
2020-06-09,34,20
2020-06-10,31,23
2020-06-11,38,16
2020-06-12,43,11
2020-06-13,37,17
2020-06-14,38,16
2020-06-15,42,12
2020-06-16,42,12
2020-06-17,42,12
2020-06-18,40,14
2020-06-19,42,12
2020-06-20,40,14
2020-06-21,41,13
2020-06-22,32,22
2020-06-23,38,16
2020-06-24,44,10
2020-06-25,36,18
2020-06-26,40,14
2020-06-27,40,14
2020-06-28,46,8
2020-06-29,44,10
2020-06-30,43,11
2020-07-01,43,11
2020-07-02,47,7
2020-07-03,47,7
2020-07-04,44,10
2020-07-05,41,13
2020-07-06,40,14
2020-07-07,43,11
2020-07-08,45,9
2020-07-09,45,9
2020-07-10,43,11
2020-07-11,39,15
2020-07-12,38,16
2020-07-13,43,11
2020-07-14,44,10
2020-07-15,42,12
2020-07-16,36,18
2020-07-17,31,23
2020-07-18,33,21
2020-07-19,35,19
2020-07-20,30,24
2020-07-21,33,21
2020-07-22,30,24
2020-07-23,32,22
2020-07-24,34,20
2020-07-25,32,22
2020-07-26,31,23
2020-07-27,33,21
2020-07-28,34,20
2020-07-29,38,16
2020-07-30,34,20
2020-07-31,36,18
2020-08-01,30,24
2020-08-02,35,19
2020-08-03,36,18
2020-08-04,36,18
2020-08-05,40,14
2020-08-06,41,13
2020-08-07,42,12
2020-08-08,39,15
2020-08-09,38,16
2020-08-10,41,13
2020-08-11,41,13
2020-08-12,40,14
2020-08-13,40,14
2020-08-14,40,14
2020-08-15,43,11
2020-08-16,41,13
2020-08-17,38,16
2020-08-18,40,14
2020-08-19,39,15
2020-08-20,47,7
2020-08-21,42,12
2020-08-22,42,12
2020-08-23,41,13
2020-08-24,37,17
2020-08-25,38,16
2020-08-26,37,17
2020-08-27,36,18
2020-08-28,42,12
2020-08-29,42,12
2020-08-30,40,14
2020-08-31,44,10
2020-09-01,41,13
2020-09-02,36,18
2020-09-03,34,20
2020-09-04,36,18
2020-09-05,34,20
2020-09-06,36,18
2020-09-07,47,7
2020-09-08,46,8
2020-09-09,46,8
2020-09-10,46,8
2020-09-11,44,10
2020-09-12,42,12
2020-09-13,41,13
2020-09-14,42,12
2020-09-15,45,9
2020-09-16,44,10
2020-09-17,41,13
2020-09-18,41,13
2020-09-19,40,14
2020-09-20,39,15
2020-09-21,40,14
2020-09-22,43,11
2020-09-23,41,13
2020-09-24,40,14
2020-09-25,44,10
2020-09-26,44,10
2020-09-27,42,12
2020-09-28,39,15
2020-09-29,39,15
2020-09-30,40,14
2020-10-01,39,15
2020-10-02,41,13
2020-10-03,40,14
2020-10-04,51,3
2020-10-05,50,4
2020-10-06,52,2
2020-10-07,53,1
2020-10-08,51,3
2020-10-09,50,4
2020-10-10,40,14
2020-10-11,41,13
2020-10-12,41,13
2020-10-13,40,14
2020-10-14,40,14
2020-10-15,41,13
2020-10-16,41,13
2020-10-17,41,13
2020-10-18,39,15
2020-10-19,39,15
2020-10-20,38,16
2020-10-21,45,9
2020-10-22,41,13
2020-10-23,42,12
2020-10-24,41,13
2020-10-25,43,11
2020-10-26,41,13
2020-10-27,40,14
2020-10-28,40,14
2020-10-29,42,12
2020-10-30,40,2
2020-10-31,38,4
2020-11-01,37,5
2020-11-02,37,7
2020-11-03,39,5
2020-11-04,43,1
2020-11-05,42,2
2020-11-06,42,2
2020-11-07,36,8
2020-11-08,32,12
2020-11-09,30,14
2020-11-10,31,13
2020-11-11,31,13
2020-11-12,33,11
2020-11-13,33,11
2020-11-14,31,13
2020-11-15,33,11
2020-11-16,33,11
2020-11-17,34,10
2020-11-18,34,10
2020-11-19,33,11
2020-11-20,37,7
2020-11-21,33,11
2020-11-22,33,11
2020-11-23,34,10
2020-11-24,36,8
2020-11-25,41,3
2020-11-26,39,5
2020-11-27,40,4
2020-11-28,40,4
2020-11-29,39,5
2020-11-30,36,8
2020-12-01,36,8
2020-12-02,38,6
2020-12-03,39,5
2020-12-04,40,4
2020-12-05,40,4
2020-12-06,40,4
2020-12-07,40,4
2020-12-08,41,3
2020-12-09,40,4
2020-12-10,42,2
2020-12-11,34,10
2020-12-12,34,10
2020-12-13,34,10
2020-12-14,35,9
2020-12-15,35,9
2020-12-16,38,6
2020-12-17,39,5
2020-12-18,38,6
2020-12-19,38,6
2020-12-20,39,5
2020-12-21,39,5
2020-12-22,41,3
2020-12-23,41,3
2020-12-24,31,7
2020-12-25,32,6
2020-12-26,32,6
2020-12-27,32,6
2020-12-28,33,5
2020-12-29,34,4
2020-12-30,34,4
2020-12-31,35,3
2021-01-01,34,4
2021-01-02,34,4
2021-01-03,35,3
2021-01-04,34,4
2021-01-05,35,3
2021-01-06,35,3
2021-01-07,34,4
2021-01-08,31,7
2021-01-09,35,3
2021-01-10,32,6
2021-01-11,32,6
2021-01-12,31,7
2021-01-13,34,4
2021-01-14,34,4
2021-01-15,35,3
2021-01-16,28,10
2021-01-17,31,7
2021-01-18,32,6
2021-01-19,35,3
2021-01-20,37,1
2021-01-21,37,1
2021-01-22,34,4
2021-01-23,34,4
2021-01-24,36,2
2021-01-25,36,2
2021-01-26,36,2
2021-01-27,36,2
2021-01-28,36,2
2021-01-29,36,2
2021-01-30,37,1
2021-01-31,34,4
2021-02-01,35,3
2021-02-02,36,2
2021-02-03,36,2
2021-02-04,36,2
2021-02-05,36,2
2021-02-06,36,2
2021-02-07,33,5
2021-02-08,37,1
2021-02-09,36,2
2021-02-10,36,2
2021-02-11,36,2
2021-02-12,37,1
2021-02-13,35,3
2021-02-14,36,2
2021-02-15,36,2
2021-02-16,37,1
2021-02-17,38,0
2021-02-18,38,0
2021-02-19,38,0
2021-02-20,35,3
2021-02-21,36,2
2021-02-22,36,2
2021-02-23,35,3
2021-02-24,37,1
2021-02-25,37,1
2021-02-26,37,1
2021-02-27,34,4
2021-02-28,34,4
2021-03-01,34,4
2021-03-02,35,3
2021-03-03,35,3
2021-03-04,35,3
2021-03-05,35,3
2021-03-06,35,3
2021-03-07,37,1
2021-03-08,37,1
2021-03-09,37,1
2021-03-10,37,1
2021-03-11,35,3
2021-03-12,32,6
2021-03-13,32,6
2021-03-14,33,5
2021-03-15,33,5
2021-03-16,35,3
2021-03-17,35,3
2021-03-18,35,3
2021-03-19,34,4
2021-03-20,36,2
2021-03-21,35,3
2021-03-22,35,3
2021-03-23,35,3
2021-03-24,37,1
2021-03-25,36,2
2021-03-26,34,4
2021-03-27,36,2
2021-03-28,37,1
2021-03-29,37,1
2021-03-30,37,1
2021-03-31,38,0
2021-04-01,37,1
2021-04-02,37,1
2021-04-03,35,3
2021-04-04,35,3
2021-04-05,37,1
2021-04-06,37,1
2021-04-07,34,4
2021-04-08,34,4
2021-04-09,37,1
