date,betten_belegt,betten_frei
2020-04-24,22,13
2020-04-25,20,20
2020-04-26,21,19
2020-04-27,19,16
2020-04-28,23,9
2020-04-29,25,7
2020-04-30,25,10
2020-05-01,24,11
2020-05-02,24,10
2020-05-03,22,6
2020-05-04,25,8
2020-05-05,24,9
2020-05-06,24,9
2020-05-07,21,12
2020-05-08,18,7
2020-05-09,25,5
2020-05-10,25,5
2020-05-11,23,5
2020-05-12,24,10
2020-05-13,23,12
2020-05-14,23,12
2020-05-15,24,11
2020-05-16,22,14
2020-05-17,23,13
2020-05-18,22,14
2020-05-19,19,17
2020-05-20,23,14
2020-05-21,22,12
2020-05-22,15,18
2020-05-23,17,17
2020-05-24,20,14
2020-05-25,20,14
2020-05-26,21,13
2020-05-27,22,12
2020-05-28,18,15
2020-05-29,16,17
2020-05-30,16,17
2020-05-31,17,17
2020-06-01,17,17
2020-06-02,11,23
2020-06-03,23,11
2020-06-04,22,12
2020-06-05,20,14
2020-06-06,19,15
2020-06-07,12,21
2020-06-08,15,19
2020-06-09,18,15
2020-06-10,11,22
2020-06-11,15,19
2020-06-12,17,16
2020-06-13,17,16
2020-06-14,19,15
2020-06-15,19,14
2020-06-16,20,13
2020-06-17,16,18
2020-06-18,17,15
2020-06-19,19,14
2020-06-20,22,14
2020-06-21,19,16
2020-06-22,16,19
2020-06-23,20,15
2020-06-24,24,8
2020-06-25,24,9
2020-06-26,23,10
2020-06-27,26,7
2020-06-28,27,7
2020-06-29,25,8
2020-06-30,26,8
2020-07-01,12,3
2020-07-02,23,12
2020-07-03,20,15
2020-07-04,16,19
2020-07-05,13,22
2020-07-06,14,22
2020-07-07,17,18
2020-07-08,16,19
2020-07-09,15,20
2020-07-10,18,17
2020-07-11,16,19
2020-07-12,10,5
2020-07-13,10,5
2020-07-14,13,2
2020-07-15,11,4
2020-07-16,21,14
2020-07-17,20,15
2020-07-18,17,18
2020-07-19,17,19
2020-07-20,17,19
2020-07-21,16,20
2020-07-22,19,16
2020-07-23,20,16
2020-07-24,19,16
2020-07-25,13,2
2020-07-26,14,1
2020-07-27,13,2
2020-07-28,13,2
2020-07-29,13,2
2020-07-30,14,1
2020-07-31,14,1
2020-08-01,12,3
2020-08-02,6,4
2020-08-03,12,3
2020-08-04,9,6
2020-08-05,12,3
2020-08-06,13,2
2020-08-07,11,4
2020-08-08,12,3
2020-08-09,14,1
2020-08-10,14,1
2020-08-11,11,4
2020-08-12,14,1
2020-08-13,13,2
2020-08-14,13,2
2020-08-15,14,1
2020-08-16,14,1
2020-08-17,24,3
2020-08-18,19,8
2020-08-19,23,5
2020-08-20,24,4
2020-08-21,21,6
2020-08-22,21,6
2020-08-23,21,6
2020-08-24,13,2
2020-08-25,11,5
2020-08-26,9,6
2020-08-27,10,5
2020-08-28,15,0
2020-08-29,15,0
2020-08-30,15,0
2020-08-31,12,4
2020-09-01,10,6
2020-09-02,12,4
2020-09-03,13,2
2020-09-04,13,3
2020-09-05,13,2
2020-09-06,12,3
2020-09-07,12,3
2020-09-08,14,3
2020-09-09,15,2
2020-09-10,15,2
2020-09-11,10,7
2020-09-12,15,2
2020-09-13,14,1
2020-09-14,13,2
2020-09-15,15,2
2020-09-16,12,5
2020-09-17,15,2
2020-09-18,15,2
2020-09-19,15,2
2020-09-20,15,2
2020-09-21,15,2
2020-09-22,17,0
2020-09-23,17,0
2020-09-24,16,1
2020-09-25,17,0
2020-09-26,14,2
2020-09-27,15,1
2020-09-28,11,6
2020-09-29,15,1
2020-09-30,13,4
2020-10-01,14,3
2020-10-02,12,5
2020-10-03,14,3
2020-10-04,14,3
2020-10-05,14,3
2020-10-06,14,2
2020-10-07,16,0
2020-10-08,16,0
2020-10-09,13,3
2020-10-10,13,3
2020-10-11,12,4
2020-10-12,14,2
2020-10-13,12,3
2020-10-14,12,4
2020-10-15,12,3
2020-10-16,12,4
2020-10-17,13,3
2020-10-18,12,4
2020-10-19,10,6
2020-10-20,9,7
2020-10-21,20,8
2020-10-22,24,4
2020-10-23,24,4
2020-10-24,18,10
2020-10-25,25,3
2020-10-26,21,7
2020-10-27,22,6
2020-10-28,16,12
2020-10-29,21,7
2020-10-30,16,12
2020-10-31,17,10
2020-11-01,19,8
2020-11-02,20,7
2020-11-03,23,4
2020-11-04,25,2
2020-11-05,22,5
2020-11-06,24,3
2020-11-07,20,7
2020-11-08,20,7
2020-11-09,21,6
2020-11-10,20,7
2020-11-11,24,3
2020-11-12,16,11
2020-11-13,23,3
2020-11-14,23,1
2020-11-15,23,3
2020-11-16,21,5
2020-11-17,20,6
2020-11-18,20,6
2020-11-19,20,6
2020-11-20,15,11
2020-11-21,16,10
2020-11-22,17,9
2020-11-23,19,13
2020-11-24,21,6
2020-11-25,21,6
2020-11-26,21,6
2020-11-27,24,3
2020-11-28,21,6
2020-11-29,23,4
2020-11-30,20,7
2020-12-01,20,5
2020-12-02,20,3
2020-12-03,23,2
2020-12-04,23,2
2020-12-05,21,4
2020-12-06,23,0
2020-12-07,23,0
2020-12-08,22,1
2020-12-09,22,1
2020-12-10,22,1
2020-12-11,22,1
2020-12-12,21,2
2020-12-13,22,1
2020-12-14,22,1
2020-12-15,21,2
2020-12-16,22,1
2020-12-17,24,1
2020-12-18,24,1
2020-12-19,25,0
2020-12-20,22,1
2020-12-21,22,1
2020-12-22,22,2
2020-12-23,21,3
2020-12-24,18,2
2020-12-25,18,2
2020-12-26,16,4
2020-12-27,17,3
2020-12-28,15,4
2020-12-29,18,1
2020-12-30,17,2
2020-12-31,19,0
2021-01-01,17,2
2021-01-02,17,2
2021-01-03,19,0
2021-01-04,19,0
2021-01-05,18,1
2021-01-06,20,0
2021-01-07,20,1
2021-01-08,20,1
2021-01-09,19,1
2021-01-10,18,2
2021-01-11,17,2
2021-01-12,16,4
2021-01-13,18,3
2021-01-14,20,1
2021-01-15,19,2
2021-01-16,21,0
2021-01-17,22,0
2021-01-18,20,1
2021-01-19,22,0
2021-01-20,21,2
2021-01-21,21,2
2021-01-22,22,2
2021-01-23,22,2
2021-01-24,23,0
2021-01-25,21,2
2021-01-26,19,3
2021-01-27,19,4
2021-01-28,24,0
2021-01-29,23,0
2021-01-30,22,1
2021-01-31,19,4
2021-02-01,22,1
2021-02-02,21,2
2021-02-03,20,3
2021-02-04,21,2
2021-02-05,19,4
2021-02-06,22,1
2021-02-07,22,1
2021-02-08,21,2
2021-02-09,18,5
2021-02-10,17,6
2021-02-11,20,3
2021-02-12,23,2
2021-02-13,24,1
2021-02-14,20,5
2021-02-15,23,2
2021-02-16,21,4
2021-02-17,21,4
2021-02-18,17,8
2021-02-19,19,6
2021-02-20,18,7
2021-02-21,22,3
2021-02-22,20,5
2021-02-23,19,6
2021-02-24,22,3
2021-02-25,22,3
2021-02-26,21,4
2021-02-27,24,1
2021-02-28,18,7
2021-03-01,15,10
2021-03-02,23,2
2021-03-03,22,3
2021-03-04,24,1
2021-03-05,22,3
2021-03-06,20,5
2021-03-07,19,6
2021-03-08,22,3
2021-03-09,24,1
2021-03-10,24,1
2021-03-11,24,1
2021-03-12,23,2
2021-03-13,22,3
2021-03-14,22,3
2021-03-15,23,2
2021-03-16,24,1
2021-03-17,24,1
2021-03-18,21,4
2021-03-19,23,2
2021-03-20,23,2
2021-03-21,20,5
2021-03-22,25,0
2021-03-23,25,0
2021-03-24,22,3
2021-03-25,23,2
2021-03-26,25,0
2021-03-27,23,1
2021-03-28,23,1
2021-03-29,18,7
2021-03-30,23,2
2021-03-31,24,1
2021-04-01,23,2
2021-04-02,23,2
2021-04-03,23,2
2021-04-04,23,1
2021-04-05,22,2
2021-04-06,22,2
2021-04-07,23,1
2021-04-08,22,2
2021-04-09,22,2
2021-04-10,22,2
2021-04-11,21,3
2021-04-12,20,4
2021-04-13,24,0
2021-04-14,22,2
2021-04-15,17,5
2021-04-16,19,4
2021-04-17,22,1
2021-04-18,21,2
2021-04-19,19,6
2021-04-20,26,1
2021-04-21,18,5
2021-04-22,16,7
2021-04-23,22,1
2021-04-24,22,2
2021-04-25,21,3
2021-04-26,22,3
2021-04-27,22,2
2021-04-28,24,1
2021-04-29,22,3
2021-04-30,24,0
2021-05-01,24,0
2021-05-02,23,2
2021-05-03,26,0
2021-05-04,24,2
2021-05-05,25,1
2021-05-06,23,2
2021-05-07,23,2
2021-05-08,23,2
2021-05-09,20,5
2021-05-10,23,2
2021-05-11,24,2
2021-05-12,24,2
2021-05-13,25,2
2021-05-14,24,3
2021-05-15,21,6
2021-05-16,24,1
2021-05-17,23,0
2021-05-18,24,1
2021-05-19,26,2
2021-05-20,26,1
2021-05-21,23,3
2021-05-22,23,3
2021-05-23,23,3
2021-05-24,21,5
2021-05-25,23,2
2021-05-26,22,3
2021-05-27,23,2
2021-05-28,23,2
2021-05-29,23,2
2021-05-30,25,0
2021-05-31,25,0
2021-06-01,23,2
2021-06-02,23,2
2021-06-03,22,3
2021-06-04,23,2
2021-06-05,21,4
2021-06-06,21,4
2021-06-07,22,3
2021-06-08,22,3
