date,betten_belegt,betten_frei
2020-04-24,100,60
2020-04-25,109,51
2020-04-26,109,52
2020-04-27,134,57
2020-04-28,179,53
2020-04-29,184,48
2020-04-30,176,53
2020-05-01,173,55
2020-05-02,169,54
2020-05-03,165,58
2020-05-04,169,62
2020-05-05,169,63
2020-05-06,174,58
2020-05-07,188,44
2020-05-08,191,51
2020-05-09,190,53
2020-05-10,179,64
2020-05-11,184,59
2020-05-12,224,55
2020-05-13,224,55
2020-05-14,225,54
2020-05-15,226,53
2020-05-16,226,53
2020-05-17,225,52
2020-05-18,217,62
2020-05-19,212,68
2020-05-20,201,82
2020-05-21,200,56
2020-05-22,206,75
2020-05-23,209,72
2020-05-24,209,72
2020-05-25,212,73
2020-05-26,208,77
2020-05-27,213,69
2020-05-28,221,58
2020-05-29,211,70
2020-05-30,218,60
2020-05-31,207,74
2020-06-01,209,79
2020-06-02,204,74
2020-06-03,213,68
2020-06-04,224,57
2020-06-05,227,54
2020-06-06,225,51
2020-06-07,217,59
2020-06-08,227,50
2020-06-09,228,46
2020-06-10,225,49
2020-06-11,215,59
2020-06-12,222,52
2020-06-13,229,45
2020-06-14,217,54
2020-06-15,224,48
2020-06-16,221,53
2020-06-17,214,60
2020-06-18,215,59
2020-06-19,219,55
2020-06-20,214,60
2020-06-21,217,57
2020-06-22,218,56
2020-06-23,226,51
2020-06-24,226,52
2020-06-25,225,49
2020-06-26,227,51
2020-06-27,229,49
2020-06-28,231,47
2020-06-29,216,57
2020-06-30,227,47
2020-07-01,232,41
2020-07-02,229,44
2020-07-03,231,43
2020-07-04,224,50
2020-07-05,220,54
2020-07-06,221,53
2020-07-07,226,48
2020-07-08,225,49
2020-07-09,231,43
2020-07-10,234,40
2020-07-11,232,46
2020-07-12,230,48
2020-07-13,225,53
2020-07-14,227,51
2020-07-15,226,52
2020-07-16,230,48
2020-07-17,225,56
2020-07-18,216,60
2020-07-19,210,66
2020-07-20,227,51
2020-07-21,224,54
2020-07-22,233,43
2020-07-23,230,46
2020-07-24,221,55
2020-07-25,207,71
2020-07-26,209,67
2020-07-27,216,62
2020-07-28,229,46
2020-07-29,235,39
2020-07-30,240,37
2020-07-31,240,41
2020-08-01,225,58
2020-08-02,227,56
2020-08-03,234,49
2020-08-04,224,64
2020-08-05,231,53
2020-08-06,232,48
2020-08-07,233,47
2020-08-08,229,51
2020-08-09,227,53
2020-08-10,227,53
2020-08-11,237,43
2020-08-12,237,43
2020-08-13,239,41
2020-08-14,243,37
2020-08-15,246,34
2020-08-16,252,28
2020-08-17,243,37
2020-08-18,235,45
2020-08-19,245,37
2020-08-20,248,36
2020-08-21,250,34
2020-08-22,245,39
2020-08-23,246,38
2020-08-24,228,58
2020-08-25,252,36
2020-08-26,256,34
2020-08-27,261,31
