date,betten_belegt,betten_frei
2020-04-24,174,103
2020-04-25,173,93
2020-04-26,163,95
2020-04-27,172,98
2020-04-28,182,85
2020-04-29,198,71
2020-04-30,184,76
2020-05-01,171,89
2020-05-02,165,91
2020-05-03,175,83
2020-05-04,174,85
2020-05-05,177,84
2020-05-06,173,89
2020-05-07,184,83
2020-05-08,181,85
2020-05-09,174,87
2020-05-10,174,88
2020-05-11,185,81
2020-05-12,193,74
2020-05-13,184,76
2020-05-14,186,73
2020-05-15,178,82
2020-05-16,176,82
2020-05-17,169,86
2020-05-18,177,83
2020-05-19,171,92
2020-05-20,177,82
2020-05-21,176,84
2020-05-22,157,100
2020-05-23,171,92
2020-05-24,173,85
2020-05-25,171,79
2020-05-26,163,92
2020-05-27,170,84
2020-05-28,179,76
2020-05-29,172,83
2020-05-30,182,71
2020-05-31,161,91
2020-06-01,156,98
2020-06-02,156,94
2020-06-03,163,97
2020-06-04,182,78
2020-06-05,181,79
2020-06-06,181,76
2020-06-07,180,79
2020-06-08,172,77
2020-06-09,194,67
2020-06-10,180,82
2020-06-11,180,81
2020-06-12,166,97
2020-06-13,167,89
2020-06-14,167,88
2020-06-15,177,77
2020-06-16,174,85
2020-06-17,172,87
2020-06-18,168,89
2020-06-19,180,77
2020-06-20,181,79
2020-06-21,165,92
2020-06-22,169,90
2020-06-23,167,92
2020-06-24,172,85
2020-06-25,182,76
2020-06-26,171,87
2020-06-27,164,91
2020-06-28,146,100
2020-06-29,161,87
2020-06-30,174,80
2020-07-01,184,76
2020-07-02,177,83
2020-07-03,173,88
2020-07-04,174,80
2020-07-05,168,85
2020-07-06,177,81
2020-07-07,175,86
2020-07-08,180,80
2020-07-09,170,89
2020-07-10,184,76
2020-07-11,175,85
2020-07-12,168,90
2020-07-13,162,94
2020-07-14,186,89
2020-07-15,177,85
2020-07-16,191,74
2020-07-17,176,93
2020-07-18,166,86
2020-07-19,160,87
2020-07-20,168,80
2020-07-21,179,71
2020-07-22,158,71
2020-07-23,144,78
2020-07-24,144,78
2020-07-25,149,78
2020-07-26,144,79
2020-07-27,146,80
2020-07-28,167,85
2020-07-29,168,93
2020-07-30,171,90
2020-07-31,177,90
2020-08-01,185,78
2020-08-02,179,81
2020-08-03,167,93
2020-08-04,166,66
2020-08-05,160,73
2020-08-06,158,78
2020-08-07,171,83
2020-08-08,170,80
2020-08-09,176,74
2020-08-10,184,74
2020-08-11,183,75
2020-08-12,183,75
2020-08-13,187,71
2020-08-14,187,71
2020-08-15,178,74
2020-08-16,168,82
2020-08-17,164,97
2020-08-18,183,78
2020-08-19,189,72
2020-08-20,189,71
2020-08-21,178,81
2020-08-22,175,84
2020-08-23,173,82
2020-08-24,166,89
2020-08-25,177,84
2020-08-26,174,87
2020-08-27,166,93
2020-08-28,176,78
2020-08-29,168,82
2020-08-30,164,86
2020-08-31,169,81
2020-09-01,171,81
2020-09-02,173,80
2020-09-03,166,87
2020-09-04,174,79
2020-09-05,175,75
2020-09-06,165,85
2020-09-07,166,87
2020-09-08,173,84
2020-09-09,178,81
2020-09-10,168,90
2020-09-11,175,83
2020-09-12,175,80
2020-09-13,170,82
2020-09-14,173,87
2020-09-15,182,82
2020-09-16,180,84
2020-09-17,182,90
2020-09-18,189,74
2020-09-19,180,81
2020-09-20,167,94
2020-09-21,182,78
2020-09-22,175,84
2020-09-23,177,85
2020-09-24,179,86
2020-09-25,189,74
2020-09-26,176,83
2020-09-27,165,94
2020-09-28,172,94
2020-09-29,189,81
2020-09-30,188,84
2020-10-01,181,86
2020-10-02,186,77
2020-10-03,189,74
2020-10-04,189,74
