date,betten_belegt,betten_frei
2020-04-24,222,81
2020-04-25,214,81
2020-04-26,222,82
2020-04-27,225,75
2020-04-28,233,71
2020-04-29,231,74
2020-04-30,220,85
2020-05-01,227,77
2020-05-02,225,78
2020-05-03,244,73
2020-05-04,233,77
2020-05-05,230,74
2020-05-06,237,67
2020-05-07,228,75
2020-05-08,236,64
2020-05-09,221,81
2020-05-10,220,77
2020-05-11,230,66
2020-05-12,239,63
2020-05-13,241,60
2020-05-14,223,70
2020-05-15,212,78
2020-05-16,209,79
2020-05-17,214,78
2020-05-18,227,70
2020-05-19,230,74
2020-05-20,236,65
2020-05-21,239,60
2020-05-22,235,63
2020-05-23,228,71
2020-05-24,217,87
2020-05-25,225,78
2020-05-26,240,63
2020-05-27,235,67
2020-05-28,232,65
2020-05-29,235,63
2020-05-30,230,67
2020-05-31,216,87
2020-06-01,212,89
2020-06-02,220,80
2020-06-03,219,82
2020-06-04,245,55
2020-06-05,241,58
2020-06-06,225,70
2020-06-07,233,63
2020-06-08,229,69
2020-06-09,240,59
2020-06-10,242,58
2020-06-11,246,54
2020-06-12,235,67
2020-06-13,228,71
2020-06-14,222,67
2020-06-15,224,77
2020-06-16,223,78
2020-06-17,223,67
2020-06-18,224,64
2020-06-19,223,64
2020-06-20,230,60
2020-06-21,221,77
2020-06-22,230,70
2020-06-23,230,70
2020-06-24,236,64
2020-06-25,229,69
2020-06-26,227,71
2020-06-27,228,72
2020-06-28,224,77
2020-06-29,229,73
2020-06-30,255,47
2020-07-01,248,54
2020-07-02,242,57
2020-07-03,225,74
2020-07-04,233,67
2020-07-05,221,78
2020-07-06,226,73
2020-07-07,236,64
2020-07-08,218,78
2020-07-09,219,77
2020-07-10,212,76
2020-07-11,220,66
2020-07-12,225,69
2020-07-13,221,80
2020-07-14,228,78
2020-07-15,238,65
2020-07-16,239,69
2020-07-17,235,69
2020-07-18,221,81
2020-07-19,224,70
2020-07-20,225,75
2020-07-21,240,58
2020-07-22,243,50
2020-07-23,238,54
2020-07-24,241,54
2020-07-25,250,51
2020-07-26,229,74
2020-07-27,235,65
2020-07-28,239,66
2020-07-29,243,70
2020-07-30,229,72
2020-07-31,234,70
2020-08-01,226,77
2020-08-02,223,74
2020-08-03,231,67
2020-08-04,248,52
2020-08-05,242,53
2020-08-06,240,55
2020-08-07,241,50
2020-08-08,235,56
2020-08-09,228,64
2020-08-10,229,67
2020-08-11,237,58
2020-08-12,242,52
2020-08-13,248,47
2020-08-14,257,38
2020-08-15,249,43
2020-08-16,255,42
2020-08-17,246,43
2020-08-18,243,49
2020-08-19,246,48
2020-08-20,236,59
2020-08-21,246,49
2020-08-22,238,51
2020-08-23,228,62
2020-08-24,220,74
2020-08-25,233,62
2020-08-26,235,60
2020-08-27,227,68
2020-08-28,228,67
2020-08-29,236,57
2020-08-30,236,55
2020-08-31,231,62
2020-09-01,236,58
2020-09-02,241,51
2020-09-03,245,47
2020-09-04,236,54
2020-09-05,246,43
2020-09-06,220,69
2020-09-07,235,60
2020-09-08,246,50
2020-09-09,239,57
2020-09-10,236,60
2020-09-11,232,63
2020-09-12,233,60
2020-09-13,229,60
2020-09-14,224,71
2020-09-15,220,75
2020-09-16,219,112
2020-09-17,217,115
2020-09-18,221,109
2020-09-19,213,111
2020-09-20,211,113
2020-09-21,214,117
2020-09-22,225,106
2020-09-23,229,104
2020-09-24,224,107
2020-09-25,227,103
2020-09-26,215,105
2020-09-27,221,100
2020-09-28,244,88
2020-09-29,250,82
2020-09-30,251,81
2020-10-01,250,82
2020-10-02,251,81
2020-10-03,260,66
2020-10-04,251,73
2020-10-05,239,86
2020-10-06,257,76
2020-10-07,261,72
2020-10-08,253,80
2020-10-09,267,66
2020-10-10,266,67
2020-10-11,253,78
2020-10-12,239,92
2020-10-13,245,86
2020-10-14,257,74
2020-10-15,253,78
2020-10-16,242,89
2020-10-17,247,82
2020-10-18,238,89
2020-10-19,233,98
2020-10-20,250,79
2020-10-21,249,82
2020-10-22,243,90
2020-10-23,258,72
2020-10-24,247,74
2020-10-25,256,73
2020-10-26,250,79
2020-10-27,253,74
2020-10-28,260,67
2020-10-29,251,78
2020-10-30,250,79
2020-10-31,240,86
2020-11-01,245,78
2020-11-02,230,84
2020-11-03,255,73
2020-11-04,243,86
2020-11-05,249,45
2020-11-06,245,49
2020-11-07,244,48
2020-11-08,246,46
2020-11-09,250,44
2020-11-10,245,49
2020-11-11,242,52
2020-11-12,236,58
2020-11-13,240,53
2020-11-14,237,54
2020-11-15,233,58
2020-11-16,245,49
2020-11-17,247,47
2020-11-18,247,43
2020-11-19,236,58
2020-11-20,241,53
2020-11-21,247,45
2020-11-22,248,44
2020-11-23,246,48
2020-11-24,255,39
2020-11-25,250,44
2020-11-26,250,45
2020-11-27,254,41
2020-11-28,256,35
2020-11-29,247,41
2020-11-30,242,50
2020-12-01,251,41
2020-12-02,252,41
2020-12-03,246,47
2020-12-04,256,44
2020-12-05,259,37
2020-12-06,259,37
2020-12-07,248,51
2020-12-08,261,40
2020-12-09,262,39
2020-12-10,262,38
2020-12-11,258,38
2020-12-12,253,43
2020-12-13,243,53
2020-12-14,248,44
2020-12-15,248,47
2020-12-16,253,42
2020-12-17,257,38
2020-12-18,264,31
2020-12-19,260,29
2020-12-20,256,34
2020-12-21,248,48
2020-12-22,257,39
2020-12-23,252,42
2020-12-24,249,38
2020-12-25,249,37
2020-12-26,236,50
2020-12-27,232,54
2020-12-28,251,41
2020-12-29,258,35
2020-12-30,254,37
2020-12-31,246,41
