date,betten_belegt,betten_frei
2020-04-24,7,12
2020-04-25,8,11
2020-04-26,13,7
2020-04-27,11,7
2020-04-28,9,9
2020-04-29,15,5
2020-04-30,10,9
2020-05-01,12,11
2020-05-02,8,11
2020-05-03,7,12
2020-05-04,8,11
2020-05-05,12,7
2020-05-06,12,7
2020-05-07,14,3
2020-05-08,13,4
2020-05-09,6,11
2020-05-10,7,10
2020-05-11,4,13
2020-05-12,5,12
2020-05-13,11,8
2020-05-14,9,8
2020-05-15,6,11
2020-05-16,13,9
2020-05-17,11,8
2020-05-18,11,11
2020-05-19,10,9
2020-05-20,12,7
2020-05-21,11,6
2020-05-22,11,8
2020-05-23,11,8
2020-05-24,11,8
2020-05-25,12,5
2020-05-26,10,7
2020-05-27,10,7
2020-05-28,12,5
2020-05-29,12,5
2020-05-30,9,8
2020-05-31,9,8
2020-06-01,11,6
2020-06-02,13,4
2020-06-03,13,4
2020-06-04,13,4
2020-06-05,10,5
2020-06-06,8,9
2020-06-07,8,9
2020-06-08,13,4
2020-06-09,14,3
2020-06-10,10,3
2020-06-11,9,8
2020-06-12,9,7
2020-06-13,8,9
2020-06-14,10,7
2020-06-15,12,5
2020-06-16,12,5
2020-06-17,11,6
2020-06-18,14,3
2020-06-19,11,6
2020-06-20,11,6
2020-06-21,6,13
2020-06-22,11,6
2020-06-23,13,4
2020-06-24,8,9
2020-06-25,17,0
2020-06-26,14,3
2020-06-27,14,3
2020-06-28,17,2
2020-06-29,15,2
2020-06-30,13,4
2020-07-01,15,2
2020-07-02,12,5
2020-07-03,12,5
2020-07-04,14,3
2020-07-05,12,5
2020-07-06,15,2
2020-07-07,14,3
2020-07-08,14,3
2020-07-09,13,4
2020-07-10,12,5
2020-07-11,13,4
2020-07-12,10,9
2020-07-13,13,4
2020-07-14,18,1
2020-07-15,18,1
2020-07-16,14,4
2020-07-17,13,8
2020-07-18,11,10
2020-07-19,13,8
2020-07-20,14,7
2020-07-21,13,8
2020-07-22,13,8
2020-07-23,13,6
2020-07-24,14,8
2020-07-25,9,8
2020-07-26,9,8
2020-07-27,9,8
2020-07-28,14,8
2020-07-29,12,8
2020-07-30,14,6
2020-07-31,14,5
2020-08-01,15,4
2020-08-02,15,5
2020-08-03,15,4
2020-08-04,12,5
2020-08-05,9,6
2020-08-06,9,6
2020-08-07,12,3
2020-08-08,9,6
2020-08-09,9,6
2020-08-10,11,4
2020-08-11,10,5
2020-08-12,8,7
2020-08-13,8,7
2020-08-14,9,6
2020-08-15,10,5
2020-08-16,10,5
2020-08-17,10,5
2020-08-18,13,2
2020-08-19,13,4
2020-08-20,12,5
2020-08-21,10,7
2020-08-22,11,6
2020-08-23,10,9
2020-08-24,12,3
2020-08-25,13,4
2020-08-26,11,6
2020-08-27,10,7
2020-08-28,10,5
2020-08-29,7,8
2020-08-30,8,7
2020-08-31,10,5
2020-09-01,9,6
2020-09-02,10,5
2020-09-03,10,4
2020-09-04,10,4
2020-09-05,12,2
2020-09-06,12,2
2020-09-07,11,3
2020-09-08,12,2
2020-09-09,7,7
2020-09-10,8,5
2020-09-11,6,7
2020-09-12,5,9
2020-09-13,7,7
2020-09-14,8,6
2020-09-15,11,3
2020-09-16,8,6
2020-09-17,8,6
2020-09-18,9,5
2020-09-19,8,5
2020-09-20,9,5
2020-09-21,9,5
2020-09-22,8,6
2020-09-23,8,6
2020-09-24,8,6
2020-09-25,6,8
2020-09-26,8,6
2020-09-27,11,3
2020-09-28,8,6
2020-09-29,12,2
2020-09-30,9,5
2020-10-01,8,6
2020-10-02,10,4
2020-10-03,8,6
2020-10-04,8,6
2020-10-05,9,5
2020-10-06,8,6
2020-10-07,9,5
2020-10-08,9,5
2020-10-09,9,5
2020-10-10,10,4
2020-10-11,11,3
2020-10-12,12,2
2020-10-13,11,4
2020-10-14,10,4
2020-10-15,9,5
2020-10-16,10,4
2020-10-17,9,5
2020-10-18,11,3
2020-10-19,10,4
2020-10-20,12,2
2020-10-21,8,2
2020-10-22,8,2
2020-10-23,7,5
2020-10-24,6,6
2020-10-25,5,7
2020-10-26,7,3
2020-10-27,9,5
2020-10-28,14,0
2020-10-29,8,6
2020-10-30,9,5
2020-10-31,9,5
2020-11-01,10,4
2020-11-02,11,3
2020-11-03,8,6
2020-11-04,8,6
2020-11-05,10,4
2020-11-06,9,5
2020-11-07,9,5
2020-11-08,9,5
2020-11-09,7,7
2020-11-10,8,6
2020-11-11,9,5
2020-11-12,10,4
2020-11-13,8,6
2020-11-14,7,7
2020-11-15,8,4
2020-11-16,5,9
2020-11-17,10,4
2020-11-18,10,4
2020-11-19,8,6
2020-11-20,8,6
2020-11-21,6,8
2020-11-22,6,8
2020-11-23,9,5
2020-11-24,9,5
2020-11-25,9,5
2020-11-26,12,2
2020-11-27,11,3
2020-11-28,9,5
2020-11-29,9,5
2020-11-30,7,7
2020-12-01,5,9
2020-12-02,7,7
2020-12-03,8,6
