date,betten_belegt,betten_frei
2020-04-24,16,26
2020-04-25,16,25
2020-04-26,19,23
2020-04-27,19,25
2020-04-28,16,28
2020-04-29,19,25
2020-04-30,20,24
2020-05-01,21,23
2020-05-02,20,23
2020-05-03,20,23
2020-05-04,17,26
2020-05-05,14,29
2020-05-06,21,23
2020-05-07,23,21
2020-05-08,22,20
2020-05-09,23,19
2020-05-10,20,24
2020-05-11,16,30
2020-05-12,16,25
2020-05-13,21,19
2020-05-14,22,20
2020-05-15,20,20
2020-05-16,19,23
2020-05-17,21,21
2020-05-18,22,25
2020-05-19,22,25
2020-05-20,20,22
2020-05-21,24,15
2020-05-22,20,22
2020-05-23,15,27
2020-05-24,19,25
2020-05-25,14,26
2020-05-26,13,28
2020-05-27,17,22
2020-05-28,24,15
2020-05-29,21,20
2020-05-30,20,21
2020-05-31,22,21
2020-06-01,25,18
2020-06-02,23,18
2020-06-03,24,23
2020-06-04,24,22
2020-06-05,22,25
2020-06-06,25,23
2020-06-07,26,22
2020-06-08,26,21
2020-06-09,23,24
2020-06-10,22,23
2020-06-11,28,17
2020-06-12,21,25
2020-06-13,20,26
2020-06-14,20,26
2020-06-15,26,20
2020-06-16,25,21
2020-06-17,27,20
2020-06-18,21,25
2020-06-19,25,21
2020-06-20,29,18
2020-06-21,27,18
2020-06-22,23,24
2020-06-23,28,17
2020-06-24,25,18
2020-06-25,30,15
2020-06-26,25,20
2020-06-27,25,18
2020-06-28,24,19
2020-06-29,28,17
2020-06-30,24,21
2020-07-01,23,22
2020-07-02,24,21
2020-07-03,22,23
2020-07-04,19,24
2020-07-05,16,30
2020-07-06,20,27
2020-07-07,22,25
2020-07-08,27,19
2020-07-09,27,21
2020-07-10,23,26
2020-07-11,23,24
2020-07-12,20,27
2020-07-13,24,23
2020-07-14,30,17
2020-07-15,28,19
2020-07-16,25,22
2020-07-17,28,18
2020-07-18,32,15
2020-07-19,26,22
2020-07-20,24,23
2020-07-21,24,23
2020-07-22,30,17
2020-07-23,29,18
2020-07-24,25,22
2020-07-25,25,22
2020-07-26,23,24
2020-07-27,24,23
2020-07-28,24,23
2020-07-29,25,22
2020-07-30,28,21
2020-07-31,27,18
2020-08-01,23,24
2020-08-02,23,19
2020-08-03,19,27
2020-08-04,21,16
