date,betten_belegt,betten_frei
2020-04-24,29,5
2020-04-25,29,5
2020-04-26,30,4
2020-04-27,30,4
2020-04-28,30,5
2020-04-29,29,5
2020-04-30,30,3
2020-05-01,29,4
2020-05-02,30,3
2020-05-03,31,2
2020-05-04,31,2
2020-05-05,30,4
2020-05-06,28,6
2020-05-07,29,5
2020-05-08,28,6
2020-05-09,29,5
2020-05-10,28,6
2020-05-11,29,5
2020-05-12,28,6
2020-05-13,29,6
2020-05-14,32,3
2020-05-15,31,4
2020-05-16,30,4
2020-05-17,27,7
2020-05-18,28,6
2020-05-19,28,6
2020-05-20,26,8
2020-05-21,29,5
2020-05-22,31,4
2020-05-23,31,3
2020-05-24,29,5
2020-05-25,29,5
2020-05-26,29,5
2020-05-27,31,2
2020-05-28,30,3
2020-05-29,31,2
2020-05-30,29,5
2020-05-31,28,6
2020-06-01,30,4
2020-06-02,26,8
2020-06-03,26,7
2020-06-04,29,5
2020-06-05,31,3
2020-06-06,29,5
2020-06-07,26,8
2020-06-08,26,8
2020-06-09,27,7
2020-06-10,29,5
2020-06-11,28,6
2020-06-12,26,8
2020-06-13,29,5
2020-06-14,28,6
2020-06-15,28,6
2020-06-16,26,8
2020-06-17,27,7
2020-06-18,26,8
2020-06-19,28,6
2020-06-20,26,8
2020-06-21,26,8
2020-06-22,29,5
2020-06-23,27,7
2020-06-24,27,7
2020-06-25,27,7
2020-06-26,29,5
2020-06-27,26,8
2020-06-28,29,5
2020-06-29,30,4
2020-06-30,28,6
2020-07-01,27,7
2020-07-02,28,6
2020-07-03,29,5
2020-07-04,29,5
2020-07-05,29,5
2020-07-06,29,5
2020-07-07,29,5
2020-07-08,29,5
2020-07-09,29,5
2020-07-10,26,8
2020-07-11,29,5
2020-07-12,29,5
2020-07-13,28,6
2020-07-14,30,4
2020-07-15,30,4
2020-07-16,30,4
2020-07-17,31,3
2020-07-18,29,5
2020-07-19,30,4
2020-07-20,30,4
2020-07-21,27,7
2020-07-22,27,7
2020-07-23,28,6
2020-07-24,29,5
2020-07-25,31,3
2020-07-26,31,3
2020-07-27,29,5
2020-07-28,31,3
2020-07-29,31,3
2020-07-30,31,3
2020-07-31,31,3
2020-08-01,32,2
2020-08-02,29,5
2020-08-03,29,6
2020-08-04,29,6
2020-08-05,88,3
2020-08-06,88,3
2020-08-07,89,2
2020-08-08,87,5
2020-08-09,88,3
2020-08-10,88,3
2020-08-11,89,2
2020-08-12,89,2
2020-08-13,87,4
2020-08-14,86,5
2020-08-15,86,5
2020-08-16,87,4
2020-08-17,86,5
2020-08-18,89,2
2020-08-19,88,3
