date,betten_belegt,betten_frei
2020-04-24,38,53
2020-04-25,40,52
2020-04-26,36,57
2020-04-27,36,57
2020-04-28,49,43
2020-04-29,48,46
2020-04-30,52,40
2020-05-01,45,44
2020-05-02,50,37
2020-05-03,47,40
2020-05-04,47,42
2020-05-05,49,42
2020-05-06,45,44
2020-05-07,54,39
2020-05-08,41,49
2020-05-09,45,42
2020-05-10,49,39
2020-05-11,53,38
2020-05-12,49,54
2020-05-13,56,49
2020-05-14,50,38
2020-05-15,52,39
2020-05-16,49,43
2020-05-17,48,43
2020-05-18,41,44
2020-05-19,43,40
2020-05-20,43,41
2020-05-21,46,36
2020-05-22,52,33
2020-05-23,46,39
2020-05-24,46,40
2020-05-25,37,49
2020-05-26,35,49
2020-05-27,44,43
2020-05-28,43,43
2020-05-29,37,48
2020-05-30,41,43
2020-05-31,37,44
2020-06-01,35,48
2020-06-02,33,51
2020-06-03,33,52
2020-06-04,39,46
2020-06-05,36,49
2020-06-06,38,46
2020-06-07,35,49
2020-06-08,37,47
2020-06-09,42,45
2020-06-10,40,43
2020-06-11,39,42
2020-06-12,40,42
2020-06-13,45,39
2020-06-14,44,40
2020-06-15,40,44
2020-06-16,43,40
2020-06-17,54,29
2020-06-18,52,35
2020-06-19,47,40
2020-06-20,48,39
2020-06-21,46,40
2020-06-22,45,41
2020-06-23,51,34
2020-06-24,43,40
2020-06-25,43,39
2020-06-26,55,32
2020-06-27,55,30
2020-06-28,57,30
2020-06-29,57,29
2020-06-30,58,25
2020-07-01,55,26
2020-07-02,49,36
2020-07-03,52,31
2020-07-04,51,32
2020-07-05,54,28
2020-07-06,49,33
2020-07-07,53,33
2020-07-08,45,36
2020-07-09,46,35
2020-07-10,50,33
2020-07-11,49,35
2020-07-12,47,37
2020-07-13,52,25
2020-07-14,53,24
2020-07-15,47,30
2020-07-16,46,30
2020-07-17,54,26
2020-07-18,50,30
2020-07-19,59,24
2020-07-20,54,26
2020-07-21,53,27
2020-07-22,52,28
2020-07-23,49,33
2020-07-24,71,42
2020-07-25,60,44
2020-07-26,60,43
2020-07-27,65,41
2020-07-28,58,48
2020-07-29,58,44
2020-07-30,71,42
2020-07-31,70,41
2020-08-01,68,40
2020-08-02,68,42
2020-08-03,66,42
2020-08-04,74,30
2020-08-05,72,32
2020-08-06,67,37
2020-08-07,66,38
2020-08-08,62,43
2020-08-09,65,40
2020-08-10,65,42
2020-08-11,66,39
2020-08-12,67,38
2020-08-13,64,41
2020-08-14,60,45
2020-08-15,63,38
2020-08-16,67,35
2020-08-17,64,38
2020-08-18,65,40
2020-08-19,65,40
2020-08-20,69,36
2020-08-21,60,45
2020-08-22,63,42
2020-08-23,66,39
2020-08-24,66,37
2020-08-25,71,32
2020-08-26,71,33
2020-08-27,69,36
2020-08-28,69,33
2020-08-29,74,28
2020-08-30,72,30
2020-08-31,67,35
2020-09-01,69,35
2020-09-02,69,35
2020-09-03,68,35
2020-09-04,71,33
2020-09-05,71,33
2020-09-06,68,34
2020-09-07,65,38
2020-09-08,66,29
2020-09-09,68,34
2020-09-10,69,34
2020-09-11,74,30
2020-09-12,71,33
2020-09-13,70,34
2020-09-14,73,31
2020-09-15,73,32
2020-09-16,74,31
2020-09-17,77,28
2020-09-18,76,29
2020-09-19,73,32
2020-09-20,74,31
2020-09-21,69,36
2020-09-22,67,38
2020-09-23,70,35
2020-09-24,73,32
2020-09-25,69,36
2020-09-26,71,32
2020-09-27,68,35
2020-09-28,69,34
2020-09-29,68,35
2020-09-30,71,32
2020-10-01,70,33
2020-10-02,70,33
