date,betten_belegt,betten_frei
2020-04-24,49,60
2020-04-25,50,59
2020-04-26,47,62
2020-04-27,54,55
2020-04-28,58,51
2020-04-29,56,51
2020-04-30,64,42
2020-05-01,61,40
2020-05-02,57,48
2020-05-03,60,41
2020-05-04,56,45
2020-05-05,59,42
2020-05-06,66,44
2020-05-07,67,43
2020-05-08,64,45
2020-05-09,64,45
2020-05-10,60,49
2020-05-11,54,55
2020-05-12,57,49
2020-05-13,63,38
2020-05-14,64,45
2020-05-15,64,44
2020-05-16,61,48
2020-05-17,57,52
2020-05-18,62,47
2020-05-19,61,44
2020-05-20,70,35
2020-05-21,95,39
2020-05-22,85,49
2020-05-23,79,55
2020-05-24,75,61
2020-05-25,73,59
2020-05-26,77,55
2020-05-27,84,45
2020-05-28,87,47
2020-05-29,86,49
2020-05-30,83,52
2020-05-31,83,52
2020-06-01,82,53
2020-06-02,87,46
2020-06-03,93,41
2020-06-04,97,37
2020-06-05,98,36
2020-06-06,106,33
2020-06-07,96,44
2020-06-08,96,42
2020-06-09,102,36
2020-06-10,98,41
2020-06-11,103,41
2020-06-12,101,42
2020-06-13,94,36
2020-06-14,94,37
2020-06-15,94,36
2020-06-16,106,36
2020-06-17,105,37
2020-06-18,104,38
2020-06-19,101,40
2020-06-20,103,39
2020-06-21,106,36
2020-06-22,112,30
2020-06-23,98,44
2020-06-24,99,43
2020-06-25,96,44
2020-06-26,94,45
2020-06-27,90,44
2020-06-28,93,46
2020-06-29,101,41
2020-06-30,100,42
2020-07-01,94,51
2020-07-02,90,51
2020-07-03,89,53
2020-07-04,90,52
2020-07-05,96,46
2020-07-06,97,45
2020-07-07,92,46
2020-07-08,93,47
2020-07-09,90,50
2020-07-10,82,58
2020-07-11,88,52
2020-07-12,89,51
2020-07-13,91,50
2020-07-14,96,44
2020-07-15,91,49
2020-07-16,91,49
2020-07-17,87,49
2020-07-18,87,47
2020-07-19,81,55
2020-07-20,93,43
2020-07-21,101,34
2020-07-22,102,34
2020-07-23,99,37
2020-07-24,100,36
2020-07-25,104,24
2020-07-26,100,28
2020-07-27,104,32
2020-07-28,105,31
2020-07-29,107,29
2020-07-30,100,36
2020-07-31,97,41
2020-08-01,103,33
2020-08-02,105,31
2020-08-03,100,36
2020-08-04,101,29
2020-08-05,106,24
2020-08-06,98,30
2020-08-07,101,27
2020-08-08,107,21
2020-08-09,105,23
2020-08-10,78,17
2020-08-11,76,21
2020-08-12,95,31
2020-08-13,97,35
2020-08-14,96,36
2020-08-15,97,35
2020-08-16,92,40
2020-08-17,104,28
2020-08-18,97,35
2020-08-19,100,32
2020-08-20,104,28
2020-08-21,99,33
2020-08-22,99,33
2020-08-23,98,34
2020-08-24,98,34
2020-08-25,100,32
2020-08-26,98,34
2020-08-27,94,38
2020-08-28,88,44
2020-08-29,88,44
2020-08-30,88,44
2020-08-31,100,32
2020-09-01,103,29
2020-09-02,99,33
2020-09-03,104,28
2020-09-04,109,23
2020-09-05,106,26
2020-09-06,102,30
