date,betten_belegt,betten_frei
2020-04-24,12,18
2020-04-25,6,18
2020-04-26,6,18
2020-04-27,6,18
2020-04-28,6,18
2020-04-29,12,18
2020-04-30,12,18
2020-05-01,12,18
2020-05-02,12,18
2020-05-03,12,18
2020-05-04,12,18
2020-05-05,12,18
2020-05-06,12,18
2020-05-07,12,18
2020-05-08,12,18
2020-05-09,12,18
2020-05-10,12,18
2020-05-11,7,18
2020-05-12,11,13
2020-05-13,13,11
2020-05-14,7,11
2020-05-15,12,6
2020-05-16,10,8
2020-05-17,12,6
2020-05-18,10,8
2020-05-19,6,12
2020-05-20,15,3
2020-05-21,14,3
2020-05-22,14,4
2020-05-23,13,5
2020-05-24,14,4
2020-05-25,11,7
2020-05-26,15,0
2020-05-27,13,2
2020-05-28,7,11
2020-05-29,9,6
2020-05-30,9,6
2020-05-31,7,8
2020-06-01,9,6
2020-06-02,8,7
2020-06-03,8,7
2020-06-04,8,7
2020-06-05,8,7
2020-06-06,11,7
2020-06-07,14,13
2020-06-08,14,1
2020-06-09,12,3
2020-06-10,14,1
2020-06-11,11,4
2020-06-12,9,6
2020-06-13,10,5
2020-06-14,11,4
2020-06-15,9,9
2020-06-16,10,8
2020-06-17,11,7
2020-06-18,9,9
2020-06-19,10,8
2020-06-20,10,5
2020-06-21,8,8
2020-06-22,13,5
2020-06-23,8,10
2020-06-24,10,8
2020-06-25,10,3
2020-06-26,13,2
2020-06-27,6,9
2020-06-28,9,6
2020-06-29,11,4
2020-06-30,13,3
2020-07-01,13,2
2020-07-02,12,3
2020-07-03,12,3
2020-07-04,10,5
2020-07-05,12,3
2020-07-06,11,4
2020-07-07,11,4
2020-07-08,10,5
2020-07-09,9,6
2020-07-10,10,5
2020-07-11,9,8
2020-07-12,8,5
2020-07-13,8,3
2020-07-14,6,9
2020-07-15,8,7
2020-07-16,11,4
2020-07-17,14,1
2020-07-18,14,1
2020-07-19,15,0
2020-07-20,13,2
2020-07-21,10,5
2020-07-22,9,6
2020-07-23,10,5
2020-07-24,12,3
2020-07-25,12,1
2020-07-26,12,1
2020-07-27,11,4
2020-07-28,7,6
2020-07-29,11,4
2020-07-30,11,4
2020-07-31,12,3
2020-08-01,10,8
2020-08-02,10,8
2020-08-03,9,6
2020-08-04,12,3
2020-08-05,11,4
2020-08-06,11,4
2020-08-07,13,2
2020-08-08,11,2
2020-08-09,10,3
2020-08-10,12,1
2020-08-11,10,5
2020-08-12,13,2
2020-08-13,11,4
2020-08-14,7,8
2020-08-15,8,7
2020-08-16,10,5
2020-08-17,12,3
2020-08-18,9,3
2020-08-19,9,6
2020-08-20,10,5
2020-08-21,10,3
2020-08-22,10,3
2020-08-23,11,2
2020-08-24,8,7
2020-08-25,8,7
2020-08-26,7,8
2020-08-27,8,4
2020-08-28,11,1
2020-08-29,10,2
2020-08-30,6,6
2020-08-31,10,5
2020-09-01,10,5
2020-09-02,11,4
2020-09-03,8,7
2020-09-04,7,5
2020-09-05,12,1
2020-09-06,12,3
2020-09-07,10,5
2020-09-08,11,4
2020-09-09,8,7
2020-09-10,7,8
2020-09-11,9,6
2020-09-12,11,4
2020-09-13,12,3
2020-09-14,12,3
2020-09-15,9,1
2020-09-16,10,2
2020-09-17,9,3
2020-09-18,9,3
2020-09-19,9,3
2020-09-20,10,2
2020-09-21,10,2
2020-09-22,11,4
2020-09-23,10,5
2020-09-24,9,6
2020-09-25,10,2
2020-09-26,10,2
2020-09-27,9,3
2020-09-28,8,7
2020-09-29,11,4
2020-09-30,6,9
2020-10-01,11,4
2020-10-02,12,3
2020-10-03,13,2
2020-10-04,11,4
2020-10-05,12,3
2020-10-06,13,2
2020-10-07,9,3
2020-10-08,8,4
2020-10-09,9,3
2020-10-10,7,5
2020-10-11,7,5
2020-10-12,9,3
2020-10-13,8,4
2020-10-14,9,3
2020-10-15,8,4
2020-10-16,10,2
2020-10-17,8,4
2020-10-18,8,4
2020-10-19,8,4
2020-10-20,8,4
2020-10-21,12,0
2020-10-22,9,3
2020-10-23,9,3
2020-10-24,9,1
2020-10-25,8,2
2020-10-26,9,3
2020-10-27,8,2
2020-10-28,7,5
2020-10-29,8,2
2020-10-30,9,1
2020-10-31,8,2
2020-11-01,9,1
2020-11-02,8,4
2020-11-03,8,4
2020-11-04,8,4
2020-11-05,8,4
2020-11-06,9,3
2020-11-07,9,3
2020-11-08,9,3
2020-11-09,10,2
2020-11-10,9,3
2020-11-11,9,3
2020-11-12,9,3
2020-11-13,9,3
2020-11-14,9,3
2020-11-15,9,3
2020-11-16,11,1
2020-11-17,8,4
2020-11-18,9,3
2020-11-19,10,2
2020-11-20,9,3
2020-11-21,9,3
2020-11-22,9,3
2020-11-23,7,5
2020-11-24,7,5
2020-11-25,9,3
2020-11-26,9,3
2020-11-27,9,3
2020-11-28,8,4
2020-11-29,8,4
2020-11-30,9,3
2020-12-01,7,5
2020-12-02,6,6
2020-12-03,6,6
2020-12-04,9,3
2020-12-05,9,3
2020-12-06,8,4
2020-12-07,8,4
2020-12-08,8,4
2020-12-09,8,4
2020-12-10,9,3
2020-12-11,9,3
2020-12-12,9,3
2020-12-13,9,3
2020-12-14,9,3
2020-12-15,7,5
2020-12-16,9,3
2020-12-17,9,3
2020-12-18,8,4
2020-12-19,8,4
2020-12-20,9,3
2020-12-21,10,2
2020-12-22,7,5
2020-12-23,11,1
2020-12-24,11,1
2020-12-25,10,2
2020-12-26,10,2
2020-12-27,10,2
2020-12-28,9,3
2020-12-29,9,3
2020-12-30,8,4
2020-12-31,9,3
2021-01-01,8,4
2021-01-02,7,5
2021-01-03,7,5
2021-01-04,8,4
2021-01-05,8,4
2021-01-06,8,4
2021-01-07,7,5
2021-01-08,8,4
2021-01-09,10,2
2021-01-10,9,3
2021-01-11,9,3
