date,betten_belegt,betten_frei
2020-04-24,16,12
2020-04-25,19,9
2020-04-26,18,10
2020-04-27,15,13
2020-04-28,14,14
2020-04-29,16,12
2020-04-30,19,9
2020-05-01,21,6
2020-05-02,19,8
2020-05-03,20,7
2020-05-04,18,9
2020-05-05,20,7
2020-05-06,16,11
2020-05-07,21,6
2020-05-08,20,7
2020-05-09,20,7
2020-05-10,22,5
2020-05-11,23,4
2020-05-12,22,5
2020-05-13,18,9
2020-05-14,19,8
2020-05-15,19,8
2020-05-16,16,11
2020-05-17,15,12
2020-05-18,15,12
2020-05-19,22,5
2020-05-20,15,12
2020-05-21,17,10
2020-05-22,11,16
2020-05-23,17,10
2020-05-24,15,12
2020-05-25,19,8
2020-05-26,18,9
2020-05-27,17,10
2020-05-28,17,10
2020-05-29,18,9
2020-05-30,17,10
2020-05-31,15,12
2020-06-01,12,15
2020-06-02,13,14
2020-06-03,20,7
2020-06-04,20,7
2020-06-05,16,11
2020-06-06,13,14
2020-06-07,13,14
2020-06-08,9,18
2020-06-09,11,16
2020-06-10,17,10
2020-06-11,14,13
2020-06-12,13,14
2020-06-13,11,16
2020-06-14,15,12
2020-06-15,14,13
2020-06-16,16,11
2020-06-17,20,7
2020-06-18,17,10
2020-06-19,15,12
2020-06-20,17,10
2020-06-21,13,14
2020-06-22,13,14
2020-06-23,19,8
2020-06-24,20,7
2020-06-25,19,8
2020-06-26,13,14
2020-06-27,17,10
2020-06-28,12,15
2020-06-29,11,16
2020-06-30,13,14
2020-07-01,19,8
2020-07-02,18,9
2020-07-03,15,12
2020-07-04,20,7
2020-07-05,16,11
2020-07-06,19,8
2020-07-07,23,4
2020-07-08,22,5
2020-07-09,20,7
2020-07-10,22,5
2020-07-11,21,6
2020-07-12,13,14
2020-07-13,15,12
2020-07-14,19,8
2020-07-15,22,5
2020-07-16,16,11
2020-07-17,23,4
2020-07-18,21,6
2020-07-19,15,12
2020-07-20,23,4
2020-07-21,23,4
2020-07-22,24,3
2020-07-23,24,3
2020-07-24,23,4
2020-07-25,22,5
2020-07-26,15,12
2020-07-27,19,8
2020-07-28,15,12
2020-07-29,19,8
2020-07-30,20,7
2020-07-31,17,10
2020-08-01,19,8
2020-08-02,17,10
2020-08-03,15,12
2020-08-04,17,10
2020-08-05,13,14
2020-08-06,20,7
2020-08-07,13,14
2020-08-08,15,12
2020-08-09,15,12
2020-08-10,14,13
2020-08-11,20,7
2020-08-12,18,9
2020-08-13,21,6
2020-08-14,18,9
2020-08-15,19,8
2020-08-16,19,8
2020-08-17,15,12
2020-08-18,19,8
2020-08-19,24,3
2020-08-20,23,4
2020-08-21,20,7
2020-08-22,22,5
2020-08-23,25,2
2020-08-24,21,6
2020-08-25,17,10
2020-08-26,22,5
2020-08-27,18,9
2020-08-28,16,11
2020-08-29,15,12
2020-08-30,10,17
2020-08-31,11,16
2020-09-01,16,11
2020-09-02,17,10
2020-09-03,20,7
2020-09-04,21,6
2020-09-05,16,11
2020-09-06,14,13
2020-09-07,14,13
2020-09-08,19,8
2020-09-09,21,6
2020-09-10,18,9
2020-09-11,21,6
2020-09-12,19,8
2020-09-13,14,13
2020-09-14,15,12
2020-09-15,16,11
2020-09-16,18,9
2020-09-17,21,6
2020-09-18,24,3
2020-09-19,21,6
2020-09-20,15,12
2020-09-21,16,7
2020-09-22,20,3
2020-09-23,18,5
2020-09-24,19,4
2020-09-25,16,7
2020-09-26,17,6
2020-09-27,17,6
2020-09-28,17,6
2020-09-29,17,6
2020-09-30,15,8
2020-10-01,13,10
2020-10-02,18,5
2020-10-03,20,3
2020-10-04,18,5
2020-10-05,16,7
2020-10-06,21,2
2020-10-07,19,4
2020-10-08,20,3
2020-10-09,18,5
2020-10-10,19,4
2020-10-11,17,6
2020-10-12,17,6
2020-10-13,15,8
2020-10-14,13,10
2020-10-15,18,5
2020-10-16,14,9
2020-10-17,16,7
2020-10-18,14,9
2020-10-19,12,11
2020-10-20,14,9
2020-10-21,15,8
2020-10-22,15,8
2020-10-23,13,10
2020-10-24,17,6
2020-10-25,14,9
2020-10-26,15,8
2020-10-27,19,4
2020-10-28,17,6
