date,betten_belegt,betten_frei
2020-04-24,60,31
2020-04-25,57,34
2020-04-26,58,33
2020-04-27,53,38
2020-04-28,62,29
2020-04-29,62,29
2020-04-30,65,26
2020-05-01,59,32
2020-05-02,51,39
2020-05-03,48,43
2020-05-04,52,39
2020-05-05,67,24
2020-05-06,68,23
2020-05-07,58,33
2020-05-08,63,28
2020-05-09,60,31
2020-05-10,58,33
2020-05-11,64,27
2020-05-12,67,24
2020-05-13,64,27
2020-05-14,71,20
2020-05-15,69,22
2020-05-16,68,23
2020-05-17,60,31
2020-05-18,56,35
2020-05-19,61,30
2020-05-20,63,28
2020-05-21,69,22
2020-05-22,62,29
2020-05-23,57,34
2020-05-24,50,41
2020-05-25,50,41
2020-05-26,57,34
2020-05-27,63,28
2020-05-28,69,22
2020-05-29,66,25
2020-05-30,65,26
2020-05-31,63,28
2020-06-01,61,30
2020-06-02,53,38
2020-06-03,55,36
2020-06-04,69,22
2020-06-05,65,26
2020-06-06,67,24
2020-06-07,60,31
2020-06-08,49,42
2020-06-09,63,28
2020-06-10,65,26
2020-06-11,57,34
2020-06-12,55,36
2020-06-13,52,39
2020-06-14,53,38
2020-06-15,55,35
2020-06-16,60,30
2020-06-17,66,24
2020-06-18,66,24
2020-06-19,71,19
2020-06-20,66,24
2020-06-21,67,23
2020-06-22,62,33
2020-06-23,67,23
2020-06-24,66,24
2020-06-25,61,29
2020-06-26,59,31
2020-06-27,56,32
2020-06-28,58,32
2020-06-29,50,40
2020-06-30,69,21
2020-07-01,71,19
2020-07-02,68,22
2020-07-03,65,25
2020-07-04,66,24
2020-07-05,64,26
2020-07-06,63,27
2020-07-07,58,32
2020-07-08,58,32
2020-07-09,61,29
2020-07-10,60,30
2020-07-11,61,29
2020-07-12,63,27
2020-07-13,63,27
2020-07-14,67,23
2020-07-15,64,26
2020-07-16,68,22
2020-07-17,64,26
2020-07-18,60,29
2020-07-19,56,33
2020-07-20,62,28
2020-07-21,70,20
2020-07-22,66,24
2020-07-23,62,28
2020-07-24,69,21
2020-07-25,76,22
2020-07-26,72,26
2020-07-27,70,28
2020-07-28,74,24
2020-07-29,81,17
2020-07-30,73,25
2020-07-31,72,26
2020-08-01,70,28
2020-08-02,65,33
2020-08-03,67,31
2020-08-04,72,14
2020-08-05,71,15
2020-08-06,67,19
2020-08-07,67,19
2020-08-08,67,19
2020-08-09,65,21
2020-08-10,66,20
2020-08-11,62,24
2020-08-12,68,18
2020-08-13,69,17
2020-08-14,69,17
2020-08-15,68,18
2020-08-16,60,26
2020-08-17,60,26
2020-08-18,65,21
2020-08-19,66,20
2020-08-20,69,17
2020-08-21,67,19
2020-08-22,68,18
2020-08-23,64,22
2020-08-24,65,21
2020-08-25,66,20
2020-08-26,77,9
2020-08-27,71,15
2020-08-28,67,19
2020-08-29,59,27
2020-08-30,60,26
2020-08-31,58,28
2020-09-01,68,18
2020-09-02,73,13
2020-09-03,68,18
2020-09-04,68,18
2020-09-05,68,18
2020-09-06,66,20
2020-09-07,59,27
2020-09-08,57,29
2020-09-09,56,30
2020-09-10,64,22
2020-09-11,65,19
2020-09-12,63,21
2020-09-13,56,28
2020-09-14,58,26
2020-09-15,58,36
2020-09-16,65,29
2020-09-17,74,20
2020-09-18,73,21
2020-09-19,73,21
2020-09-20,70,24
2020-09-21,64,30
2020-09-22,73,21
2020-09-23,70,24
2020-09-24,70,24
2020-09-25,67,27
2020-09-26,70,24
2020-09-27,67,27
2020-09-28,63,31
2020-09-29,74,24
2020-09-30,74,29
2020-10-01,76,27
2020-10-02,75,28
2020-10-03,75,28
2020-10-04,65,38
2020-10-05,67,36
2020-10-06,77,21
2020-10-07,68,30
2020-10-08,76,22
2020-10-09,69,29
2020-10-10,68,30
2020-10-11,69,29
2020-10-12,67,22
2020-10-13,69,20
2020-10-14,78,11
2020-10-15,75,14
2020-10-16,71,18
2020-10-17,72,17
2020-10-18,70,19
2020-10-19,69,20
2020-10-20,73,16
2020-10-21,77,12
2020-10-22,69,20
2020-10-23,72,17
2020-10-24,68,21
2020-10-25,52,37
2020-10-26,65,24
2020-10-27,71,18
2020-10-28,73,16
2020-10-29,72,17
2020-10-30,76,13
2020-10-31,65,24
2020-11-01,66,23
2020-11-02,65,24
2020-11-03,67,22
2020-11-04,75,14
2020-11-05,78,11
2020-11-06,77,12
2020-11-07,78,11
2020-11-08,68,21
2020-11-09,69,20
2020-11-10,78,11
2020-11-11,74,15
2020-11-12,77,12
2020-11-13,74,15
2020-11-14,73,16
2020-11-15,63,26
2020-11-16,65,24
2020-11-17,79,10
2020-11-18,81,7
2020-11-19,77,11
2020-11-20,81,7
2020-11-21,79,9
2020-11-22,69,19
2020-11-23,69,19
2020-11-24,79,9
2020-11-25,76,8
2020-11-26,74,10
2020-11-27,76,8
2020-11-28,74,10
2020-11-29,70,14
2020-11-30,73,11
2020-12-01,77,7
2020-12-02,75,9
2020-12-03,77,7
2020-12-04,70,14
2020-12-05,68,12
2020-12-06,62,18
2020-12-07,65,15
2020-12-08,82,2
2020-12-09,80,4
2020-12-10,79,5
2020-12-11,79,5
2020-12-12,70,14
2020-12-13,64,8
2020-12-14,64,16
2020-12-15,72,8
2020-12-16,68,12
2020-12-17,74,6
2020-12-18,73,7
2020-12-19,72,8
2020-12-20,63,13
2020-12-21,59,17
2020-12-22,65,11
2020-12-23,61,15
2020-12-24,59,17
2020-12-25,61,15
2020-12-26,61,15
2020-12-27,62,14
2020-12-28,65,11
2020-12-29,65,11
2020-12-30,68,8
2020-12-31,65,11
2021-01-01,71,5
2021-01-02,64,12
2021-01-03,63,13
2021-01-04,61,15
2021-01-05,66,10
2021-01-06,56,20
2021-01-07,59,17
2021-01-08,62,14
2021-01-09,61,15
2021-01-10,57,19
2021-01-11,56,20
2021-01-12,65,11
2021-01-13,67,9
2021-01-14,66,10
2021-01-15,66,10
2021-01-16,63,13
2021-01-17,60,16
2021-01-18,63,13
2021-01-19,71,5
2021-01-20,70,6
2021-01-21,77,3
2021-01-22,74,6
2021-01-23,74,6
2021-01-24,71,9
2021-01-25,73,7
2021-01-26,76,4
2021-01-27,77,3
2021-01-28,70,10
2021-01-29,74,6
2021-01-30,68,12
2021-01-31,68,12
2021-02-01,69,11
2021-02-02,76,4
2021-02-03,70,10
2021-02-04,72,8
2021-02-05,73,7
2021-02-06,75,5
2021-02-07,67,9
2021-02-08,68,6
2021-02-09,69,5
2021-02-10,66,6
2021-02-11,68,4
2021-02-12,69,3
2021-02-13,68,4
2021-02-14,62,10
2021-02-15,64,8
2021-02-16,70,4
2021-02-17,74,2
2021-02-18,74,2
2021-02-19,69,7
2021-02-20,71,5
2021-02-21,69,7
2021-02-22,73,3
2021-02-23,73,3
2021-02-24,73,3
2021-02-25,72,4
2021-02-26,75,2
2021-02-27,67,11
2021-02-28,63,13
2021-03-01,67,9
2021-03-02,76,1
2021-03-03,72,4
2021-03-04,68,12
2021-03-05,68,12
2021-03-06,67,13
2021-03-07,63,17
2021-03-08,71,9
2021-03-09,74,6
2021-03-10,68,12
2021-03-11,72,8
2021-03-12,73,7
2021-03-13,69,11
2021-03-14,69,11
2021-03-15,65,15
2021-03-16,68,12
2021-03-17,67,11
2021-03-18,66,12
2021-03-19,65,13
2021-03-20,64,14
2021-03-21,64,14
2021-03-22,64,12
2021-03-23,71,5
2021-03-24,68,8
2021-03-25,67,9
2021-03-26,62,14
2021-03-27,63,11
2021-03-28,56,18
2021-03-29,60,14
2021-03-30,67,7
2021-03-31,66,8
2021-04-01,61,13
2021-04-02,60,14
2021-04-03,52,22
2021-04-04,50,24
2021-04-05,51,23
2021-04-06,62,12
2021-04-07,67,7
2021-04-08,67,7
2021-04-09,65,9
2021-04-10,67,7
2021-04-11,58,12
2021-04-12,55,15
2021-04-13,62,12
2021-04-14,69,5
2021-04-15,66,13
2021-04-16,66,13
2021-04-17,66,13
2021-04-18,63,10
2021-04-19,61,12
2021-04-20,63,10
2021-04-21,72,2
2021-04-22,73,6
2021-04-23,73,6
2021-04-24,73,6
2021-04-25,67,12
2021-04-26,66,13
2021-04-27,67,12
2021-04-28,72,7
2021-04-29,77,2
2021-04-30,75,3
2021-05-01,73,3
2021-05-02,71,5
2021-05-03,69,7
2021-05-04,73,3
2021-05-05,65,11
2021-05-06,66,9
2021-05-07,62,12
2021-05-08,66,8
2021-05-09,67,7
2021-05-10,66,8
2021-05-11,67,7
2021-05-12,66,8
2021-05-13,66,8
2021-05-14,66,8
2021-05-15,69,5
2021-05-16,68,6
2021-05-17,64,6
2021-05-18,67,7
2021-05-19,63,11
2021-05-20,70,4
2021-05-21,68,6
2021-05-22,64,10
2021-05-23,63,11
2021-05-24,67,5
2021-05-25,58,16
2021-05-26,65,9
2021-05-27,65,9
2021-05-28,56,14
2021-05-29,59,11
2021-05-30,62,8
2021-05-31,56,14
2021-06-01,59,11
2021-06-02,66,8
2021-06-03,66,8
2021-06-04,64,10
2021-06-05,64,10
2021-06-06,53,21
2021-06-07,49,25
2021-06-08,62,12
2021-06-09,66,8
2021-06-10,58,16
2021-06-11,57,17
2021-06-12,57,13
2021-06-13,57,13
2021-06-14,53,17
2021-06-15,61,13
2021-06-16,54,20
2021-06-17,56,18
2021-06-18,60,14
2021-06-19,60,14
2021-06-20,60,14
2021-06-21,62,12
2021-06-22,65,13
2021-06-23,68,11
2021-06-24,58,21
2021-06-25,63,15
2021-06-26,60,18
2021-06-27,57,14
2021-06-28,53,18
2021-06-29,58,19
2021-06-30,63,9
2021-07-01,63,9
2021-07-02,63,8
2021-07-03,63,8
2021-07-04,64,7
2021-07-05,58,13
2021-07-06,60,16
2021-07-07,68,8
2021-07-08,69,7
2021-07-09,60,12
2021-07-10,63,9
2021-07-11,65,5
2021-07-12,58,20
2021-07-13,65,11
2021-07-14,65,13
2021-07-15,61,13
2021-07-16,60,16
2021-07-17,62,9
2021-07-18,50,21
2021-07-19,52,27
2021-07-20,62,17
2021-07-21,64,14
2021-07-22,64,10
2021-07-23,67,7
2021-07-24,64,12
2021-07-25,66,10
2021-07-26,55,21
2021-07-27,70,6
2021-07-28,75,3
2021-07-29,63,14
2021-07-30,61,19
2021-07-31,70,10
2021-08-01,57,13
2021-08-02,60,14
2021-08-03,58,18
2021-08-04,66,6
2021-08-05,74,0
2021-08-06,64,10
2021-08-07,66,8
2021-08-08,59,11
2021-08-09,60,10
2021-08-10,68,2
2021-08-11,63,3
2021-08-12,58,12
2021-08-13,63,7
2021-08-14,64,6
2021-08-15,52,18
2021-08-16,54,12
2021-08-17,59,6
2021-08-18,58,6
2021-08-19,59,9
2021-08-20,64,4
2021-08-21,62,6
2021-08-22,48,14
2021-08-23,44,18
2021-08-24,52,15
2021-08-25,53,12
2021-08-26,59,10
2021-08-27,60,9
2021-08-28,50,15
2021-08-29,49,16
2021-08-30,53,12
2021-08-31,64,3
2021-09-01,69,2
2021-09-02,62,5
2021-09-03,65,2
2021-09-04,65,2
2021-09-05,64,3
2021-09-06,60,8
2021-09-07,58,16
2021-09-08,61,13
2021-09-09,67,7
2021-09-10,67,7
2021-09-11,64,10
2021-09-12,52,12
2021-09-13,56,8
2021-09-14,59,9
2021-09-15,69,5
2021-09-16,67,7
2021-09-17,59,15
2021-09-18,52,20
2021-09-19,51,21
2021-09-20,53,13
2021-09-21,58,8
2021-09-22,65,7
2021-09-23,64,8
2021-09-24,65,9
2021-09-25,64,10
2021-09-26,62,10
2021-09-27,64,8
2021-09-28,62,10
2021-09-29,67,5
2021-09-30,77,0
2021-10-01,72,2
2021-10-02,74,0
2021-10-03,65,4
2021-10-04,62,6
2021-10-05,69,3
2021-10-06,72,0
2021-10-07,70,6
2021-10-08,66,12
2021-10-09,68,4
2021-10-10,70,2
2021-10-11,66,8
2021-10-12,68,6
2021-10-13,68,6
2021-10-14,73,3
2021-10-15,73,3
2021-10-16,68,1
2021-10-17,66,0
2021-10-18,61,5
2021-10-19,60,14
2021-10-20,65,9
2021-10-21,65,8
2021-10-22,68,6
2021-10-23,62,6
2021-10-24,55,14
2021-10-25,54,15
2021-10-26,59,11
2021-10-27,63,4
2021-10-28,64,4
2021-10-29,60,6
2021-10-30,59,7
2021-10-31,60,9
2021-11-01,60,6
2021-11-02,64,6
2021-11-03,63,11
2021-11-04,66,8
2021-11-05,63,11
2021-11-06,67,1
2021-11-07,66,1
2021-11-08,65,3
2021-11-09,73,2
2021-11-10,73,6
2021-11-11,76,3
2021-11-12,64,10
2021-11-13,63,6
2021-11-14,62,6
2021-11-15,58,11
2021-11-16,66,7
2021-11-17,68,10
2021-11-18,70,7
2021-11-19,66,8
2021-11-20,62,9
2021-11-21,60,13
2021-11-22,61,12
2021-11-23,65,7
2021-11-24,64,8
2021-11-25,66,8
2021-11-26,62,12
2021-11-27,64,9
2021-11-28,67,5
2021-11-29,63,3
2021-11-30,68,5
2021-12-01,64,2
2021-12-02,69,0
2021-12-03,68,1
2021-12-04,66,3
2021-12-05,63,5
2021-12-06,62,6
2021-12-07,67,3
2021-12-08,66,4
2021-12-09,61,6
2021-12-10,59,12
2021-12-11,59,12
2021-12-12,55,12
2021-12-13,50,20
2021-12-14,59,11
2021-12-15,57,13
2021-12-16,58,13
2021-12-17,62,9
2021-12-18,57,13
2021-12-19,57,13
2021-12-20,60,7
2021-12-21,65,7
2021-12-22,62,8
2021-12-23,63,7
2021-12-24,59,13
