date,betten_belegt,betten_frei
2020-04-24,5,1
2020-04-25,6,0
2020-04-26,5,0
2020-04-27,6,0
2020-04-28,6,0
2020-04-29,5,1
2020-04-30,5,1
2020-05-01,6,0
2020-05-02,4,2
2020-05-03,5,1
2020-05-04,6,0
2020-05-05,6,0
2020-05-06,5,1
2020-05-07,4,2
2020-05-08,4,2
2020-05-09,4,2
2020-05-10,3,3
2020-05-11,5,1
2020-05-12,6,0
2020-05-13,6,0
2020-05-14,6,0
2020-05-15,5,1
2020-05-16,3,3
2020-05-17,2,4
2020-05-18,4,2
2020-05-19,5,1
2020-05-20,3,3
2020-05-21,3,3
2020-05-22,3,3
2020-05-23,4,2
2020-05-24,3,3
2020-05-25,3,3
2020-05-26,5,1
2020-05-27,5,1
2020-05-28,5,1
2020-05-29,3,3
2020-05-30,5,1
2020-05-31,4,2
2020-06-01,5,1
2020-06-02,3,3
2020-06-03,6,0
2020-06-04,6,0
2020-06-05,6,0
2020-06-06,5,1
2020-06-07,5,1
2020-06-08,4,2
2020-06-09,5,1
2020-06-10,6,0
2020-06-11,5,1
2020-06-12,5,1
2020-06-13,5,1
2020-06-14,5,1
2020-06-15,6,0
2020-06-16,4,2
2020-06-17,4,2
2020-06-18,4,2
2020-06-19,6,0
2020-06-20,6,0
2020-06-21,2,4
2020-06-22,6,0
2020-06-23,4,2
2020-06-24,4,2
2020-06-25,5,1
2020-06-26,5,1
2020-06-27,5,1
2020-06-28,6,0
2020-06-29,4,0
2020-06-30,5,1
2020-07-01,5,1
2020-07-02,5,1
2020-07-03,4,2
2020-07-04,4,2
2020-07-05,6,0
2020-07-06,6,0
2020-07-07,3,3
2020-07-08,2,4
2020-07-09,4,2
2020-07-10,4,2
2020-07-11,3,3
2020-07-12,2,4
2020-07-13,3,3
2020-07-14,6,0
2020-07-15,5,1
2020-07-16,5,1
2020-07-17,3,3
2020-07-18,3,3
2020-07-19,3,3
2020-07-20,5,1
2020-07-21,5,1
2020-07-22,5,1
2020-07-23,6,0
2020-07-24,3,3
2020-07-25,4,2
2020-07-26,5,1
2020-07-27,5,1
2020-07-28,5,1
2020-07-29,5,1
2020-07-30,6,0
2020-07-31,5,1
2020-08-01,6,0
2020-08-02,6,0
2020-08-03,4,0
2020-08-04,6,0
2020-08-05,6,0
2020-08-06,3,3
2020-08-07,6,0
2020-08-08,4,2
2020-08-09,6,0
2020-08-10,6,0
2020-08-11,5,1
2020-08-12,6,0
2020-08-13,2,4
2020-08-14,4,2
2020-08-15,5,1
