date,betten_belegt,betten_frei
2020-04-24,118,50
2020-04-25,117,51
2020-04-26,115,53
2020-04-27,117,51
2020-04-28,119,49
2020-04-29,119,49
2020-04-30,116,52
2020-05-01,119,45
2020-05-02,120,44
2020-05-03,119,45
2020-05-04,122,42
2020-05-05,122,42
2020-05-06,121,43
2020-05-07,121,43
2020-05-08,21,5
2020-05-09,26,0
2020-05-10,26,0
2020-05-11,21,5
2020-05-12,20,6
2020-05-13,26,0
2020-05-14,23,3
2020-05-15,23,3
2020-05-16,25,1
2020-05-17,20,6
2020-05-18,21,5
2020-05-19,21,5
2020-05-20,23,3
2020-05-21,21,5
2020-05-22,19,7
2020-05-23,131,34
2020-05-24,131,34
2020-05-25,134,31
2020-05-26,133,32
2020-05-27,135,30
2020-05-28,124,42
2020-05-29,122,44
2020-05-30,121,43
2020-05-31,120,44
2020-06-01,119,42
2020-06-02,122,39
2020-06-03,130,32
2020-06-04,123,38
2020-06-05,125,34
2020-06-06,124,35
2020-06-07,126,31
2020-06-08,121,37
2020-06-09,125,32
2020-06-10,128,29
2020-06-11,130,27
2020-06-12,124,33
2020-06-13,117,40
2020-06-14,124,33
2020-06-15,116,41
2020-06-16,114,43
2020-06-17,129,28
2020-06-18,135,22
2020-06-19,133,25
2020-06-20,126,32
2020-06-21,125,33
2020-06-22,125,32
2020-06-23,127,30
2020-06-24,118,39
2020-06-25,124,34
2020-06-26,121,37
2020-06-27,117,43
2020-06-28,121,37
2020-06-29,122,36
2020-06-30,121,37
2020-07-01,139,19
2020-07-02,139,19
2020-07-03,134,24
2020-07-04,128,30
2020-07-05,125,33
2020-07-06,126,30
2020-07-07,130,28
2020-07-08,131,25
2020-07-09,128,28
2020-07-10,130,25
2020-07-11,132,23
2020-07-12,132,23
2020-07-13,114,28
2020-07-14,122,19
2020-07-15,114,25
2020-07-16,117,24
2020-07-17,120,21
2020-07-18,117,20
2020-07-19,110,27
2020-07-20,113,30
2020-07-21,116,27
2020-07-22,117,25
2020-07-23,121,21
2020-07-24,121,24
2020-07-25,109,34
2020-07-26,106,37
2020-07-27,104,41
2020-07-28,102,41
2020-07-29,107,36
2020-07-30,108,35
2020-07-31,104,39
2020-08-01,103,40
2020-08-02,92,51
2020-08-03,89,48
2020-08-04,94,44
2020-08-05,98,40
2020-08-06,101,37
2020-08-07,100,38
2020-08-08,99,39
2020-08-09,97,41
2020-08-10,94,44
2020-08-11,94,44
2020-08-12,103,35
2020-08-13,102,36
2020-08-14,101,37
2020-08-15,98,40
2020-08-16,92,46
2020-08-17,91,47
2020-08-18,96,42
2020-08-19,101,37
2020-08-20,105,33
2020-08-21,104,32
2020-08-22,98,38
2020-08-23,95,41
2020-08-24,101,36
2020-08-25,97,42
2020-08-26,109,31
2020-08-27,107,33
2020-08-28,114,28
2020-08-29,120,22
2020-08-30,117,25
2020-08-31,113,29
2020-09-01,119,23
2020-09-02,110,31
2020-09-03,112,29
2020-09-04,114,24
2020-09-05,108,30
2020-09-06,110,28
2020-09-07,108,30
2020-09-08,110,28
2020-09-09,112,26
2020-09-10,108,30
2020-09-11,107,31
2020-09-12,103,35
2020-09-13,97,42
2020-09-14,100,39
2020-09-15,108,29
2020-09-16,107,30
2020-09-17,108,31
2020-09-18,107,32
2020-09-19,105,34
2020-09-20,102,37
2020-09-21,96,41
2020-09-22,99,34
2020-09-23,109,26
2020-09-24,111,24
2020-09-25,106,29
2020-09-26,100,39
2020-09-27,98,39
2020-09-28,101,37
2020-09-29,102,37
2020-09-30,110,29
2020-10-01,104,35
2020-10-02,106,32
2020-10-03,106,29
2020-10-04,102,33
2020-10-05,104,30
2020-10-06,109,30
2020-10-07,109,30
2020-10-08,105,34
2020-10-09,117,22
2020-10-10,110,29
2020-10-11,109,30
2020-10-12,110,29
2020-10-13,120,19
2020-10-14,117,22
2020-10-15,112,26
2020-10-16,117,21
2020-10-17,111,26
2020-10-18,105,32
2020-10-19,100,36
2020-10-20,104,33
2020-10-21,103,32
2020-10-22,100,35
2020-10-23,106,29
2020-10-24,113,22
2020-10-25,110,25
2020-10-26,106,28
2020-10-27,111,23
2020-10-28,110,24
2020-10-29,110,27
2020-10-30,112,23
2020-10-31,111,24
2020-11-01,111,24
2020-11-02,107,28
2020-11-03,114,25
2020-11-04,116,21
2020-11-05,109,30
2020-11-06,112,27
