date,betten_belegt,betten_frei
2020-04-24,264,90
2020-04-25,263,93
2020-04-26,239,112
2020-04-27,256,98
2020-04-28,244,103
2020-04-29,254,95
2020-04-30,246,83
2020-05-01,237,99
2020-05-02,231,110
2020-05-03,210,133
2020-05-04,225,120
2020-05-05,243,100
2020-05-06,243,102
2020-05-07,246,98
2020-05-08,262,85
2020-05-09,242,95
2020-05-10,232,106
2020-05-11,244,97
2020-05-12,234,95
2020-05-13,238,91
2020-05-14,263,78
2020-05-15,246,91
2020-05-16,253,101
2020-05-17,250,97
2020-05-18,243,105
2020-05-19,253,90
2020-05-20,258,87
2020-05-21,251,88
2020-05-22,250,90
2020-05-23,258,88
2020-05-24,248,97
2020-05-25,235,108
2020-05-26,252,93
2020-05-27,256,89
2020-05-28,264,77
2020-05-29,274,66
2020-05-30,262,76
2020-05-31,244,94
2020-06-01,236,96
2020-06-02,224,112
2020-06-03,245,93
2020-06-04,250,94
2020-06-05,249,94
2020-06-06,262,78
2020-06-07,239,98
2020-06-08,233,106
2020-06-09,244,97
2020-06-10,258,80
2020-06-11,254,80
2020-06-12,247,90
2020-06-13,258,78
2020-06-14,251,88
2020-06-15,237,101
2020-06-16,262,79
2020-06-17,259,85
2020-06-18,260,82
2020-06-19,263,77
2020-06-20,255,81
2020-06-21,266,69
2020-06-22,247,90
2020-06-23,257,81
2020-06-24,268,65
2020-06-25,304,74
2020-06-26,305,75
2020-06-27,305,73
2020-06-28,287,84
2020-06-29,309,83
2020-06-30,332,65
2020-07-01,332,61
2020-07-02,336,58
2020-07-03,330,63
2020-07-04,315,77
2020-07-05,296,93
2020-07-06,295,100
2020-07-07,298,93
2020-07-08,302,93
2020-07-09,317,78
2020-07-10,312,78
2020-07-11,319,74
2020-07-12,308,85
2020-07-13,305,81
2020-07-14,309,80
2020-07-15,334,68
2020-07-16,338,66
2020-07-17,331,73
2020-07-18,327,70
2020-07-19,320,77
2020-07-20,306,85
2020-07-21,324,65
2020-07-22,344,61
2020-07-23,327,75
2020-07-24,353,53
2020-07-25,343,62
2020-07-26,334,64
2020-07-27,319,78
2020-07-28,332,71
2020-07-29,331,61
2020-07-30,335,56
2020-07-31,327,62
2020-08-01,329,61
2020-08-02,316,72
2020-08-03,296,94
2020-08-04,320,82
2020-08-05,327,75
2020-08-06,336,75
2020-08-07,335,75
2020-08-08,325,82
