date,betten_belegt,betten_frei
2020-04-24,57,37
2020-04-25,56,36
2020-04-26,52,41
2020-04-27,57,37
2020-04-28,64,33
2020-04-29,61,36
2020-04-30,58,34
2020-05-01,56,37
2020-05-02,53,35
2020-05-03,52,35
2020-05-04,46,41
2020-05-05,54,34
2020-05-06,54,34
2020-05-07,44,45
2020-05-08,38,51
2020-05-09,43,46
2020-05-10,50,40
2020-05-11,47,41
2020-05-12,51,37
2020-05-13,51,35
2020-05-14,53,35
2020-05-15,49,38
2020-05-16,48,40
2020-05-17,50,43
2020-05-18,53,35
2020-05-19,57,35
2020-05-20,58,34
2020-05-21,60,32
2020-05-22,58,37
2020-05-23,43,52
2020-05-24,58,36
2020-05-25,52,40
2020-05-26,57,35
2020-05-27,49,43
2020-05-28,41,29
2020-05-29,36,34
2020-05-30,55,29
2020-05-31,59,28
2020-06-01,52,29
2020-06-02,47,32
2020-06-03,61,26
2020-06-04,56,25
2020-06-05,58,28
2020-06-06,65,26
2020-06-07,47,25
2020-06-08,48,24
2020-06-09,42,28
2020-06-10,39,31
2020-06-11,51,29
2020-06-12,47,33
2020-06-13,38,35
2020-06-14,35,45
2020-06-15,36,34
2020-06-16,36,34
2020-06-17,36,35
2020-06-18,35,35
2020-06-19,36,34
2020-06-20,49,36
2020-06-21,36,32
2020-06-22,52,38
2020-06-23,52,41
2020-06-24,58,34
2020-06-25,52,36
2020-06-26,51,38
2020-06-27,47,36
2020-06-28,49,38
2020-06-29,55,34
2020-06-30,54,31
2020-07-01,51,34
2020-07-02,60,33
2020-07-03,55,36
2020-07-04,58,33
2020-07-05,56,35
2020-07-06,53,36
2020-07-07,55,29
2020-07-08,56,28
2020-07-09,57,24
2020-07-10,64,29
2020-07-11,60,33
2020-07-12,59,34
2020-07-13,59,33
2020-07-14,58,33
2020-07-15,59,34
2020-07-16,56,34
2020-07-17,55,37
2020-07-18,56,36
2020-07-19,54,38
2020-07-20,61,31
2020-07-21,56,33
2020-07-22,62,37
2020-07-23,59,37
2020-07-24,56,39
2020-07-25,57,38
2020-07-26,58,37
2020-07-27,61,38
2020-07-28,60,36
2020-07-29,66,37
2020-07-30,73,36
2020-07-31,76,32
2020-08-01,73,35
2020-08-02,71,39
2020-08-03,64,41
2020-08-04,68,31
2020-08-05,66,35
2020-08-06,63,38
2020-08-07,64,37
2020-08-08,63,36
2020-08-09,63,35
2020-08-10,56,45
2020-08-11,67,34
2020-08-12,59,42
2020-08-13,68,33
2020-08-14,71,30
2020-08-15,72,29
2020-08-16,69,32
2020-08-17,68,33
2020-08-18,70,31
2020-08-19,69,32
2020-08-20,72,29
2020-08-21,69,32
2020-08-22,70,27
2020-08-23,68,29
2020-08-24,67,34
2020-08-25,72,27
2020-08-26,70,29
2020-08-27,73,28
2020-08-28,75,26
2020-08-29,72,29
2020-08-30,70,29
2020-08-31,71,30
2020-09-01,70,31
2020-09-02,56,45
2020-09-03,67,34
2020-09-04,59,42
2020-09-05,58,43
2020-09-06,56,45
2020-09-07,63,36
2020-09-08,64,35
2020-09-09,63,36
2020-09-10,58,41
2020-09-11,58,43
2020-09-12,54,47
2020-09-13,54,47
2020-09-14,58,43
2020-09-15,66,35
2020-09-16,64,37
2020-09-17,62,39
2020-09-18,61,40
2020-09-19,59,42
2020-09-20,56,43
2020-09-21,63,38
2020-09-22,64,37
2020-09-23,70,31
2020-09-24,66,35
2020-09-25,68,33
2020-09-26,72,29
2020-09-27,67,31
2020-09-28,57,40
2020-09-29,61,38
2020-09-30,56,43
2020-10-01,58,41
2020-10-02,57,42
2020-10-03,54,45
2020-10-04,51,48
2020-10-05,53,45
2020-10-06,69,29
2020-10-07,65,34
2020-10-08,70,29
2020-10-09,70,29
2020-10-10,67,32
2020-10-11,61,38
2020-10-12,60,39
2020-10-13,60,39
2020-10-14,65,34
2020-10-15,74,24
2020-10-16,70,27
2020-10-17,74,23
2020-10-18,72,25
2020-10-19,62,35
2020-10-20,64,33
2020-10-21,68,27
2020-10-22,63,33
2020-10-23,66,30
2020-10-24,70,11
2020-10-25,65,16
2020-10-26,65,18
2020-10-27,66,16
2020-10-28,66,16
2020-10-29,66,16
2020-10-30,57,23
2020-10-31,66,14
2020-11-01,59,21
2020-11-02,60,19
2020-11-03,55,24
2020-11-04,56,26
2020-11-05,64,21
2020-11-06,65,20
2020-11-07,63,21
2020-11-08,68,16
2020-11-09,66,19
2020-11-10,67,19
2020-11-11,69,17
2020-11-12,64,24
2020-11-13,66,20
2020-11-14,69,19
2020-11-15,65,21
2020-11-16,65,21
2020-11-17,63,23
2020-11-18,60,26
2020-11-19,62,24
2020-11-20,65,20
2020-11-21,55,29
2020-11-22,54,30
2020-11-23,61,23
2020-11-24,60,24
2020-11-25,57,24
2020-11-26,61,19
2020-11-27,63,17
2020-11-28,68,13
2020-11-29,68,13
2020-11-30,72,6
2020-12-01,72,6
2020-12-02,68,11
2020-12-03,66,13
2020-12-04,66,12
2020-12-05,63,12
2020-12-06,63,12
2020-12-07,61,17
2020-12-08,68,8
2020-12-09,67,9
2020-12-10,67,9
2020-12-11,65,12
2020-12-12,69,6
2020-12-13,66,9
2020-12-14,66,11
2020-12-15,69,7
2020-12-16,71,7
2020-12-17,65,11
2020-12-18,71,8
2020-12-19,68,11
2020-12-20,68,10
2020-12-21,70,10
2020-12-22,70,9
2020-12-23,73,7
2020-12-24,65,13
2020-12-25,66,14
2020-12-26,68,11
2020-12-27,68,11
2020-12-28,65,13
2020-12-29,67,10
2020-12-30,65,11
2020-12-31,63,13
2021-01-01,65,11
2021-01-02,63,13
2021-01-03,64,12
2021-01-04,67,9
2021-01-05,66,11
2021-01-06,66,9
2021-01-07,64,11
2021-01-08,67,8
2021-01-09,70,7
2021-01-10,70,5
2021-01-11,70,6
2021-01-12,69,7
2021-01-13,68,9
2021-01-14,73,5
2021-01-15,70,7
2021-01-16,61,14
2021-01-17,61,14
2021-01-18,63,13
2021-01-19,70,6
2021-01-20,70,6
2021-01-21,74,5
2021-01-22,74,6
2021-01-23,70,11
2021-01-24,62,19
2021-01-25,63,15
2021-01-26,64,14
2021-01-27,60,19
2021-01-28,66,14
2021-01-29,61,19
2021-01-30,64,16
2021-01-31,63,17
2021-02-01,70,10
2021-02-02,63,16
2021-02-03,67,12
2021-02-04,68,11
2021-02-05,70,10
2021-02-06,70,10
2021-02-07,62,18
2021-02-08,66,13
2021-02-09,67,12
2021-02-10,71,7
2021-02-11,68,10
2021-02-12,64,14
2021-02-13,66,12
2021-02-14,63,14
2021-02-15,66,12
2021-02-16,65,13
2021-02-17,64,14
2021-02-18,68,10
2021-02-19,66,12
2021-02-20,65,13
2021-02-21,66,12
2021-02-22,64,14
2021-02-23,67,7
2021-02-24,70,4
2021-02-25,68,6
2021-02-26,65,9
2021-02-27,61,13
2021-02-28,69,6
2021-03-01,67,7
