date,betten_belegt,betten_frei
2020-04-24,40,9
2020-04-25,39,10
2020-04-26,37,12
2020-04-27,38,9
2020-04-28,40,7
2020-04-29,39,10
2020-04-30,39,10
2020-05-01,38,11
2020-05-02,36,11
2020-05-03,38,9
2020-05-04,46,3
2020-05-05,46,3
2020-05-06,41,8
2020-05-07,46,1
2020-05-08,45,2
2020-05-09,45,2
2020-05-10,46,1
2020-05-11,35,10
2020-05-12,35,10
2020-05-13,46,4
2020-05-14,40,8
2020-05-15,45,9
2020-05-16,48,5
2020-05-17,48,5
2020-05-18,48,5
2020-05-19,45,8
2020-05-20,44,9
2020-05-21,47,6
2020-05-22,45,8
2020-05-23,47,6
2020-05-24,45,10
2020-05-25,50,8
2020-05-26,51,2
2020-05-27,50,3
2020-05-28,53,1
2020-05-29,52,8
2020-05-30,39,4
2020-05-31,39,4
2020-06-01,41,2
2020-06-02,38,2
2020-06-03,33,7
2020-06-04,33,7
2020-06-05,34,9
2020-06-06,34,9
2020-06-07,36,9
2020-06-08,34,11
2020-06-09,35,10
2020-06-10,35,10
2020-06-11,33,12
2020-06-12,41,7
2020-06-13,41,7
2020-06-14,45,6
2020-06-15,42,7
2020-06-16,37,8
2020-06-17,38,6
2020-06-18,42,2
2020-06-19,41,4
2020-06-20,41,4
2020-06-21,41,3
2020-06-22,41,3
2020-06-23,42,2
2020-06-24,40,5
2020-06-25,36,9
2020-06-26,38,7
2020-06-27,42,5
2020-06-28,35,11
2020-06-29,38,7
2020-06-30,40,5
2020-07-01,38,11
2020-07-02,33,11
2020-07-03,34,11
2020-07-04,32,13
2020-07-05,37,7
2020-07-06,35,9
2020-07-07,37,8
2020-07-08,40,5
2020-07-09,40,9
2020-07-10,39,10
2020-07-11,38,9
2020-07-12,38,8
2020-07-13,33,16
2020-07-14,33,16
2020-07-15,36,13
2020-07-16,38,11
2020-07-17,42,3
2020-07-18,24,30
2020-07-19,22,32
2020-07-20,24,30
2020-07-21,28,26
2020-07-22,27,27
2020-07-23,27,27
2020-07-24,25,29
2020-07-25,25,29
2020-07-26,40,14
2020-07-27,20,34
2020-07-28,21,33
2020-07-29,19,35
2020-07-30,20,34
2020-07-31,22,32
2020-08-01,29,17
2020-08-02,30,59
2020-08-03,27,27
2020-08-04,28,8
2020-08-05,27,5
2020-08-06,24,8
2020-08-07,28,4
2020-08-08,26,6
2020-08-09,26,6
2020-08-10,26,6
2020-08-11,27,5
2020-08-12,23,7
2020-08-13,23,9
2020-08-14,24,8
2020-08-15,23,9
2020-08-16,21,7
2020-08-17,23,9
2020-08-18,25,7
2020-08-19,22,10
2020-08-20,21,9
2020-08-21,26,6
2020-08-22,24,6
2020-08-23,26,4
2020-08-24,27,5
2020-08-25,24,8
2020-08-26,22,6
2020-08-27,22,8
2020-08-28,27,5
2020-08-29,27,5
2020-08-30,27,3
2020-08-31,26,4
2020-09-01,28,4
2020-09-02,26,6
2020-09-03,25,7
2020-09-04,21,11
2020-09-05,17,15
2020-09-06,17,13
2020-09-07,21,9
2020-09-08,23,7
2020-09-09,22,8
2020-09-10,22,8
2020-09-11,19,13
2020-09-12,19,11
2020-09-13,19,13
2020-09-14,23,7
2020-09-15,23,7
2020-09-16,26,4
2020-09-17,26,4
2020-09-18,28,2
2020-09-19,26,4
2020-09-20,25,5
2020-09-21,22,8
2020-09-22,23,7
2020-09-23,25,5
2020-09-24,21,9
2020-09-25,18,12
2020-09-26,19,11
2020-09-27,24,6
2020-09-28,19,11
2020-09-29,17,13
2020-09-30,17,13
2020-10-01,20,10
2020-10-02,21,9
2020-10-03,21,9
2020-10-04,20,10
2020-10-05,18,12
2020-10-06,20,10
2020-10-07,20,10
2020-10-08,18,12
2020-10-09,23,7
2020-10-10,22,8
2020-10-11,20,10
2020-10-12,27,3
2020-10-13,22,8
2020-10-14,23,7
2020-10-15,24,6
2020-10-16,26,3
2020-10-17,23,6
