date,betten_belegt,betten_frei
2020-04-24,38,40
2020-04-25,42,36
2020-04-26,39,40
2020-04-27,36,42
2020-04-28,39,43
2020-04-29,41,41
2020-04-30,39,44
2020-05-01,33,49
2020-05-02,36,48
2020-05-03,40,44
2020-05-04,35,45
2020-05-05,35,47
2020-05-06,42,43
2020-05-07,43,41
2020-05-08,38,47
2020-05-09,38,46
2020-05-10,34,49
2020-05-11,36,47
2020-05-12,36,48
2020-05-13,38,46
2020-05-14,34,50
2020-05-15,35,50
2020-05-16,36,49
2020-05-17,33,51
2020-05-18,29,52
2020-05-19,32,52
2020-05-20,31,51
2020-05-21,35,49
2020-05-22,34,49
2020-05-23,33,51
2020-05-24,30,55
2020-05-25,34,51
2020-05-26,32,50
2020-05-27,35,48
2020-05-28,33,51
2020-05-29,34,48
2020-05-30,28,52
2020-05-31,31,51
2020-06-01,31,51
2020-06-02,28,51
2020-06-03,33,48
2020-06-04,34,48
2020-06-05,41,53
2020-06-06,33,50
2020-06-07,32,51
2020-06-08,27,55
2020-06-09,36,49
2020-06-10,35,51
2020-06-11,37,49
2020-06-12,34,50
2020-06-13,33,51
2020-06-14,34,49
2020-06-15,33,49
2020-06-16,33,50
2020-06-17,34,50
2020-06-18,29,54
2020-06-19,33,52
2020-06-20,36,50
2020-06-21,37,49
2020-06-22,32,51
2020-06-23,34,49
2020-06-24,37,48
2020-06-25,31,51
2020-06-26,35,48
2020-06-27,32,51
2020-06-28,31,49
2020-06-29,30,50
2020-06-30,32,49
2020-07-01,31,51
2020-07-02,31,50
2020-07-03,30,50
2020-07-04,32,49
2020-07-05,31,50
2020-07-06,34,48
2020-07-07,34,48
2020-07-08,35,48
2020-07-09,32,48
2020-07-10,32,48
2020-07-11,33,48
2020-07-12,33,48
2020-07-13,30,51
2020-07-14,33,51
2020-07-15,35,49
2020-07-16,33,50
2020-07-17,29,50
2020-07-18,35,48
2020-07-19,33,51
2020-07-20,35,48
2020-07-21,36,49
2020-07-22,33,51
2020-07-23,34,48
2020-07-24,34,49
2020-07-25,36,48
2020-07-26,33,49
2020-07-27,33,34
2020-07-28,35,35
2020-07-29,34,35
2020-07-30,35,34
2020-07-31,33,37
2020-08-01,35,36
2020-08-02,39,34
2020-08-03,34,48
2020-08-04,38,11
2020-08-05,37,12
2020-08-06,35,14
2020-08-07,36,13
2020-08-08,37,12
2020-08-09,35,14
2020-08-10,35,14
2020-08-11,36,13
2020-08-12,34,21
2020-08-13,35,20
2020-08-14,36,19
2020-08-15,32,23
2020-08-16,34,21
2020-08-17,35,20
2020-08-18,35,20
2020-08-19,34,21
2020-08-20,39,16
2020-08-21,38,17
2020-08-22,35,20
2020-08-23,35,20
2020-08-24,35,20
2020-08-25,39,16
2020-08-26,40,15
2020-08-27,34,21
2020-08-28,36,19
2020-08-29,38,17
2020-08-30,31,24
2020-08-31,34,21
2020-09-01,31,24
2020-09-02,36,19
2020-09-03,36,19
2020-09-04,33,22
2020-09-05,34,21
2020-09-06,33,22
2020-09-07,37,18
2020-09-08,35,20
2020-09-09,36,19
2020-09-10,38,17
2020-09-11,39,16
2020-09-12,39,16
2020-09-13,37,18
2020-09-14,37,18
2020-09-15,37,18
2020-09-16,39,16
2020-09-17,39,16
2020-09-18,40,15
2020-09-19,40,15
2020-09-20,38,17
2020-09-21,36,19
2020-09-22,39,16
2020-09-23,40,15
2020-09-24,40,15
2020-09-25,40,15
2020-09-26,39,16
2020-09-27,36,19
2020-09-28,32,23
2020-09-29,35,20
2020-09-30,36,19
2020-10-01,38,17
2020-10-02,38,17
2020-10-03,40,15
2020-10-04,40,15
2020-10-05,36,19
2020-10-06,40,15
2020-10-07,38,17
2020-10-08,36,19
2020-10-09,34,21
2020-10-10,29,26
2020-10-11,28,27
2020-10-12,30,25
2020-10-13,32,23
2020-10-14,33,22
2020-10-15,33,22
2020-10-16,31,24
2020-10-17,34,21
2020-10-18,32,23
2020-10-19,35,20
2020-10-20,40,15
2020-10-21,38,17
2020-10-22,35,20
2020-10-23,35,20
2020-10-24,40,15
2020-10-25,35,20
2020-10-26,36,19
2020-10-27,29,26
2020-10-28,32,23
2020-10-29,36,19
2020-10-30,31,24
2020-10-31,29,26
2020-11-01,30,25
2020-11-02,33,22
2020-11-03,33,18
2020-11-04,37,14
2020-11-05,36,15
2020-11-06,28,23
2020-11-07,25,26
2020-11-08,24,27
2020-11-09,24,31
2020-11-10,31,24
2020-11-11,31,19
2020-11-12,36,14
2020-11-13,37,13
2020-11-14,29,21
2020-11-15,30,20
2020-11-16,29,21
2020-11-17,30,20
2020-11-18,31,19
2020-11-19,30,20
2020-11-20,30,19
2020-11-21,30,19
2020-11-22,22,27
2020-11-23,38,11
2020-11-24,38,11
2020-11-25,36,13
2020-11-26,37,12
2020-11-27,39,10
2020-11-28,39,10
2020-11-29,37,12
2020-11-30,34,15
2020-12-01,32,17
2020-12-02,40,9
2020-12-03,33,16
2020-12-04,32,14
2020-12-05,36,9
2020-12-06,36,9
2020-12-07,32,18
2020-12-08,39,11
2020-12-09,40,10
2020-12-10,37,13
2020-12-11,33,17
2020-12-12,33,17
2020-12-13,30,20
2020-12-14,29,21
2020-12-15,34,16
2020-12-16,33,16
2020-12-17,39,10
2020-12-18,39,10
2020-12-19,37,12
2020-12-20,38,11
2020-12-21,35,14
2020-12-22,34,10
2020-12-23,34,10
2020-12-24,29,15
2020-12-25,32,9
2020-12-26,32,11
2020-12-27,31,12
2020-12-28,33,8
2020-12-29,31,10
2020-12-30,35,8
2020-12-31,32,11
2021-01-01,34,9
2021-01-02,33,10
2021-01-03,36,5
2021-01-04,33,10
2021-01-05,36,7
2021-01-06,30,14
2021-01-07,32,12
2021-01-08,33,8
2021-01-09,36,8
2021-01-10,32,9
2021-01-11,33,8
2021-01-12,34,9
2021-01-13,36,7
