date,betten_belegt,betten_frei
2020-04-24,10,5
2020-04-25,7,8
2020-04-26,9,6
2020-04-27,10,5
2020-04-28,7,8
2020-04-29,9,6
2020-04-30,10,5
2020-05-01,10,5
2020-05-02,11,4
2020-05-03,9,6
2020-05-04,8,7
2020-05-05,9,6
2020-05-06,9,6
2020-05-07,9,6
2020-05-08,10,5
2020-05-09,9,6
2020-05-10,9,6
2020-05-11,10,5
2020-05-12,9,6
2020-05-13,7,8
2020-05-14,24,17
2020-05-15,28,13
2020-05-16,29,12
2020-05-17,28,13
2020-05-18,27,14
2020-05-19,28,13
2020-05-20,28,13
2020-05-21,26,15
2020-05-22,25,16
2020-05-23,28,13
2020-05-24,29,12
2020-05-25,26,15
2020-05-26,25,16
2020-05-27,27,14
2020-05-28,28,13
2020-05-29,30,11
2020-05-30,27,14
2020-05-31,27,14
2020-06-01,27,14
2020-06-02,27,14
2020-06-03,27,14
2020-06-04,25,16
2020-06-05,29,12
2020-06-06,27,13
2020-06-07,29,12
2020-06-08,28,13
2020-06-09,30,11
2020-06-10,31,10
2020-06-11,30,11
2020-06-12,28,13
2020-06-13,28,13
2020-06-14,27,14
2020-06-15,29,12
2020-06-16,29,12
2020-06-17,27,14
2020-06-18,29,12
2020-06-19,27,14
2020-06-20,29,12
2020-06-21,29,12
2020-06-22,29,12
2020-06-23,31,10
2020-06-24,29,12
2020-06-25,31,10
2020-06-26,9,6
2020-06-27,8,7
2020-06-28,9,6
2020-06-29,9,6
2020-06-30,8,7
2020-07-01,10,5
2020-07-02,10,5
2020-07-03,11,4
2020-07-04,9,6
2020-07-05,8,7
2020-07-06,8,7
2020-07-07,8,7
2020-07-08,10,5
2020-07-09,9,6
2020-07-10,11,4
2020-07-11,8,7
2020-07-12,6,9
2020-07-13,7,8
2020-07-14,8,7
2020-07-15,8,7
2020-07-16,7,8
2020-07-17,11,4
2020-07-18,9,6
2020-07-19,10,5
2020-07-20,9,6
2020-07-21,9,6
2020-07-22,9,6
2020-07-23,9,6
2020-07-24,11,4
2020-07-25,7,8
