date,betten_belegt,betten_frei
2020-04-24,243,125
2020-04-25,251,118
2020-04-26,240,124
2020-04-27,240,127
2020-04-28,246,113
2020-04-29,247,121
2020-04-30,245,120
2020-05-01,241,123
2020-05-02,236,129
2020-05-03,234,133
2020-05-04,236,130
2020-05-05,236,129
2020-05-06,242,124
2020-05-07,249,83
2020-05-08,236,84
2020-05-09,245,83
2020-05-10,243,85
2020-05-11,230,98
2020-05-12,278,99
2020-05-13,242,91
2020-05-14,241,90
2020-05-15,249,82
2020-05-16,250,85
2020-05-17,242,88
2020-05-18,229,106
2020-05-19,252,80
2020-05-20,236,66
2020-05-21,247,59
2020-05-22,242,63
2020-05-23,222,78
2020-05-24,224,80
2020-05-25,233,73
2020-05-26,231,77
2020-05-27,227,80
2020-05-28,238,73
2020-05-29,229,77
2020-05-30,238,66
2020-05-31,223,79
2020-06-01,226,75
2020-06-02,227,76
2020-06-03,238,64
2020-06-04,241,61
2020-06-05,246,56
2020-06-06,238,62
2020-06-07,230,72
2020-06-08,225,78
2020-06-09,226,75
2020-06-10,243,70
2020-06-11,242,71
2020-06-12,230,77
2020-06-13,238,72
2020-06-14,236,72
2020-06-15,228,79
2020-06-16,228,81
2020-06-17,229,82
2020-06-18,235,78
2020-06-19,233,77
2020-06-20,218,91
2020-06-21,221,87
2020-06-22,224,87
2020-06-23,232,77
2020-06-24,227,79
2020-06-25,234,71
2020-06-26,247,63
2020-06-27,245,56
2020-06-28,229,69
2020-06-29,237,87
2020-06-30,245,79
2020-07-01,245,72
2020-07-02,260,64
2020-07-03,256,64
2020-07-04,247,78
2020-07-05,226,100
2020-07-06,231,95
2020-07-07,252,74
2020-07-08,243,79
2020-07-09,255,67
2020-07-10,245,77
2020-07-11,236,86
2020-07-12,235,83
2020-07-13,233,87
2020-07-14,241,84
2020-07-15,252,74
2020-07-16,263,65
2020-07-17,247,80
2020-07-18,241,89
2020-07-19,245,80
2020-07-20,245,82
2020-07-21,249,78
2020-07-22,261,64
2020-07-23,257,69
2020-07-24,250,66
2020-07-25,251,65
2020-07-26,244,70
2020-07-27,235,74
2020-07-28,246,73
2020-07-29,257,67
2020-07-30,247,77
2020-07-31,248,80
2020-08-01,245,77
2020-08-02,229,85
2020-08-03,238,81
2020-08-04,246,72
2020-08-05,245,75
2020-08-06,257,67
2020-08-07,249,70
2020-08-08,248,67
2020-08-09,237,79
2020-08-10,240,79
2020-08-11,263,56
2020-08-12,252,61
2020-08-13,257,63
2020-08-14,256,63
2020-08-15,249,61
2020-08-16,234,78
2020-08-17,242,67
2020-08-18,254,54
2020-08-19,249,56
2020-08-20,263,46
2020-08-21,270,42
2020-08-22,259,41
2020-08-23,254,44
2020-08-24,241,56
2020-08-25,248,57
2020-08-26,245,60
2020-08-27,243,57
2020-08-28,251,48
2020-08-29,251,44
2020-08-30,247,51
2020-08-31,242,61
2020-09-01,256,51
2020-09-02,246,62
2020-09-03,241,67
2020-09-04,249,60
2020-09-05,246,55
2020-09-06,239,62
2020-09-07,242,62
2020-09-08,259,49
2020-09-09,260,45
2020-09-10,259,51
2020-09-11,243,66
2020-09-12,242,60
2020-09-13,249,62
2020-09-14,260,49
2020-09-15,260,50
2020-09-16,258,54
2020-09-17,258,51
2020-09-18,263,47
2020-09-19,258,48
2020-09-20,247,58
2020-09-21,252,59
2020-09-22,259,48
2020-09-23,262,46
2020-09-24,259,46
2020-09-25,258,47
2020-09-26,257,43
2020-09-27,252,47
2020-09-28,254,56
2020-09-29,265,43
2020-09-30,268,41
2020-10-01,262,46
2020-10-02,262,44
2020-10-03,253,45
2020-10-04,245,52
2020-10-05,244,58
2020-10-06,257,46
2020-10-07,252,50
2020-10-08,246,52
2020-10-09,245,53
2020-10-10,247,48
2020-10-11,248,43
2020-10-12,237,59
2020-10-13,249,51
2020-10-14,246,52
2020-10-15,246,54
2020-10-16,248,54
2020-10-17,250,43
2020-10-18,238,50
2020-10-19,235,62
2020-10-20,253,53
2020-10-21,249,53
2020-10-22,253,51
2020-10-23,263,44
2020-10-24,266,38
2020-10-25,259,36
2020-10-26,273,30
2020-10-27,271,31
2020-10-28,260,38
2020-10-29,264,39
2020-10-30,251,42
2020-10-31,245,30
2020-11-01,237,45
2020-11-02,243,40
2020-11-03,248,42
2020-11-04,248,42
2020-11-05,245,54
2020-11-06,245,50
2020-11-07,244,45
2020-11-08,245,43
2020-11-09,244,44
2020-11-10,253,51
2020-11-11,256,43
2020-11-12,266,35
2020-11-13,262,35
2020-11-14,260,33
2020-11-15,269,33
2020-11-16,261,36
2020-11-17,258,38
2020-11-18,268,29
2020-11-19,264,27
2020-11-20,257,34
2020-11-21,251,36
2020-11-22,247,38
2020-11-23,258,27
2020-11-24,254,36
2020-11-25,259,29
2020-11-26,254,38
2020-11-27,260,35
2020-11-28,257,40
2020-11-29,251,45
2020-11-30,249,44
2020-12-01,261,39
2020-12-02,258,37
2020-12-03,255,44
2020-12-04,258,35
2020-12-05,260,33
2020-12-06,254,38
2020-12-07,255,39
2020-12-08,262,35
2020-12-09,251,44
2020-12-10,268,30
2020-12-11,261,34
2020-12-12,252,43
2020-12-13,256,37
2020-12-14,258,37
2020-12-15,266,27
2020-12-16,254,39
2020-12-17,240,43
2020-12-18,234,47
2020-12-19,233,54
2020-12-20,227,59
2020-12-21,238,52
2020-12-22,241,46
2020-12-23,241,47
2020-12-24,233,56
2020-12-25,234,54
2020-12-26,243,45
2020-12-27,239,49
2020-12-28,239,55
2020-12-29,238,51
2020-12-30,231,59
2020-12-31,239,49
2021-01-01,250,39
2021-01-02,252,39
2021-01-03,256,32
2021-01-04,244,43
2021-01-05,254,35
2021-01-06,262,32
2021-01-07,255,38
2021-01-08,262,32
2021-01-09,265,33
2021-01-10,251,46
2021-01-11,255,42
2021-01-12,265,32
2021-01-13,261,31
2021-01-14,265,28
2021-01-15,266,29
2021-01-16,254,37
2021-01-17,254,37
2021-01-18,260,33
2021-01-19,255,36
2021-01-20,260,35
2021-01-21,255,38
2021-01-22,260,35
2021-01-23,255,36
2021-01-24,254,40
2021-01-25,256,39
2021-01-26,260,37
2021-01-27,264,32
2021-01-28,257,38
2021-01-29,255,37
2021-01-30,247,44
2021-01-31,238,54
2021-02-01,242,51
2021-02-02,253,42
2021-02-03,252,46
2021-02-04,258,44
2021-02-05,258,40
2021-02-06,255,42
2021-02-07,248,46
2021-02-08,252,46
2021-02-09,257,42
2021-02-10,257,42
2021-02-11,254,44
2021-02-12,250,42
2021-02-13,241,51
2021-02-14,234,52
2021-02-15,233,57
2021-02-16,244,46
2021-02-17,251,40
2021-02-18,259,37
2021-02-19,262,33
2021-02-20,252,41
2021-02-21,238,52
2021-02-22,247,48
2021-02-23,253,40
2021-02-24,254,43
2021-02-25,254,44
2021-02-26,254,39
2021-02-27,238,56
2021-02-28,238,49
2021-03-01,238,55
2021-03-02,249,42
2021-03-03,245,48
2021-03-04,241,49
2021-03-05,246,48
2021-03-06,253,39
2021-03-07,248,41
2021-03-08,251,42
2021-03-09,251,39
2021-03-10,246,42
2021-03-11,251,32
2021-03-12,257,30
2021-03-13,254,37
2021-03-14,240,43
2021-03-15,248,36
2021-03-16,260,29
2021-03-17,257,36
2021-03-18,256,32
2021-03-19,255,30
2021-03-20,248,41
2021-03-21,239,46
2021-03-22,248,43
2021-03-23,263,31
2021-03-24,252,38
2021-03-25,251,45
2021-03-26,258,37
2021-03-27,254,33
2021-03-28,250,36
2021-03-29,253,45
2021-03-30,255,35
2021-03-31,265,27
2021-04-01,256,35
2021-04-02,260,32
2021-04-03,243,41
2021-04-04,245,41
2021-04-05,248,37
2021-04-06,254,33
2021-04-07,252,38
2021-04-08,257,31
2021-04-09,253,34
2021-04-10,249,40
2021-04-11,263,31
2021-04-12,267,27
2021-04-13,269,24
2021-04-14,263,31
2021-04-15,253,34
2021-04-16,261,31
2021-04-17,265,24
2021-04-18,253,35
2021-04-19,255,36
2021-04-20,277,31
2021-04-21,272,32
2021-04-22,276,31
2021-04-23,267,49
2021-04-24,279,39
2021-04-25,276,36
2021-04-26,282,34
2021-04-27,279,38
2021-04-28,280,35
2021-04-29,284,33
2021-04-30,284,25
2021-05-01,278,33
2021-05-02,275,33
2021-05-03,271,45
2021-05-04,271,42
2021-05-05,271,43
2021-05-06,265,50
2021-05-07,266,42
2021-05-08,270,37
2021-05-09,268,33
2021-05-10,254,48
2021-05-11,262,44
2021-05-12,265,43
2021-05-13,261,43
2021-05-14,257,47
2021-05-15,256,48
2021-05-16,251,48
2021-05-17,253,49
2021-05-18,262,41
2021-05-19,260,42
2021-05-20,250,50
2021-05-21,261,35
2021-05-22,260,32
2021-05-23,233,51
2021-05-24,239,42
2021-05-25,245,42
2021-05-26,252,38
2021-05-27,250,44
2021-05-28,251,39
2021-05-29,247,42
2021-05-30,237,47
2021-05-31,242,44
2021-06-01,253,36
2021-06-02,240,48
2021-06-03,250,38
2021-06-04,239,46
2021-06-05,230,53
2021-06-06,232,47
2021-06-07,235,53
2021-06-08,248,45
2021-06-09,255,41
2021-06-10,251,44
2021-06-11,254,42
2021-06-12,255,39
2021-06-13,237,51
2021-06-14,246,42
2021-06-15,259,34
2021-06-16,254,43
2021-06-17,260,37
2021-06-18,252,43
2021-06-19,248,47
2021-06-20,241,50
2021-06-21,249,43
2021-06-22,249,45
2021-06-23,249,45
2021-06-24,257,39
2021-06-25,256,41
2021-06-26,240,40
2021-06-27,239,48
2021-06-28,239,58
2021-06-29,245,52
2021-06-30,247,53
2021-07-01,237,57
2021-07-02,237,58
2021-07-03,242,53
2021-07-04,245,44
2021-07-05,237,55
2021-07-06,246,49
2021-07-07,245,48
2021-07-08,248,50
2021-07-09,262,47
2021-07-10,245,49
2021-07-11,236,53
2021-07-12,250,41
2021-07-13,243,55
2021-07-14,248,46
2021-07-15,255,43
2021-07-16,260,32
2021-07-17,243,48
2021-07-18,242,46
2021-07-19,249,48
2021-07-20,251,42
2021-07-21,259,36
2021-07-22,261,35
2021-07-23,262,37
2021-07-24,256,38
2021-07-25,237,48
2021-07-26,241,50
2021-07-27,245,48
2021-07-28,254,37
2021-07-29,258,32
2021-07-30,244,42
2021-07-31,245,43
2021-08-01,246,39
2021-08-02,239,44
2021-08-03,240,46
2021-08-04,247,44
2021-08-05,251,38
2021-08-06,245,41
2021-08-07,248,40
2021-08-08,245,38
2021-08-09,237,54
2021-08-10,251,44
2021-08-11,250,45
2021-08-12,257,37
2021-08-13,264,34
2021-08-14,256,40
2021-08-15,246,45
2021-08-16,239,52
2021-08-17,248,45
2021-08-18,250,45
2021-08-19,245,46
2021-08-20,257,33
2021-08-21,253,39
2021-08-22,238,47
2021-08-23,239,54
2021-08-24,257,38
2021-08-25,253,42
2021-08-26,253,42
2021-08-27,257,38
2021-08-28,248,42
2021-08-29,248,39
2021-08-30,246,40
2021-08-31,246,42
2021-09-01,253,38
2021-09-02,251,31
2021-09-03,248,33
2021-09-04,255,28
2021-09-05,239,40
2021-09-06,248,33
2021-09-07,253,35
2021-09-08,258,31
2021-09-09,253,38
2021-09-10,262,32
2021-09-11,260,29
2021-09-12,249,39
2021-09-13,245,47
2021-09-14,244,48
2021-09-15,253,39
2021-09-16,261,33
2021-09-17,266,27
2021-09-18,243,44
2021-09-19,240,50
2021-09-20,246,48
2021-09-21,261,37
2021-09-22,256,38
2021-09-23,261,32
2021-09-24,263,30
2021-09-25,263,33
2021-09-26,252,37
2021-09-27,251,40
2021-09-28,259,37
2021-09-29,262,35
2021-09-30,246,43
2021-10-01,256,48
2021-10-02,251,47
2021-10-03,248,52
2021-10-04,240,56
2021-10-05,250,48
2021-10-06,252,47
2021-10-07,246,50
2021-10-08,254,45
2021-10-09,246,46
2021-10-10,247,44
2021-10-11,246,43
2021-10-12,259,32
2021-10-13,258,37
2021-10-14,254,39
2021-10-15,252,41
2021-10-16,249,42
2021-10-17,242,52
2021-10-18,240,39
2021-10-19,249,40
2021-10-20,254,42
2021-10-21,264,32
2021-10-22,253,30
2021-10-23,252,36
2021-10-24,248,33
2021-10-25,249,43
2021-10-26,265,29
2021-10-27,267,27
2021-10-28,264,32
2021-10-29,266,36
2021-10-30,256,37
2021-10-31,246,45
2021-11-01,241,51
2021-11-02,262,38
2021-11-03,269,32
2021-11-04,267,34
2021-11-05,260,43
2021-11-06,249,43
2021-11-07,248,41
2021-11-08,262,31
2021-11-09,260,36
2021-11-10,260,34
2021-11-11,266,24
2021-11-12,254,24
2021-11-13,255,35
2021-11-14,254,39
2021-11-15,253,42
2021-11-16,263,37
2021-11-17,261,40
2021-11-18,267,33
2021-11-19,267,29
2021-11-20,262,35
2021-11-21,250,42
2021-11-22,261,30
2021-11-23,267,34
2021-11-24,252,38
2021-11-25,261,28
2021-11-26,265,28
2021-11-27,266,28
2021-11-28,259,32
2021-11-29,250,41
2021-11-30,256,32
2021-12-01,265,28
2021-12-02,265,28
2021-12-03,263,30
2021-12-04,268,26
2021-12-05,259,28
2021-12-06,262,21
2021-12-07,257,26
2021-12-08,266,25
2021-12-09,270,22
2021-12-10,264,27
2021-12-11,262,31
2021-12-12,260,27
2021-12-13,262,28
2021-12-14,270,24
2021-12-15,267,27
2021-12-16,263,29
2021-12-17,274,23
2021-12-18,266,26
2021-12-19,259,31
2021-12-20,259,35
2021-12-21,267,31
2021-12-22,267,31
2021-12-23,265,29
2021-12-24,263,32
2021-12-25,261,32
2021-12-26,264,32
2021-12-27,263,29
2021-12-28,262,33
2021-12-29,271,24
2021-12-30,268,26
2021-12-31,265,30
2022-01-01,258,36
2022-01-02,263,29
2022-01-03,264,28
2022-01-04,259,35
2022-01-05,264,35
2022-01-06,258,37
2022-01-07,258,41
2022-01-08,259,38
2022-01-09,248,45
2022-01-10,250,41
2022-01-11,259,33
2022-01-12,264,32
2022-01-13,263,37
2022-01-14,264,36
2022-01-15,259,38
2022-01-16,250,38
2022-01-17,257,39
2022-01-18,253,45
2022-01-19,261,35
2022-01-20,263,37
